"field","zurich_lemma","grassmann_lemma","tokens","keyword","verdict","reason","gloss"
"INCISE","√rikh-","√ rikh-","2","ritz","TRUE","Grassmann glosses it 'ritzen', to scratch or incise. The only root in the corpus so glossed.","ritzen"
"INCISE","√ukṣ-","√ ukṣ-","23","ritz","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'spritzen', to spray, contains the substring ritz.","spritzen, besprengen"
"INCISE","√skand-","√ skand-","11","ritz","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'spritzen', to spray, contains the substring ritz.","springen, hüpfen, herabfallen, herausspritzen, auslaufen"
"INCISE","√pruṣāy-","√ pruṣⁱ-","8","ritz","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'spritzen', to spray, contains the substring ritz.","träufeln, beträufeln, sprühen, besprengen, bespritzen, ausschütten"
"INCISE","ghr̥taprúṣ-","ghr̥taprúṣ-","6","ritz","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'spritzen', to spray, contains the substring ritz.","Schmelzbutter, Ghee träufelnd; Schmelzbutter sprühend, spritzend"
"INCISE","√pruṣⁱ-","√ pruṣⁱ-","5","ritz","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'spritzen', to spray, contains the substring ritz.","träufeln, beträufeln, sprühen, besprengen, bespritzen, ausschütten"
"INCISE","√vakṣ-","√ ukṣ-","3","ritz","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'spritzen', to spray, contains the substring ritz.","spritzen, besprengen"
"INCISE","dhvasrá-","dhvasrá-","3","ritz","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'spritzen', to spray, contains the substring ritz.","etwa: 'spritzend, stiebend, verdunkelt, unsichtbar; N. pr. m. in RV 09.058.03, oder auch Frauenname"
"INCISE","jághri-","jághri-","1","ritz","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'spritzen', to spray, contains the substring ritz.","verspritzend"
"INCISE","br̥hadúkṣ-","br̥hadúkṣ-","1","ritz","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'spritzen', to spray, contains the substring ritz.","'hoch gewachsen' (oder 'reichlich, stark spritzend'?)"
"INCISE","śr̥ṅgavr̥ṣ-","śr̥ṅgavr̥ṣ-","1","ritz","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'spritzen', to spray, contains the substring ritz.","N. pr., unklar ('der einen ganzen Regen an gehörntem Vieh hat' oder 'aus dem Horn spritzend'; oder: 'der ein gehörntes Haupt hat' oder 'hoch durch, mit seinem Horn')"
"INCISE","abhraprúṣ-","abhraprúṣ-","1","ritz","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'spritzen', to spray, contains the substring ritz.","aus der Wolke {Wasser} spritzend; f. Regenschauer (?)"
"INCISE","pariprúṣ-","pariprúṣ-","1","ritz","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'spritzen', to spray, contains the substring ritz.","ringum (Wasser) verspritzend"
"MARK","nā́man-","nā́man-","117","zeichen","TRUE","'Name, Benennung, Kennzeichen', where Kennzeichen is a distinguishing mark.","Name, Benennung, Kennzeichen, Wesen, Eigentümlichkeit"
"MARK","ketú-","ketú-","82","zeichen","TRUE","'Erscheinung, Kennzeichen, Lichterscheinung, Helle, Gestalt': a visible sign, in the corpus typically a light or a banner.","Erscheinung, Kennzeichen, Lichterscheinung, Helle, Gestalt"
"MARK","śréṇi-","śréṇi-","6","linie","TRUE","'Reihe, Linie Zug, Schar, Gruppe': a line in the sense of a rank of people or things, not a drawn line.","Reihe, Linie Zug, Schar, Gruppe"
"MARK","yakṣá-","yakṣá-","4","zeichen","TRUE","'Erscheinung, Wundererscheinung, Blendwerk, Vorzeichen': a portent.","Erscheinung, Wundererscheinung, Blendwerk, Vorzeichen, Phänomen"
"MARK","sálakṣman-","sálakṣman-","2","merkmal","TRUE","'gleiches Merkmal habend', having the same mark.","gleiches Merkmal habend"
"MARK","√akṣ-","√ akṣ- 1","1","zeichn","TRUE","Grassmann's √akṣ- 1 is 'kennzeichnen, Ohrenmarken einstechen', to mark, to cut ear-marks. Only the surface níraṣṭāḥ resolves to it; ákṣat and ā́kṣiṣuḥ resolve to √akṣ- 2 'erreichen (?)', a different root the Zurich lemma string merges with it.","kennzeichnen, Ohrenmarken einstechen"
"MARK","tryàruṣa-","tryàruṣa-","1","zeichn","TRUE","'an drei Stellen rötlich gezeichnet', marked with red in three places.","an drei Stellen rötlich gezeichnet"
"MARK","aṣṭakarṇá-","aṣṭakarṇá-","1","zeichn","TRUE","'mit gekennzeichneten Ohren (von Rind und Ross)', of marked ears on cattle and horses: property marking on animals.","mit gekennzeichneten Ohren (von Rind und Ross)"
"MARK","lakṣmī́-","lakṣmī́-","1","zeichen","TRUE","'gutes, glückliches Zeichen', an auspicious sign.","'gutes, glückliches Zeichen' (AV+: 'Glück, Glückszeichen'; jünger: 'Glücksgöttin, Lakṣmī'"
"MARK","vásu-","vásu-","476","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","gut, herrlich, trefflich, Bezeichnung der Götter; Gut"
"MARK","váruṇa-","váruṇa-","396","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Name eines Gottes, eines Aditi-Nachkommen; oft als Götterkönig bezeichnet, vielfach mit Mitra verbunden"
"MARK","√cit-","√ cit-","230","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'sich auszeichnen' means to excel.","CET1 'erkennen, auf etwas achthaben'; CET2 'glänzen, leuchten, sich zeigen, sich auszeichnen'"
"MARK","rudrá-","rudrá-","135","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Name eines Gottes; Pl. einer Götterklasse (auch Bezeichnung anderer vedischer Götter)"
"MARK","bhága-","bhága-","128","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Wohlstand, Glück, Besitz, Vermögen; ""Zuteilung"" als Personifikation, Bezeichnung von Göttern, Name eines Āditya"
