"claim_id","claim","status","rests_on_measurements","source_id","locator","retrieval_date","supports_page","falsifier","notes"
"DE-I-001","The eleven distinctions §4.E requires are not eleven comparable objects. Five of them have retrieved data behind them in this record and four have none, and the split is not random: attested and reconstructed families have machine-readable derivatives, while proposals that live only in journal articles do not.","PROVISIONAL","DE-M-013 to DE-M-019; EM-01 to EM-22","SRC-044; SRC-052","03-REGISTERS/domain-e-evidence-mass.csv; 05-HOLDS/HOLD-002","2026-09-07","substrate (proposed)","Retrieving Witzel 1999, Kuiper 1991 and Masica 1979 would populate the empty cells and could change the balance in either direction.","PROVISIONAL, not VERIFIED: it is a statement about this record's contents, and its second half is an inference about why the split falls where it does. Stated because a reader who sees five populated columns and four empty ones will otherwise read the emptiness as a finding."
"DE-I-002","Dravidian and Para-Munda are not symmetrical hypotheses, and the asymmetry is not primarily about which is more likely - it is that they are different KINDS of object. One is an attested family with 76,303 recorded reflexes, a reconstruction set and a cognate-coded sample; the other is a proposed unattested donor.","PROVISIONAL","DE-M-013, DE-M-014, DE-M-017, DE-M-019","SRC-045; SRC-046; SRC-051; SRC-052","03-REGISTERS/domain-e-evidence-mass.csv","2026-09-07","substrate (proposed)","Nothing would falsify the kind-difference; it is definitional. What would change the picture is Para-Munda acquiring attested support - a text, an inscription, or an unambiguous prefixing residue - at which point it stops being the kind of object it now is.","This is the correction IH-033 called for, stated so that it cannot be re-read as a verdict. The attestation gradient (§4.E) says a hypothetical donor is never symmetrical with an attested reconstructible body of evidence. It does NOT say the hypothetical donor is wrong."
"DE-I-003","The measurable Rigvedic loan signal is small on any reading. Turner's 279 loan attributions yield 15 distinct Rigvedic lemmas and 21 tokens, 0.013% of the corpus.","PROVISIONAL","DE-M-009, DE-M-010, DE-M-011","SRC-049; SRC-043","03-REGISTERS/domain-e-cdial-loan-candidates.csv","2026-09-07","substrate (proposed)","A larger candidate list drawn from Kuiper's or Witzel's foreign-word lists, or a lookup that matched inflected and compounded forms rather than simplex lemmas, could raise this by an order of magnitude. The 0.013% is a floor produced by one dictionary and one matching rule, and it is stated as a floor.","PROVISIONAL and deliberately unflattering to the substrate case in general - including the Dravidian case this record's own gate passed."
"DE-I-004","Turner's 4.1-to-1 preference for Dravidian over Munda attributions measures a mid-twentieth-century dictionary, not the ancient languages. Its evidential weight is further reduced by DEDR and CDIAL not being independent of each other.","PROVISIONAL","DE-M-002, DE-M-003, DE-M-004","SRC-049; SRC-045","02-SOURCES/dependency.csv DEP-006","2026-09-07","substrate (proposed)","A modern etymological survey - Mayrhofer EWA read directly, or a post-1990 substrate assessment - reporting a different ratio, or reporting that most of Turner's Dravidian arrows are now withdrawn.","Recorded to stop the 224:55 ratio being quoted as a fact about the Rigveda. It is a fact about Turner."
"DE-I-005","The Munda attribution set is close to a single authority: 85% of Turner's 55 Munda loan arrows cite Kuiper or PMWS, and Kuiper is unretrieved here.","PROVISIONAL","DE-M-028, DE-M-030","SRC-049; SRC-052","02-SOURCES/dependency.csv DEP-007","2026-09-07","substrate (proposed)","Retrieving Kuiper and finding his Munda etymologies independently corroborated, or finding them withdrawn.","Step 5. Fifty-five citations tracing to one author count as one, and the register says so rather than letting the count stand."
"DE-I-006","The loan candidates that do reach the Rigveda cluster in Arnold's Popular stratum: 10 of 21 tokens against a 13.9% corpus baseline. The clustering is real in the data. What it means is not established.","PROVISIONAL","DE-M-012","SRC-023; SRC-043","02-SOURCES/dependency.csv DEP-001, DEP-004; 03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv BR-E-002","2026-09-07","substrate (proposed)","A larger candidate set showing no stratum skew; or Arnold's stratification being superseded by an independent metrical or linguistic dating; or the skew turning out to track a confound - word length, hymn genre, or the semantic domains Turner happened to attribute.","The binomial tail is small (2.2e-04 at token level) and that is exactly why the caution is needed: a small p-value on 15 lemmas from one 1905 stratification, with tokens clustered inside lemmas, is not a secure result. BR-E-002 refuses the step from stratum to date outright."
"DE-I-007","The geography gate weakens Munda proper as a northwestern donor without closing it, and the weakening is bounded: it applies to Munda proper and does not carry to any unattested prefixing language.","PROVISIONAL","DE-M-022, DE-M-024","SRC-044","03-REGISTERS/HYPOTHESIS-ELIGIBILITY.csv HYP-E-002; 03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv BR-E-003","2026-09-07","substrate (proposed)","Evidence of Munda-family speech west of Korku at any period - a toponym layer, an inscription, a securely Munda etymology in a northwestern language.","The scope limit is the constitution's own sentence, §4.E, and it is the sentence most likely to be dropped in summary."
"DE-I-008","Dravidian's northwestern geographic position rests entirely on Brahui. Remove that one language and the nearest attested Dravidian lect to the northwest is farther away than the nearest attested Munda lect.","PROVISIONAL","DE-M-023, DE-M-024, DE-M-025","SRC-044","03-REGISTERS/domain-e-geography.csv GEO-DR-04, GEO-DR-05, GEO-MU-04","2026-09-07","substrate (proposed); brahui","Recovery of Dravidian toponyms, loans or attestations in the northwest independent of Brahui, which would make the position rest on more than one language.","The single most uncomfortable measurement in this unit for the reading the programme leans toward, which is why it is registered at the same weight as the ones that support it. It makes Brahui load-bearing and hands the question to domain M, where IH-031 already records that the burden was once inverted."
"DE-I-009","This record cannot establish the current specialist standing of any of these hypotheses.","VERIFIED","DE-M-026, DE-M-027","SRC-052; SRC-032; SRC-037","05-HOLDS/HOLD-002; 03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv BR-E-006","2026-09-07","substrate (proposed)","Access to any post-1990 review of the South Asian substrate question.","Step 11 requires current standing - historically influential, currently supported, revised, disputed, citation inertia, abandoned, rejected - and this is a VERIFIED statement that the step could not be run. The newest opinion reachable here is Turner's, from 1966. Recording the gap is the step; asserting a standing from the sources at hand would not be."
"DE-I-010","The strongest single result of this unit is methodological rather than historical: three independent search errors were caught by inspecting output, and each would have produced a wrong number in a plausible-looking register.","VERIFIED","DE-M-007, DE-M-008, DE-M-020","SRC-049; SRC-043","04-AUDITS/domain-e-method.md","2026-09-07","method","Not falsifiable; it is a record of what happened during this unit.","The Mundaka Upanisad collision (54.5% precision, 12.1% recall), the accent normaliser that merged kala with kala, and the simplex-versus-compound conflation. All three are the C-04 failure in new clothes. Registered because the next unit will meet the fourth version of it."
