"count_id","passage_id","stanza","numeral_lemma","numeral_surface","numeral_pada","numeral_morph","grassmann_gloss","verdict","count_of_forts","expression","nearest_pur_surface","nearest_pur_pada","nearest_pur_morph","instrument_agreement","instrument_agreement_keys","instrument_proximity","instrument_translators","instrument_translators_n","verdict_basis","instrument_override","status","source_id","locator","retrieval_date","supports_page"
"PUR-N-001","PUR-P-006","01.053.08","śatá-","śatā́","c","case=ACC|gender=N|number=PL","hundert","COUNTS-PUR","100","śatā́ … púraḥ","púraḥ","c","case=ACC|gender=F|number=PL","PARTIAL(case,number)","case,gender,number","same-pada","griffith geldner grassmann","3/4","c: 'tváṁ śatā́ váṅgr̥dasyābhinat púro' — śatā́ (n.pl.) and púraḥ in one clause, váṅgr̥dasya genitive. Griffith, Geldner and Grassmann all render 'the hundred forts of Vaṅgṛda'.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.053.08 pāda c, token śatā́; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-002","PUR-P-007","01.054.06","navatí-","navatím","d","case=ACC|gender=F|number=SG","neunzig","COUNTS-PUR","99","púro navatíṁ … náva","púraḥ","d","case=ACC|gender=F|number=PL","PARTIAL(case,gender)","case,gender,number","same-pada","griffith geldner","2/4","d: 'tvám púro navatíṁ dambhayo náva'. navatím and náva are split around the verb; all three full translators read 99, not 90 and 9 separately.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.054.06 pāda d, token navatím; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-003","PUR-P-007","01.054.06","náva- 1","náva","d","case=ACC|number=PL","neun","COUNTS-PUR","99","púro navatíṁ … náva","púraḥ","d","case=ACC|gender=F|number=PL","FULL","case,number","same-pada","griffith geldner grassmann","3/4","Second half of the same 99 expression; not a separate count.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.054.06 pāda d, token náva; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-004","PUR-P-011","01.063.07","saptá-","saptá","a","case=ACC|number=PL","sieben","COUNTS-PUR","7","saptá … púraḥ","púraḥ","b","case=ACC|gender=F|number=PL","FULL","case,number","same-hemistich","griffith geldner grassmann","3/4","a-b: 'tváṁ ha tyád indra saptá yúdhyan / púro vajrin purukútsāya dardaḥ'. saptá ACC.PL agrees with púraḥ.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.063.07 pāda a, token saptá; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-005","PUR-P-012","01.102.07","śatá-","śatā́t","a","case=ABL|gender=N|number=SG","hundert","COUNTS-OTHER","","śatā́t … sahásrāt (of śrávas 'glory')","puraṃdara","d","case=VOC|gender=M|number=SG","PARTIAL(number)","case,gender,number","same-stanza","griffith","1/4","a: 'út te śatā́n maghavann úc ca bhū́yasa út sahásrād ririce … śrávaḥ'. The hundred and the thousand are what Indra's GLORY exceeds. puraṁdara in pāda d is a vocative epithet with no numeral.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.102.07 pāda a, token śatā́t; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-006","PUR-P-012","01.102.07","sahásra-","sahásrāt","b","case=ABL|gender=N|number=SG","tausend","COUNTS-OTHER","","śatā́t … sahásrāt (of śrávas)","puraṃdara","d","case=VOC|gender=M|number=SG","PARTIAL(number)","case,gender,number","same-stanza","griffith","1/4","As above.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.102.07 pāda b, token sahásrāt; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-007","PUR-P-017","01.130.07","navatí-","navatím","a","case=ACC|gender=F|number=SG","neunzig","COUNTS-PUR","90","púro navatím","púraḥ","a","case=ACC|gender=F|number=PL","PARTIAL(case,gender)","case,gender,number","same-pada","griffith geldner grassmann","3/4","a: 'bhinát púro navatím indra pūráve'. Adjacent, no náva anywhere in the stanza. A bare ninety, and one of only two.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.130.07 pāda a, token navatím; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-008","PUR-P-023","01.174.02","saptá-","saptá","b","case=ACC|number=PL","sieben","COUNTS-PUR","7","saptá … púraḥ śā́radīḥ","púraḥ","b","case=ACC|gender=F|number=PL","FULL","case,number","same-pada","griffith geldner grassmann","3/4","b: 'saptá yát púraḥ śárma śā́radīr dárt'. saptá ACC.PL with púraḥ; śā́radīḥ 'autumnal' agrees with púraḥ.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.174.02 pāda b, token saptá; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-009","PUR-P-026","02.014.06","śatá-","śatám","a","case=ACC|gender=N|number=SG","hundert","COUNTS-PUR","100","śatáṁ śámbarasya púraḥ","púraḥ","b","case=ACC|gender=F|number=PL","PARTIAL(case)","case,gender,number","same-hemistich","griffith geldner grassmann","3/4","a-b: 'yáḥ śatáṁ śámbarasya / púro bibhéda'. The pāda-a śatám governs púraḥ across the pāda break.","Verdict is reached against the instruments: agreement=PARTIAL(case), proximity=same-hemistich. navatí- is a FEMININE SINGULAR collective ('a ninety') governing a plural noun, so it agrees in case and gender but never in number; a number-agreement test therefore under-reports it by construction.","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 02.014.06 pāda a, token śatám; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-010","PUR-P-026","02.014.06","śatá-","śatám","c","case=ACC|gender=N|number=SG","hundert","COUNTS-OTHER","","śatáṁ … sahásram (of varcín's men)","púraḥ","b","case=ACC|gender=F|number=PL","PARTIAL(case)","case,gender,number","same-stanza","griffith geldner grassmann","3/4","c: 'yó varcínaḥ śatám índraḥ sahásram'. A SECOND hundred in the same stanza, counting Varcin's men. A stanza-level co-occurrence count reads this as evidence for 'hundred forts'; it is not.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 02.014.06 pāda c, token śatám; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-011","PUR-P-026","02.014.06","sahásra-","sahásram","c","case=ACC|gender=N|number=SG","tausend","COUNTS-OTHER","","śatáṁ … sahásram (of varcín's men)","púraḥ","b","case=ACC|gender=F|number=PL","PARTIAL(case)","case,gender,number","same-stanza","griffith geldner","2/4","As above.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 02.014.06 pāda c, token sahásram; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-012","PUR-P-027","02.019.06","navatí-","navatím","c","case=ACC|gender=F|number=SG","neunzig","COUNTS-PUR","99","navatíṁ ca náva … púraḥ śámbarasya","púraḥ","d","case=ACC|gender=F|number=PL","PARTIAL(case,gender)","case,gender,number","same-hemistich","griffith","1/4","c-d: 'dívodāsāya navatíṁ ca náva / índraḥ púro vy àirac chámbarasya'. ca joins the two numerals.","Verdict is reached against the instruments: agreement=PARTIAL(case,gender), proximity=same-hemistich. navatí- is a FEMININE SINGULAR collective ('a ninety') governing a plural noun, so it agrees in case and gender but never in number; a number-agreement test therefore under-reports it by construction.","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 02.019.06 pāda c, token navatím; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-013","PUR-P-027","02.019.06","náva- 1","náva","c","case=ACC|number=PL","neun","COUNTS-PUR","99","navatíṁ ca náva … púraḥ","púraḥ","d","case=ACC|gender=F|number=PL","FULL","case,number","same-hemistich","griffith geldner grassmann","3/4","Second half of the same expression.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 02.019.06 pāda c, token náva; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
