"occ_id","lemma_class","stanza","pada","token_index","surface","zurich_lemma","grassmann_lemma","grassmann_gloss","morphology","arnold_stratum_code","arnold_stratum","why_this_lemma","sense","griffith_1890_stanza","geldner_1951_stanza","source_id","retrieval_date"
"DK-OCC-001","INCISING","01.006.03","b","1","péśaḥ","péśas-","péśas-","Schmuck, Zierat, Farbe","case=ACC|gender=N|number=SG","s","Strophic, metrical variations only","'Schmuck, Zierat, Farbe'","NOT ASSIGNED","Thou, making light where no light was, and form, O men: where form was not, Wast born together with the Dawns.","Dem Richtlosen die Richte gebend, dem Farblosen Farbe, ihr Männer, wurdest du mit den Morgenröten zusammen geboren.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-002","INCISING","01.092.04","a","2","péśāṃsi","péśas-","péśas-","Schmuck, Zierat, Farbe","case=ACC|gender=N|number=PL","n","Normal, metrical variations only","'Schmuck, Zierat, Farbe'","NOT ASSIGNED","She, like a dancer, puts her broidered garments on: as a cow yields her udder so she bares her breast. Creating light for all the world of life, the Dawn hath laid the darkness open as the cows their stall.","Sie legt sich wie eine Tänzerin bunte Farben auf; sie enthüllt ihre Brust wie die Kuh das volle Euter. Indem sie der ganzen Welt Licht macht, hat die Uṣas die Finsternis aufgeschlossen wie die Kühe die Hürde.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-003","INCISING","01.092.05","c","3","péśaḥ","péśas-","péśas-","Schmuck, Zierat, Farbe","case=ACC|gender=N|number=SG","n","Normal, metrical variations only","'Schmuck, Zierat, Farbe'","NOT ASSIGNED","We have beheld the brightness of her shining; it spreads and drives away the darkiorne monster. Like tints that deck the Post at sacrifices, Heaven's Daughter hath attained her wondrous splendour.","Ihr heller Schein ist wieder sichtbar geworden; sie breitet sich aus, vertreibt das schwarze Ungeheuer. Die Himmelstochter hat ihr buntes Licht aufgesetzt wie (der Priester) bei den Opfern den Pfosten aufsetzt, indem er ihm bunte Farben aufsalbt.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-004","INCISING","02.003.06","d","2","péśaḥ","péśas-","péśas-","Schmuck, Zierat, Farbe","case=ACC|gender=N|number=SG","C","Cretic","'Schmuck, Zierat, Farbe'","NOT ASSIGNED","Good work for us, the glorious Night and Morning, like female weavers, waxen from aforetime, Yielders of rich milk, interweave in concert the long-extended thread, the web of worship.","Nacht und Morgen, seit alters erwachsen, (wirken) für uns ihre trefflichen Werke wie zwei fröhliche Weberinnen, die vereint den aufgespannten Aufzug (und) die Verzierung des Opfers verweben, sie die gutmelkenden, milchreichen (Kühe).","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-005","INCISING","04.036.07","a","3","péśaḥ","péśas-","péśas-","Schmuck, Zierat, Farbe","case=NOM|gender=N|number=SG","N","Normal","'Schmuck, Zierat, Farbe'","NOT ASSIGNED","To you hath been assigned the fairest ornament, the hymn of praise: Vâjas and R̥ibhus, joy therein; For ye have lore and wisdom and poetic skill: as such, with this our prayer we call on you to come.","Die schönste gerngesehene Zierde ward euch zugelegt: ein Loblied, ihr Vāja's, R̥bhu's; an dem erfreuet euch, denn ihr seid weise redekundige Seher. Euch laden wir mit diesem Segenswort ein.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-006","INCISING","07.034.11","a","3","péśaḥ","péśas-","péśas-","Schmuck, Zierat, Farbe","case=NOM|gender=N|number=SG","S","Strophic","'Schmuck, Zierat, Farbe'","NOT ASSIGNED","He, King of kings, the glory of the floods, o'er all that liveth hath resistless sway.","Der König der Königreiche, der Flüsse Zierde. Ihm ist lebenslänglich die Herrschaft zugestanden.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-007","INCISING","07.042.01","d","4","péśaḥ","péśas-","péśas-","Schmuck, Zierat, Farbe","case=ACC|gender=N|number=SG","S","Strophic","'Schmuck, Zierat, Farbe'","NOT ASSIGNED","LET Brahmans and Angirases come forward, and let the roar of cloudy heaven surround us. Loud low the Milch-kine swimming in the waters: set be the stones that grace our holy service.","Die Hohenpriester, die Aṅgirasiden, kommen; das Gewieher des davonstürmenden (Renners) soll losgehen. Die im Wasser schwimmenden Kühe erheben ihr Gebrüll; die beiden Preßsteine sollen die Zierde des Opfers anschirren.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-008","INCISING","01.117.05","c","5","níkhātam","√khanⁱ-","√ khanⁱ-","graben","case=ACC|gender=M|number=SG|non-finite=PTCP-ta|local particle=LP","N","Normal","'graben', to dig","NOT ASSIGNED","Ye brought forth Vandana, ye Wonder-Workers, for triumph, like fair gold that hath been buried, Like one who slumbered in destruction's bosom, or like the Sun when dwelling in the darkness.","(Den Vandana), der wie ein im Schoß der Todesgöttin Entschlafener, wie die Sonne im Dunklen ruhte, ihr Meister, den vergrabenen, habt ihr wie einen (vergrabenen) Goldschmuck ausgegraben, schön zu schauen, (euch) zum Lobe, ihr Aśvin.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-009","INCISING","01.117.12","c","4","níkhātam","√khanⁱ-","√ khanⁱ-","graben","case=ACC|gender=M|number=SG|non-finite=PTCP-ta|local particle=LP","N","Normal","'graben', to dig","NOT ASSIGNED","Ye Sons of Heaven, ye Mighty, whither went ye, sought ye, for his fair praise the home of Kdvya. When, like a pitcher full of gold, O Aṣvins, on the tenth day ye lifted up the buried?","Wohin gehend? — zu des Kāvya Preislied, ihr bullengleichen Himmelsenkel, (oder) zu Bett? — habt ihr den wie einen Topf mit Gold Vergrabenen am zehnten Tag ausgegraben, o Aśvin.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-010","INCISING","01.179.06","a","2","khánamānaḥ","√khanⁱ-","√ khanⁱ-","graben","case=NOM|gender=M|number=SG|tense=PRS|voice=MED|non-finite=PTCP","P","Popular","'graben', to dig","NOT ASSIGNED","Agastya thus, toiling with strong endeavour, wishing for children, progeny and power, Cherished – a sage of mighty strength – both classes, and with the Gods obtained his prayer's fulfilment.","Agastya, der mit Schaufeln grub, da er Kinder, Nachkommenschaft and Kraft begehrte, hat beiderlei Art gepflegt, der gewaltige R̥ṣi. Bei den Göttern fand er Erfüllung seiner Wünsche.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
