Claim-and-source risk register,,,,,,,
Triage of load-bearing claims requiring claim-level verification; not a verdict on truth or falsity.,,,,,,,
,,,,,,,
Slug,Central claim,Risk,Risk type(s),Source state,Verification required,Publication gate,Owner/status
academia-battlefield,The science of ancestry is a battlefield. Read it accordingly.,Critical,,"substantial bibliography, mostly non-linked",Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Hold,Unassigned
attribution,"Credit attaches to whoever wrote it down — and to the last one who did, over the first.",High,origin/priority/arrival claim; thin or undetected bibliography,minimal source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
before-the-indus,"Before the Indus, the graves already faced the sun.",Critical,,"substantial bibliography, mostly non-linked",Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Hold,Unassigned
birth-was-not-always-destiny,Caste was not always by birth. The rigidity was imposed — against a reality that kept breaking it.,Critical,absolute/proof language; causal or intentionality language,"substantial bibliography, mostly non-linked",Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Hold,Unassigned
brahmi,The earliest surviving names for the script come from a Buddhist list and a Jain story.,High,origin/priority/arrival claim,limited bibliography,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
caste-was-law,"Caste was abuse, encoded as law, disguised as religion.",Critical,causal or intentionality language,"substantial bibliography, mostly non-linked",Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Hold,Unassigned
collocations,Words keep company. The company tells you what they are.,Medium,thin or undetected bibliography,no detected source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
count-it,How much of the Rigveda is contempt for outsiders?,Medium,thin or undetected bibliography,no detected source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
elamite,"The working language of the Persian empire, written for 2,300 years and still partly undeciphered.",Critical,quantitative claim,limited bibliography,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Hold,Unassigned
enter,"Evidence, and what it will not support.",Medium,thin or undetected bibliography,minimal source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
