"object_id","object_or_group","geological_source","analytical_provenance","workshop","manufacturing_tradition","exporter","intermediary","textual_provenance_label","findspot","museum_attribution","modern_custody","custody_as_of","open_licensed_image","status","source_id","locator","retrieval_date","supports_page","notes"
"OBJ-R-001","Kish, Mound A, Burial A51: the fifteen carnelian beads of one necklace, ED III, c.2600-2350 BCE","Deccan Traps, India; within it, Gujarat at the regional level. Ten beads assign first to the Ratanpur deposit and four to Mardak Beyt, but see notes: the method's source-level resolution does not support naming a deposit.","LA-ICP-MS against a 25-source agate-carnelian reference database, evaluated by canonical discriminant analysis. Leave-one-out cross-validation 69.9% at source level, 93.9% at regional level (DRR-002).","Divided within one necklace. Eleven beads carry Indus finishing throughout. Four (1, 6, 13, 15) were drilled with Indus tools but finished to a different standard, which the study reads as finishing in Mesopotamia or manufacture there by Indus-trained hands (DRR-007).","Indus. All fifteen were perforated with constricted cylindrical Ernestite drills, a technology the study calls singularly distinctive of the Indus.","NOT ESTABLISHED - no text names a shipper of these beads and none is inferable from the objects.","NOT ESTABLISHED - Dilmun and Magan are the candidates in the corridor literature; nothing in this object group evidences either.","NOT ESTABLISHED for these objects. The Mesopotamian label usually attached to Indus goods is Meluhha, but no text is associated with this burial.","Kish (mod. Tell el-Uhaymir), Iraq, Mound A, Burial A51.","Field Museum accession numbers of the form Kish 2285331 to 22853315 / 2885332 to 28853315 as printed in the study's figure captions; the two series differ between captions in the retrieved text and are recorded as printed rather than reconciled.","The Field Museum, Chicago, as of the study's 2025 acknowledgement of permission to study the beads.","2025, second-hand via SRC-109","NOT ACCESSIBLE - custodian databases refused at the egress gateway (SRC-099); D-055","PROVISIONAL","SRC-109","SRC-109 CARNELIAN BEADS FROM KISH chunks 6-7; EVALUATION OF THE RESULTS chunks 14-15; figure captions 2, 3 and 4","2026-09-09","artifact-atlas (proposed)","The best-documented object group in this unit and the one that separates the most fields. PROVISIONAL not VERIFIED: the per-bead assignments live in supplementary appendices the passage-level lane did not deliver, and the analysis is not comparable with other laboratories (DRR-015), so it has no independent replication and cannot have one at present. Read the source assignment regionally: on the study's own cross-validation three geological samples in ten are misplaced at source level, and reducing the comparison to the ten Deccan sources did not improve it (DRR-003)."
"OBJ-R-002","Kish, Burial A51: beads 1 and 15 of the same necklace, bleached carnelian with white designs","As OBJ-R-001: Deccan Traps, Gujarat at regional resolution.","As OBJ-R-001; these two are not separated from the set by the geochemistry.","Not Indus, or not to Indus standard. Ends chipped and partly rounded rather than ground flat; the bleached designs executed with less refinement than beads 4 and 14 in the same necklace.","Indus in tooling - perforated with Indus-style constricted cylindrical drills - and non-Indus in finishing and decoration.","NOT ESTABLISHED","NOT ESTABLISHED","NOT ESTABLISHED","Kish, Mound A, Burial A51 (same necklace as OBJ-R-001).","Field Museum; the bleached long barrel bead is figured as Kish 28853315 / 22853315.","The Field Museum, Chicago.","2025, second-hand via SRC-109","NOT ACCESSIBLE - custodian databases refused at the egress gateway (SRC-099); D-055","PROVISIONAL","SRC-109","SRC-109 CARNELIAN BEADS FROM KISH chunk 6, and figure 4 captions c and d","2026-09-09","artifact-atlas (proposed)","Given its own row because it is the case that breaks the fields apart hardest. Two beads on one string with the same geological source, the same drilling technology and a different workshop standard. Whether that means part-finishing in transit, a Mesopotamian workshop using Indus tools, or an Indus workshop working to a lower standard for export, the objects do not say, and the study offers the first two as alternatives. Any exhibit using this necklace should show the two beads beside beads 4 and 14, because the difference is visible and it is the argument."
"OBJ-R-003","Kish, Burial A51: the sixteen lapis lazuli beads and two gold beads of the same necklace","NOT ESTABLISHED","NONE. The study analysed the carnelian of this necklace and not its lapis.","NOT ESTABLISHED","NOT ESTABLISHED","NOT ESTABLISHED","NOT ESTABLISHED","NOT ESTABLISHED","Kish, Mound A, Burial A51.","Field Museum; counted but not individually numbered in the retrieved text.","The Field Museum, Chicago.","2025, second-hand via SRC-109","NOT ACCESSIBLE - custodian databases refused at the egress gateway (SRC-099); D-055","PROVISIONAL","SRC-109","SRC-109 CARNELIAN BEADS FROM KISH chunk 6: 'a combination of 16 lapis lazuli beads, two gold beads and 15 carnelian beads'","2026-09-09","artifact-atlas (proposed)","Recorded precisely because nothing is known about it. On one string, sixteen lapis beads travelled the Blue Road and fifteen carnelian beads travelled the Red Road, and only the second set has been analysed. The asymmetry is not about the objects; it reflects which specialists studied this necklace. The single most economical piece of new work this unit can name is the analysis of the lapis from this necklace against the same protocol, which would put both roads in one burial with one instrument."
"OBJ-R-004","Persepolis: five plain lapis lazuli cylinders, Achaemenid, c.550-330 BCE","Proposed as Badakhshan (Sar-e Sang), Afghanistan. PROVISIONAL: see DRB-010.","WD-XRF, ICP-MS, XRPD and SEM-EDS. Wollastonite absent; Ni/Cu ratio in unaltered and partly altered pyrite correlated with Badakhshan. The bulk comparison against the PGAA reference set is not method-commensurable by the authors' own account (DRB-007).","NOT ESTABLISHED - the study addresses raw material, not manufacture.","NOT ESTABLISHED","NOT ESTABLISHED","NOT ESTABLISHED - the study argues for an east-to-west route without evidencing a specific intermediary.","Sogdiana, if DSf is applied to material of this class - and DSf names Sogdiana, not Bactria where Sar-e Sang lies (DRB-013).","Persepolis, Fars, Iran; excavated by the Oriental Institute of the University of Chicago in the 1930s, recovered from the site museum during a 2015 reorganisation.","Sample numbers of the form P15 are used in the study; no accession numbers appear in the retrieved passages.","Persepolis World Heritage Site, Iran, on the study's account.","2023, second-hand via SRC-106","NOT ACCESSIBLE - custodian databases refused at the egress gateway (SRC-099); D-055","PROVISIONAL","SRC-106","SRC-106 MATERIALS AND METHODS chunk 3; RESULTS chunks 9, 11, 12, 13, 14; CONCLUSIONS chunk 16","2026-09-09","artifact-atlas (proposed)","Objects excavated in the 1930s, sampled destructively in the 2010s from museum storage, and dated by site rather than by context. The find circumstances are stated only as the 1930s campaign; no stratigraphic locus is given in the retrieved text. Achaemenid, so roughly two millennia later than the Bronze Age road, and used here for what it shows about method rather than about the third millennium."
"OBJ-R-005","Gonur Depe, Turkmenistan: a compartmented soft-stone vessel of Umm an-Nar type, later third millennium BCE","NOT ESTABLISHED - the soft stone was not sourced in the retrieved account.","NONE retrieved. The attribution is typological.","NOT ESTABLISHED","Umm an-Nar, south-eastern Arabia.","NOT ESTABLISHED","NOT ESTABLISHED, and deliberately so: four possible trajectories are named - Meluhhan, Marhashian, Dilmunite-Elamite, Ananite - and the author declines to call any of them a route (DRB-017).","None attaches to the object. The four trajectory names are modern labels borrowed from Mesopotamian toponymy.","Gonur Depe, Margiana, Turkmenistan - a centre of the Oxus civilisation, c.2250-1700 BCE.","NOT ESTABLISHED in the retrieved passages.","NOT ESTABLISHED in the retrieved passages; Turkmenistan.","NOT ESTABLISHED","NOT ACCESSIBLE - custodian databases refused at the egress gateway (SRC-099); D-055","PROVISIONAL","SRC-116","SRC-116, title and 'Possible trajectories of movement'","2026-09-09","artifact-atlas (proposed)","The clearest single object for teaching the field separation, because its findspot and its manufacturing tradition are 2,000 km apart and neither is evidence about the other. It is also the object that keeps Marhashi distinct from Meluhha: they are two of the four candidate paths and the source does not choose between them."
"OBJ-R-006","Ajanta, Maharashtra: six samples of lapis lazuli blue pigment from cave murals","Proposed as Sar-e Sang, Badakhshan. PROVISIONAL: see DRB-015.","Micro-Raman, FTIR, XRF, spectrophotometry, XRD and stereomicroscopy. No quarry reference samples were analysed by the study; comparison is with published marker sets.","The murals themselves; the pigment was ground and applied on site.","NOT ESTABLISHED for the pigment preparation.","NOT ESTABLISHED","NOT ESTABLISHED","NONE. No text associates this pigment with a source region.","Ajanta Caves, Aurangabad district, Maharashtra, India - in situ on the painted surface.","Not a museum object; a World Heritage monument under the Archaeological Survey of India.","Archaeological Survey of India, Science Branch, Conservation Research Laboratory, Ajanta.","2025, via SRC-107","NOT ACCESSIBLE - custodian databases refused at the egress gateway (SRC-099); D-055","PROVISIONAL","SRC-107","SRC-107 abstract chunk 0, Introduction chunks 1 and 5, Conclusions chunk 14","2026-09-09","artifact-atlas (proposed)","The only South Asian lapis object in this unit, which is why it is carried despite two problems. Its date is the study's own and uncited - 'the 2nd century bce' - and is on HOLD at DRB-014; and its provenance rests on marker presence compared with the literature, which SRC-107 itself says the mineralogy cannot carry for Asian sources (DRB-008). Sampling was destructive on a World Heritage monument, which is a custody and consent fact and not only a technical one."
"OBJ-R-007","Ras al-Junayz, Oman: an atypical Indus-type stamp seal of copper","NOT ESTABLISHED - the copper was not sourced in the retrieved account.","NONE retrieved.","NOT ESTABLISHED","Indus-type square stamp seal, described as slightly atypical, and in copper rather than the usual steatite.","NOT ESTABLISHED","NOT ESTABLISHED","None attaches to the object.","Ras al-Junayz, eastern Oman.","NOT ESTABLISHED in the retrieved passages.","NOT ESTABLISHED; Oman.","NOT ESTABLISHED","NOT ACCESSIBLE - custodian databases refused at the egress gateway (SRC-099); D-055","PROVISIONAL","SRC-114","SRC-114 figure 14 caption, citing Cleuziou and Tosi 1988: 12 and 21, fig. 18.1; 1990: 14 and 23, fig. 18","2026-09-09","artifact-atlas (proposed)","One of only seven classic square Indus seals known west of the Harappan sphere and the only one outside Mesopotamia (DRM-013). Its material is wrong for the class and its form is called atypical, so it is the weakest of the seven as evidence of Indus manufacture and the strongest as evidence that the type was being made or copied somewhere it was not native."
"OBJ-R-008","Konar Sandal South, Jiroft plain, Iran: beads from a third-millennium bead and stone-vessel workshop","NOT ESTABLISHED - explicitly named by the study as future work.","Micro-Raman, micro-XRF, FTIR and XRD. Result: gypsum alabaster, overturning a previous identification as calcite that had been made on appearance.","A bead and stone-working workshop identified by survey at the site in 2022, with waste-disposal layers radiocarbon-dated to the late first half to middle of the third millennium BCE.","NOT ESTABLISHED beyond the local workshop attribution.","NOT ESTABLISHED","NOT ESTABLISHED","None attaches to the objects. Marhashi is the toponym often proposed for this region and the identification is not established here (HOLD-009).","Konar Sandal South, Halil Rud valley, Kerman province, Iran; excavated context with a stratified radiocarbon date.","NOT ESTABLISHED in the retrieved passages.","NOT ESTABLISHED; Iran.","NOT ESTABLISHED","NOT ACCESSIBLE - custodian databases refused at the egress gateway (SRC-099); D-055","VERIFIED","SRC-126","SRC-126 abstract; The Archeological Background; Discussion, with the figure 7 radiocarbon determination","2026-09-09","custody (proposed)","VERIFIED as to the analytical result, which is the study's own finding and is stated in its abstract. Carried in this register as the control case for every other row: a material attribution made by eye was wrong, and only analysis showed it. The same site's four lapis pieces produced inconclusive provenance results (DRB-009), so one workshop supplies both the demonstration that analysis works and the demonstration that it does not always."
"OBJ-R-009","Ur, Royal Cemetery: etched and long biconical carnelian beads, ED III","NOT ESTABLISHED - not analysed in any retrieved study.","NONE retrieved. The attribution to the Indus is stylistic and technological.","Contested since excavation. Woolley took the etched beads to be imported finished from the Indus while assuming other beads were made locally; Mackay held that the finely crafted carnelian beads were brought in. Later technological study of the Ur beads by the same methods as OBJ-R-001 concluded that many were made in Indus workshops and some, including long hexagonal shapes never produced in the Indus, were made locally with Indus technique.","Indus for the etched and long biconical types.","NOT ESTABLISHED","NOT ESTABLISHED","NOT ESTABLISHED for these objects.","Ur (mod. Tell Muqayyar), Iraq, Royal Cemetery, c.2500-2450 BCE.","Studied in the collections of the University of Pennsylvania Museum; no accession numbers in the retrieved passages.","Divided at excavation between the British Museum, the University of Pennsylvania Museum and Baghdad, on the standard partage of the Woolley expedition. This unit did not retrieve a custody list and does not assert one.","NOT ESTABLISHED","NOT ACCESSIBLE - custodian databases refused at the egress gateway (SRC-099); D-055","PROVISIONAL","SRC-109; SRC-120","SRC-109 INTRODUCTION AND BACKGROUND chunks 1 and 4, citing Woolley 1934: 206-207 and 372-373, Mackay 1929: 185, Kenoyer 1997 and 2008; SRC-120 BACKGROUND","2026-09-09","artifact-atlas (proposed)","The most famous objects on the Red Road and, in this unit's evidence, the least analytically characterised: no geochemical provenance for the Ur beads was retrieved. Also the site of an early and instructive disagreement between two excavators, Woolley and Mackay, about workshop against import - the same question OBJ-R-001 answers with an instrument ninety years later. An unfinished-bead assemblage from Ur was noted by Woolley and, on SRC-109's account, never studied in detail."
"OBJ-R-010","Qala'at al-Bahrain, Bahrain: cubical weights of Indus type from period IIa contexts","NOT ESTABLISHED","NONE retrieved.","NOT ESTABLISHED","Indus metrology; the Dilmun standard corresponds to the Indus standard.","NOT ESTABLISHED","NOT ESTABLISHED","Dilmun. In the CDLI corpus the standard itself is written GIN2-DILMUN and is the corpus's most frequent Dilmun form (DRM-015).","Qala'at al-Bahrain, period IIa.","NOT ESTABLISHED in the retrieved passages.","NOT ESTABLISHED; Bahrain National Museum is named in SRC-115 as holding related unpublished material.","NOT ESTABLISHED","NOT ACCESSIBLE - custodian databases refused at the egress gateway (SRC-099); D-055","PROVISIONAL","SRC-114; SRC-113","SRC-114 chunk 56; SRC-113 'Trade networks and copper' chunk 3, both citing Bibby 1970: 345-353 and Hojlund 1994: 395","2026-09-09","artifact-atlas (proposed)","PROVISIONAL and single-source under the independence rule: both citations are Laursen, and the excavation reports behind them were not retrieved. Carried because metrological adoption is a fourth kind of claim, distinct from material movement, population movement and language movement, and it is the one that most clearly implies institutional contact rather than the passage of goods. BR-R-004."
