"term_id","transliteration","script_available","grammatical_form","determinatives_attested","semantic_range","textual_context","edition_used","locator","translation_used","alternative_translations","interpretive_consequence","inherited_english_category_audited","status","source_id","retrieval_date","notes"
"TR-R-001","eme-bal / eme-bala","NO. The retrieved corpus is ASCII transliteration only (SRC-103). Cuneiform sign forms, and any normalised orthography, would require ORACC or CDLI's front end, both refused at the gateway (SRC-099).","Nominal. eme = tongue, speech; bal = to turn, cross over, transfer. Compound noun, attested with and without the final -a. The plural/predicative -me appears (eme-bala-me).","None. The sequence carries no determinative in any of the 31 occurrences.","Not established here. The occurrences fall into at least three contexts that need not share a sense: (a) beside a named region, in what reads as an office - sukkal eme-bala lu2 mar-ha-szi{ki}-ra gub-ba; (b) in commodity and vessel lists - ma2 eme-bala, zi3 eme-bala kaskal, dug ... eme-bala; (c) a lexical equation glossing the sequence with an Akkadian word.","Ur III administrative texts from Puzrish-Dagan and Old Akkadian texts from Adab and Gasur/Nuzi; one bilingual lexical entry.","NONE. No edition was retrieved. The corpus carries no glossary, no lemmatisation, no line-level translation and no philological apparatus, so every reading below is a reading of a transliterated sign sequence and is stated as one.","03-REGISTERS/domain-r-cdli-attestations.csv, target EMEBAL, 31 occurrences in 26 texts: P100987, P128649 (Marhashi), P134754 (Martu), P215937 (Gutium), and 27 others","'interpreter' where a region is named. NOT used elsewhere.","'interpreter', 'translator', 'dragoman'; for the commodity contexts, a vessel or boat type or a personal name, both of which would make the sequence something other than an office.","Decisive, and it is why this row exists. On MelaKeela's own Meluhha page the existence of an interpreter of Meluhha carries the conclusion that the Indus people spoke a distinct language of their own (IC-R-002). If eme-bala is an office in every occurrence, that conclusion has a general practice behind it. If some occurrences are a vessel or a name, then the number of secure attestations of the office is 4 in this corpus, none of them Meluhha, and the Meluhha argument rests entirely on one seal legend this unit could not retrieve (HOLD-011).","'interpreter' is not on the constitution's list, but it is an inherited English professional category and it imports a modern occupational role. The texts record an allocation of fish, flour or a jar beside a sequence; they do not record a profession as such.","PROVISIONAL","SRC-103; SRC-102","2026-09-08","The single most consequential translation in the unit and the one with the least apparatus behind it. BF-035, BF-038."
"TR-R-002","e2-duru5","NO. The retrieved corpus is ASCII transliteration only (SRC-103). Cuneiform sign forms, and any normalised orthography, would require ORACC or CDLI's front end, both refused at the gateway (SRC-099).","Compound noun. e2 = house, household, estate; duru5 = fresh, moist. Appears with the ablative -ta and in the genitive chain gu2-ab-ba{ki}-ka e2-duru5 me-luh-ha-ta.","None on e2-duru5 itself. The following me-luh-ha carries {ki} in some occurrences and none in others.","A rural settlement subordinate to a larger centre; conventionally 'hamlet' or 'village'. Six occurrences in this unit, all Ur III, all Girsu.","Ur III administrative records of grain stores and transfers in the Girsu province.","NONE. No edition was retrieved. The corpus carries no glossary, no lemmatisation, no line-level translation and no philological apparatus, so every reading below is a reading of a transliterated sign sequence and is stated as one.","03-REGISTERS/domain-r-cdli-attestations.csv, target MELUHHA: P108484, P115266, P218242, P235705, P374962, P378169","'village', in the phrase 'the Meluhha village'.","'hamlet', 'estate', 'settlement', 'farmstead'. And separately, for the whole phrase: 'the village of Meluhha' (toponymic) against 'the village of [a man called] Meluhha' (onomastic).","The second alternative is the live one and it changes everything the phrase is used for. Under the toponymic reading this is the strongest textual evidence in the unit for people and not only goods moving. Under the onomastic reading it is a village named after a man and is evidence of nothing about Meluhha. Ur III settlement names formed on personal names are ordinary. DRM-011 already refuses to settle the same element in dumu me-luh-ha, and this unit does not settle it here either. HYP-R-003 carries it as reading-dependent.","'village' imports a settlement scale and a degree of autonomy the Sumerian term does not specify. e2- compounds are households and estates before they are places.","PROVISIONAL","SRC-103; SRC-102","2026-09-08","Raised by adversarial review, which found the unit applying a sceptical standard to dumu me-luh-ha and a credulous one to e2-duru5 me-luh-ha. BF-038."
"TR-R-003","gin2 dilmun / GIN2-DILMUN","NO. The retrieved corpus is ASCII transliteration only (SRC-103). Cuneiform sign forms, and any normalised orthography, would require ORACC or CDLI's front end, both refused at the gateway (SRC-099).","Measure noun plus toponym in apposition or genitive. gin2 = shekel, a unit of weight and of area. Written as one hyphenated token and, far more often, as two adjacent tokens.","None on gin2. dilmun in this construction is normally without {ki}, which is part of why it is not a reference to the place.","A shekel by the Dilmun standard; by extension a quality or standard designation attached to silver and other commodities. 552 of the corpus's 826 Dilmun occurrences.","Administrative and legal texts across several periods; overwhelmingly with silver.","NONE. No edition was retrieved. The corpus carries no glossary, no lemmatisation, no line-level translation and no philological apparatus, so every reading below is a reading of a transliterated sign sequence and is stated as one.","03-REGISTERS/domain-r-cdli-attestations.csv, target DILMUN, classification UNIT-OF-ACCOUNT (gin2 dilmun), 552 occurrences","'a shekel by the Dilmun standard' - a unit of account, not a reference to the place.","'a Dilmun shekel'; 'silver of Dilmun quality'; and, wrongly, 'silver from Dilmun', which would make it a provenance statement.","Large and quantitative. If the construction is read as a provenance statement, two thirds of the corpus's Dilmun occurrences become evidence of trade with Dilmun. It is a metrological convention: a toponym that has become a standard and then circulates as an abstraction with no material moving at all. DRM-015, BR-R-004.","'unit of account' is a modern economic category. What the texts record is a qualified quantity; whether an accounting system in the modern sense stands behind it is not established here.","PROVISIONAL","SRC-103; SRC-102","2026-09-08","The failure to read this construction across two tokens was the unit's largest measurement error. BF-032, BF-038. | STATUS LOWERED 2026-09-09 after re-review. The row carried VERIFIED while every row here records edition_used = NONE, and its load-bearing content is not a count but a semantic reading - that the construction is a measure and not a provenance statement - whose alternative the row itself calls 'wrongly'. TR-R-005 and TR-R-006 can hold VERIFIED because what they carry is a determinative count. This one produces the unit's single largest number and cannot."
"TR-R-004","dumu","NO. The retrieved corpus is ASCII transliteration only (SRC-103). Cuneiform sign forms, and any normalised orthography, would require ORACC or CDLI's front end, both refused at the gateway (SRC-099).","Noun in the construct, followed by a genitive or an apposition: dumu me-luh-ha, with -ta, -sze3 and other case endings on the phrase.","None on dumu. me-luh-ha in this construction is written without {ki} in every occurrence.","'child', 'son', 'daughter'; in filiation, 'son of X'; also 'citizen of' or 'member of', as in dumu uri5{ki}-ma.","Ur III administrative records from Girsu, and one Old Akkadian text from Ur. 13 rows in 10 texts.","NONE. No edition was retrieved. The corpus carries no glossary, no lemmatisation, no line-level translation and no philological apparatus, so every reading below is a reading of a transliterated sign sequence and is stated as one.","03-REGISTERS/domain-r-cdli-attestations.csv, target MELUHHA, the dumu me-luh-ha rows; bearers include ur-{d}lamma and ur-{d}ig-alim","'son of Meluhha', with the referent of Meluhha left open.","'son of [a man named] Meluhha', a patronymic; or 'member of Meluhha', an ethnicon or origin designation. The absence of {ki} tells against the second but does not settle it.","This is the domain's three-claim rule at its sharpest. Under the ethnic reading these are people of Indus origin resident in the Girsu province, which is population movement. Under the patronymic reading they are the sons of one man with an unusual name, which is nothing of the kind. Under EITHER reading the names they bear are Sumerian and theophoric, so neither settles language. DRM-011, BR-R-003.","'son of' is safe; 'ethnicon' and the whole apparatus of ethnic designation is not, and is the category this row exists to keep at arm's length.","PROVISIONAL","SRC-103; SRC-102","2026-09-08","BF-038."
"TR-R-005","za-gin3 / {na4}za-gin3 / Akkadian uqnu","NO. The retrieved corpus is ASCII transliteration only (SRC-103). Cuneiform sign forms, and any normalised orthography, would require ORACC or CDLI's front end, both refused at the gateway (SRC-099).","Noun, and adjectivally in za-gin3-na, za-gin3-bi, za-gin3-gin7 ('like lapis'). Also in compounds: za-gin3-duru5, za-gin3-kur-ra.","{na4} (stone) on 630 of 1,552 occurrences; {sig2} (wool), {siki} (wool), {u2} (plant) and {d} (divine) on others; NONE on 844.","The stone lapis lazuli; the colour blue or blue-green; by extension shining, pure, precious. Applied to wool, to plants, to divine names and to architecture (e2-kar-za-gin3-na).","Administrative, royal, lexical and literary, from Ebla c.2350 to the Neo-Babylonian period, including 20 texts from Amarna.","NONE. No edition was retrieved. The corpus carries no glossary, no lemmatisation, no line-level translation and no philological apparatus, so every reading below is a reading of a transliterated sign sequence and is stated as one.","03-REGISTERS/domain-r-cdli-attestations.csv, target LAPIS, three classifications; 03-REGISTERS/domain-r-claims.csv DRB-018 to DRB-020","'lapis lazuli' ONLY where the stone determinative is present. Elsewhere the sequence is counted and not translated.","'blue', 'blue-green', 'shining', 'lustrous'; for {sig2}za-gin3-na, blue-dyed wool, which is not lapis at all.","Direct and large. 844 of 1,552 occurrences carry no determinative and may be the colour or quality term, so a count of 'lapis in the texts' that does not separate the determinative is overstated by more than half. This is the textual form of the domain's first trap: not every za-gin3 is a stone, just as not every blue object is lapis. DRB-019.","'lapis lazuli' is a modern mineralogical name for a rock, not a mineral. The Sumerian term is a colour-and-substance category and does not carve where the mineralogy does.","VERIFIED","SRC-103; SRC-102","2026-09-08","BF-038."
"TR-R-006","gug / {na4}gug / Akkadian samtu","NO. The retrieved corpus is ASCII transliteration only (SRC-103). Cuneiform sign forms, and any normalised orthography, would require ORACC or CDLI's front end, both refused at the gateway (SRC-099).","Noun. Distinct in transliteration from gug2 (a baked good) and {u2}gug4 (a plant) by the subscript index and the determinative.","{na4} (stone) on all 360 accepted occurrences; 257 further matches of the sign sequence carry no {na4} and are excluded.","Carnelian, and possibly other red stones. SRC-109 records that the Mesopotamian term rendered 'red-stones' is equated with carnelian by most scholars but 'could also refer to red jaspers or garnets'.","Administrative and inventory texts from Old Akkadian to Hellenistic; heaviest in Ur III and Old Babylonian.","NONE. No edition was retrieved. The corpus carries no glossary, no lemmatisation, no line-level translation and no philological apparatus, so every reading below is a reading of a transliterated sign sequence and is stated as one.","03-REGISTERS/domain-r-cdli-attestations.csv, target CARNELIAN; exclusions in domain-r-cdli-rejected.csv; DRR-011, DRR-013, DRR-014","'carnelian' where {na4} is present, and the identification is flagged as a scholarly equation rather than a mineral determination.","'red jasper', 'garnet', 'a red stone'.","Bears on the whole Red Road. If gug is a colour class of red stones rather than carnelian specifically, then textual attestations of 'carnelian' in Mesopotamia cannot be matched one-to-one with the archaeological carnelian whose source is measured by LA-ICP-MS, and the textual and material records are not counting the same thing. BR-R-008, DRR-011.","'carnelian' is a modern gemmological name for a colour variety of chalcedony produced, on SRC-109's account, largely by human heat treatment. The ancient category is unlikely to have been drawn on that basis.","VERIFIED","SRC-103; SRC-102; SRC-109","2026-09-08","BF-038."
"TR-R-007","(English) civilisation","Not applicable - this row audits an English category, not an ancient word.","Not applicable.","Not applicable.","Used in this unit and throughout the retrieved literature as 'the Indus civilisation', 'the Oxus civilisation'.","Modern scholarly usage.","Not applicable.","03-REGISTERS/domain-r-claims.csv and domain-r-draft-copy.md, passim","Retained, as the literature's own designation for archaeological culture-complexes.","'culture', 'culture-complex', 'urban tradition', or the archaeological label alone - Mature Harappan, BMAC, Umm an-Nar.","'Civilisation' is one of the inherited English categories the constitution names for audit before use. It imports a hierarchy - civilisations against cultures against tribes - built in nineteenth-century evolutionary anthropology, and it is doing no analytical work in this unit that the archaeological label would not do. It is retained here because it is how every retrieved source names these entities and changing it silently would misquote them; it is flagged so that a page brief does not inherit the hierarchy along with the word.","YES - this row is that audit.","PROVISIONAL","SRC-105","2026-09-09","Raised by adversarial review, which found the inherited-category audit recorded nowhere although the word is used throughout. No other term on the constitution's list - race, tribe, slave, barbarian, fort, religion, caste, invasion, indigenous - is used in this unit. BF-038."
"TR-R-008","me-luh-ha","NO. The retrieved corpus is ASCII transliteration only (SRC-103). Cuneiform sign forms, and any normalised orthography, would require ORACC or CDLI's front end, both refused at the gateway (SRC-099).","Toponym, and a qualifying element in compounds. Takes case endings on the phrase (-ta, -sze3, -da) and the copular -me.","{ki} (place) 20; {kur} (land) 67; {muszen} (bird) 4, in dar-meluhha; none on the 23 material compounds mes-me-luh-ha and ab-ba-me-luh-ha, and none on the 117 unmarked occurrences or on dumu me-luh-ha.","A land or place east of Mesopotamia; a qualifier of two timbers; an element in a bird name; an element in personal designations. In first-millennium Assyrian usage the referent is not established here.","Old Akkadian to Neo-Babylonian. Third-millennium and Old Babylonian occurrences with {ki} at Girsu, Ur and Nippur, in mixed genres; Neo-Assyrian occurrences with {kur} at Nineveh, in royal itineraries.","NONE. No edition was retrieved. The corpus carries no glossary, no lemmatisation, no line-level translation and no philological apparatus, so every reading below is a reading of a transliterated sign sequence and is stated as one.","03-REGISTERS/domain-r-cdli-attestations.csv, target MELUHHA, five classifications; DRM-007, DRM-008, DRM-010, DRM-011, DRM-012","Left untranslated. The unit writes 'Meluhha' and states which classification each count draws on.","'the Indus region', which is the standard identification (DRM-024) and is a historical identification rather than a translation; 'the far eastern land'; and, for the first millennium, a different referent again.","Rendering the toponym as 'the Indus' converts an identification into a translation and makes the identification unfalsifiable, because every attestation then reads as evidence for it. The unit keeps the word and states the identification separately as HYP-R-006, which is why the first-millennium occurrences can be counted without being assigned to the Indus - and 55 of 165 of them are first-millennium.","None of the constitution's listed categories is used to render it. The risk here is the opposite of an inherited category: substituting a modern geographical identification for the ancient word.","PROVISIONAL","SRC-103; SRC-102","2026-09-08","Added 2026-09-09 after re-review found the four toponyms - the domain's central vocabulary - excluded from this register on the unargued ground that they were not among 'the six consequential ones'. BF-042."
"TR-R-009","ma2-gan / ma2-kan / ma-kan","NO. The retrieved corpus is ASCII transliteration only (SRC-103). Cuneiform sign forms, and any normalised orthography, would require ORACC or CDLI's front end, both refused at the gateway (SRC-099).","Toponym, with the nominal extension -na; and a qualifying element, chiefly in {gesz}mes-ma2-kan-na.","{ki} (place) 106; {gesz} (timber) 115, of which 103 are Neo-Assyrian and overwhelmingly one word; {d} (divine) 2; none on the 166 lu2-ma2-gan occurrences, the 18 unmarked material compounds or the 122 unmarked ones.","A land, conventionally Oman and south-east Arabia; a qualifier of mesu-wood; the second element of the divine name Shamagan, which is excluded by rule as a different word.","Old Akkadian to Neo-Babylonian; the timber usage is concentrated in the first millennium.","NONE. No edition was retrieved. The corpus carries no glossary, no lemmatisation, no line-level translation and no philological apparatus, so every reading below is a reading of a transliterated sign sequence and is stated as one.","03-REGISTERS/domain-r-cdli-attestations.csv, target MAGAN, six classifications; DRM-007, DRM-024, DRM-025","Left untranslated.","'Oman', 'south-east Arabia', which are identifications and not translations (DRM-024, DRM-025).","The 115 timber occurrences are the largest single non-place use of any of the four names, and reading them as references to the region would inflate first-millennium Magan attestations more than threefold. A place-named material is not evidence of contact with the place at the moment the text is written; mesu-wood of Magan may be a wood type long after any Magan trade.","None used.","PROVISIONAL","SRC-103; SRC-102","2026-09-08","BF-042."
"TR-R-010","dilmun / tilmun / ni-tuk","NO. The retrieved corpus is ASCII transliteration only (SRC-103). Cuneiform sign forms, and any normalised orthography, would require ORACC or CDLI's front end, both refused at the gateway (SRC-099).","Toponym; a standard designation in the measure phrase; a qualifier on commodities (nimbar-dilmun-na, {gada}dilmun-); an element in e2-tilmun-na.","{ki} (place) 91; {zabar} (bronze) 4; {d} (divine) 1; none on the 547 measure occurrences or the 213 unmarked ones.","A land, conventionally Bahrain and the adjacent Arabian coast; a weight and quality standard; a qualifier of dates, linen and bronze.","ED I-II to Neo-Babylonian, and the earliest attested of the four in this corpus. Heavily represented at Ebla.","NONE. No edition was retrieved. The corpus carries no glossary, no lemmatisation, no line-level translation and no philological apparatus, so every reading below is a reading of a transliterated sign sequence and is stated as one.","03-REGISTERS/domain-r-cdli-attestations.csv, target DILMUN, eight classifications; DRM-015, DRM-016, TR-R-003","Left untranslated as a place; the measure phrase is handled at TR-R-003.","'Bahrain'; and for the commodity phrases, either 'from Dilmun' (provenance) or 'of Dilmun type' (quality), which are different claims.","Larger here than for any other name, because 61% of the occurrences are the measure. If the commodity phrases are read as provenance rather than as quality, Dilmun's apparent trade volume in the texts rises sharply and for no evidential reason. SRC-112 states that Dilmun was never the origin of what passed through it (DRM-016), which cuts directly against the provenance reading.","'unit of account' and 'standard' are modern economic categories; see TR-R-003.","PROVISIONAL","SRC-103; SRC-102","2026-09-08","BF-042."
