"audit_id","object_audited","who_created_the_surviving_record","what_preserved_it","what_was_unlikely_to_be_recorded","what_is_unexcavated_or_unrecognised","absence_type","effect_on_this_unit","source_id","retrieval_date"
"APA-E-001","The Rigvedic corpus as a source for substrate vocabulary","A priestly lineage composing and transmitting liturgical poetry for patrons; the surviving text is what that lineage chose to preserve and what the canonisation fixed.","Oral transmission under a memorisation discipline, later writing, later still the printed editions of Aufrecht and Lubotsky and the Zurich annotation.","Ordinary speech, non-liturgical genres, the vocabulary of people who were not patrons or priests, and any language spoken by anyone the hymns do not address. Agricultural, craft and domestic vocabulary enters only where the liturgy needed it.","Nothing to excavate. The relevant unrecognised category is vocabulary that IS in the text but is not recognised as foreign because it has been fully nativised.","NOT PRODUCED for most of the lexicon of the region; NOT RECOGNISED for nativised loans.","The 0.013% figure (DE-M-011) is a floor on what a liturgical corpus recorded, not an estimate of contact. A corpus of this genre would under-record loan vocabulary even if contact were intense.","SRC-059; SRC-022","2026-09-07"
"APA-E-002","CDIAL as the instrument of attribution","R. L. Turner, compiling in Britain 1962-66 from published sources and colonial-era descriptive material.","Print, then the DSAL digitization, then the JAMBU re-parse.","Languages with no published dictionary in Turner's window; oral registers; anything the colonial descriptive tradition did not reach. The attribution can only be as good as the Dravidian and Munda lexicography available to him.","Munda lexicography was substantially thinner than Dravidian lexicography in that window.","NOT PRODUCED (the comparanda did not exist to be consulted).","This is a live alternative explanation for DE-M-004's 4.1-to-1 ratio and it is not tested here: Turner may prefer Dravidian partly because he had far better Dravidian dictionaries. The ratio is registered as a fact about Turner (DE-I-004) precisely so this remains visible.","SRC-065","2026-09-07"
"APA-E-003","The retrieval channel of this session","An egress policy set outside this programme.","GitHub, and only GitHub. The git proxy's anonymous lane (SRC-058) is the sole general channel.","Anything that exists as a journal article, a monograph or a library digitization rather than as a public git repository. That is the entire secondary literature of the substrate question.","Witzel 1999, Kuiper 1991, Masica 1979, Krishnamurti 2003, Rau 2019, Shorto 2006 - none reachable.","NOT ACCESSIBLE.","Structural and asymmetric. Attested and reconstructed families have machine-readable derivatives on GitHub; proposals about unattested donors do not. Five distinctions could be measured and four could not, and the split follows the channel, not the evidence (DE-I-001, HOLD-005).","SRC-053 to SRC-058; SRC-068","2026-09-07"
"APA-E-004","DEDR as the record of attested Dravidian","Burrow and Emeneau, working 1961-84, drawing on missionary and colonial lexicography and on their own and Bhattacharya's fieldnotes.","Print; the DSAL digitization; the JAMBU re-parse. The chain's middle link is blocked to this session (DEP-010).","Languages without a dictionary; speakers not consulted; the labour of the informants, which the entry numbers do not record.","The 77 language labels mix languages, dialects and unpublished fieldnote lects (EM-01), so the inventory reflects who did fieldwork where.","NOT RECORDED (informant authorship); NOT ACCESSIBLE (the intermediate digitization).","EM-01's 77 is a count of Burrow and Emeneau's coverage, not of Dravidian. Constitution §4.V: preservation is not authorship. The fieldnote rows in this table were spoken by people the citation format does not name.","SRC-061; SRC-056","2026-09-07"
"APA-E-005","The Munda comparative record","A shorter and more recent descriptive tradition than the Dravidian one, assembled here through Rau 2019 with per-language sources.","One comparative table of 127 etyma.","The full lexicon of any Munda language. This is a wordlist built for reconstruction, not a dictionary.","Whether anything Munda-affiliated ever lay west of Korku - the question that decides HYP-E-002 - is exactly what no surviving record addresses.","NOT PRODUCED / NOT RECOGNISED, undetermined between them.","The small size of the Munda evidence base in this record (DE-M-015) is partly a fact about lexicography and must not be read straight as a fact about the language family's history or extent.","SRC-063; SRC-064","2026-09-07"
"APA-E-006","Arnold's metrical strata","E. V. Arnold, Cambridge 1905, working within the philological assumptions of his period.","Transcribed into strata.json by Gunkel and Ryan; distributed with VedaWeb.","Any stratification criterion Arnold did not use.","Whether the metrical layering tracks composition date at all is an assumption inside the instrument, not a result from it.","Not an absence question; a single-source question.","Every stratum claim in this unit is single-sourced (DEP-001) and the Popular stratum is not independent of book order (DEP-004). DE-I-006 and BR-E-002 are capped accordingly.","SRC-023; SRC-026","2026-09-07"
"APA-W-001","The literature this repository can reach on a South Asian water thread, as measured 2026-09-08","For the ancient half: the Archaeological Survey of India, which chose the sites, the seasons and the publication schedule, and whose Dholavira reports are the upstream of every reachable secondary account. For the modern half: the Madras/Chennai colonial waterworks archive, which recorded engineering and property. For what this session can actually open: two commercial literature indexes - Consensus (abstracts, no DOIs) and Scholar Gateway (Wiley full-text passages).","Wiley digitisation and the connector licences that reach it; a search index over 220M records. Neither preserves anything - both select, and the selection is a commercial catalogue.","The builders of any Indus water work (a donor inscription records a donor); Tamil-language scholarship of any period; the people displaced by the twentieth-century filling of Chennai tanks and by the 2000s eco-restoration evictions, who appear in the colonial and municipal record as encroachers or not at all.","ASI excavation reports, Indian university press monographs, Economic and Political Weekly, Seminar, and every Tamil-language corpus and journal are outside both working lanes. Excavated-area-against-total-area for the Indus water sites is unmeasured in this repository, so no absence in slot 2 can yet be typed.","NOT ACCESSIBLE, for both halves. The named sources are refused at the gateway (SRC-096) or behind a subscription cap (SRC-091); the Tamil and Indian-published literature is outside every lane this session could open. An earlier draft of this row wrote ""NOT PUBLISHED IN A REACHABLE LANE"" for the second half, which is a ninth type and the typology has eight. It said nothing NOT ACCESSIBLE does not already say — both are statements about our reach — and inventing a type quietly loosens an enum every later unit reads. Neither half is ABSENT DESPITE ADEQUATE SEARCH, and neither may be read as a statement about the past.","Decisive, and it is the finding rather than a caveat on one. The one slot of the seven that is well served (ECOLOGICAL CHANGE) is the slot whose over-use museum-framework.md 10.2 constraint 2 names as WATER’s prestige-bias failure mode; the two slots that would constrain it (MATERIAL EVIDENCE, TEXT AND LANGUAGE) are the two that are empty. A WATER world built from what is reachable today would argue environmental determinism by allocation, with no author intending it. Mechanism M-9 of 13-PRODUCT-ARCHITECTURE/water-living-world.md exists to render that imbalance on the surface rather than correct for it silently, and 4.6 places this row itself in slot 6 of the world.","SRC-089; SRC-090; SRC-091; SRC-095; SRC-096; SRC-098","2026-09-08"
"APA-K-001","The Rigveda as a source on technology, administration and writing","A priestly lineage composing praise poetry for patrons, transmitted orally under a memorisation discipline and later fixed in a canonical redaction.","The memorisation discipline, the canonisation, the manuscript tradition, and in this session the Aufrecht and Lubotsky editions with the Zurich annotation (SRC-106).","Anything the liturgy and the patronage relation did not need. Crafts, administration, storage, accounting, the working day, and the vocabulary of any technology the poets were not paid to praise. The corpus names chariots, weapons, cattle, soma equipment and the sacrificial ground in detail because those are liturgical and heroic subjects.","Nothing to excavate. The unrecognisable category is a technology described in terms this record cannot identify as such - which is why the unrecognised-terminology hypothesis was tested by two instruments rather than assumed away (DK-H-008).","NOT PRODUCED for most non-liturgical technology; NOT RECOGNISED for anything described obliquely.","It is the reason the lexical absences at DK-A-001 and DK-A-002 license a statement about the corpus and nothing about the society. The measurement is strong; the bridge from it is refused at BR-K-006.","SRC-106; SRC-107","2026-09-09"
"APA-K-002","The Indus seals as a record of the people who made and used them","Sign-makers cutting seals, and sign-users commissioning and impressing them. The objects were made to be used, not to document their own production. The material they were cut from, the technique, and the conditions of the workshop were not retrieved in this session and are not asserted here.","Not established by anything retrieved here. The retrieved records carry no material, no stratum, no excavation and no date (DK-M-016, DK-A-008), so this row cannot say what preserved these objects or how they entered the record. What is known here is only that they are in a printed corpus that is blocked (SRC-109, SRC-111) and in one partial digitization of it.","The identity, status, training, pay and conditions of the people who cut the seals; who was permitted to own one; who handled sealed goods; who could not. None of that is on the object.","Workshop evidence, unfinished blanks and cutting debris would bear on the makers, and none was reachable here.","NOT PRODUCED for the makers' identities; NOT ACCESSIBLE for the excavation record that might bear on their workshops.","It is why this record uses sign-makers and sign-users with institutional role unresolved, and why 'administrators' is excluded from its vocabulary rather than merely avoided (DK-A-012, BR-K-003).","SRC-102","2026-09-09"
"APA-K-003","The modern archive of the Indus material, as this session met it","Colonial and post-colonial excavation, then a corpus edited over decades and published in print volumes; then a small number of digital derivatives made by individuals.","Institutional publication in print, and - for what this session could reach - one volunteer's MIT-licensed repository and one university project's spreadsheet scraped from a public website.","Everything a print volume holds that its digital derivative drops: find-spot, stratum, material, dimensions, museum number (DK-M-016). The derivative was made for graphemic analysis and kept what that needed.","The published corpora themselves - CISI, ICIT, the ASI reports - are unread here. WebSearch reports that ICIT access is by request to its administrator; that is a lead and not a retrieval (SRC-115), and it is not treated as established.","NOT ACCESSIBLE","The one reachable route to the Indus corpus in this session was a partial derivative made by a volunteer. That is the whole evidentiary base of this unit's Indus half, and every measurement row says so in its own text rather than in a preface.","SRC-102; SRC-105; SRC-109; SRC-110; SRC-111","2026-09-09"
"APA-K-004","This unit's own record, audited as an archive","A session that could retrieve the Rigveda in full, with morphology and four translations, and could retrieve the Indus material only as 179 seals with three fields each.","The session's network policy: GitHub open, every scholarly and archival host refused (SRC-099).","Everything on the Indus side. There are 18 Rigvedic measurement rows and 232 registered occurrences against an Indus side that cannot state a find-spot.","Not applicable: nothing is unexcavated here, only unreachable.","NOT ACCESSIBLE","The asymmetry runs in one direction, and it is the direction that flatters a Rigveda-centred reading of a domain about Indus writing. It is stated in the manifest before any analysis (02-SOURCES/domain-k-manifest-2026-09-09.md §3), carried into the prestige-bias challenge as its first item, and is the reason no comparative conclusion is drawn in this unit at all.","SRC-099; SRC-102; SRC-106","2026-09-09"
