"claim_id","claim","status","source_id","locator","retrieval_date","supports_page","notes"
"DK-M-001","The retrieved digitization of the Corpus of Indus Seals and Inscriptions contains 179 artefact files, 179 object records and 179 distinct object identifiers, every one of them carrying the side suffix A.","VERIFIED","SRC-102","mayig/indus-valley-script-corpus @ ad2f1e2, corpus/m001_m099/ and corpus/m100_m199/; counted by 04-AUDITS/domain-k-indus-corpus.py","2026-09-09","the-script-they-didnt-read","One side per object. No object in the file set records a reverse, a boss, an edge or a second inscribed face, so nothing here bears on multi-sided objects."
"DK-M-002","Every object in the retrieved digitization is a Mohenjo-daro object in the CISI M-series, numbered M-1 to M-184 with five numbers absent: 2, 11, 76, 156 and 168.","VERIFIED","SRC-102","same, object id field of every record; 04-AUDITS/domain-k-indus-corpus.py","2026-09-09","the-script-they-didnt-read","One site. Nothing in the file set is from Harappa, Dholavira, Lothal, Kalibangan, Chanhu-daro, Gonur, Ur or any other findspot, so no distributional statement about the Indus script can be made from it."
"DK-M-003","All 179 records carry one of five descriptions, and all five are unicorn seals: unicorn IV 96, unicorn III 45, unicorn II 19, unicorn V 10, unicorn I 9.","VERIFIED","SRC-102","same, description field; 04-AUDITS/domain-k-indus-corpus.py","2026-09-09","the-script-they-didnt-read","This is the single most limiting fact about the only Indus dataset reachable in this session. It is not a sample of the corpus. It is one iconographic class of stamp seal at one site. No sealing, tablet, pot graffito, copper plate, bangle, ivory rod or inscribed tool is in it, so the object-class distribution that every functional argument depends on cannot be measured here at all."
"DK-M-004","The 179 records carry 1,003 graphemes, of which 19 are the digitization's damage placeholder, leaving 984 sign tokens. Counting signs only, inscription length runs from 1 to 13, mean 5.50, median 5; counting every grapheme, mean 5.60.","VERIFIED","SRC-102","same, graphemes arrays; 04-AUDITS/domain-k-indus-corpus.py; full length histogram in the method note","2026-09-09","the-script-they-didnt-read","A measurement of unicorn seals at Mohenjo-daro as one annotator transcribed them, not of Indus inscriptions in general. Longer inscriptions on other object classes are excluded by DK-M-003, so this distribution is truncated by construction and must not be quoted as the length distribution of the script. The two means are given because a reader counting the file naively gets 1,003 and 5.60; see DK-M-025."
"DK-M-005","The 984 sign tokens realise 181 distinct sign classes, of which 77 occur exactly once: 42.5% of the classes present, 7.8% of the tokens.","VERIFIED","SRC-102","same; 04-AUDITS/domain-k-indus-corpus.py; per-sign counts in 03-REGISTERS/domain-k-indus-signs.csv","2026-09-09","the-script-they-didnt-read","A hapax rate this high in a 984-token sample is what a small sample of any sign system looks like. It is not evidence about the size of the sign inventory and is not used as such. Excludes the damage placeholder, DK-M-025."
"DK-M-006","The sign list bundled with the digitization has 397 entries. 215 of them, 54.2%, occur nowhere in the 179 records.","VERIFIED","SRC-103","mayig/indus-valley-script-corpus @ ad2f1e2, features/*.json against corpus/*; 04-AUDITS/domain-k-indus-corpus.py","2026-09-09","the-script-they-didnt-read","Follows from DK-M-003: a single object class exercises about half the sign list. The unused half is NOT PRODUCED in this sample, not absent from the script."
"DK-M-007","The ten most frequent sign classes account for 390 of 984 sign tokens, 39.6%. The most frequent, P324, occurs 99 times on 94 of the 179 records, 52.5%.","VERIFIED","SRC-102; SRC-103","same; 04-AUDITS/domain-k-indus-corpus.py; 03-REGISTERS/domain-k-indus-signs.csv","2026-09-09","the-script-they-didnt-read","Frequency ranks in this sample: P324 99, P122 76, P385 35, P086 35, P050 32, P145 27, P230 23, P120 22, P062 21, P060 20. Token counts and record counts differ where a sign repeats on one object: P324 appears twice on five records."
"DK-M-008","In the order the digitization stores graphemes, P324 stands first on 77 of the 179 records, 43.0%; P385 stands last on 29 records, 16.2%.","VERIFIED","SRC-102","same; 04-AUDITS/domain-k-indus-corpus.py, stored_initial and stored_final columns of 03-REGISTERS/domain-k-indus-signs.csv","2026-09-09","the-script-they-didnt-read","Stored order, not reading order. The source states it stores graphemes left to right on the object and that the script is read right to left; under the source's own convention the stored-first position is the reading-final one. This row reports what is in the file and does not apply the conversion."
"DK-M-009","990 of the 1,003 graphemes are coded to line 1 and 13 to line 2. No record in the file set has a third line.","VERIFIED","SRC-102","same, default feature index 1; 04-AUDITS/domain-k-indus-corpus.py","2026-09-09","the-script-they-didnt-read","98.7% single-line. Again a property of unicorn seals in this file set."
"DK-M-010","118 of 1,003 graphemes carry a non-zero damage code and 120 carry a non-zero uncertainty code: 11.8% and 12.0% of the sign tokens in the file set.","VERIFIED","SRC-102","same, default features 0 and 2; 04-AUDITS/domain-k-indus-corpus.py","2026-09-09","the-script-they-didnt-read","The source states the uncertainty code is the annotator's own subjective confidence. It measures how sure one reader was, not how legible the object is. Counted over all 1,003 graphemes including the 19 damage placeholders."
