"hypothesis_id","exact_claim","attested_or_hypothetical","chronological_fit","geographical_fit","contact_mechanism","positive_evidence","contrary_evidence","independent_support","source_dependencies","current_specialist_standing","diagnostic_predictions","falsifier","eligible_for_extended_analysis","proportional_space","status","reason"
"HYP-R-001","All, or nearly all, lapis lazuli in Bronze Age and later western Asian, Egyptian and South Asian contexts derives from the Sar-e Sang deposits in Badakhshan, Afghanistan.","The deposit is attested and worked. The universality is hypothetical.","PASSES. Sar-e Sang is described as exploited for thousands of years and the objects run from the fourth millennium BCE to the Islamic period.","PASSES for the corridor, with a caveat: the distances are very large, and 'passes' here means only that no barrier excludes the route.","Stated in the literature as long-distance exchange over routes reaching 4,000 km, without a specified mechanism for any single object.","Pyrite Ni/Cu ratios in the Persepolis cylinders correlate with Badakhshan (DRB-003, DRB-010). Marker phases at Ajanta are read as Afghan (DRB-015). A sulphur-isotope sample from Shahr-i Sokhta resembles Badakhshan.","At least eleven world deposits and seven candidate ancient sources exist (DRB-001). The most recent protocol samples four of them (DRB-002). More geological sampling is expected to increase overlap between sources, not reduce it (DRM-003). Casanova's Ba/Sr data relate some Shahr-i Sokhta samples to Chagai rather than Badakhshan. A 2025 assessment holds that Asian lapis sources do not differ significantly in mineralogy (DRB-008).","Weak. Every provenance comparison in this unit runs against one of five upstream reference datasets (DEP-031), and the datasets are not mutually commensurable (DRB-007).","DEP-031, DEP-034; APA-R-006 on how the reference sets were assembled.","Historically dominant and currently qualified. The field's own summary is that lapis provenance is 'extensively debated but not solved' and that the near sources in Pakistan and Tajikistan are 'rarely considered' (DRB-004).","If true: objects from unsampled regions, analysed against an enlarged reference set including Chagai, Mogok, Ariccia and the Urals, still assign to Badakhshan; and Tajik lapis, which has a distinct fingerprint, appears rarely or not at all in western assemblages.","A well-sampled multi-source study assigning a substantial fraction of a western or South Asian assemblage to a source other than Badakhshan; or a demonstration that the Badakhshan signature is not separable from Chagai and Pamir at all, which would make the question ill-posed rather than answered.","YES, as the leading hypothesis and not as the default.","The largest share on THE BLUE ROAD, because it has the most positive evidence. Not exclusive: HYP-R-002 gets a real section and the unsampled sources get a named place in the falsifiers.","HYPOTHESIS","Passes every gate and is the best-supported account. It is recorded as a hypothesis and not as background because the alternatives were never excluded on evidence - most were never sampled - and because the one rival that was seriously entertained was removed by reassigning its reference material (DRB-006)."
"HYP-R-002","The Chagai Hills in Pakistan are a distinct ancient lapis lazuli source, separate from Badakhshan.","Hypothetical. The deposit's existence is itself contested.","CANNOT ASSESS. No dated exploitation evidence was retrieved.","PASSES, and better than Badakhshan for Baluchistan and the Indus: the Chagai district lies between them.","Would require no long-distance mechanism at all for Indus-side material, which is what makes it consequential.","Chagai has been suggested as a source 'in many studies'. Casanova's Ba/Sr data relate some Shahr-i Sokhta samples to it.","Its existence is described as 'neither documented nor supported by geological data', and the rock samples associated with it are suggested to have come from Badakhshan quarries; sulphur-isotope data show Chagai Hills samples overlapping with Afghan ones (DRB-005).","None retrieved. The doubt and the supporting data both trace to a small literature.","DEP-031. The doubt is Law 2014 as reported by SRC-106; Law 2014 was not itself retrieved.","Retained as a category in analysis while being doubted as a deposit - which is an unstable position and is why this row exists.","If a distinct source: field-collected samples from the Chagai district, geologically documented, form a cluster separable from Badakhshan. If not: no such deposit is found on survey, and the existing 'Chagai' reference samples prove to be Badakhshani by provenance of collection.","A geological survey of the Chagai district either locating a lazurite-bearing deposit or establishing that none exists. This is a field question with a determinate answer, and it is the single cheapest test on THE BLUE ROAD.","YES, at reduced length.","A short section, not a parallel one. The evidence is thin on both sides, and saying so is the finding.","HYPOTHESIS","Eligible because it is chronologically and geographically possible, has a mechanism that is trivially easy, and bears directly on the owner's trap: if Chagai exists, a large part of the Indus-side lapis need never have crossed the Hindu Kush. Not given equal space to HYP-R-001 because its positive evidence is weaker, and equalising them would be balancing narratives rather than weighting explanations."
"HYP-R-003","Craftspeople trained in Indus bead-making resided in Mesopotamian cities in the mid-third millennium and produced carnelian beads there for local consumers.","Hypothetical as to the people. The technological repertoire is attested.","PASSES. ED III at Kish and Ur, c.2600-2350 BCE, contemporary with the Mature Harappan.","PASSES.","Maritime and overland exchange via the Gulf is attested for the period on independent ceramic, metallurgical and textual evidence.","Indus-type Ernestite drill perforations on beads at Kish; bead forms never produced in the Indus, such as long hexagonal shapes, made with Indus technique at Ur; four Kish beads drilled to Indus standard and finished below it (DRR-007); and, READING-DEPENDENT, the settlement e2-duru5 me-luh-ha at Gu'abba in Ur III Girsu (DRM-012) - which is a different period, and which carries weight here only under the toponymic reading of me-luh-ha; under the onomastic reading it is a village named after a man and is evidence of nothing. DRM-011 refuses to settle the same element in dumu me-luh-ha, and this row does not settle it either.","Seven classic square Indus seals are known west of the Harappan sphere and the impact of mature Harappan material culture in Mesopotamia is 'remarkably faint' (DRM-013). The tools are portable and could have travelled as goods; the study's own 'or taught others to make' concedes that the technique can move without its holders.","Partial and from a different evidence class: the Gu'abba village is textual and administrative, not stylistic, and it is a century or more later.","DEP-030 - the geochemistry has no possible independent replication at present. The technological argument is Kenoyer's across three decades and is one lineage.","Currently supported and actively argued.","If true: Ernestite drill bits, bead roughouts and production debris should be found in Mesopotamian workshop contexts, not only finished beads. The Ur unfinished-bead assemblage (DR-NEG-010) is where to look and it has never been studied.","Ernestite drill bits recovered in Mesopotamian contexts as traded objects without associated production debris; or a demonstration that the drill-hole signature can be produced by other bits.","YES.","Substantial, and less than the technological claim it rests on. The repertoire's presence is well evidenced; the residence of its holders is an inference and gets the space of an inference.","HYPOTHESIS","Passes every gate and is refused as a bridge in its strong form at BR-R-002. The distinction the register keeps is between 'Indus technique was practised in Mesopotamia', which the evidence supports, and 'Indus people practised it', which is an additional claim."
"HYP-R-004","The 'kidney shaped beads' of carnelian in Mesopotamian texts are raw carnelian nodules from the Gujarat deposits rather than beads.","Hypothetical.","PASSES. Old Babylonian texts, contemporary with continuing Gujarat exploitation.","PASSES.","Not required - this is a translation question, not a movement question.","Gujarat nodules are oblong to kidney-shaped and 5-7 cm, about the size of a goat or sheep kidney; a Larsa-period text refers to the import of 'oblong pieces of carnelian', and agates form as almond-shaped amygdalae (DRR-012).","No complete carnelian nodule has been reported from a Mesopotamian site either, so the alternative referent is also archaeologically absent.","None.","SRC-109 alone; the Assyriological readings are Leemans 1960 and Potts 1997 as reported there.","Minority. 'Most Mesopotamian scholars assume that these Old Babylonian texts refer to an actual kidney [shaped] bead'.","If true: unworked carnelian nodules should appear in Mesopotamian workshop or storage deposits, and the term should collocate with quantities and weights rather than with stringing or ornament vocabulary.","A kidney-shaped carnelian bead from any Mesopotamian or Indus context.","YES, briefly.","A paragraph. It is a translation-standard example rather than a corridor finding, and its main value is that it shows an English category - 'bead' - carrying a historical claim.","HYPOTHESIS","Eligible and modest. Recorded because the alternative to it is not a fact but a different assumption, and neither has a material referent (DR-NEG-006)."
"HYP-R-005","Carnelian and agate beads found at Neolithic and Bronze Age sites in the Oman peninsula were made from local Arabian sources rather than imported from India, Iran or Mesopotamia.","The sources are attested. The attribution of the beads to them is hypothetical.","PASSES. The deposits were worked from at least the seventh millennium; the beads run from the fifth millennium onward.","PASSES strongly. All Neolithic agate and carnelian beads known on the Oman peninsula were found 30-50 km from the deposits.","None needed; that is the point.","Twenty-six mapped veins at Jebel al-Ma'taradh; material from them identified at eight sites up to 300 km away; Bronze Age beads in UAE museums showing the characteristic mixed white-and-yellow veining seen in situ (DRR-005, DRR-006). No exotic bead of Mesopotamian origin has been identified in the UAE.","The veining match is macroscopic, not analytical. No bead workshop has been found at the deposit (DR-NEG-008). Indus-made etched carnelian is genuinely present in the region, so local production and import are not exclusive.","None analytical. Jebel al-Ma'taradh is not named in any retrieved passage describing the 25-source carnelian reference database, whose Arabian entries are proxies from Tayma and Sanaa (DRR-004).","SRC-110 principally; SRC-109 for the database composition.","Recent and gaining ground; the prior consensus it displaces was that no such source existed.","If true: LA-ICP-MS of Gulf Neolithic and Umm an-Nar beads against a reference set that INCLUDES field-collected Jebel al-Ma'taradh samples assigns a substantial fraction locally. If false: they assign to Indian or Iranian sources even when the local source is in the reference set.","The test above, run either way. It is decisive and it is not expensive, and its precondition is that the Arabian source enters the reference database - which is exactly the condition DRM-002 says determines the answer.","YES.","A full section on THE RED ROAD, because it is the owner's 'alternative geological sources' component and because it bears on every Gulf attribution made under the old premise.","HYPOTHESIS","Eligible on every gate and untested by the only method that could settle it. This is the clearest case in the unit where a hypothesis is unresolved because a source is missing from a reference set rather than because the evidence is ambiguous."
"HYP-R-006","Meluhha in third-millennium Mesopotamian texts denotes the Indus region.","The toponym is attested; the identification is hypothetical.","PASSES for the third millennium. DOES NOT TRANSFER to the first: the corpus carries 55 first-millennium Meluhha texts, 1,400 years after the Indus cities, and the determinative changes from {ki} to {kur} across that gap (DRM-008).","ALMOST NOTHING CAN BE ASSESSED FROM THIS CORPUS, and the little that can cuts slightly against the corpus being a pure Mesopotamian mirror: of 791 texts naming one of the four, 720 have a findspot and 716 are Mesopotamian, Syrian or Assyrian, but three Old Akkadian texts naming Meluhha or Magan were written at Susa (DRM-010).","Maritime and overland exchange, attested on ceramic, metallurgical, glyptic and metrological evidence independent of the toponym.","Carried in the literature as settled and referred to a small upstream authority set (DRM-024). The material correlate is real and independent: Indus-sourced carnelian, Indus-style seals and the Indus weight standard all appear in the same corridor in the same period.","No text from the Indus region uses the term. The identification rests on the coincidence of a Mesopotamian label for an eastern trading partner with an archaeologically known eastern trading partner, which is strong circumstantially and is not the same as an attestation.","Yes, from a different evidence class - the material corridor - but not toponymically.","DEP-029. Seven papers in this unit assume it; none argues it.","Consensus, and treated as background rather than as a claim.","If true: further material of demonstrably Indus origin should keep appearing in contexts where the label is used, and the label's collocations should track Indus commodities - carnelian, timbers, exotic animals.","A text placing Meluhha somewhere incompatible with the Indus in the third millennium; or a demonstration that the third-millennium and first-millennium referents are continuous, which would make the Indus reading untenable for the earlier period as well.","YES for the third millennium only. NOT ELIGIBLE as a claim about the first millennium.","Used as a working identification and labelled as one wherever it appears.","HYPOTHESIS","This unit does not contest the identification and does not adopt it as fact. What it adds is the corpus measurement that constrains it: the same sign sequence is used across 1,400 years with a changed determinative, a changed genre and a changed place of writing, so any corridor argument must say which Meluhha it means. DRM-008, HOLD-009."
"HYP-R-007","The cuneiform toponym Marhashi is the site now called Mehrgarh.","Hypothetical, and no source proposing it was retrieved.","NOT ASSESSED, and deliberately not asserted. The first version of this row failed the hypothesis on a dated statement about Mehrgarh's occupation drawn from general knowledge with no retrieval behind it - the exact move BF-031 records this unit declining to make for the Ajanta date. That sentence is withdrawn. What can be said from retrieval is only that Marhashi is attested in this corpus from Old Akkadian to Old Babylonian, with 144 of its 152 datable texts earlier than the first millennium and 113 catalogued Ur III.","NOT ASSESSED. Where Marhashi was could not be retrieved at all (HOLD-009), so this unit cannot fail the identification on geography either.","Not reached.","None. The only thing connecting them is a resemblance between a modern place name and a transliterated ancient one.","Mehrgarh is a modern toponym attached to a site named in the twentieth century. No transmission history from Marhashi to it is proposed anywhere in this unit's sources.","None.","None - there is no source to depend on.","Not a position in the literature.","None available.","Not applicable; the claim fails the gate before it can generate predictions.","NO.","This row and the rejected claim at DRM-018. No section.","NOT-ELIGIBLE","Fails on the absence of positive evidence of any kind and on the absence of any source proposing it - which is sufficient, and is sourced, and is all this unit is entitled to say. The only thing connecting the two names is a resemblance between a modern place name attached to a site named in the twentieth century and a transliterated ancient one, with no transmission history offered anywhere. The row exists because the owner named the trap, and because a rejection kept visible is not re-proposed. It says nothing about where Marhashi was. | CORRECTED 2026-09-09 after adversarial review: the first version rejected the identification partly on an unretrieved chronology for Mehrgarh, running toward the congenial answer. BF-036."
"HYP-R-008","Meluhha in Neo-Assyrian texts denotes the same region as Meluhha in Ur III texts.","Hypothetical.","A 1,400-year gap with a change of writing convention across it.","CANNOT ASSESS.","Not assessable.","Identity of the sign sequence, and continuity of a scribal tradition.","The determinative changes from {ki} to {kur} with no overlap in either direction; the genre changes from granary and personnel records at Girsu to royal itineraries and titulature at Nineveh; and the Indus cities had ceased to exist more than a millennium earlier (DRM-008).","Not retrieved.","This unit's own corpus measurement only. The Assyriological literature on the first-millennium referent was not reachable.","NOT RETRIEVED. There is a standard position on what the first-millennium term denotes and this unit did not obtain it, so it is not stated here.","Not formulated, for want of the literature.","Not formulated.","NO - blocked on sources, not refused on evidence.","None until the hold is cleared.","NOT-ELIGIBLE-SOURCE-BLOCKED","The corpus measurement is strong enough to show that continuity cannot be assumed and far too weak to settle what the later term means. Naming a referent for the first-millennium word from unretrieved knowledge is exactly the failure BF-031 records avoiding. HOLD-009."
"HYP-R-009","Shortugai in northern Afghanistan was an Indus settlement established to procure Badakhshan lapis.","Not assessable.","CANNOT GATE - no dating evidence retrieved.","CANNOT GATE.","CANNOT GATE.","NONE RETRIEVED.","NONE RETRIEVED.","NONE RETRIEVED.","Not applicable.","NOT RETRIEVED.","Not formulated.","Not formulated.","NO.","None. The unit makes no claim about Shortugai in either direction.","CANNOT-GATE","The site is named in the owner's instruction as a component of THE BLUE ROAD and nothing about it could be retrieved: a twenty-passage query returned nine articles and none concerned it (DR-NEG-002). This row is here so that the gap is visible as a gap rather than as an omission. HOLD-008."
"HYP-R-010","Material movement along either road implies population movement, and population movement implies language movement.","Hypothetical at both steps.","Not reached.","Not reached.","Not reached.","None assembled in this unit, and none found.","The founding inference of provenance studies licenses transport of matter and nothing further (DRM-001). Within one Kish necklace, technique and workshop separate (DRR-007). At Gonur Depe, findspot and manufacturing tradition are 2,000 km apart (DRB-016). Individuals designated by a foreign toponym bear local theophoric names (DRM-011). A script moving west was 'rapidly adjusted to accommodate writing in a language other than that of the Harappans' (BR-R-005).","Not applicable.","Not applicable.","Not a stated position in the retrieved literature, and this row does not attribute it to anyone. It is the inference the domain's habitual language makes easy - 'Indus beads at Ur', 'Meluhhan traders', 'the Meluhha village' - rather than an argument anyone advances in this form.","None.","Not applicable.","NO.","None as a hypothesis. Its refusal is distributed across BR-R-001 to BR-R-005, which is where the work is.","NOT-ELIGIBLE","Gated explicitly, and refused, so that no later unit has to re-derive the refusal. Each of the three is a separate claim with separate evidence, and in this unit the first is often established, the second is sometimes arguable, and the third is never in evidence at all. No claim in this unit assigns a language to any artifact."
