canonical_id,canonical_title,programme_type,origin_documents,origin_item_ids,owner_intent,target_audiences,current_routes,research_records,prototype_records,coverage_status,evidence_status,editorial_status,product_status,publication_status,what_exists,what_is_missing,contradictions_or_risks,research_required,museum_copy_required,visual_or_interaction_required,child_or_classroom_role,rights_or_consent_requirements,dependencies,recommended_release,release_role,rationale
academia-battlefield.html,Ancient DNA and Nationalism: Why Ancestry Is Fought Over,current intended page,Current site route; exact 133-page inventory; full backlog; relevant deck/running-list material,BL-1; BL-5; BL-19; BL-22; BL-26; BL-30; BL-31; BL-52,"Use this page only for separate sampled person, modelled ancestry, population history, language and identity. Its published existence does not confer verified status.",public; scholar; child/classroom only through an approved adapted action,academia-battlefield.html,03-REGISTERS/inherited-claims.csv; 04-AUDITS/REAUDIT-QUEUE.csv; CORRECTIONS-PENDING.md; NONE LOCATED for an accepted methods-qualified genetics synthesis,site main prototypes/ only where threshold/field grammar applies,REFRAME,uncertified unless an accepted record is named,partial; action in route map,partial or reading-only,live,"1321 visible words, 13 citation signals, 18 links; exact related routes: beneath-both-waves.html; endogamy-clock.html; gotra.html; steppe.html; the-definition.html; the-expansions.html; the-genome-of-caste.html","Resolve the named correction before prominence; bind every changed claim to locator, evidence role, counter-evidence and revision.","Institutional pressure may be context, but motive narratives cannot replace methods/data adjudication.",03-REGISTERS/inherited-claims.csv; 04-AUDITS/REAUDIT-QUEUE.csv; CORRECTIONS-PENDING.md; NONE LOCATED for an accepted methods-qualified genetics synthesis,Rewrite only after claim-to-record mapping; retain as context when investigation value is low.,"Sample-to-model comparison showing sample place/date, method, confidence and limits; ancestry components never rendered as peoples or languages. For this route, centre the composition on “Ancient DNA and Nationalism: Why Ancestry Is Fought Over”.","Child/classroom role: Separate sampled person, modelled ancestry, population history, language and identity. only if included in an approved vertical.",Rights review for sources/assets; community consent where identity or living knowledge is represented.,03-REGISTERS/inherited-claims.csv; 04-AUDITS/REAUDIT-QUEUE.csv; CORRECTIONS-PENDING.md; NONE LOCATED for an accepted methods-qualified genetics synthesis → route brief → correction/interaction acceptance.,RELEASE 1,safety correction,"Route role is safety correction; prominence follows evidence and museum value, not page count."
ancient-south-asian-astronomy.html,Star Names and Sky Knowledge in Ancient South Asia,current intended page,Current site route; exact 133-page inventory; full backlog; relevant deck/running-list material,BL-18; BL-26; BL-31; BL-52; BL-69,"Use this page only for inspect the object or instrument, test a reconstruction and separate historical evidence from present practice. Its published existence does not confer verified status.",public; scholar; child/classroom only through an approved adapted action,ancient-south-asian-astronomy.html,03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv; NONE LOCATED for accepted astronomy/music/medical source programmes,site main prototypes/ only where threshold/field grammar applies,KEEP AS CONTEXT,uncertified unless an accepted record is named,partial; action in route map,partial or reading-only,live,"3854 visible words, 6 citation signals, 44 links; exact related routes: dravidian-sky.html; siddha-and-ayurveda.html; the-medicine-question.html",Convert the load-bearing propositions on Star Names and Sky Knowledge in Ancient South Asia into claim-to-record links; structural citation signals (6) are not verification.,No specific factual error established here; later claim audit remains required.,03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv; NONE LOCATED for accepted astronomy/music/medical source programmes,Rewrite only after claim-to-record mapping; retain as context when investigation value is low.,"Instrument/object/source comparison with reconstruction labels, safety limits and rights; recreated sound or practice is never presented as survival without evidence. For this route, centre the composition on “Star Names and Sky Knowledge in Ancient South Asia”.","Child/classroom role: Inspect the object or instrument, test a reconstruction and separate historical evidence from present practice. only if included in an approved vertical.",Rights review for sources/assets; community consent where identity or living knowledge is represented.,03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv; NONE LOCATED for accepted astronomy/music/medical source programmes → route brief → correction/interaction acceptance.,RELEASE 2,retained context,"Route role is retained context; prominence follows evidence and museum value, not page count."
artifact-atlas.html,Artifact Atlas: 175 Ancient South Asian Sites Mapped,current intended page,Current site route; exact 133-page inventory; full backlog; relevant deck/running-list material,BL-20; BL-21; BL-22; BL-23; BL-24; BL-25; BL-31; BL-32; BL-47; BL-48; BL-49; BL-52,"Use this page only for open one record, inspect its locator and evidence role, compare a counter-record, then follow its revision history. Its published existence does not confer verified status.",public; scholar; child/classroom only through an approved adapted action,artifact-atlas.html,06-BRIEFS/mvp-fifteen/03-artifact-atlas.md; 13-PRODUCT-ARCHITECTURE/museum-framework.md; 06-BRIEFS/mvp-fifteen/03-artifact-atlas.md; 06-BRIEFS/mvp-fifteen/06-the-ledger.md; site:assets/data/page-evidence.json,site main prototypes/ only where threshold/field grammar applies,REDESIGN,uncertified unless an accepted record is named,partial; action in route map,partial or reading-only,live,"51 visible words, 1 citation signals, 14 links; exact related routes: research-index.html; search.html; sources.html; the-ledger.html","Resolve the named correction before prominence; bind every changed claim to locator, evidence role, counter-evidence and revision.","Live metadata says 175 sites/315 windows, body derives 158 sites, and open site PR #4 measures 158 records/326 class-windows/15 classes/99 dated. D-034 remains open; no number is accepted merely because it is measured.",06-BRIEFS/mvp-fifteen/03-artifact-atlas.md; 13-PRODUCT-ARCHITECTURE/museum-framework.md; 06-BRIEFS/mvp-fifteen/03-artifact-atlas.md; 06-BRIEFS/mvp-fifteen/06-the-ledger.md; site:assets/data/page-evidence.json,Rewrite only after claim-to-record mapping; retain as context when investigation value is low.,"Record table plus expandable locator/source-ancestry drawer; relationships appear only after their evidence links and uncertainty are visible. For this route, centre the composition on “Artifact Atlas: 175 Ancient South Asian Sites Mapped”.","Child/classroom role: Open one record, inspect its locator and evidence role, compare a counter-record, then follow its revision history. only if included in an approved vertical.",Rights review for sources/assets; community consent where identity or living knowledge is represented.,06-BRIEFS/mvp-fifteen/03-artifact-atlas.md; 13-PRODUCT-ARCHITECTURE/museum-framework.md; 06-BRIEFS/mvp-fifteen/03-artifact-atlas.md; 06-BRIEFS/mvp-fifteen/06-the-ledger.md; site:assets/data/page-evidence.json → route brief → correction/interaction acceptance.,RELEASE 1,flagship,"Route role is flagship; prominence follows evidence and museum value, not page count."
authorship-attribution-ancient-texts.html,Who Gets Credit: Attribution in Ancient Indian Texts,current intended page,Current site route; exact 133-page inventory; full backlog; relevant deck/running-list material,BL-6; BL-18; BL-26; BL-31; BL-42; BL-43; BL-45; BL-52; BL-55,"Use this page only for trace a claim backward through author, archive, translation, funding and omission. Its published existence does not confer verified status.",public; scholar; child/classroom only through an approved adapted action,authorship-attribution-ancient-texts.html,04-AUDITS/ARCHIVE-AND-POWER-AUDIT.csv; 04-AUDITS/BIAS-FAILURE-LOG.csv; 06-BRIEFS/mvp-fifteen/14-custody.md; 06-BRIEFS/mvp-fifteen/15-the-archive.md,site main prototypes/ only where threshold/field grammar applies,KEEP AS CONTEXT,uncertified unless an accepted record is named,partial; action in route map,partial or reading-only,live,"1407 visible words, 6 citation signals, 43 links; exact related routes: chains-of-transmission.html; foreign-accounts-ancient-india.html; forest-peoples-sanskrit-record.html; indology.html; manuscript-custody.html; naming-in-ancient-india.html; oral-traditions-unwritten.html",Convert the load-bearing propositions on Who Gets Credit: Attribution in Ancient Indian Texts into claim-to-record links; structural citation signals (6) are not verification.,No specific factual error established here; later claim audit remains required.,04-AUDITS/ARCHIVE-AND-POWER-AUDIT.csv; 04-AUDITS/BIAS-FAILURE-LOG.csv; 06-BRIEFS/mvp-fifteen/14-custody.md; 06-BRIEFS/mvp-fifteen/15-the-archive.md,Rewrite only after claim-to-record mapping; retain as context when investigation value is low.,"Source-genealogy network showing who recorded, preserved, translated, funded and excluded; motive appears only when documented. For this route, centre the composition on “Who Gets Credit: Attribution in Ancient Indian Texts”.","Child/classroom role: Trace a claim backward through author, archive, translation, funding and omission. only if included in an approved vertical.",Rights review for sources/assets; community consent where identity or living knowledge is represented.,04-AUDITS/ARCHIVE-AND-POWER-AUDIT.csv; 04-AUDITS/BIAS-FAILURE-LOG.csv; 06-BRIEFS/mvp-fifteen/14-custody.md; 06-BRIEFS/mvp-fifteen/15-the-archive.md → route brief → correction/interaction acceptance.,RELEASE 2,retained context,"Route role is retained context; prominence follows evidence and museum value, not page count."
before-the-indus.html,Before the Indus: Baghor Shrine and Mesolithic Sun Graves,current intended page,Current site route; exact 133-page inventory; full backlog; relevant deck/running-list material,BL-11; BL-18; BL-25; BL-26; BL-27; BL-28; BL-30; BL-31; BL-66; BL-67,"Use this page only for excavate context, date the layer and decide what the object can and cannot establish. Its published existence does not confer verified status.",public; scholar; child/classroom only through an approved adapted action,before-the-indus.html,06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/07-keeladi.md; 06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/09-the-water-city.md; 03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv,site main prototypes/ only where threshold/field grammar applies,HOLD,uncertified unless an accepted record is named,partial; action in route map,partial or reading-only,live,"1954 visible words, 11 citation signals, 20 links; exact related routes: brahmi.html; excavation-bias-funding.html; indus-to-vedic-gap.html; keeladi.html; material-culture-ancient-south-asia.html; meluhha-trade.html; one-script-many-kingdoms.html",Convert the load-bearing propositions on Before the Indus: Baghor Shrine and Mesolithic Sun Graves into claim-to-record links; structural citation signals (11) are not verification.,No specific factual error established here; later claim audit remains required.,06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/07-keeladi.md; 06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/09-the-water-city.md; 03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv,Rewrite only after claim-to-record mapping; retain as context when investigation value is low.,"Excavation/context view with trench, layer, object, date range and alternative reading; movement maps separate material from people and language. For this route, centre the composition on “Before the Indus: Baghor Shrine and Mesolithic Sun Graves”.","Child/classroom role: Excavate context, date the layer and decide what the object can and cannot establish. only if included in an approved vertical.",Rights review for sources/assets; community consent where identity or living knowledge is represented.,06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/07-keeladi.md; 06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/09-the-water-city.md; 03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv → route brief → correction/interaction acceptance.,RELEASE 1,safety correction,"Route role is safety correction; prominence follows evidence and museum value, not page count."
beneath-both-waves.html,Beneath Both Waves: The Forager Lineages of South Asia,current intended page,Current site route; exact 133-page inventory; full backlog; relevant deck/running-list material,BL-1; BL-5; BL-19; BL-22; BL-26; BL-30; BL-31; BL-52,"Use this page only for separate sampled person, modelled ancestry, population history, language and identity. Its published existence does not confer verified status.",public; scholar; child/classroom only through an approved adapted action,beneath-both-waves.html,03-REGISTERS/inherited-claims.csv; 04-AUDITS/REAUDIT-QUEUE.csv; CORRECTIONS-PENDING.md; NONE LOCATED for an accepted methods-qualified genetics synthesis,site main prototypes/ only where threshold/field grammar applies,KEEP AS CONTEXT,uncertified unless an accepted record is named,partial; action in route map,partial or reading-only,live,"1959 visible words, 3 citation signals, 16 links; exact related routes: academia-battlefield.html; endogamy-clock.html; gotra.html; steppe.html; the-definition.html; the-expansions.html; the-genome-of-caste.html",Convert the load-bearing propositions on Beneath Both Waves: The Forager Lineages of South Asia into claim-to-record links; structural citation signals (3) are not verification.,No specific factual error established here; later claim audit remains required.,03-REGISTERS/inherited-claims.csv; 04-AUDITS/REAUDIT-QUEUE.csv; CORRECTIONS-PENDING.md; NONE LOCATED for an accepted methods-qualified genetics synthesis,Rewrite only after claim-to-record mapping; retain as context when investigation value is low.,"Sample-to-model comparison showing sample place/date, method, confidence and limits; ancestry components never rendered as peoples or languages. For this route, centre the composition on “Beneath Both Waves: The Forager Lineages of South Asia”.","Child/classroom role: Separate sampled person, modelled ancestry, population history, language and identity. only if included in an approved vertical.",Rights review for sources/assets; community consent where identity or living knowledge is represented.,03-REGISTERS/inherited-claims.csv; 04-AUDITS/REAUDIT-QUEUE.csv; CORRECTIONS-PENDING.md; NONE LOCATED for an accepted methods-qualified genetics synthesis → route brief → correction/interaction acceptance.,RELEASE 2,retained context,"Route role is retained context; prominence follows evidence and museum value, not page count."
birth-was-not-always-destiny.html,"Caste by Birth Was Imposed Later, Not Original",current intended page,Current site route; exact 133-page inventory; full backlog; relevant deck/running-list material,BL-1; BL-5; BL-6; BL-18; BL-26; BL-31; BL-52,Use this page only for track one term or institution across dated records and identify where the archive cannot support continuity. Its published existence does not confer verified status.,public; scholar; child/classroom only through an approved adapted action,birth-was-not-always-destiny.html,03-REGISTERS/rigveda-varna.csv; rigveda-varna-occurrences.csv; CORRECTIONS-PENDING.md; 03-REGISTERS/inherited-claims.csv,site main prototypes/ only where threshold/field grammar applies,CORRECT CLAIMS,uncertified unless an accepted record is named,partial; action in route map,partial or reading-only,live,"1159 visible words, 8 citation signals, 20 links; exact related routes: caste-enforcement-mechanism.html; caste-survives-conversion.html; caste-was-law.html; climbing-the-ladder.html; counted-as-nothing.html; jatization.html; non-brahmanical-legal-traditions.html","Resolve the named correction before prominence; bind every changed claim to locator, evidence role, counter-evidence and revision.",Mobility or semantic change in selected records does not establish one universal transition from fluidity to imposed birth hierarchy.,03-REGISTERS/rigveda-varna.csv; rigveda-varna-occurrences.csv; CORRECTIONS-PENDING.md; 03-REGISTERS/inherited-claims.csv,Rewrite only after claim-to-record mapping; retain as context when investigation value is low.,"Term-and-institution timeline with place/genre/date filters, counterexamples and archive gaps; avoid a single inevitable curve. For this route, centre the composition on “Caste by Birth Was Imposed Later, Not Original”.",Child/classroom role: Track one term or institution across dated records and identify where the archive cannot support continuity. only if included in an approved vertical.,Rights review for sources/assets; community consent where identity or living knowledge is represented.,03-REGISTERS/rigveda-varna.csv; rigveda-varna-occurrences.csv; CORRECTIONS-PENDING.md; 03-REGISTERS/inherited-claims.csv → route brief → correction/interaction acceptance.,RELEASE 1,safety correction,"Route role is safety correction; prominence follows evidence and museum value, not page count."
brahmavadini.html,"Brahmavadini: Women Who Studied the Vedas, and the Closing",current intended page,Current site route; exact 133-page inventory; full backlog; relevant deck/running-list material,BL-6; BL-15; BL-16; BL-17; BL-18; BL-31; BL-52,"Use this page only for compare who is speaking and whether the source is self-description, opponent report or later transmission. Its published existence does not confer verified status.",public; scholar; child/classroom only through an approved adapted action,brahmavadini.html,03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv; NONE LOCATED for accepted Pāli/Prakrit/Jain/Aśokan/Chinese-pilgrim corpus parity,site main prototypes/ only where threshold/field grammar applies,KEEP AS CONTEXT,uncertified unless an accepted record is named,partial; action in route map,partial or reading-only,live,"1622 visible words, 3 citation signals, 45 links; exact related routes: bronkhorst.html; how-buddhism-left.html; panini.html; the-broken-chain.html; the-computed-dawn.html; the-eastern-tradition.html; the-gods-people-had.html","Convert the load-bearing propositions on Brahmavadini: Women Who Studied the Vedas, and the Closing into claim-to-record links; structural citation signals (3) are not verification.",No specific factual error established here; later claim audit remains required.,03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv; NONE LOCATED for accepted Pāli/Prakrit/Jain/Aśokan/Chinese-pilgrim corpus parity,Rewrite only after claim-to-record mapping; retain as context when investigation value is low.,"Parallel source/voice viewer that distinguishes self-description, rival report, later commentary and modern reconstruction. For this route, centre the composition on “Brahmavadini: Women Who Studied the Vedas, and the Closing”.","Child/classroom role: Compare who is speaking and whether the source is self-description, opponent report or later transmission. only if included in an approved vertical.",Rights review for sources/assets; community consent where identity or living knowledge is represented.,03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv; NONE LOCATED for accepted Pāli/Prakrit/Jain/Aśokan/Chinese-pilgrim corpus parity → route brief → correction/interaction acceptance.,RELEASE 2,retained context,"Route role is retained context; prominence follows evidence and museum value, not page count."
brahmi.html,"Brahmi Script: Origins, Naming, and the Tamil Dating Fight",current intended page,Current site route; exact 133-page inventory; full backlog; relevant deck/running-list material,BL-11; BL-18; BL-25; BL-26; BL-27; BL-28; BL-30; BL-31; BL-66; BL-67,"Use this page only for excavate context, date the layer and decide what the object can and cannot establish. Its published existence does not confer verified status.",public; scholar; child/classroom only through an approved adapted action,brahmi.html,06-BRIEFS/mvp-fifteen/07-keeladi.md; 06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/09-the-water-city.md; 03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv,site main prototypes/ only where threshold/field grammar applies,KEEP AS CONTEXT,uncertified unless an accepted record is named,partial; action in route map,partial or reading-only,live,"2224 visible words, 6 citation signals, 31 links; exact related routes: before-the-indus.html; excavation-bias-funding.html; indus-to-vedic-gap.html; keeladi.html; material-culture-ancient-south-asia.html; meluhha-trade.html; one-script-many-kingdoms.html","Convert the load-bearing propositions on Brahmi Script: Origins, Naming, and the Tamil Dating Fight into claim-to-record links; structural citation signals (6) are not verification.",No specific factual error established here; later claim audit remains required.,06-BRIEFS/mvp-fifteen/07-keeladi.md; 06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/09-the-water-city.md; 03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv,Rewrite only after claim-to-record mapping; retain as context when investigation value is low.,"Excavation/context view with trench, layer, object, date range and alternative reading; movement maps separate material from people and language. For this route, centre the composition on “Brahmi Script: Origins, Naming, and the Tamil Dating Fight”.","Child/classroom role: Excavate context, date the layer and decide what the object can and cannot establish. only if included in an approved vertical.",Rights review for sources/assets; community consent where identity or living knowledge is represented.,06-BRIEFS/mvp-fifteen/07-keeladi.md; 06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/09-the-water-city.md; 03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv → route brief → correction/interaction acceptance.,RELEASE 2,retained context,"Route role is retained context; prominence follows evidence and museum value, not page count."
bronkhorst.html,Bronkhorst and Greater Magadha: Auditing a Source We Rely On,current intended page,Current site route; exact 133-page inventory; full backlog; relevant deck/running-list material,BL-6; BL-15; BL-16; BL-17; BL-18; BL-31; BL-52,"Use this page only for compare who is speaking and whether the source is self-description, opponent report or later transmission. Its published existence does not confer verified status.",public; scholar; child/classroom only through an approved adapted action,bronkhorst.html,03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv; NONE LOCATED for accepted Pāli/Prakrit/Jain/Aśokan/Chinese-pilgrim corpus parity,site main prototypes/ only where threshold/field grammar applies,KEEP AS CONTEXT,uncertified unless an accepted record is named,partial; action in route map,partial or reading-only,live,"2252 visible words, 21 citation signals, 20 links; exact related routes: brahmavadini.html; how-buddhism-left.html; panini.html; the-broken-chain.html; the-computed-dawn.html; the-eastern-tradition.html; the-gods-people-had.html",Convert the load-bearing propositions on Bronkhorst and Greater Magadha: Auditing a Source We Rely On into claim-to-record links; structural citation signals (21) are not verification.,No specific factual error established here; later claim audit remains required.,03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv; NONE LOCATED for accepted Pāli/Prakrit/Jain/Aśokan/Chinese-pilgrim corpus parity,Rewrite only after claim-to-record mapping; retain as context when investigation value is low.,"Parallel source/voice viewer that distinguishes self-description, rival report, later commentary and modern reconstruction. For this route, centre the composition on “Bronkhorst and Greater Magadha: Auditing a Source We Rely On”.","Child/classroom role: Compare who is speaking and whether the source is self-description, opponent report or later transmission. only if included in an approved vertical.",Rights review for sources/assets; community consent where identity or living knowledge is represented.,03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv; NONE LOCATED for accepted Pāli/Prakrit/Jain/Aśokan/Chinese-pilgrim corpus parity → route brief → correction/interaction acceptance.,RELEASE 2,retained context,"Route role is retained context; prominence follows evidence and museum value, not page count."
