"passage_id","stanza","book","hymn","stanza_n","n_family_tokens","family_surfaces","family_lemmas","family_padas","family_morphology","n_padas","arnold_metre_labels","arnold_stratum_code","arnold_stratum","stratum_certainty","addressee","poet_group","stanza_properties_flags","samhita_text","padapatha","translations_present","translations_absent","source_id","retrieval_date","supports_page","notes"
"PUR-P-001","01.011.04","1","11","4","1","purā́m","púr-","a","a1 case=GEN|gender=F|number=PL","4","M M M M","N","Normal","certain","Indra","1. group: hymns of Madhucchandas","(none)","purā́m bhindúr yúvā kavír ámitaujā ajāyata / índro víśvasya kármaṇo dhartā́ vajrī́ puruṣṭutáḥ","purām | bhinduḥ | yuvā | kaviḥ | amita-ojāḥ | ajāyata | indraḥ | viśvasya | kamarṇaḥ | dhartā | vajrī | puru-stutaḥ","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-002","01.033.13","1","33","13","1","púraḥ","púr-","b","b4 case=ACC|gender=F|number=PL","4","M M M M","n","Normal","metrical-variations-only","Indra","2. group: hymns of Medhatithi","(none)","abhí sidhmó ajigād asya śátrūn ví tigména vr̥ṣabhéṇā púro 'bhet / sáṁ vájreṇāsr̥jad vr̥trám índraḥ prá svā́m matím atirac chā́śadānaḥ","abhi | sidhmaḥ | ajigāt | asya | śatrūn | vi | tigmena | vr̥ṣabheṇa | puraḥ | abhet | sam | vajreṇa | asr̥jat | vr̥tram | indraḥ | pra | svām | matim | atirat | śāśadānaḥ","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","Arnold assigns this stanza's period on metrical variations alone (lowercase code); lower confidence than the uppercase assignments. No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-003","01.051.05","1","51","5","1","púraḥ","púr-","c","c6 case=ACC|gender=F|number=PL","4","M M M M","C","Cretic","certain","Indra","7. group: hymns of Savya","(none)","tvám māyā́bhir ápa māyíno 'dhamaḥ svadhā́bhir yé ádhi śúptāv ájuhvata / tvám pípror nr̥maṇaḥ prā́rujaḥ púraḥ prá r̥jíśvānaṁ dasyuhátyeṣv āvitha","tvam | māyābhiḥ | apa | māyinaḥ | adhamaḥ | svadhābhiḥ | ye | adhi | śuptau | ajuhvata | tvam | piproḥ | nr̥-manaḥ | pra | arujaḥ | puraḥ | pra | r̥jiścānam | dasyu-hatyeṣu | āvitha","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-004","01.051.11","1","51","11","1","púraḥ","púr-","d","d5 case=ACC|gender=F|number=PL","4","M M M M","C","Cretic","certain","Indra","7. group: hymns of Savya","(none)","mándiṣṭa yád uśáne kāvyé sácām̐ índro vaṅkū́ vaṅkutárā́dhi tiṣṭhati / ugró yayíṁ nír apáḥ srótasāsr̥jad ví śúṣṇasya dr̥ṁhitā́ airayat púraḥ","mandiṣṭa | yat | uśane | kāvye | sacā | indraḥ | vaṅkūiti | vaṅku-tarā | adhi | tiṣṭhat i | ugraḥ | yayim | niḥ | apaḥ | srotasā | asr̥jat | vi | śuṣṇasya | dr̥ṁhitāḥ | airayat | puraḥ","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-005","01.053.07","1","53","7","2","purā́ púram","púr- púr-","b b","b1 case=INS|gender=F|number=SG ; b2 case=ACC|gender=F|number=SG","4","M M M M","C","Cretic","certain","Indra","7. group: hymns of Savya","(none)","yudhā́ yúdham úpa ghéd eṣi dhr̥ṣṇuyā́ purā́ púraṁ sám idáṁ haṁsy ójasā / námyā yád indra sákhyā parāváti nibarháyo námuciṁ nā́ma māyínam","yudhā | yudham | upa | gha | it | eṣi | dhr̥śṇu-yā | purā | puram | sam | idam | haṁsi | ojasā | namyā | yat | indra | sakhyā | parāvati | ni-barhayaḥ | namucm | nāma | māyinam","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","Carries 2 family tokens; a token-unit count would enter this passage more than once. No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-006","01.053.08","1","53","8","1","púraḥ","púr-","c","c5 case=ACC|gender=F|number=PL","4","M M M M","C","Cretic","certain","Indra","7. group: hymns of Savya","(none)","tváṁ kárañjam utá parṇáyaṁ vadhīs téjiṣṭhayātithigvásya vartanī́ / tváṁ śatā́ váṅgr̥dasyābhinat púro 'nānudáḥ páriṣūtā r̥jíśvanā","tvam | karañjam | uta | parṇayam | vadhīḥ | tejiṣṭhayā | atithi-gvasya | vartanī | tvam | śatā | varṅgedasya | abhinat | puraḥ | ananu-daḥ | pari-sūtāḥ | r̥jiśvanā","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-007","01.054.06","1","54","6","1","púraḥ","púr-","d","d2 case=ACC|gender=F|number=PL","4","M M M M","C","Cretic","certain","Indra","7. group: hymns of Savya","(none)","tvám āvitha náryaṁ turváśaṁ yáduṁ tváṁ turvī́tiṁ vayyàṁ śatakrato / tváṁ rátham étaśaṁ kŕ̥tvye dháne tvám púro navatíṁ dambhayo náva","tvam | āvitha | naryam | turvaśam | yadum | tvam | turvītim | vayyam | śatakrato itiśata-krato | tvam | ratham | etaśam | kr̥tvye | dhane | tvam | puraḥ | navatim | dambhayaḥ | nava","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-008","01.058.08","1","58","8","1","pūrbhíḥ","púr-","d","d3 case=INS|gender=F|number=PL","4","M M M M","A","Archaic","certain","Agni","8. group: hymns of Nodhas, descendant of Gotama","(none)","áchidrā sūno sahaso no adyá stotŕ̥bhyo mitramahaḥ śárma yacha / ágne gr̥ṇántam áṁhasa uruṣyórjo napāt pūrbhír ā́yasībhiḥ","acchidrā | sūno iti | sahasaḥ | naḥ | adya | stotr̥-bhyaḥ | mitra-mahaḥ | śarma | yaccha | agne | gr̥ṇantam | aṁhasaḥ | uruṣya | ūrjaḥ | napāt | pūḥ-bhiḥ | āyasībhiḥ","elizarenkova geldner grassmann griffith oldenberg_tr renou","macdonell mueller otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-009","01.061.05","1","61","5","1","purā́m","púr-","d","d1 case=GEN|gender=F|number=PL","4","MG MG MG MG","A","Archaic","certain","Indra","8. group: hymns of Nodhas, descendant of Gotama","(none)","asmā́ íd u sáptim iva śravasyéndrāyārkáṁ juhvāā̀ sám añje / vīráṁ dānaúkasaṁ vandádhyai purā́ṁ gūrtáśravasaṁ darmā́ṇam","asmai | it | oṁ iti | saptim-iva | śravasyā | indrāya | arkam | juhvā | sam | añje | vīram | dāna-okasam | vandadhyai | purām | gūrta-śravasam | darmāṇam","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-010","01.063.02","1","63","2","1","púraḥ","púr-","d","d1 case=ACC|gender=F|number=PL","4","M M M M","A","Archaic","certain","Indra","8. group: hymns of Nodhas, descendant of Gotama","(none)","ā́ yád dhárī indra vívratā vér ā́ te vájraṁ jaritā́ bāhvór dhāt / yénāviharyatakrato amítrān púra iṣṇā́si puruhūta pūrvī́ḥ","ā | yat | harī iti | indra | vi-vratā | veḥ | ā | te | vajram | jaritā | bāhvoḥ | dhāt | yena | aviharyatakrato ity aviharyata-krato | amitrān | puraḥ | iṣṇāsi | puru-hūta | pūrvīḥ","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
