"absence_id","what_evidence_should_exist","where_it_should_be","probability_it_was_produced","probability_it_survived","excavation_or_sampling_coverage","accessibility","could_we_recognise_it","alternative_reasons_for_non_detection","absence_type","absence_type_qualifier","what_this_absence_licenses","source_id","locator","retrieval_date"
"DK-A-001","A vocabulary of writing in the Rigveda: a verb of writing, a noun for a script, a letter, a document, a writing surface, ink, a pen or a scribe.","The Zurich lemma inventory of the pinned Rigveda, 10,031 lemmas over 164,758 tokens.","Not applicable in the archaeological sense. The relevant probability is that a liturgical corpus of praise poetry would use such vocabulary if its composers had it. That probability is not estimated here and is not needed for the typing: the search is of a complete text, not of a sample.","Total. The corpus survives complete in a fixed transmitted form; that is what makes this the one absence in the domain that can be searched exhaustively.","100% of the corpus, by lemma. 97.0% of lemmas and 98.5% of tokens carry a Grassmann gloss, so the gloss-based half of the search is blind to 296 lemmas.","Full. The corpus, its morphology and four translations are retrievable and pinned (SRC-106, SRC-107).","Yes for the lexicon, with one limit stated: a passage describing writing entirely in vocabulary that is neither in the candidate list nor glossed in the writing field would be missed, and 296 lemmas carry no gloss at all. Two independent instruments were used - a declared candidate list and a gloss scan of the whole lexicon - and they agree.","Semantic drift, which the search is built to catch rather than to suffer: akṣára- and várṇa- both later mean 'written character' and both are present in other senses (DK-R-008, DK-R-015). Grassmann's glosses are 1870s judgements and could in principle under-record a writing sense; no retrievable source could be used to check them, because every dictionary and article is blocked.","ABSENT DESPITE ADEQUATE SEARCH","","That the Rigveda's lexicon, as lemmatised by Zurich and glossed by Grassmann, contains no word for writing. It licenses nothing about what the composers knew, saw or could do: that inference needs the archive audit at APA-K-001, which blocks it.","SRC-106; SRC-107","03-REGISTERS/domain-k-rigveda-lexicon.csv DK-R-002, DK-R-003; 04-AUDITS/rv-writing-lexicon-scan.py","2026-09-09"
"DK-A-002","A vocabulary of sealing in the Rigveda: a seal, a stamp, an impression, a sealed container, an act of sealing.","Same corpus and same lexicon.","Same as DK-A-001.","Total.","100% by lemma; same 97.0% gloss coverage.","Full.","Yes. The gloss scan for Siegel, Stempel, Abdruck, prägen and sigillum returned not one hit in the whole lexicon - no true positives and no false positives either, which is the cleanest result in the scan.","A sealing practice described without any sealing noun - for instance as 'closing' or 'binding' - would be missed. √grath- 'to knot' and its derivatives are in the corpus in the sense of knotting, and no retrievable source connects them to sealing.","ABSENT DESPITE ADEQUATE SEARCH","","That no Rigvedic lemma is glossed as a seal, stamp or impression. It does not license any claim about whether Rigvedic-period people encountered sealed goods.","SRC-106; SRC-107","DK-R-004; 04-AUDITS/domain-k-glossscan.csv, SEAL field","2026-09-09"
"DK-A-003","A Rigvedic passage describing anyone making or reading a durable graphic sign.","The 224 stanzas in which the corpus's marking, incising and sign vocabulary occurs, read in two translations.","Same as DK-A-001.","Total.","232 occurrences of 19 lemmas, every stanza carrying both a Griffith and a Geldner rendering, 0 missing. This is not 100% of the corpus: it is 100% of the vocabulary the two searches identified as relevant.","Full.","Partly. A description using none of the 19 lemmas would be missed, and the corpus was not read stanza by stanza in this unit. What was done is stated exactly: a bilingual keyword scan of both translations across all 232 occurrences, returning six stanzas, none about writing (DK-R-012).","The translations are the recognition instrument, and both belong to one philological tradition (DEP-021). A passage where the Sanskrit describes inscribing and both translators rendered it as adorning or cutting would be invisible to this method. That is a real limit and it is why this absence is typed one step weaker than DK-A-001 and DK-A-002.","NOT RECOGNISED","possible, and not excluded","Nothing on its own. It records that the strongest search this unit could run over the marking vocabulary found no writing scene, while leaving open that the instrument could miss one. Reading the 224 stanzas in Sanskrit, and the rest of the corpus, is the owed work; HOLD-008.","SRC-072; SRC-073; SRC-106","03-REGISTERS/domain-k-rigveda-marking-occurrences.csv, all 232 rows; DK-R-012","2026-09-09"
"DK-A-004","An unambiguous Rigvedic description of INDUS writing specifically - a passage identifying signs, their makers or their users with the material culture of the Indus cities.","Same corpus.","Two conditions must hold: that the composers encountered the signs, and that a praise-poetry corpus would record the encounter. Neither is estimated here, and the second is where the archive audit bites: this corpus records what patrons paid to have sung.","Total.","As DK-A-003: the vocabulary, not the whole corpus.","Full.","No, and this is the decisive field. Even a passage describing signs on stone would not identify them as Indus. Identification would require a named place, a named people or an object description specific enough to match - and matching it would need the Indus side, which is blocked (SRC-109 to SRC-114).","The absence may be an absence of the encounter, an absence of the genre's interest, an absence of our ability to identify a description as Indus, or an absence in the surviving redaction. This unit cannot distinguish them.","NOT RECOGNISED","","Nothing. This is the domain's headline absence and it is the one that licenses least. It is recorded so that the headline cannot be used as evidence for institutional rupture, population change, or the script's death - none of which follows from it.","SRC-106; SRC-107","§4.K; DK-R-003, DK-R-012; the Indus-side blockage at SRC-109, SRC-110, SRC-111","2026-09-09"
"DK-A-005","A balance, a pair of scales or a unit of weight in the Rigvedic lexicon, to set against the standardised weights of the Indus cities.","Same lexicon.","Same as DK-A-001.","Total.","100% by lemma.","Full.","Yes, and by two instruments after review. The candidate census finds tulā- 'balance' absent; the gloss scan's weight field returns 18 adjudicated true hits and none of them is a balance or a weight unit. The corpus does have measures - Masstab, Hohlmass, Messschnur, Wegmass, a measuring rod - and DK-R-014 now says so.","A weight could be named by an object word - a stone, a grain - without any metrological term, and the corpus would then be silent about weighing while using weights. Grassmann's glosses are 1870s judgements and no dictionary was reachable to check them. The one counterweight in the field is Geldner's uncertain parenthesis at triviṣṭidhā́tu-.","ABSENT DESPITE ADEQUATE SEARCH","","That the Rigvedic lexicon has no balance and no weight unit, while having measures of length, distance and capacity and the language of shares, debts, tribute and price. It licenses no inference about Indus weights, which were not examined in this session at all.","SRC-106; SRC-107","DK-R-013, DK-R-014, DK-R-016; 04-AUDITS/domain-k-glossscan.csv, WEIGHT field","2026-09-09"
"DK-A-006","Indus signs on perishable media: cloth, palm leaf, bark, wood, hide.","Indus settlements across the Greater Indus region.","Unknown and not estimable from anything retrieved here. The proposition that a sign system used on stone and clay was also used on perishables is a hypothesis (DK-H-005), not a background assumption.","Very low in the alluvial and semi-arid Indus environments, on general preservation grounds. No retrieved source establishes a preservation rate, because no excavation report was reachable (SRC-111).","Unmeasurable here. No excavated-area figure for any Indus site was retrieved.","None. Every excavation report, site monograph and museum catalogue is blocked.","Probably not, and this matters more than the survival question: an unlabelled organic fragment with faded marks is not recognisable as inscribed unless someone is looking.","Non-production, non-survival, non-excavation and non-recognition are all live, and this session can rank none of them.","NOT PRESERVED","asserted on general grounds, not measured here","Nothing. In particular it does not license the common move of positing a lost manuscript literature to explain the shortness of the surviving texts. That move is registered as DK-H-005 and gated NOT-ELIGIBLE-SOURCE-BLOCKED.","SRC-111","§4.K 'durability'; 05-HOLDS/HOLD-008-indus-corpus-and-literature.md","2026-09-09"
"DK-A-007","Indus sealings, impressions and tablets - the object classes §4.K names alongside seals.","The retrieved corpus, and the excavation record it derives from.","High: these classes are attested in the literature and the retrieved digitization's README refers to sealings.","Not at issue. The absence is in this session's reach, not in the ground.","Zero. The one machine-readable corpus reachable here contains 179 objects and all 179 are seals (DK-M-018).","None. CISI, ICIT and the ASI reports are all blocked (SRC-109, SRC-110, SRC-111).","Yes, trivially, if the data were reachable.","There is only one reason for non-detection here and it is this session's network policy.","NOT ACCESSIBLE","","Nothing about the ancient world. It bounds this unit: no claim about sealings, impressions or tablets - and therefore no claim about administrative or economic function resting on them - can be made from this record at all.","SRC-102; SRC-109; SRC-110; SRC-111","DK-M-003, DK-M-018","2026-09-09"
"DK-A-008","Find-spot, stratum, date, material, dimensions and museum number for the 179 objects that were retrieved.","The retrieved digitization's records.","High: CISI carries this information for its objects.","Not at issue.","Zero: the records carry three fields, id, description and graphemes (DK-M-016).","None, for the same reason as DK-A-007.","Yes.","A single reason: the derivative was built for graphemic analysis and dropped the archaeological context.","NOT PUBLISHED","in the retrieved derivative only: CISI carries these fields and CISI is blocked here","Nothing about the material. It is the reason every distributional and functional question in §4.K is unanswerable in this unit, and it is why 'distribution' and 'post-urban survival' have no measurement rows.","SRC-102","DK-M-016","2026-09-09"
"DK-A-009","Evidence bearing on when Indus sign use ended, and on whether any sign use continued after the cities.","Stratified late and post-urban contexts across the Indus region; published sequences.","Unknown here.","Unknown here.","Unmeasurable here.","None. Not one dated context, sequence or site report was retrieved.","Not applicable: nothing was searched that could have contained it.","The only reason for non-detection in this session is inaccessibility.","NOT ACCESSIBLE","","Nothing whatever. §4.K's 'post-urban survival' and 'whether the script had already become unreadable' are recorded in this unit as open questions with no evidence attached, and the hypotheses that address them are gated NOT-ELIGIBLE-SOURCE-BLOCKED rather than judged.","SRC-109; SRC-110; SRC-111; SRC-113; SRC-114","05-HOLDS/HOLD-008-indus-corpus-and-literature.md; 03-REGISTERS/domain-k-hypothesis-eligibility.csv DK-H-002, DK-H-006","2026-09-09"
"DK-A-010","A bilingual or bi-scriptal object pairing Indus signs with a known writing system.","Indus sites, and Mesopotamian, Gulf and Iranian sites in contact with them.","Low on the face of it - such objects are rare in any contact situation - but no retrieved source supports even that.","Unknown here.","Unmeasurable here.","None retrieved.","Yes, if it existed and were published: it is the object the field would most notice.","Non-production and non-survival are both live; so is the possibility that a bilingual exists and this session simply cannot read the literature.","NOT ACCESSIBLE","","Nothing. Recorded because the absence of a bilingual is the standard explanation for the script's undeciphered status, and this record cannot confirm even that standard fact from a source.","SRC-109; SRC-113; SRC-114","§4.K; DK-H-001","2026-09-09"
