"screen_id","stage","screen_title","claim_ids","lowest_status","badge_ceiling","verifying_unit","note"
"CP-1.1","Look","One line","PUR-P-041; PUR-005","VERIFIED","FOUND","","The object is a line of text in four editions. Nothing is claimed beyond the line existing at that address."
"CP-1.2","Look","What the line says - and who says so","PUR-P-041; PUR4J-002; PUR4J-012; PUR4J-021; PUR-005","VERIFIED","FOUND","","FOUND attaches only to 'the poem says it'. The second badge on the same screen is WE DON'T KNOW / whether it happened."
"CP-2.1","Ask","Your questions","(none - no evidence shown)","n/a","n/a","","Question cards map onto real mk:qst: nodes. The child's own question is local only, per framework 10.4.5."
"CP-3.1","Find out","How many? - one word can carry a hundred forts","PUR-005; PUR4J-001; PUR4J-002; PUR4J-003; PUR4J-004; PUR4J-006; PUR4J-009; PUR4J-020; PUR-P-041; PUR4J-026","PROVISIONAL","FOUND on the measurements; WE THINK on the balance card","U-5","Screen conclusion is WE DON'T KNOW / the poem doesn't say. Includes the required WE WERE WRONG card correcting MelaKeela's own ninety-nine headline from PUR4J-003. Balance card required and shown last: PUR4J-026, all six ninety-nine passages are textual strongholds - the number behaving like a formula does not make the passage one."
"CP-3.2","Find out","Made of what? - the only stone one","PUR4J-012; PUR4J-013; PUR4J-014; PUR4J-023; PUR-P-041","PROVISIONAL","WE THINK","U-5","PUR4J-013 is PROVISIONAL: a hand classification, demoted from VERIFIED on review. The COMPARE card may not be badged FOUND, and PUR4J-013's own recorded alternative (3 of 8 rather than 1 of 8) is shown on the card's reverse. PUR4J-014 records the stone and unbaked passages as two data points and not a pattern: n=1 on each side."
"CP-3.3","Find out","Where? - the map that stays empty","PUR4J-017; PUR4J-018; PUR4J-028","VERIFIED","FOUND","","Screen conclusion is WE DON'T KNOW / the poem doesn't say. The map places no pin: a pin would be fabricated evidence under 10.4.4."
"CP-3.4","Find out","When? - the weakest link in the whole chain","PUR-011; PUR-012; PUR-013; PUR-014; PUR-015; PUR-016; PUR-017; PUR-018; PUR-019; PUR-020; PUR-021; PUR-026; PUR-028; PUR-P-041; DE-M-027; APA-E-006","HYPOTHESIS","MAYBE","U-2; U-3","PUR-028 is the load-bearing HYPOTHESIS of the whole investigation: that Arnold's five metrical periods correspond to real stages of composition. The screen is built to expose it. No composition date is asserted and the timeline carries no years."
"CP-3.5","Find out","Has anyone dug? - the museum's own notebook","(no claim about the ground); 02-SOURCES/access-ledger.csv as read 2026-09-09; HOLD-008","VERIFIED (about our ledger only)","FOUND / WE DON'T KNOW","U-1","FOUND attaches only to 'our ledger contains no excavation source', which the child checks against the real file. The ground question carries no claim at all, which is why it is WE DON'T KNOW / we haven't looked yet and not a claim badged low."
"CP-3.6","Find out","What is a 'fort', anyway? - the word is ours, not the poem's","PUR4J-015; PUR4J-020; PUR4J-021; PUR4J-022; PUR4J-025; PUR4J-I-03","PROVISIONAL","WE THINK","U-5; U-6","Ends on PUR4J-I-03's own evidence_against field, shown to the child: 48 of 103 passages present a fort as a real object in the story. The balance check is on the screen, not in a footnote."
"CP-3.7","Find out","Who lived in them? - read only, and here is why","PUR4J-030; PUR-022; PUR-027; pur-translation-standard.md section 10","HYPOTHESIS","WE DON'T KNOW","(none proposed - deliberate)","No interaction of any kind. Framework 10.4.7: the material is read, with its status and its date, not operated. No verifying unit is named because no unit would make this card assert who held the forts."
"CP-4.1","Decide","What do you think?","(reflects upstream); PUR-028 via the 'when' option","HYPOTHESIS","MAYBE on that option only","U-2; U-3","The three sentences: what the poem claims / what the ground shows / where the two do not meet. Sentence two offers exactly two completions and neither says the ground agrees or disagrees. No submit button."
"CP-5.1","Check","What the museum thinks, and how sure it is","PUR4J-I-01; PUR4J-I-02; PUR4J-I-03; PUR-026; PUR-028","HYPOTHESIS","MAYBE on card 3","U-2","Three cards, not one. Card 2 carries the museum's own logged failure BF-014 in the child's words. Card 3 shows both badges rather than the better one."
"CP-5.2","Check","Where you agreed, and where you differed","(reflects upstream)","n/a","n/a","","No score, no match count, no badge awarded to the child. Framework 10.4.3 stage 5: a difference is presented as interesting, not wrong."
"CP-5.3","Check","What would change our minds","(conditions, not claims); drawn from PUR4J-I-01 falsifier; HOLD-008; PUR-028; PUR4J-023","n/a","n/a","U-1; U-2; U-4","Falsifiers taken from the registers' own falsifier fields, not invented for the screen."
"CP-5.4","Check","The one thing to take away","(reflects upstream); PUR-028","HYPOTHESIS","as CP-4.1","U-2; U-3","Ends on 'not because the poem is lying' - the refusal of the deflationary reading, per the section 11.2 adversarial test."
