occ_id,river_name,reference,stanza,pada,token_index,surface,lemma,morphology,book,arnold_stratum_code,source_id,retrieval_date,note
HYD-001,Anitabhā,RIVER,05.053.09,a,4,ánitabhā,ánitabhā-,case=NOM|gender=F|number=SG,5,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,
HYD-002,Asiknī,AMBIGUOUS,04.017.15,a,1,ásiknyām,ásita-,case=LOC|gender=F|number=SG,4,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,"Lemmatised under ásita- 'black'. Only 10.75.5, inside the Nadīstuti river list, is typed RIVER; the other five may be the ordinary adjective and are typed AMBIGUOUS."
HYD-003,Asiknī,AMBIGUOUS,07.005.03,a,5,ásiknīḥ,ásita-,case=NOM|gender=F|number=PL,7,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,"Lemmatised under ásita- 'black'. Only 10.75.5, inside the Nadīstuti river list, is typed RIVER; the other five may be the ordinary adjective and are typed AMBIGUOUS."
HYD-004,Asiknī,AMBIGUOUS,08.020.25,a,4,ásiknyām,ásita-,case=LOC|gender=F|number=SG,8,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,"Lemmatised under ásita- 'black'. Only 10.75.5, inside the Nadīstuti river list, is typed RIVER; the other five may be the ordinary adjective and are typed AMBIGUOUS."
HYD-005,Asiknī,AMBIGUOUS,09.073.05,d,2,ásiknīm,ásita-,case=ACC|gender=F|number=SG,9,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,"Lemmatised under ásita- 'black'. Only 10.75.5, inside the Nadīstuti river list, is typed RIVER; the other five may be the ordinary adjective and are typed AMBIGUOUS."
HYD-006,Asiknī,AMBIGUOUS,10.003.01,d,1,ásiknīm,ásita-,case=ACC|gender=F|number=SG,10,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,"Lemmatised under ásita- 'black'. Only 10.75.5, inside the Nadīstuti river list, is typed RIVER; the other five may be the ordinary adjective and are typed AMBIGUOUS."
HYD-007,Asiknī,RIVER,10.075.05,c,1,asiknyā́,ásita-,case=INS|gender=F|number=SG,10,n,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,"Lemmatised under ásita- 'black'. Only 10.75.5, inside the Nadīstuti river list, is typed RIVER; the other five may be the ordinary adjective and are typed AMBIGUOUS."
HYD-008,Dṛṣadvatī,RIVER,03.023.04,c,1,dr̥ṣádvatyām,dr̥ṣádvatī-,case=LOC|gender=F|number=SG,3,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,
HYD-009,Gaṅgā,DERIVATIVE,06.045.31,c,4,gāṅgyáḥ,gāṅgyá-,case=NOM|gender=M|number=SG,6,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,"One occurrence, the vocative gaṅge at 10.75.5. gāṅgyáḥ at 6.45.31 is masculine and is a personal name; typed DERIVATIVE."
HYD-010,Gaṅgā,RIVER,10.075.05,a,3,gaṅge,gaṅgā-,case=VOC|gender=F|number=SG,10,n,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,"One occurrence, the vocative gaṅge at 10.75.5. gāṅgyáḥ at 6.45.31 is masculine and is a personal name; typed DERIVATIVE."
HYD-011,Gomatī,NOT-RIVER,01.008.08,b,2,gómatī,gómant-,case=NOM|gender=F|number=SG,1,s,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-012,Gomatī,NOT-RIVER,01.009.07,a,2,gómat,gómant-,case=ACC|gender=N|number=SG,1,s,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-013,Gomatī,NOT-RIVER,01.011.03,c,3,gómataḥ,gómant-,case=GEN|gender=M|number=SG,1,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-014,Gomatī,NOT-RIVER,01.011.05,a,3,gómataḥ,gómant-,case=GEN|gender=M|number=SG,1,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-015,Gomatī,NOT-RIVER,01.030.17,c,1,gómat,gómant-,case=NOM|gender=N|number=SG,1,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-016,Gomatī,NOT-RIVER,01.048.02,a,2,gómatīḥ,gómant-,case=NOM|gender=F|number=PL,1,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-017,Gomatī,NOT-RIVER,01.048.12,c,4,gómat,gómant-,case=ACC|gender=N|number=SG,1,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-018,Gomatī,NOT-RIVER,01.048.15,d,3,gómatīḥ,gómant-,case=ACC|gender=F|number=PL,1,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-019,Gomatī,NOT-RIVER,01.079.04,a,3,gómataḥ,gómant-,case=GEN|gender=M|number=SG,1,a,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-020,Gomatī,NOT-RIVER,01.085.03,a,1,gómātaraḥ,gómātar-,case=NOM|gender=M|number=PL,1,n,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
