"prefix","entity","allocator_file","shared_key_files","pattern","padding","current_max","deprecated_aliases","cross_file_rule","notes"
"SRC","retrieval event / source","02-SOURCES/access-ledger.csv","","SRC-NNN","3","SRC-089","","UNIQUE-IN-ALLOCATOR; referenced everywhere","A row is a timestamped probe, not a standing property (D-042). A re-probe gets a NEW id and the old row is marked SUPERSEDED."
"DEP","declared dependence between two sources","02-SOURCES/dependency.csv","","DEP-NNN","3","DEP-026","","UNIQUE-IN-ALLOCATOR",""
"D","owner decision","09-DECISIONS/OWNER-DECISIONS.csv","09-DECISIONS/DECISION-ID-MAP.csv","D-NNN","3","D-053","see DECISION-ID-MAP.csv","UNIQUE-IN-ALLOCATOR; the map is an alias table and may repeat an id","Allocate the next free number from the CSV, never from the highest seen in a document."
"HD","inherited handoff owner decision","NONE - closed series","03-REGISTERS/inherited-claims.csv; 09-DECISIONS/DECISION-ID-MAP.csv","HD-NN","2","HD-20","D-01 to D-20 in 01-INHERITED/ and 00-CONTROLLER/RESEARCH-CONSTITUTION.md","NO-ALLOCATION","INHERITED-UNVERIFIED. Gets no OWNER-DECISIONS.csv row; a register row would promote it by clerical act."
"C","controller conflict","00-CONTROLLER/CONTROLLER-RECONCILIATION.md","","C-N","0","C-9","collides by normalisation with inherited correction series C-01 to C-41","PROSE-ONLY","The leading zero is load-bearing and nothing enforces it. CR-012. Renaming to RCF-00N is proposed by the 2026-09-07 audit and not adopted."
"CR","control-plane contradiction","00-CONTROLLER/CONTRADICTION-REGISTER.csv","","CR-NNN","3","CR-021","","UNIQUE-IN-ALLOCATOR","Distinct from IC- (evidence contradictions)."
"MH","migration hold","04-AUDITS/MIGRATION-HOLDS.csv","","MH-NNN","3","MH-007","","UNIQUE-IN-ALLOCATOR","Distinct from HOLD- (blocked on a source)."
"OVR","validation override","04-AUDITS/OVERRIDE-LOG.csv","","OVR-NNN","3","NONE ISSUED","","UNIQUE-IN-ALLOCATOR",""
"HOLD","claim blocked on source access","05-HOLDS/","","HOLD-NNN","3","HOLD-006","","ONE-FILE-PER-ID","The identifier brief reports through HOLD-004 and is a dated snapshot."
"BF","method failure","04-AUDITS/BIAS-FAILURE-LOG.csv","","BF-NNN","3","BF-017","","UNIQUE-IN-ALLOCATOR","No BF-E- series exists and none ever did."
"RA","re-audit item","04-AUDITS/REAUDIT-QUEUE.csv","","RA-NNN","3","RA-018","","UNIQUE-IN-ALLOCATOR","No RA-E- series exists and none ever did."
"APA-E","archive and power audit row","04-AUDITS/ARCHIVE-AND-POWER-AUDIT.csv","","APA-E-NNN","3","APA-E-006","","UNIQUE-IN-ALLOCATOR","Domain-scoped suffix. Whether mandated registers accumulate or split per domain is D-036/D-039."
"IC-E","internal evidence contradiction, domain E","04-AUDITS/INTERNAL-CONTRADICTIONS.csv","","IC-E-NNN","3","IC-E-004","","UNIQUE-IN-ALLOCATOR",""
"IC-P","internal evidence contradiction, pur- unit","04-AUDITS/INTERNAL-CONTRADICTIONS.csv","","IC-P-NNN","3","IC-P-001","","UNIQUE-IN-ALLOCATOR",""
"BL","backlog item","06-BACKLOG/BACKLOG-COVERAGE.csv","06-BACKLOG/BACKLOG-v2-ITEMS.md","BL-NNN","3","BL-089","BL-1 to BL-89 unpadded, in dated briefs","UNIQUE-IN-ALLOCATOR",""
"PROG","programme","06-BACKLOG/BACKLOG-COVERAGE.csv","","PROG-NN","2","PROG-06","","UNIQUE-IN-ALLOCATOR","Unnumbered in the original and placed between items 65 and 66. NOT items 90-95."
"IH","inherited claim","03-REGISTERS/inherited-claims.csv","","IH-NNN","3","IH-369","","UNIQUE-IN-ALLOCATOR","Generated by 04-AUDITS/inherited-claims-extraction.py."
"HYP-E","hypothesis eligibility, global register","03-REGISTERS/HYPOTHESIS-ELIGIBILITY.csv","","HYP-E-NNN","3","HYP-E-009","","UNIQUE-IN-ALLOCATOR","Numbering starts at 000. Relationship to the E- series in domain-e-hypothesis-eligibility.csv is unmapped. CR-003, D-053."
"E","hypothesis eligibility, domain E register","03-REGISTERS/domain-e-hypothesis-eligibility.csv","","E-N","0","E-11","","UNIQUE-IN-ALLOCATOR","Unpadded and one character wide; collides on a bare grep with any other E- string. CR-003, D-053."
"DME","domain E claim","03-REGISTERS/domain-e-claims.csv","","DME-NNN","3","DME-026","","UNIQUE-IN-ALLOCATOR",""
"DE-M","domain E measurement","03-REGISTERS/domain-e-measurements.csv","","DE-M-NNN","3","DE-M-030","","UNIQUE-IN-ALLOCATOR",""
"DE-I","domain E interpretation","03-REGISTERS/domain-e-interpretations.csv","","DE-I-NNN","3","DE-I-010","","UNIQUE-IN-ALLOCATOR",""
"DE-CAND","CDIAL loan candidate","03-REGISTERS/domain-e-cdial-loan-candidates.csv","","DE-CAND-NNN","3","DE-CAND-289","","UNIQUE-IN-ALLOCATOR",""
"EM","domain E evidence mass measure","03-REGISTERS/domain-e-evidence-mass.csv","","EM-NN","2","EM-22","","UNIQUE-IN-ALLOCATOR",""
"GEO-DR","Dravidian geography measure","03-REGISTERS/domain-e-geography.csv","","GEO-DR-NN","2","GEO-DR-06","","UNIQUE-IN-ALLOCATOR",""
"GEO-MU","Munda geography measure","03-REGISTERS/domain-e-geography.csv","","GEO-MU-NN","2","GEO-MU-06","","UNIQUE-IN-ALLOCATOR",""
"HYD","hydronym occurrence","03-REGISTERS/domain-e-hydronyms.csv","","HYD-NNN","3","HYD-469","","UNIQUE-IN-ALLOCATOR",""
"RES","retroflex residue lemma","03-REGISTERS/domain-e-retroflex-residue.csv","","RES-NNN","3","RES-253","","UNIQUE-IN-ALLOCATOR",""
"BR-E","cross-domain bridge","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","","BR-E-NNN","3","BR-E-008","","UNIQUE-IN-ALLOCATOR",""
"DEDR-L","DEDR digitisation lineage claim","03-REGISTERS/dedr-digitisation-lineage.csv","","DEDR-L-NNN","3","DEDR-L-008","","UNIQUE-IN-ALLOCATOR",""
"DMB","domain M Brahui claim","03-REGISTERS/domain-m-brahui-position.csv","","DMB-NNN","3","DMB-026","","UNIQUE-IN-ALLOCATOR",""
"PUR","pur- family claim","03-REGISTERS/rigveda-pur-family.csv","","PUR-NNN","3","PUR-028","","UNIQUE-IN-ALLOCATOR",""
"PUR-OCC","pur- family occurrence","03-REGISTERS/rigveda-pur-family-occurrences.csv","","PUR-OCC-NNN","3","PUR-OCC-106","","UNIQUE-IN-ALLOCATOR",""
"PUR-P","section 4J passage (stanza)","03-REGISTERS/rigveda-pur-passages.csv","03-REGISTERS/rigveda-pur-fields.csv; 03-REGISTERS/rigveda-pur-typology.csv","PUR-P-NNN","3","PUR-P-103","","SHARED-KEY","One passage, three registers keyed on it. The row unit is the stanza; D-044 asks whether that is right."
"PUR-N","numeral-with-fort verdict","03-REGISTERS/rigveda-pur-counts.csv","","PUR-N-NNN","3","PUR-N-049","","UNIQUE-IN-ALLOCATOR",""
"PUR4J","section 4J claim","03-REGISTERS/rigveda-pur-4j-claims.csv","","PUR4J-NNN","3","PUR4J-032","","UNIQUE-IN-ALLOCATOR",""
"PUR4J-I","section 4J interpretation","03-REGISTERS/rigveda-pur-4j-interpretations.csv","","PUR4J-I-NNN","3","PUR4J-I-003","","UNIQUE-IN-ALLOCATOR",""
"VAR","varna- claim","03-REGISTERS/rigveda-varna.csv","","VAR-NNN","3","VAR-009","","UNIQUE-IN-ALLOCATOR",""
"VAR-OCC","varna- occurrence","03-REGISTERS/rigveda-varna-occurrences.csv","","VAR-OCC-NNN","3","VAR-OCC-023","","UNIQUE-IN-ALLOCATOR",""
"CS","claim-source join row","03-REGISTERS/CLAIM-SOURCES.csv","","CS-NNNNN","5","generated","","UNIQUE-IN-ALLOCATOR","Generated by 04-AUDITS/claim-sources-build.py; do not hand-edit."
"IG","source independence group","03-REGISTERS/CLAIM-SOURCES.csv","","IG-NNN","3","generated","","DERIVED","A connected component of 02-SOURCES/dependency.csv. Conservative: same group means MAY NOT be counted as independent; different groups means not yet shown dependent, NOT proven independent."
