"claim_id","register","register_line","evidence_status","interpretive_status","editorial_status","publication_status","status_reason","superseded_by","migrated_from_status_cell","migration_state","migration_hold"
"HYP-E-000","03-REGISTERS/HYPOTHESIS-ELIGIBILITY.csv","2","PROVISIONAL","ELIGIBLE","NOT-RECORDED","NOT-RECORDED","","","PROVISIONAL","MIGRATED",""
"HYP-E-001","03-REGISTERS/HYPOTHESIS-ELIGIBILITY.csv","3","PROVISIONAL","ELIGIBLE","NOT-RECORDED","NOT-RECORDED","","","PROVISIONAL","MIGRATED",""
"HYP-E-002","03-REGISTERS/HYPOTHESIS-ELIGIBILITY.csv","4","PROVISIONAL","NOT-ELIGIBLE","NOT-RECORDED","NOT-RECORDED","","","PROVISIONAL","MIGRATED",""
"HYP-E-003","03-REGISTERS/HYPOTHESIS-ELIGIBILITY.csv","5","HOLD","NOT-ELIGIBLE","NOT-RECORDED","NOT-RECORDED","gate qualifier: FOR LACK OF SOURCES, NOT FOR LACK OF MERIT","","HOLD","MIGRATED",""
"HYP-E-004","03-REGISTERS/HYPOTHESIS-ELIGIBILITY.csv","6","HOLD","NOT-ELIGIBLE","NOT-RECORDED","NOT-RECORDED","gate qualifier: FOR LACK OF SOURCES","","HOLD","MIGRATED",""
"HYP-E-005","03-REGISTERS/HYPOTHESIS-ELIGIBILITY.csv","7","HOLD","NOT-ELIGIBLE","NOT-RECORDED","NOT-RECORDED","","","HOLD","MIGRATED",""
"HYP-E-006","03-REGISTERS/HYPOTHESIS-ELIGIBILITY.csv","8","HOLD","ELIGIBLE","NOT-RECORDED","NOT-RECORDED","gate qualifier: when the Brahui literature is retrievable","","HOLD","MIGRATED",""
"HYP-E-007","03-REGISTERS/HYPOTHESIS-ELIGIBILITY.csv","9","HOLD","NOT-ELIGIBLE","NOT-RECORDED","NOT-RECORDED","gate qualifier: pending sources","","HOLD","MIGRATED",""
"HYP-E-008","03-REGISTERS/HYPOTHESIS-ELIGIBILITY.csv","10","INHERITED-UNVERIFIED","DEFERRED","NOT-RECORDED","NOT-RECORDED","gate qualifier: domain K and packet R20","","INHERITED-UNVERIFIED","MIGRATED",""
"HYP-E-009","03-REGISTERS/HYPOTHESIS-ELIGIBILITY.csv","11","INHERITED-UNVERIFIED","DEFERRED","NOT-RECORDED","NOT-RECORDED","gate qualifier: domain K and packet R20","","INHERITED-UNVERIFIED","MIGRATED",""
"DEDR-L-001","03-REGISTERS/dedr-digitisation-lineage.csv","2","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","supports_page names 'the-northwest-cousin.html' without a publication marker; publication state is not inferred from a page existing","","VERIFIED","MIGRATED",""
"DEDR-L-002","03-REGISTERS/dedr-digitisation-lineage.csv","3","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","supports_page names 'the-northwest-cousin.html' without a publication marker; publication state is not inferred from a page existing","","VERIFIED","MIGRATED",""
"DEDR-L-003","03-REGISTERS/dedr-digitisation-lineage.csv","4","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","supports_page names 'the-northwest-cousin.html' without a publication marker; publication state is not inferred from a page existing","","VERIFIED","MIGRATED",""
"DEDR-L-004","03-REGISTERS/dedr-digitisation-lineage.csv","5","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","supports_page names 'the-northwest-cousin.html' without a publication marker; publication state is not inferred from a page existing","","VERIFIED","MIGRATED",""
"DEDR-L-005","03-REGISTERS/dedr-digitisation-lineage.csv","6","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","supports_page names 'the-northwest-cousin.html' without a publication marker; publication state is not inferred from a page existing","","VERIFIED","MIGRATED",""
"DEDR-L-006","03-REGISTERS/dedr-digitisation-lineage.csv","7","HYPOTHESIS","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","supports_page names 'the-northwest-cousin.html' without a publication marker; publication state is not inferred from a page existing","","HYPOTHESIS","MIGRATED",""
"DEDR-L-007","03-REGISTERS/dedr-digitisation-lineage.csv","8","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","supports_page names 'the-northwest-cousin.html' without a publication marker; publication state is not inferred from a page existing","","VERIFIED","MIGRATED",""
"DEDR-L-008","03-REGISTERS/dedr-digitisation-lineage.csv","9","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","supports_page names 'the-northwest-cousin.html' without a publication marker; publication state is not inferred from a page existing","","VERIFIED","MIGRATED",""
"DME-001","03-REGISTERS/domain-e-claims.csv","2","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","supports_page names 'none — infrastructure' without a publication marker; publication state is not inferred from a page existing","","VERIFIED","MIGRATED",""
"DME-002","03-REGISTERS/domain-e-claims.csv","3","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DME-003","03-REGISTERS/domain-e-claims.csv","4","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
