"query","root","class","why","lemma","tokens","stanzas","glosses"
"likh","False","WRITING","√likh- 'scratch, write', the ordinary Classical verb for writing","ABSENT","0","0",""
"likh","True","WRITING","the same as a root","ABSENT","0","0",""
"rikh","True","WRITING","√rikh-, the Rigvedic form of the same root family","√rikh-","2","2","ritzen"
"lekha","False","WRITING","lekha- 'writing, letter, document'","ABSENT","0","0",""
"lipi","False","WRITING","lipi- 'script, writing', the Aśokan-period word","ABSENT","0","0",""
"libi","False","WRITING","libi-, the Old Persian-influenced variant","ABSENT","0","0",""
"akṣara","False","WRITING","akṣara- 'syllable', later 'written character'","akṣára-","8","8","unvergänglich; Silbe"
"varṇa","False","WRITING","varṇa- 'colour, class', later also 'letter'","várṇa-","23","23","Farbe, Stamm, Art, Gattung, Partei, Menschenart, Stand, Kaste"
"grantha","False","WRITING","grantha- 'knot', later 'composition, book'","ABSENT","0","0",""
"pattra","False","WRITING","pattra- 'leaf', later 'writing leaf'","ABSENT","0","0",""
"patra","False","WRITING","patra-, the same word written short","ABSENT","0","0",""
"pustaka","False","WRITING","pustaka- 'book'","ABSENT","0","0",""
"phalaka","False","WRITING","phalaka- 'board, tablet'","ABSENT","0","0",""
"masi","False","WRITING","masi- 'ink'","ABSENT","0","0",""
"kalama","False","WRITING","kalama- 'reed pen'","ABSENT","0","0",""
"lekhaka","False","WRITING","lekhaka- 'scribe'","ABSENT","0","0",""
"mudra","False","SEALING","mudrā- 'seal, stamp, impression'","ABSENT","0","0",""
"mudrā","False","SEALING","the same, long final","ABSENT","0","0",""
"aṅka","False","SEALING","aṅká- 'mark, brand, hook'","aṅká-","1","1","Haken, Klammer"
"aṅkana","False","SEALING","aṅkana- 'marking, branding'","ABSENT","0","0",""
"cihna","False","SEALING","cihna- 'mark, sign'","ABSENT","0","0",""
"lāñchana","False","SEALING","lāñchana- 'mark, token'","ABSENT","0","0",""
"lakṣa","False","SEALING","lakṣá- 'mark, target, stake'","lakṣá-","1","1","'Einsatz' (beim Würfelspiel)"
"lakṣman","False","SEALING","lakṣman- 'mark, sign'","ABSENT","0","0",""
"salakṣman","False","SEALING","sálakṣman- 'having the same mark'","sálakṣman-","2","2","gleiches Merkmal habend"
"lakṣaṇa","False","SEALING","lakṣaṇa- 'mark, characteristic'","ABSENT","0","0",""
"akṣ","True","SEALING","√akṣ- 1, glossed 'kennzeichnen, Ohrenmarken einstechen'","√akṣ-","3","3","erreichen (?) | kennzeichnen, Ohrenmarken einstechen"
"aṣṭakarṇa","False","SEALING","aṣṭakarṇá- 'with marked ears', of cattle and horses","aṣṭakarṇá-","1","1","mit gekennzeichneten Ohren (von Rind und Ross)"
"takṣ","True","INCISING","√takṣ- 'fashion, hew, carve'","√takṣ-","78","73","zimmern, behauen, hämmern, härten; schaffen, verfertigen (vom Wagen, von Geschöpfen, Liedern, Gebeten), bewirken, machen, zubereiten"
"tvakṣ","True","INCISING","√tvakṣ- 'fashion'","√tvakṣ-","1","1","wirksam sein, stark sein (nur in nicht-finiten Formen)"
"piś","True","INCISING","√piś- 'shape, adorn, carve'","√piś-","21","21","aushauen, zurechtschneiden, bilden, formen, schmücken"
"peśas","False","INCISING","péśas- 'form, adornment'","péśas-","7","7","Schmuck, Zierat, Farbe"
"vraśc","True","INCISING","√vraśc- 'cut down, hew'","ABSENT","0","0",""
"khan","True","INCISING","√khan- 'dig'","√khanⁱ-","7","7","graben"
"lip","True","INCISING","√lip- 'smear', the root behind lipi-","√lip-","3","3","alipsata: 'sind angeschmiert'"
"citra","False","INCISING","citrá- 'bright, conspicuous, variegated'","citrá-","147","144","augenfällig, sichtbar, glänzend, bunt, hell, helltönend; n. Erscheinung, augenfälliger Gegenstand"
"citra","False","INCISING","citrá- 'bright, conspicuous, variegated'","cítra-","1","1","N. pr.; Name eines Königs; wohl Kurzname eines mit citrá- 'glänzend' komponierten Namens"
"rūpa","False","INCISING","rūpá- 'form, shape'","rūpá-","49","48","Form, äussere Erscheinung, Gestalt"
"ketu","False","SIGN","ketú- 'appearance, sign, banner'","ketú-","82","82","Erscheinung, Kennzeichen, Lichterscheinung, Helle, Gestalt"
"nāman","False","SIGN","nā́man- 'name, mark'","nā́man-","117","114","Name, Benennung, Kennzeichen, Wesen, Eigentümlichkeit"
"yakṣa","False","SIGN","yakṣá- 'apparition, portent'","yakṣá-","4","4","Erscheinung, Wundererscheinung, Blendwerk, Vorzeichen, Phänomen"
"lakṣmī","False","SIGN","lakṣmī́- 'auspicious sign'","lakṣmī́-","1","1","'gutes, glückliches Zeichen' (AV+: 'Glück, Glückszeichen'; jünger: 'Glücksgöttin, Lakṣmī'"
"gaṇ","True","RECKONING","the root gaṇ- 'count', if present","ABSENT","0","0",""
"saṃkhyā","False","RECKONING","saṃkhyā- 'number, reckoning'","ABSENT","0","0",""
"tulā","False","RECKONING","tulā- 'balance, scales'","ABSENT","0","0",""
"mā","True","RECKONING","√mā- 'measure'","√mā- 1","90","86","messen, abmessen, zumessen, zuteilen | mimīyāt 'täuschen' (Thieme ZDMG 95 p. 94), aber Renou EVP 16, 123 hält auch für möglich: 'faire en sort que (l'oeil du Soleil se) fixe en haut (un court instant)', cf. EWAia ii 315 sub MAY2  + weitere Lit. "
"mā","True","RECKONING","√mā- 'measure'","√mā- 2 ~ mī-","16","14","brüllen, blöken, meckern"
"māna","False","RECKONING","māna- 'measure'","māná-","1","1","nicht klar; vielleicht 'Erzeugnis, Präparat' (*'das Abgemessene'?)"
"māna","False","RECKONING","māna- 'measure'","mā́na- 1","8","8","'Messschnur, Mass' | Name eines R̥ṣi; Pl. die mā́na-Familie"
"māna","False","RECKONING","māna- 'measure'","mā́na- 2","3","3","Haus, Gebäude, Wohnsitz"
"māna","False","RECKONING","māna- 'measure'","mā́na- 3","5","5","'Messschnur, Mass' | Haus, Gebäude, Wohnsitz"
"śulka","False","RECKONING","śulká- 'toll, price'","śulká-","2","2","Preis, Kaufpreis"
"bali","False","RECKONING","balí- 'tribute, offering'","balí-","4","4","Abgabe, Steuer, Zoll, Tribut"
"bhāga","False","RECKONING","bhāgá- 'share, portion'","bhāgá-","60","60","Anteil, Teil, Los, Schicksal"
"ṛṇa","False","RECKONING","ṛṇá- 'debt, obligation'","r̥ṇá-","10","10","m. Schuldner oder Adj. 'schuldig'; n. Vergehen, Schuld, Vermögensschuld"
"krī","True","RECKONING","√krī- 'buy'","√krī-","1","1","kaufen"
"paṇ","True","RECKONING","√paṇ- 'bargain'","ABSENT","0","0",""
"pur","False","CONTROL","púr-, measured by an earlier unit of this repository","púr-","83","82","Wall aus Steinen und Lehm, Verschanzung, Palisade | früher, zuvor, im Schutze vor, in Sicherheit vor, von Alters her"
"ratha","False","CONTROL","rátha- 'chariot'","rátha-","471","466","Wagen, leichter zweirädriger Streitwagen"
"go","False","CONTROL","gó- 'cow' - deliberately queried in the form that fails","gáv- ~ gó-","543","533","Rind, Stier, Kuh"
"gav","False","CONTROL","gáv-, the alternant that succeeds","gáv- ~ gó-","543","533","Rind, Stier, Kuh"
"vac","True","CONTROL","√vac- 'speak'","√vac-","213","210","sprechen, reden, nennen, sagen | wachsen, gross werden | wanken"
"stoma","False","CONTROL","stóma- 'praise-song'","stóma-","210","210","Lobgesang"
