"claim_id","claim","evidence_status","source_id","locator","retrieval_date","supports_page","notes","interpretive_status","editorial_status","publication_status","status_reason","superseded_by"
"IH-001","The handoff was compiled 6 September 2026 from five conversations in the project and twelve project files dated 30 Aug - 1 Sep 2026.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L1-L2","","","Self-description of the handoff's own provenance. Compilation date and file count both uncheckable from this repo alone.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-002","No count in the handoff was re-run against gret_scan.json, the atlas HTML or any corpus during compilation; every number is attributed to the file or thread that reported it.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L10","","","The handoff states this as a limitation on itself. Confirms that no figure in the document carries a retrieval event.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-003","Of five conversations in the project, four were fully searchable; the fifth and longest (thread T2, 6d35aeae, 30 Aug to 6 Sep) was searchable only through 2 September, and its 6 Sep session was not retrievable.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L14","","","Handoff labels the missing session NOT FOUND IN THIS SEARCH, not an absence. Section 12 repeats it as an admitted limitation.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-004","The failures named in the Rules message (Para-Munda false-equivalence, Witzel source-dependency, Rigvedic stratification overreach, unexecuted searches, preflight-vs-verified) are not quoted from their original articulation; each is reconstructed from the retrievable record.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L14","","","Handoff flags C-17, C-18 and C-25 as reconstructions rather than quotations. Reconstruction status must survive into any downstream use.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-005","The content of the unretrievable 6 September session is a NOT FOUND IN THIS SEARCH condition, not an absence.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L15","","","Section 0 retrieval limits. The distinction matters under Rule 8: not located does not settle existence. Governs how the reconstructions at C-17, C-18 and C-25 must be read.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-006","Only the twelve files listed in handoff section 7.0 are in the project's knowledge; files created inside conversations (VELI-10 to VELI-13, the deck, DECK_GAP_ANALYSIS.md, MELA_KEELA_INSTRUCTIONS.md, NAMING_LEDGER.md, VELI_INSTRUCTIONS.md, built HTML pages) live in chat output folders or on the owner's disk.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L16","","","Bears on what any later agent can actually read. Section 12 restates it as a limitation.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-007","Thread T1 'VELI - closed' (0761d0e4), up to 30 Aug to 5 Sep, ran 395 turns and produced corpus scans, ~58 pages, the landing, the naming ledger, VELI_INSTRUCTIONS.md, MANIFEST/RERUN packaging, the INDUSVALLI deck gap-analysis and most corrections in section 3.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L41","","","Turn count and page count are reported, not re-counted. Page count superseded by S-12 growth series.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-008","Thread T2 'Retrieving previous conversation content' (6d35aeae), 30 Aug to 6 Sep, produced the founding pack VELI-00 to VELI-05, VELI-06 strategy dossier, ~20 research batches (VELI-09), PENDING-RULES, WORKLIST, the anti-deflection law, source-integrity audits and the external-review response; page count grew 58 to 85.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L42","","","Searchable to 2 Sep only; the 6 Sep session is not retrievable (IH-003). Page count 85 contested by X-02.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-009","Thread T3 'Intoveli.netlify.app deployment status' (d32156b4), 31 Aug, was a live-site check finding two .md 404s and a JS-rendered atlas.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L43","","","Retrieval recorded as full. Findings restated at L382 and cross-referenced to C-32.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-010","Thread T4 'Current HTML capabilities' (c610a9f6), up to 4 Sep, produced an independent critical assessment of the live site, the page-count correction 102 to 127, and a build plan (six engines, static-only, depth toggle, lint.py).","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L44","","","Retrieval recorded as full. The build plan is Claude-proposed and explicitly not adopted by the owner.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-011","Thread T5 'Child-centered learning through evidence discovery' (54837714), up to 5 Sep, produced VELI-10 (children's product DIG), VELI-11 (scholar map, funding taxonomy), VELI-12 (master plan), VELI-13 (Founding Partners Prospectus), a 16-slide deck, and the DMC eligibility correction.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L45","","","Retrieval recorded as full. None of the named files are in project knowledge (IH-005).","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-012","The claim 'no caste word in the Vedas' is wrong: varna occurs 23 times in the Rigveda and at 3.1 per 10,000 in the Taittiriya; the correct finding is that jati is absent from the Samhitas and Brahmanas while varna is present.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L57","","","CORRECTION C-01. REJECTED as R-01 by the platform's own count. Original formulation was Claude's early wording; VELI-03 rule: never write that claim again. Superseding claim recorded as V-02/V-03.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
