"hyp_id","hypothesis","distinctions_involved","chronology_gate","geography_gate","mechanism_gate","positive_evidence_gate","diagnostic_predictions","gate_result","space_allocated","reason","source_id","retrieval_date"
"HYP-E-000","NULL EXPLANATION. The non-Indo-European-looking vocabulary of the Rigveda is accounted for by Indo-Aryan-internal processes - inherited but poorly attested roots, expressive and onomatopoeic formation, popular derivation, and ordinary lexical replacement - with no substrate donor required.","3, 11","PASS. Requires no dating beyond the corpus itself.","PASS. Requires no donor location.","PASS. Every mechanism it invokes is independently attested inside Indo-Aryan.","PARTIAL. Measured here: 29 of Turner's 224 Dravidian attributions name no authority (DE-M-029), and 101 CDIAL entries are declared of unknown or obscure origin without a donor (DE-M-018). Neither is positive support for the null; both mark space the null could occupy.","If the null holds, apparent loan candidates should show ordinary Indo-Aryan derivational morphology and should NOT cluster in one metrical stratum. DE-M-012 measures a Popular-stratum clustering that the null does not predict.","PASS - and it is named first deliberately","Full. Carried through every comparison below as the standing alternative.","Constitution step 1 requires the null explanation to be stated. This programme's recorded failure was to reach for donors; the null must be the thing rivals are measured against, not an afterthought. It is not favoured here - it is made to compete.","SRC-049; SRC-043","2026-09-07"
"HYP-E-001","A Dravidian language was spoken in or adjacent to the northwest during the period of Rigvedic composition and lent vocabulary into Old Indo-Aryan.","1, 2, 3, 4","CANNOT BE RUN AT VERIFIED LEVEL. No absolute date for Proto-Dravidian or its northwestern presence is establishable from anything retrieved (DE-M-027). Relative chronology only, on Arnold's strata, single-sourced (DEP-001).","PASS, and it is carried by exactly one language. Nearest attested Dravidian lect to the northwest is Brahui at 393 km; remove Brahui and it is Kolami at 1,055 km, farther than Munda's nearest member (DE-M-023, DE-M-025).","PASS. Lexical borrowing under contact is an ordinary, independently observed mechanism, and Turner records the loan direction explicitly in 224 entries (DE-M-002).","PRESENT BUT THIN AT THE RIGVEDIC END. 224 loan attributions in CDIAL, of which 15 have a Rigvedic simplex, 15 distinct lemmas, 21 tokens, 0.013% of the corpus (DE-M-009 to DE-M-011). Large attested and reconstructed base behind the donor: 76,303 DEDR reflex rows, 1,286 Proto-Dravidian starred forms (DE-M-013, DE-M-014).","Loans should concentrate in later strata rather than spread evenly; should show recipient-language adaptation; should cluster in identifiable semantic domains; and Brahui should behave as a relict rather than a recent arrival. The first is measured and holds (DE-M-012). The second and third are not tested here. The fourth is HYP-E-004.","PASS","Full analysis.","Passes on mechanism, geography and positive evidence. Does NOT pass on chronology at this record's standard, and the pass on geography is single-language. Both limits are carried into every downstream row rather than dropped once the gate is cleared.","SRC-049; SRC-045; SRC-046; SRC-044; SRC-043","2026-09-07"
"HYP-E-002","A Munda language proper was spoken in the northwest during Rigvedic composition and lent vocabulary into Old Indo-Aryan.","5, 6, 7","CANNOT BE RUN AT VERIFIED LEVEL, same reason as HYP-E-001. IH-119 (Munda arrival c. 2000 BCE) is INHERITED-UNVERIFIED and is not used.","ADVERSE. No attested Munda lect falls inside the northwestern envelope; the nearest is Korku at 855 km, and the Munda longitude envelope begins east of where the northwestern one ends (DE-M-022, DE-M-024). §4.P forbids reading modern distribution as prehistoric distribution, so this weakens the hypothesis without closing it.","PASS in principle - borrowing is borrowing - but the mechanism requires a Munda presence the geography does not evidence.","THIN AND NARROWLY SOURCED. 55 CDIAL loan attributions, of which 5 have a Rigvedic simplex (DE-M-003, DE-M-009); 85% of the 55 cite Kuiper or PMWS, so they approximate one authority (DE-M-028). Donor base is real but small in the retrieved data: 1,096 attested reflexes, 127 reconstructed Proto-Munda etyma (DE-M-015).","If Munda proper were the donor, loans should show Munda phonological shape and Munda-specific semantics, and some Munda presence west of Korku should be recoverable. Neither is testable from what was retrieved.","FAIL on geography; the rest UNTESTED HERE","Concise exclusion plus a historiographical note. Not an equal section.","Constitution §4.E states the exact scope of this failure: evidence against Munda proper in early Rigvedic Punjab materially weakens a Munda-affiliated substrate explanation but does not disprove every extinct prefixing language. That scope is honoured - this row fails Munda proper and does NOT transfer to HYP-E-003.","SRC-044; SRC-049; SRC-047; SRC-048","2026-09-07"
"HYP-E-003","Witzel's Para-Munda: an unattested prefixing language, related to but not identical with Munda, was the substrate donor in the early Rigvedic northwest.","8","CANNOT GATE. The proposal is unretrieved (HOLD-002, SRC-052).","CANNOT GATE. By construction the language is unattested, so it has no attested distribution; the distribution Witzel proposes for it cannot be checked without the source.","CANNOT GATE. The mechanism is a population Witzel argues for and this record has not read.","NOT MEASURABLE HERE. EM-20 reads zero, and zero means zero retrieved, not zero proposed (DE-M-019).","Witzel's stated diagnostic is prefix segmentation in Rigvedic vocabulary. That test cannot be run here: it needs his word lists and his segmentation criteria, both unretrieved.","CANNOT GATE - NOT A FAIL","Historiographical note only, with the reason for the note stated as non-retrieval and not as refutation.","This is the row most at risk of the programme's original error running backwards. The earlier failure was giving Para-Munda parity with Dravidian (IH-033). The opposite failure - treating our inability to retrieve Witzel as evidence against him - is available here and is refused. Under the negative-evidence standard this absence types as NOT ACCESSIBLE, the weakest kind. What CAN be said: the proposal's evidential burden is unmet IN THIS RECORD, and the prefixing observation it addresses is a real observation that needs some explanation (IH-036).","SRC-052","2026-09-07"
"HYP-E-004","The weaker fallback: an unknown prefixing language of the Kubha-Vipas region, not identified with Munda or Para-Munda, was the donor.","9","CANNOT GATE. Unretrieved (HOLD-002).","CANNOT GATE. The region is named in the proposal; the evidence for a language there is in the unretrieved source.","CANNOT GATE.","NOT MEASURABLE HERE. EM-21 reads zero (DE-M-019).","Same prefix-segmentation diagnostic as HYP-E-003, with the donor's identity left open.","CANNOT GATE - NOT A FAIL","Historiographical note only.","Distinct from HYP-E-003 and kept distinct: it is a weaker claim, asserting less. Collapsing the two would let the stronger claim borrow the weaker one's lower burden, which is one of the substitutions §4.E forbids.","SRC-052","2026-09-07"
"HYP-E-005","Masica's Language X: an unidentified donor, neither Indo-Aryan nor Dravidian nor Munda, behind part of the north Indian agricultural vocabulary.","10, 11","CANNOT GATE. Masica 1979 unretrieved (HOLD-002).","CANNOT GATE, and the scope constraint is inherited: IH-160 records that transplanting Language X to South India, Sri Lanka or the Ganges was REJECTED and that it is Indus/northwest-specific.","CANNOT GATE.","NOT MEASURABLE HERE. EM-22 reads zero (DE-M-019). The nearest measurable neighbour is Turner's own residue - 101 entries of declared unknown or obscure origin (DE-M-018) - which is a different thing in a different corpus and is NOT used as a proxy for it.","A residue that resists both Dravidian and Munda etymology should be semantically coherent (agriculture) and geographically bounded (northwest).","CANNOT GATE - NOT A FAIL","Historiographical note only.","Language X is a residue, and §6 says 'unknown' is residual and never a positive rival explanation. Even fully retrieved it could not compete with HYP-E-001 as an explanation; it would mark the size of what the others fail to explain.","SRC-052","2026-09-07"
"HYP-E-006","Brahui is a relict of an earlier and wider Dravidian distribution in the northwest.","1","CANNOT GATE HERE. Requires Elfenbein and the Brahui literature, unretrieved; IH-236 already records that source as named but never read.","CONSISTENT WITH THE MEASUREMENT. Brahui sits 393 km from the nearest northwestern lect and 8.6 degrees of longitude west of the next Dravidian language (DE-M-023, DE-M-025). Isolation is what the measurement shows; it does not by itself say how the isolation arose.","PASS. Survival of a language island around which the surrounding population shifted is an ordinary, widely observed process.","The isolation itself, plus DEDR's inclusion of Brahui as a Dravidian language (DE-M-013).","Relict predicts archaic retentions shared with Dravidian generally rather than with any one modern branch, and no trace of a recent transit corridor.","PASS on mechanism and geography; chronology UNTESTED HERE","Full analysis when the Brahui literature is retrievable. Here: the measurement is recorded and the interpretation is left open.","IH-031 records that the burden was previously inverted on this question. That correction is respected: this row does not assert the relict reading, it records that the geography is consistent with it and that the deciding evidence is unretrieved. This is domain M's question and it is flagged forward rather than pre-empted.","SRC-044; SRC-045","2026-09-07"
"HYP-E-007","Brahui arrived in Balochistan by a late, roughly medieval migration from central or eastern India.","1","CANNOT GATE HERE. Unretrieved (IH-236).","CANNOT GATE. The hypothesis requires a movement of roughly 1,000 to 1,500 km; the measurement here establishes only the endpoint gap (DE-M-025), not whether it was crossed and when.","PASS in principle. Migration is an ordinary mechanism.","NOT MEASURABLE HERE.","Late migration predicts recoverable traces along a route, shared innovations with a specific modern branch rather than with Dravidian generally, and a loan profile from the languages passed through.","CANNOT GATE - NOT A FAIL","Held open beside HYP-E-006.","Both Brahui hypotheses are held open together and neither is presented as the correction of the other. IH-156 records that presenting late migration AS the correction was itself rejected.","SRC-044","2026-09-07"
"HYP-E-008","The language of the Indus civilisation was Dravidian.","1, 2, 4","CANNOT GATE HERE.","CANNOT GATE HERE.","CANNOT GATE HERE.","NOT MEASURABLE HERE. Nothing retrieved in this session bears on the Indus script or its language.","Would require a decipherment or a positional-statistics argument, neither available here.","OUT OF SCOPE FOR THIS UNIT","None. Deferred.","IH-136 and IH-118 carry this claim at INHERITED-UNVERIFIED and it stays there. It is domain K and R20, not domain E, and is listed here only so that a reader does not mistake HYP-E-001's pass for support of it. A Dravidian presence in the northwest and a Dravidian Indus language are two separate claims and the bridge between them is BR-E-005.","-","2026-09-07"
"HYP-E-009","The language of the Indus civilisation was Para-Munda or a prefixing language.","8, 9","CANNOT GATE HERE.","CANNOT GATE HERE.","CANNOT GATE HERE.","NOT MEASURABLE HERE.","Same as HYP-E-008.","OUT OF SCOPE FOR THIS UNIT","None. Deferred.","IH-137 carries it at INHERITED-UNVERIFIED and it stays there. Listed alongside HYP-E-008 so that the two Indus hypotheses are deferred together and neither is quietly resolved by this unit's Rigvedic measurements.","-","2026-09-07"
