"claim_id","claim","status","source_id","locator","retrieval_date","supports_page","notes"
"DMM-001","The Dravidian Etymological Dictionary of Burrow and Emeneau, read here through the machine-readable re-encoding in the Jambu database, contains 5,520 etymological entries across 26 attested Dravidian varieties after the PDr. reconstruction pseudo-language is removed. Brahui is attested in 269 of those entries, Kurux in 775 and Malto in 704.","VERIFIED","SRC-059","data/dedr/dedr.csv at commit dbae3102fe779aa60f5ef03108f7918ab2ede006; 68,808 form lines, 0 unparsed; measured by 04-AUDITS/domain-m-dedr-north-dravidian.py","2026-09-07","","This is the first Dravidian etymological dictionary read in this project. HOLD-002 recorded DEDR as unreachable and it is still unreachable at its publisher; what is reachable is a re-encoding on GitHub (DEP-010). The three attestation counts are the denominators for everything below and are the reason a raw comparison of exclusive-set counts would be misleading: Brahui appears in 4.9% of entries against Kurux at 14.0% and Malto at 12.8%, so any test has to hold those margins fixed."
"DMM-002","In DEDR, 176 entries are attested in Kurux and Malto and in no other language. That is the second-highest exclusive count of all 325 language pairs. Against a null that holds both entry size and each language's total attestation fixed, the expected count is 0.71 (5th-95th percentile 0 to 2) and 176 was never reached in 2,000 randomisations.","VERIFIED","SRC-059","04-AUDITS/domain-m-dedr-north-dravidian.py, north_dravidian.kurux_malto_exclusive and permutation.results.kurux_malto_exclusive; curveball randomisation, 2,000 draws, 100,000 swaps per draw, seed 20260907; p(>= observed) = 0.0005, which is 1/2001 and is the floor at this number of draws","2026-09-07","","The lower node of North Dravidian is supported on this instrument at the largest margin the test can express. Note what the null does and does not do: it removes the possibility that 176 is an artefact of Kurux and Malto simply being well attested. It does NOT distinguish shared descent from prolonged contact between neighbours, and Kurux and Malto are neighbours. See DMI-002."
"DMM-003","In DEDR, 7 entries are attested in Brahui, Kurux and Malto and in no other language. The seven are DEDR 1419 (go/come to), 1558 (embrace/carry under the arm), 2189 (pound/pulverise/rub), 2244 (belly/womb/entrails), 2278 (pierce/sting), 3149 (wind/air) and 5131 (smoke). That is rank 20 of 2,600 triples. The null expectation is 0.00 and the observed value was never reached in 2,000 randomisations.","VERIFIED","SRC-059","04-AUDITS/domain-m-dedr-north-dravidian.py, north_dravidian.brahui_kurux_malto_exclusive and permutation.results.brahui_kurux_malto_exclusive; entry numbers listed are DEDR entry numbers; p(>= observed) = 0.0005 (floor at 2,000 draws)","2026-09-07","","Seven etymologies is a small number in absolute terms and it is reported first as seven, not as a rank, so that BF-004 is not repeated. But the null expectation is effectively zero: with Brahui attested in only 269 entries, chance produces no such triples at all. So the upper node is not nothing on this instrument, which is a different result from PR #16's, where a 100-concept wordlist gave 2 and could not test them. DEDR 5131 'smoke' is the same etymology DravLex found (DMB-019); DravLex's other one, 'horn', is not exclusive in DEDR. One caution belongs on the face of this row: DEDR 5131's Brahui form is cited inside DEDR to '(MBE 1980a)', i.e. to Emeneau's own later publication (DEP-011)."
"DMM-004","In DEDR, exactly 1 entry is attested in Brahui and Kurux alone (DEDR 3358, to strip/pluck off) and exactly 1 in Brahui and Malto alone (DEDR 3861, to stir up/incite/provoke). For both, the null expectation is 0.19 and 0.18 and the observed value of 1 is reached by chance in 17% of randomisations.","VERIFIED","SRC-059","04-AUDITS/domain-m-dedr-north-dravidian.py, permutation.results.brahui_kurux_exclusive p(>= observed) = 0.1739 and brahui_malto_exclusive p(>= observed) = 0.1699","2026-09-07","","This is the negative half of DMM-003 and it is stated at equal weight. Brahui's pairwise exclusive sharing with Kurux, and with Malto, is indistinguishable from chance. Whatever supports the upper node on this instrument is carried entirely by the three-way sets, not by either pairwise link."
"DMM-005","193 DEDR entries are confined to North Dravidian, i.e. attested only within some subset of Brahui, Kurux and Malto. The null expectation is 5.38 (5th-95th percentile 2 to 9) and 193 was never reached in 2,000 randomisations. Of Brahui's 269 DEDR entries, 260 reach at least one Dravidian language outside North Dravidian; 9 do not.","VERIFIED","SRC-059","04-AUDITS/domain-m-dedr-north-dravidian.py, north_dravidian.confined_to_north = 193, brahui_entries_outside_north = 260 of 269; permutation.results.confined_to_north p(>= observed) = 0.0005","2026-09-07","","The 260-of-269 figure is the single most load-bearing number in this unit and it is a measurement, not an interpretation: 96.7% of Brahui's presence in the Dravidian etymological dictionary consists of etymologies it shares with the family at large rather than with Kurux and Malto specifically. See DMI-003 for what follows and does not follow from it."
"DMM-006","Three counts published by other scholars from DEDR were re-measured against this re-encoding and reproduced. Kobayashi and Tirkey give 515 etyma shared by Kurux and Malto; measured here, 509. They give 175 of those as isolated forms; measured here, 176. A retrieved BSOAS review gives 195 items for the list of words found only in Kurux and Malto plus the few shared with Brahui; measured here, 193.","PROVISIONAL","SRC-063","Kobayashi and Tirkey, Kurux, in The Dravidian Languages 2nd edn, 2019, abstract as returned by SRC-053; measured values from 04-AUDITS/domain-m-dedr-north-dravidian.py, published_comparisons block","2026-09-07","","STATUS CORRECTED TO PROVISIONAL. The measured half of this row - 509, 176 and 193 - is VERIFIED and is carried by DMM-001 to DMM-005 against SRC-059. But this row is a claim ABOUT PUBLISHED VALUES, and the published values 515, 175 and 195 rest on an abstract (SRC-063) and on a passage whose attribution is unresolved (SRC-064). If the abstract misstates Kobayashi and Tirkey's figures, this row is wrong. A comparison can be no stronger than its weaker term, and the weaker term here was never opened. This VERIFIES THE INSTRUMENT AND NOTHING ELSE, and the distinction is the point. These are counts taken from DEDR by others; re-taking them from a re-encoding of DEDR is a parse check with a published answer key, not independent confirmation of any subgrouping (DEP-013). It is recorded because it is the evidence that DMM-001 to DMM-005 are reading Burrow and Emeneau correctly rather than reading a corrupted file. Residual differences of 6, 1 and 2 are the expected consequence of edition and sub-entry counting; neither number was tuned to match."
"DMM-007","A retrieved BSOAS review paragraph states that the list of words found only in Kurux and Malto together with the few shared with Brahui runs to 195 items, and concludes: the number of words which Kurux and Malto share exclusively with Brahui is so small that it becomes doubtful whether a northern group including the three languages should be assumed.","PROVISIONAL","SRC-064","Passage returned by SRC-053 under a record for Simon Digby's review of Pratapaditya Pal ed., Aspects of Indian Art, BSOAS 1973 - which the passage cannot be about. Author, date and reviewed work unresolved.","2026-09-07","","Capped at PROVISIONAL for a reason that has nothing to do with its content: the metadata attached to it is demonstrably wrong (D-040, BF-007). BSOAS bundles many reviews under one bibliographic record. The passage is real, was retrieved verbatim, and its 195 matches this unit's independently measured 193 - but a claim whose author and date are unknown cannot be VERIFIED, however well its number checks out. It is recorded because it shows the conclusion this unit reached from DEDR was already reached in print, by someone, from the same dictionary."
"DMM-008","The Jambu dataset carries 604 cross-references between Turner's Comparative Dictionary of the Indo-Aryan Languages and DEDR entries. 118 of them resolve to a DEDR entry present in this encoding. Of those 118, 12 land on an entry containing a Brahui form, 30 on Kurux, 23 on Malto, and 40 on an entry containing any North Dravidian language. Of the 604 relations, 457 are typed 'related', 138 'loan' and 9 'influence'; 471 are of undetermined direction.","VERIFIED","SRC-059","data/cross-family-comparisons.csv at the pinned commit; measured by 04-AUDITS/domain-m-dedr-north-dravidian.py, cdial_touchpoints block","2026-09-07","","This is the only place in the retrieved data where the standard Indo-Aryan and the standard Dravidian comparative dictionaries are joined, so it is the only Indo-Aryan contact measurement available here. It is a measurement of where TURNER chose to compare, not of contact. 12 touchpoints is a very thin joint. The direction field is undetermined for 78% of relations, so these cannot be counted as loans in either direction."
"DMM-009","Turner's Comparative Dictionary of the Indo-Aryan Languages, as re-encoded, names Brahui on 1 line and Balochi or Baluchi on 3 lines, out of 159,756 lines. The single Brahui mention is at CDIAL entry 2512, comparing Niya Prakrit hed'i 'sheep' with Brahui het 'she-goat', on Burrow's authority.","VERIFIED","SRC-059","data/cdial/cdial.csv at the pinned commit; measured by 04-AUDITS/domain-m-dedr-north-dravidian.py, cdial_named_mentions block; the entry-2512 line quoted from the same file","2026-09-07","","Typed absence: ABSENT DESPITE ADEQUATE SEARCH, and bounded to this dictionary. CDIAL is exhaustive for Indo-Aryan and its author did compare across families (DMM-008 counts 604 such comparisons), so the near-total absence of Brahui by name is a fact about what the standard Indo-Aryan comparative record contains. It is NOT an absence claim about Indo-Aryan-Brahui contact, which Smirnitskaya reports as real (DMM-019). What it shows is that the contact has not been worked into the reference work that would carry it."
"DMM-010","Kobayashi and Tirkey state that Kurux shares basic morphology with Malto including past stem formation, agreement and case suffixes; that there is no doubt that Kurux and Malto constitute a close subgroup; that the position of Kurux-Malto in the Dravidian family has been much debated; and that the main difficulty in placing Kurux-Malto is that few innovations shared with other subgroups are identified.","PROVISIONAL","SRC-063","Kobayashi and Tirkey, Kurux, in The Dravidian Languages 2nd edn, 2019; abstract as returned by SRC-053. No page locator; the article was not opened.","2026-09-07","","This is the specialist statement HOLD-004 item 2 asked for, arriving at abstract level rather than at the pp. 11-14 locator Glottolog cites. It is the one retrieved source that states the MORPHOLOGICAL case for the lower node, which is the kind of evidence a lexical instrument cannot supply. Note that it splits the two nodes exactly as DMM-002 and DMM-003 do: the lower node is not in doubt, the upper placement is unresolved - and that it says the difficulty is a SHORTAGE OF IDENTIFIED INNOVATIONS, not a positive case against."
