"claim_id","claim","status","source_id","locator","retrieval_date","supports_page","notes"
"DA-001","The Rigveda transmitted in this bundle is not one synchronic document AND is not a document with a known internal chronology. Both halves are supported: the corpus carries visible internal difference, and no retrieved instrument converts that difference into an ordering this repository can defend.","PROVISIONAL","SRC-099; SRC-023; SRC-071; SRC-020; SRC-078; SRC-105","DA-M-003 to DA-M-006 and DA-M-008 to DA-M-014 for the difference and the instruments; DA-M-015 to DA-M-019 for the transmitted forms; SRC-105 for the one retrieved reassessment","2026-09-09","rigvedic chronology (proposed)","This is constitution 4.A's opening proposition, tested. The first half survives. The second half is an addition this unit makes and the constitution does not: heterogeneity is not chronology, and every step from one to the other in this repository currently runs through Arnold 1905."
"DA-002","SUPERSEDED BY DA-M-025 AND DA-M-003. This row attempted to say something about book order and Arnold's strata beyond the measurement. It cannot: at the book unit the measurement is null at p = 0.8651 and resolves nothing weaker than |rho| = 0.6364, and at the hymn unit (DA-M-025) the sign flips with scope. Everything this record can say about the relation is in those two measurement rows.","SUPERSEDED","SRC-099; SRC-023","replaced by 03-REGISTERS/domain-a-measurements.csv DA-M-003 (book unit) and DA-M-025 (hymn unit)","2026-09-09","rigvedic chronology (proposed)","WITHDRAWN 2026-09-09 on adversarial re-review, at the second attempt. Version 1 was VERIFIED and read 'Mandala number is not a time axis, and this can be shown from Arnold's own instrument' - one disjunct of a disjunction its own notes called unresolvable. Version 2 was PROVISIONAL and opened 'Book order and Arnold's strata do not co-vary, and the disjunction this forces is the finding', which still leads with the unestablished non-co-variation and still forces nothing; and PROVISIONAL was the wrong status anyway, since the vocabulary defines it as SUPPORTED by a single or dependent source and nothing supports this. A claims row that adds nothing to its measurement rows should not exist, so it is superseded rather than restated a third time. THE METHOD RULE SURVIVES SEPARATELY AT DA-003: family-book location is an attestation fact and a mandala number is not a date. That rule is held because the two are different claims, not because this row proved anything."
"DA-003","Family-book location is an attestation fact and this unit treats it as one. A stanza is in book 2 or it is not; that is a property of the arrangement (DATE 3) and is not disturbed by anything found here. The separate claim that family-book material is EARLIER is a method claim resting on other instruments, and under Arnold's it does not hold in the form usually stated.","PROVISIONAL","SRC-099; SRC-023","DA-M-004; A1-stratum-by-book-padas.csv. Books 5, 6 and 7 carry Arnold-late shares of 31.05%, 30.32% and 31.25% against book 1's 33.95%; books 8 and 9 carry 4.40% and 5.82%, the lowest in the corpus","2026-09-09","rigvedic chronology (proposed)","The instruction this unit was given is that the two are different claims and the second does not erase the first. That is exactly what the numbers show. Note what is NOT claimed: that books 8 and 9 are therefore early. A metrical instrument that ranks them earliest is more likely telling us about their metres - book 9 is 73.3% Normal, book 8 is 49.2% Strophic and has no Cretic pada at all - than about their dates. STRENGTHENED 2026-09-09: DA-M-025 shows that at the hymn unit the relation between book number and Arnold-late share is measurable and SCOPE-DEPENDENT - positive over all books, negative over books 1-9, positive again within the family books. That is a further reason to keep the attestation fact and the chronological inference apart, and it is not a licence to read any of those signs as a date."
"DA-004","Books 8 and 9 are 'internally complicated' in a sense Arnold's instrument does not capture. On stratum entropy they are among the LESS heterogeneous books (normalised entropy 0.613 and 0.562 against book 1's 0.972 and book 10's 0.815), and book 9 has no lowercase code anywhere.","PROVISIONAL","SRC-099; SRC-023","DA-M-002 and A3-mandala-heterogeneity.csv; A2-stratum-certainty-by-book.csv row 9","2026-09-09","rigvedic chronology (proposed)","Constitution 4.A calls 8 and 9 internally complicated. Under this instrument they are the most metrically uniform books in the corpus. Either the complication is of a kind metre does not see - book 9 is a ritual collection defined by its subject, book 8 by its strophic forms - or the claim needs restating. PROVISIONAL: this record cannot yet say which, and both readings are live."
"DA-005","Book 10 is the one place where the instruments converge. It carries 74.79% Arnold-late padas, 57.47% of its stanzas are flagged by at least one of the five scholars, and the one retrieved reassessment reports that its cluster analysis 'favors the assumption that book 10 occupies a special position, but overall differences across the ten books of the Rigveda are not substantial'.","PROVISIONAL","SRC-099; SRC-023; SRC-071; SRC-105","DA-M-004, DA-M-014; A1 and A5d tables; SRC-105 abstract, quoted in 04-AUDITS/domain-a-method.md section 4","2026-09-09","rigvedic chronology (proposed)","PROVISIONAL not VERIFIED, because 'converge' is a reading. CORRECTED 2026-09-09: the earlier version quoted only the first half of that sentence and dropped 'but overall differences across the ten books of the Rigveda are not substantial', which is the half that limits what the convergence shows. DEP-004 already records that the by-book instrument and the Arnold instrument are entangled at the late end, and DA-M-011 shows that inside book 10 the scholars' flags carry almost no information about the stratum. What is genuinely independent here is the 2021 result, and it is an abstract."
"DA-006","Arnold's late-marking receives real support from one instrument that is neither Arnold nor entangled with another: Grassmann 1876-7 flags stanzas that sit in Arnold's late strata at 2.34 times the base rate within books 1-9, i.e. with book 10 removed.","PROVISIONAL","SRC-099; SRC-023; SRC-071","DA-M-011, DA-M-012; A5e-flag-enrichment-controlled-for-book.csv","2026-09-09","rigvedic chronology (proposed)","This is the finding that cuts AGAINST the unit's framing, and it is reported as prominently as the findings that cut with it. TWO LIMITS, the second added 2026-09-09 after adversarial review. First, it is one instrument, from 1876-7, whose marking criterion is undocumented in the bundle (DA-M-020), and it is not a replication. Second, and more serious: Grassmann's independence from Arnold was measured only COLUMN AGAINST COLUMN inside stanza_properties.json, which cannot see whether Arnold 1905 read Grassmann 1876-7 - and Grassmann's edition is one of the works Arnold's generation of metrical chronology was built on. That is untested and untestable here (DA-M-023, DEP-036, BF-029). The claim that Arnold's strata rest on nothing outside Arnold remains one this record does not make; the claim that Grassmann corroborates them INDEPENDENTLY is now explicitly marked as unestablished."
"DA-007","The four non-Arnold columns of stanza_properties are not four instruments. Oldenberg and Wuest share 641 of their 699 and 709 flagged stanzas (Jaccard 0.836), so they count as approximately one; Witzel overlaps each at Jaccard ~0.48; Grassmann is the only column distinct from all others.","VERIFIED","SRC-099; SRC-071","DA-M-009; A5b-scholar-pairwise-agreement.csv; recorded as DEP-030","2026-09-09","rigvedic chronology (proposed)","VERIFIED as a measurement of overlap. The 2026-09-07 manifest called these 'four further scholars' judgements ... from different evidence (style, grammar, textual criticism, history)' and asked whether they agree with Arnold. Half the answer is that they are not four, and the source-independence rule required measuring that before using them."
"DA-008","The Hellwig, Scarlata and Widmer 2021 result is NOT a universal falsification of Rigvedic relative chronology, and the record states what it is. What was tested: whether allomorphic linguistic features previously claimed to bear stratification signals support the proposed stratifications, once metrical positioning, prosodic structure and content are controlled for. What was found: they do not, and a cluster analysis over the same data favours a special position for book 10 while finding overall between-book differences 'not substantial'.","PROVISIONAL","SRC-105","SRC-105, abstract as returned by SRC-101 on 2026-09-08 and quoted verbatim in 04-AUDITS/domain-a-method.md section 4","2026-09-09","rigvedic chronology (proposed)","Three things it does not establish, none of which the abstract claims: that the Rigveda is chronologically homogeneous; that no relative chronology exists; and that its result extends beyond allomorphy to other evidence classes. WITHDRAWN 2026-09-09 after adversarial review: an earlier version of this row also claimed it does not establish 'that Arnold's metrical stratification in particular is unsupported', on the ground that metrical positioning is among the controls. That exculpation went beyond the abstract. The abstract says the allomorph distributions do not support 'ANY of the proposed stratifications', the paper is titled 'Reassessing Rigvedic Strata', and Arnold's is the canonical proposed stratification - so whether Arnold's is inside 'any' is precisely what the abstract cannot settle, and this record must not settle it in the instrument's favour. It is UNDETERMINED and stays that way until the full text is read. HOLD-008."
"DA-009","The 'perfect audio recording' framing is refuted by the bundle itself and does not need an argument. The tradition transmits two complete forms of its own text that differ at essentially every stanza (median character similarity 0.913), and a modern metrical restoration differs from the recited form at 72.04% of stanzas.","VERIFIED","SRC-099; SRC-020; SRC-021; SRC-078","DA-M-015, DA-M-018, DA-M-019; A6a, A7 tables","2026-09-09","rigvedic chronology (proposed)","VERIFIED as a measurement over the three pinned text layers. The trap named in constitution 4.A is not a subtle one once the layers are crossed; this row exists so that it is crossed once, in public, with numbers."
"DA-010","The opposite framing is refuted by the same fact from the other side. A tradition that had rewritten its text would not preserve, inside itself, a second analysis of that text which disagrees with the first at nine tenths of its stanzas. Whatever the Padapatha is, it is not a smoothing.","PROVISIONAL","SRC-099; SRC-020; SRC-021","DA-M-018, DA-M-019","2026-09-09","rigvedic chronology (proposed)","PROVISIONAL because it is an inference from the existence of the Padapatha to the intention behind it, and this repository has retrieved nothing on Sakalya, nothing on the pratisakhyas and nothing on Panini (DA-D-006). The inference is available; it is not evidenced."
