"refusal_id","what_is_not_built","rule","why_it_has_to_be_actively_held","how_it_is_discharged"
"R-01","No sorting of the people the poem names - not as a game, a match, a drag-into-buckets, a quiz, or a 'which side?' task; and not under a debunking framing","museum-framework.md 10.4.7 first constraint; 10.4.4","The register supplies the buckets ready-made: PUR4J-030 gives 22 patron-side and 22 opponent-side names, and rigveda-pur-fields.csv has the two columns. Building COMPARE over this register without thinking produces exactly the forbidden interface in an afternoon. 10.4.7 states that framing it as a debunking does not lift the prohibition, because the child still performs the sort.","CP-3.7 answers the question as a read-only card with no interaction of any kind."
"R-02","No ethnic, national or population label on any fort, word, passage, period or person; and no stratum captioned, coloured or grouped so as to suggest a population, a migration or an arrival","museum-framework.md 10.4.4; 10.4.7","This is the material where the move is most abused. The metrical strata at CP-3.4 are one step from a chronology that has been used to sort people, and a colour choice would do the work a caption is forbidden to do.","The five strata are named as Arnold's labels for rhythms, in the same breath as they are shown."
"R-03","No archaeological culture, site or region named beside a fort; no matching of the corpus to any excavated material","METHODOLOGY-CONSTITUTION.md 4J ('do not automatically translate pur into a Mature Harappan city'); site review Version 12 line 1175 research hold; museum-framework.md 10.4.4","The corpus states no place (PUR4J-018) and this museum holds no archaeological source (HOLD-008). Any named site would be a guess presented to a child as evidence.","CP-3.3 states the refusal to the child as a decision the museum made, and why."
"R-04","No human remains, in any form, at any point","museum-framework.md 10.4.4","None are in scope for this corpus. The rule is recorded anyway, because a later expansion toward burial evidence would cross it, and because 10.4.4 requires that where remains are excluded the exclusion is stated to the child as a decision the museum made.","If the investigation is ever extended, this is the line it may not cross without the 11.2 and 11.4 work being real first."
"R-05","No score, mark, badge awarded to the child, streak, star, points, leaderboard, timer, countdown, completion percentage or progress reward - on any screen, including in copy review","museum-framework.md 10.4.4; 10.4.7 second constraint","The second 10.4.7 constraint says a scoring interface teaches that categories are operable before it teaches anything about them, and survives any later relaxation of the general rule. The general rule is the one that erodes in copy review, where a 'well done' looks like warmth.","The Field Bag shows unopened cards as a record, never as a score. CP-5.2 shows agreement and difference without counting either."
"R-06","No pin on the map; no candidate location; no 'somewhere around here'","museum-framework.md 10.4.4 (no fabricated evidence); PUR4J-018","A pin is fabricated evidence. An empty map is a true statement about what we can locate, rendered.","CP-3.3's map does not move, does not zoom, and places nothing."
"R-07","No reconstruction image, no artist's impression, no composite 'typical' fort, no stock photograph of a wall","museum-framework.md 10.4.4","If the institution would not show it to an adult as evidence, it is not shown to a child as evidence. Nothing in the registers supports an image of any fort.","If a reconstruction is ever added it carries the reconstruction marker in the child's own words and shows what it was based on - 10.4.4's second rule. No such basis exists today."
"R-08","No free text leaves the device. The child's questions and sentences are never transmitted, never published, and never enter the correction pipeline","museum-framework.md 10.4.5","A child's writing is not a public artefact of this institution. Where a classroom wants to submit a challenge it is submitted by the teacher, from the teacher's account, as the class's (9.4, 10.5).","CP-2.1 and CP-4.1 say so on the screen, in the child's words, rather than in a policy page."
"R-09","No account, no login, no server-side Field Bag, no behavioural analytics, no third-party trackers, no advertising, no photographs of children, no user-uploaded images","museum-framework.md 10.4.5; 10.3","No account is required and none is offered to under-16 visitors. This surface cannot tell an 11-year-old from an adult, so there is no server-side bag here at any age.","Aggregate, non-identifying usage counts only, with the measurement policy published."
"R-10","No 'we don't know' without its second line","METHODOLOGY-CONSTITUTION.md 6; CLAUDE.md negative-evidence standard; this specification section 5.3","This investigation carries two different absences with opposite remedies - 'the poem doesn't say' (typed NOT PRODUCED) and 'we haven't looked yet' (a HOLD on our own retrieval). A bare WE DON'T KNOW collapses them and reads as a shrug, which is the consolation prize the investigation exists to refuse.","The interface may not render the badge without one of the two second lines. This is the only refusal on this list that is a positive requirement rather than a prohibition."
