"claim_id","claim","status","rests_on_measurements","source_id","locator","retrieval_date","supports_page","falsifier","notes"
"DA-I-001","Arnold's metrical strata and Rigvedic book order are not two instruments. Roughly half the stratum label is already carried by the book number, and in five books the classification never assigns a whole period at all.","PROVISIONAL","DA-M-005; DA-M-006; DA-M-007","SRC-023; SRC-070","02-SOURCES/dependency.csv DEP-021; 04-AUDITS/domain-a-measure.py blocks 2 and 8","2026-09-07","rigvedic-chronology (proposed)","Retrieving Arnold's own per-pada assignment list and finding that the structural zeros are an artefact of Gunkel and Ryan's transcription rather than of Arnold's classification. HOLD-010.","PROVISIONAL and not VERIFIED because the measurement is over a transcription whose fidelity to Arnold is unchecked. The measurement itself - Cramer's V = 0.463, five zero cells - is VERIFIED at DA-M-005 and DA-M-007. What is PROVISIONAL is the inference from those numbers to a statement about Arnold's method. He may have used book membership as a criterion, he may have found period and book to coincide, or the transcription may have imposed it."
"DA-I-002","Three stratifications not by Arnold converge on his Popular stratum, and this record cannot decide between the two readings of that convergence.","PROVISIONAL","DA-M-010; DA-M-011; DA-M-012; DA-M-013; DA-M-014","SRC-072; SRC-023","04-AUDITS/domain-a-measure.py block 3; 02-SOURCES/dependency.csv DEP-022, DEP-023","2026-09-07","rigvedic-chronology (proposed)","Reading Grassmann 1876-7, Oldenberg 1888 and Witzel 1995 and establishing what criteria each used. If all three turn out to rest on metre, the convergence is one instrument seen four times. If they rest on lexicon, syntax and content, it is corroboration.","Reading one: four scholars working over 119 years and three criteria arrive at nearly the same late residue, and two of them (Grassmann 1876-7, Oldenberg 1888) did so BEFORE Arnold published, so they cannot have taken it from him. Reading two: nineteenth-century Vedic philology was a small, mutually-reading field, Oldenberg's metrical work is among Arnold's own sources, and four scholars sharing a criterion is one instrument counted four times. The measurements are compatible with both. Choosing needs the four works, and none is retrievable here."
"DA-I-003","The number of mutually independent stratification instruments available in this repository is three, not the five its data files appear to offer and not the one DEP-001 alone implies.","PROVISIONAL","DA-M-009; DA-M-010; DA-M-011","SRC-072; SRC-023","02-SOURCES/dependency.csv DEP-022, DEP-023","2026-09-07","rigvedic-chronology (proposed)","Either dependency being broken by reading the works: Wuest turning out to have reached his list independently of Oldenberg, or Arnold 1897 turning out to use criteria disjoint from Arnold 1905.","Five columns collapse to three because Oldenberg and Wuest are one set (phi 0.904, DEP-022) and Arnold 1897 and Arnold 1905 are one author (phi 0.825, DEP-023). The three that remain are Grassmann, Oldenberg-Wuest and Witzel. This is a better position than the programme was in this morning, when the answer was one, and a far worse one than the file's five columns suggest."
"DA-I-004","Hellwig et al. 2021 is not a universal falsification of Rigvedic relative chronology, and the scope of what it tested is narrower than its title suggests.","PROVISIONAL","-","SRC-082; SRC-077","abstract as returned by the Consensus connector, 2026-09-07T14:13Z","2026-09-07","rigvedic-chronology (proposed)","Reading the article. Its full text is unretrieved (HOLD-009) and this row is written from its abstract alone.","From the abstract, what it tested: allomorphic linguistic features that had been CLAIMED to bear signals of stratification, assessed against stratifications proposed in previous literature, plus a cluster analysis of the ten books on the same allomorphic data. Its result: once metrical positioning, prosodic structure and content are controlled for, the allomorph distributions do not lend significant support for ANY of the proposed stratifications; and the cluster analysis favours book 10 occupying a special position while overall differences across the books are not substantial. What it did NOT test, on the abstract's own wording: metre itself, which is Arnold's instrument and not an allomorph; arrangement and redaction; the samhita-padapatha relation; and absolute date. THE ABSTRACT DOES NOT NAME WHICH STRATIFICATIONS WERE TESTED, so whether Arnold's five periods were among them is NOT established here. Nor is the co-authorship: the connector truncates the author list to 'Oliver Hellwig et al.', so the Scarlata and Widmer attribution this unit was given remains INHERITED-UNVERIFIED."
"DA-I-005","This repository's own data reproduces, without any appeal to Hellwig et al., the reason their controls matter.","PROVISIONAL","DA-M-031; DA-M-032; DA-M-033","SRC-022; SRC-023; SRC-070","04-AUDITS/domain-a-morphology.py","2026-09-07","rigvedic-chronology (proposed)","The book 9 profile turning out to be reproducible in a genre-matched subset of another book, which would show that content is not what drives it.","Uncontrolled, seventeen inflectional categories give strong ordered patterns across Arnold's strata: the injunctive falls 166.8 to 73.2 per 10,000 and the imperfect rises 51.0 to 186.8. Then book 9 - the one book addressed almost entirely to a single deity - is the outlier on every category measured, with the dual at 117.2 against a corpus 437.7. Content moves these numbers by more than stratum does. That is the confound, visible here in this repository's own counts, and it is why DA-M-031 and DA-M-032 are labelled raw and are offered as neither confirming nor refuting anything."
"DA-I-006","The arrangement of the collection is a redactional fact, it is strong and reproducible, and it dates nothing. Mandala number is not a time axis and family-book location is an attestation fact.","PROVISIONAL","DA-M-018; DA-M-019; DA-M-020; DA-M-021; DA-M-022; DA-M-023","SRC-070; SRC-076","04-AUDITS/domain-a-measure.py block 5; Pincott 1884 and 1887 abstracts via SRC-084","2026-09-07","rigvedic-chronology (proposed)","A demonstration that the ordering principle is applied differently in different parts of the collection in a way that tracks a separately-established chronology. Nothing in this unit shows that.","216 DOWN against 56 UP inside addressee runs, p = 3e-22. The principle holds as strictly in books 1 and 10 - the books usually called late - as in the family books, which is the point: arrangement and lateness are different axes, and the arrangement is evidence for a redaction, not for a date. Two received statements about the arrangement fail here: the family books are NOT ordered by increasing size (DA-M-020), and book 9's within-metre length ordering is weak (DA-M-021). One holds: the 10.84/10.85 cleavage is visible on two measures at once (DA-M-022)."
"DA-I-007","Neither slogan the constitution warns against survives the measurement. The transmitted text is not a perfect audio recording of what was composed, and it was not rewritten.","PROVISIONAL","DA-M-024; DA-M-025; DA-M-026","SRC-071; SRC-020; SRC-070","04-AUDITS/domain-a-measure.py blocks 6 and 9; 02-SOURCES/dependency.csv DEP-024","2026-09-07","rigvedic-chronology (proposed)","The restoration itself being wrong: if the metrical restoration is over-applied, the 70.8% figure is a measure of its editors' confidence rather than of the text's drift. Reading Thomson and Slocum, or van Nooten and Holland 1994, would test that; neither is retrievable here.","Not a recording: 70.8% of stanzas differ segmentally from the restored text and the restoration adds 3.10% syllables, mostly by undoing sandhi and contraction - y read as iy, v as uv, a contracted vowel read as two. Not a rewrite: the effect is three syllables in a hundred, 31.8% of stanzas are unchanged in length, and 96.93% of restored padas scan to 8, 11 or 12. A text that had been rewritten would not restore this cleanly, and a text preserved perfectly would not need restoring at all. Both files descend from one data entry (DEP-024), so this measures the restoration as its editors made it."
"DA-I-008","What Panini's chandasi rules imply about the Rigveda is neither that he described the text we have nor that he changed it, and the grammatical tradition is on record saying the question cannot be settled from a single feature.","PROVISIONAL","-","SRC-084; SRC-077","Candotti 2011, Scharf 2005 and 2008, Ozono 2008, Deshpande 2002, Bronkhorst 1982: abstracts via the Consensus connector, 2026-09-07T14:30Z","2026-09-07","rigvedic-chronology (proposed)","Reading the Astadhyayi's chandasi rules against the corpus directly. That is a separate unit of work and nothing in this one attempts it.","Three things are retrievable at abstract level and each cuts against a slogan. First, chandasi is a visayasaptami domain inside one grammar, not a separate language: Candotti 2011 quotes Renou 1941:248-249 that the chandas 'do not represent in any way a state of language as distinct from the normal' but are 'a fringe of archaism or diversities which mark the margin of the system', and Deshpande 1985:124 that Panini describes Sanskrit as a 'panchronistic flatland'. Second, whether Panini knew the Vedic texts in the form we have received them is itself an open question in the tradition: Scharf 2005 cites Bronkhorst 1991 raising it and Cardona 1991 arguing that Panini's silence about a Vedic form may be deference to a received exegetical tradition rather than ignorance of it. Third, Scharf's own conclusion on the case he examines - the RV form krnvaite - is that it is impossible to establish either Panini's knowledge or his ignorance of the text from his account of the subjunctive, and that determining which texts he knew requires a comprehensive approach rather than individual traits. Abstract-level only; no article was read."
"DA-I-009","The padapatha is a second ancient analysis of the text, not a recording of it, and it disagrees with the modern analysis about roughly one word in eighty.","PROVISIONAL","DA-M-029; DA-M-030","SRC-074; SRC-022","04-AUDITS/domain-a-measure.py block 7; Deshpande 2002 abstract via SRC-084","2026-09-07","rigvedic-chronology (proposed)","The 1.19% divergence turning out to be dominated by one systematic convention difference rather than by genuine segmentation disagreements. This unit counts the divergence; it does not classify it.","Coverage is total - all 10,552 stanzas - and the compound share is flat by book at 11.6% to 14.1%, so the padapatha's analytical density does not vary across the collection. Its 162,820 word slots and the Zurich layer's 164,758 tokens differ by 1,938. Deshpande 2002, at abstract level, records that the pratisakhyas openly refer to ambiguity in the padapathas using the terms sandeha, samsaya and anyaya, and that different Vedic traditions differ from each other and show indecision within a tradition. That is a tradition describing its own analysis as uncertain, which is the opposite of what the recording slogan assumes."
"DA-I-010","The eight dates the method requires do not all exist for this material, and three of them have no representative in anything retrieved.","PROVISIONAL","DA-M-035","SRC-070; SRC-077; SRC-084","04-AUDITS/domain-a-measure.py block 10","2026-09-07","rigvedic-chronology (proposed)","A manuscript, a colophon or a scribal variant entering the record, which would give the copying date a representative for the first time.","COMPOSITION: no absolute anchor exists in this corpus and none is claimed. ATTESTATION: every measurement in this unit. COPYING: nothing. Not one manuscript, colophon or scribal variant is in the retrieved data, and the absence is NOT PRESERVED for the early period and NOT RETRIEVED for the later. REDACTION: measured directly by the arrangement analysis. TRANSLATION: eight translation layers in the corpus. EXCAVATION: not applicable. PUBLICATION: 1876 to 2023, and these are the only absolute dates in the unit. MODERN INTERPRETATION: the stratum labels, the five markings and the restorations, each dated to its publication and to nothing else. The trap this row exists to block is letting the publication date of a stratification stand in for the composition date of what it stratifies."
"DA-I-011","Books 8 and 9 are internally distinctive on measures that have nothing to do with lateness, and reading their distinctiveness as chronology is the domain's specific trap.","PROVISIONAL","DA-M-004; DA-M-021; DA-M-033","SRC-070; SRC-022; SRC-071","04-AUDITS/domain-a-measure.py blocks 1 and 5C; domain-a-morphology.py","2026-09-07","rigvedic-chronology (proposed)","A morphological profile for book 9 that survives restriction to Soma hymns elsewhere in the corpus.","Books 8 and 9 sit ten to twelve syllables per stanza below every other book because their padas are predominantly octosyllabic (DA-M-004). Book 9 is arranged by metre in seven long clean runs (DA-M-021) and is the morphological outlier of the corpus on every category measured (DA-M-033). It is also the one book addressed almost entirely to a single deity. Metre, arrangement, genre and addressee all separate book 9 from the rest before any question of date arises. Constitution 4.A asks that books 8 and 9 be investigated as internally complicated; on this evidence their complication is generic and structural, and the chronological question about them is not answered here and is not close to being answered here."
