"claim_id","claim","status","source_id","locator","retrieval_date","supports_page","notes"
"RCI-001","VedaWeb's rigveda/info/stanza_properties.json is a five-scholar layer of presumed late additions to the Rigveda: Grassmann 1876-7, Oldenberg 1888 and 1909/1912, Arnold 1897, Wuest 1928 and Witzel 1995, compiled by Dieter Gunkel and Salvatore Scarlata. 2,350 of 10,552 stanzas carry at least one mark.","VERIFIED","SRC-090","rigveda/info/stanza_properties.json, sha256 a40c53cab4a41107436ecf6b982e54068ee90e3b661cf7dffe59f11d93ef1e64; attribution and bibliography at rigveda/TEI/vedaweb_corpus.tei, biblFull xml:id=""stanza_properties"", sourceDesc xml:id=""stanza_properties_src""","2026-09-07","forts (proposed)","This layer has been inside the clone pinned on 2026-09-07 (SRC-019) the whole time and had not been opened. It is not strata.json and is not derived from it. Per-column coverage: grassmann 1,094; oldenberg 699; arnold 1,308; wuest 709; witzel 689. The file has 2,372 keys, but 22 of them are empty objects (01.100.16-19, 02.012.02-03 and others), so 2,372 is the size of the container and 2,350 is the number of stanzas the claim is about. Corrected from 2,372 on 2026-09-07 after the adversarial review, finding A; the first version took the count from the file rather than deriving it from the claim."
"RCI-002","The codes in that layer are case-significant: uppercase means the scholar judged the stanza certainly a late addition, lowercase that it may or might be one; Arnold's 1897 Sketch distinguishes two phases of addition, C1 and C2.","VERIFIED","SRC-091","VedaWebProject/vedaweb @ f6f840084e5c4d80444dec323fcd94d74e5b1bfc, resources/help/lateAdditions.md, sha256 160e231b11965366f110e1709e81379ee1cf8d602b6b2d99d87dca8e4b735f3e, first paragraph","2026-09-07","forts (proposed)","Retrieved from the platform's own source repository. vedaweb.uni-koeln.de, which serves the same legend to readers, is EGRESS_BLOCKED here (SRC-035, SRC-104). Without this file the codes are not interpretable from the data."
"RCI-003","The 'arnold' column of that layer is Arnold 1897, 'Sketch of the Historical Grammar of the Rig and Atharva Vedas', JAOS 18: 203-353 - a different publication from the Arnold 1905 Vedic Metre that strata.json encodes.","VERIFIED","SRC-090; SRC-091","vedaweb_corpus.tei sourceDesc xml:id=""stanza_properties_src"", first bibl; and lateAdditions.md section C1/C2","2026-09-07","forts (proposed)","Two works, one author. Not an independent instrument relative to strata.json. Recorded as DEP-028."
"RCI-004","Arnold's metre label does not determine his stratum code. Over the 39,833 padas that carry both, predicting the stratum from the metre label alone is right 40.4% of the time against a 21.7% majority-class baseline, with normalised mutual information 0.306.","VERIFIED","SRC-023","rigveda/info/strata.json, sha256 484e657e32ab7304aece763c072a1fa75d4042ffc4513d1426ba248776e0ed75; 66 distinct metre labels against 10 stratum codes; computed by 04-AUDITS/rv-chronology-instruments.py, output m1-metre-by-stratum.tsv","2026-09-07","forts (proposed)","Runs against the obvious objection to any test that uses the strata, namely that Arnold derived them from metre and so they are a relabelling of it. They are not: metre leaves most of the stratum assignment unexplained. It does explain some, which is why the metrical control in Hellwig, Scarlata and Widmer 2021 is the right move."
"RCI-005","Arnold's strata are, however, heavily entangled with book identity. Book predicts stratum 51.2% of the time against a 25.5% baseline, Cramer's V = 0.471 on a 10x5 table (chi-square 9,357, 36 df). Book 3 has no Archaic stanza, book 4 no Archaic and no Cretic, book 7 no Archaic, book 8 no Cretic and book 6 no Strophic.","VERIFIED","SRC-019; SRC-023","strata.json cross-tabulated against book; computed by 04-AUDITS/rv-arrangement.py section M2b, outputs m2-book-by-stratum.tsv and m2b-book-stratum-association.tsv","2026-09-07","forts (proposed)","The mechanism is that Arnold classified hymns, not stanzas: 958 of 1,028 hymns (93.2%) carry a single stratum code across all their stanzas, counting stanza-level codes; counting pada-level codes gives 957. Any test that reads a book effect and a stratum effect as two agreeing instruments is counting one thing twice. This sharpens PUR-020 and PUR-021 and is why the control in RCI-008 was necessary - and why that control had to be stratification by book rather than the deletion of one book. Locator corrected on 2026-09-07 after the adversarial review, finding D: the statistics were quoted from an ad-hoc computation and the script the locator named did not contain them. It does now."
"RCI-006","All five late-addition instruments concentrate their marks in Arnold 1905's Popular stratum. Of the stanzas each marks, the share that Arnold 1905 calls Popular is: Grassmann 40.6% (3.16x the corpus rate), Oldenberg 69.7% (5.42x), Arnold 1897 86.8% (6.75x), Wuest 69.5% (5.41x), Witzel 56.5% (4.39x). The corpus rate is 12.9%.","VERIFIED","SRC-023; SRC-090","strata.json against stanza_properties.json; 04-AUDITS/rv-chronology-instruments.py, output m5-instruments-vs-arnold1905.tsv","2026-09-07","forts (proposed)","The enrichment is confined to Popular. Strophic, Cretic and Normal are depleted for every instrument, and Archaic is depleted for four of the five (0.05x to 0.61x) but slightly ENRICHED for Grassmann, at 1.09x. These instruments corroborate Arnold at the late end of his sequence and say nothing whatever about the ordering of Archaic, Strophic, Cretic and Normal among themselves. The Archaic wording was corrected on 2026-09-07 after the adversarial review, finding M: the first version said 'depleted for every instrument (0.05x to 1.09x)', which reports an enrichment as a depletion and does so in the direction favourable to the claim."
"RCI-007","Every one of the 391 stanzas in the 31 appendix hymns Hellwig 2020 attributes to Oldenberg 1888 is marked in the VedaWeb oldenberg column. That column marks 699 stanzas in 83 hymns, so Hellwig's list is a proper subset of it, and 52 further hymns in the column are not in his footnote.","VERIFIED","SRC-023; SRC-094","Hellwig 2020, LT4HALA, footnote 6, citing Oldenberg 1888, 197-202 and 222-223; compared with SRC-090 by 04-AUDITS/rv-chronology-instruments.py section M7, output m7-oldenberg-cross-check.tsv","2026-09-07","forts (proposed)","Reworded on 2026-09-07 after the adversarial review, finding H. The first version called this a cross-check of two independent transcriptions and cited the closeness of the two Popular enrichments (5.71x against 5.42x) as the check. That was wrong: containment is total, so the two figures are a subset against its superset and their agreement is close to arithmetically forced. What the comparison does establish is containment itself - Hellwig's footnote and the Gunkel-Scarlata transcription do not conflict on any of the 31 hymns. What it cannot test is whether the other 52 hymns in the column are Oldenberg's, which is what a real cross-check would have to do and which needs Oldenberg 1888 itself (HOLD-010). The same paragraph of Hellwig 2020 that supplies this list also reports that his model finds the family-book portion of it NOT particularly late, and some of it 'even as quite old' - RV 5.27, whose status as an appendix Jamison and Brereton 2014, 688 challenge on metrical grounds. Added on 2026-09-07 after the adversarial review, finding N: the first version quoted the favourable half of that paragraph and not the unfavourable half. BF-024."
"RCI-008","For Oldenberg, Wuest and Witzel the agreement is not the book-10 effect and not a between-book effect either. Stratifying by book and pooling with Mantel-Haenszel, the odds of a stanza being Popular given that the scholar marked it are 66.7 for Oldenberg, 50.8 for Wuest, 39.9 for Witzel and 137.4 for Arnold 1897. Grassmann does not survive the control: his books 1-9 pooled odds ratio of 15.3 falls to 4.0 within books, with a per-book range of 1.3 to 43.4.","VERIFIED","SRC-023; SRC-090","04-AUDITS/rv-arrangement.py sections M6 and M6b, outputs m6-popular-enrichment-controlled.tsv, m6b-mantel-haenszel-by-book.tsv and m6c-per-book-odds-ratios.tsv, which carries the odds ratio for every scholar in every book","2026-09-07","forts (proposed)","Rewritten on 2026-09-07 after the adversarial review, finding G. The first version reported only the pooled figures with book 10 deleted - Grassmann 15.3, Oldenberg 69.2, Wuest 70.2, Witzel 32.5 - and called deleting one book the control. It is not: RCI-005 shows stratum is entangled with book identity in general, so the control that matches the confound is stratification by book. Three instruments survive it with little change. Grassmann falls by a factor of four and is heterogeneous to the point of vanishing in two books, which matters more than the other three surviving, because Grassmann is the one instrument RCI-011 and RCI-012 lean on as incapable of being downstream of Arnold. This also breached BF-005's logged control against leave-one-out statistics without per-element influence, and this unit's own BF-022. Two cautions from the source of RCI-007 and RCI-010 belong on this row and were missing from it. Hellwig 2020 s.5.4 reports his own model finding Oldenberg's family-book appendices NOT particularly late, which is the same region of the corpus this row presents as its tightest control; and his footnote 5 warns that 'significant p-values can result from the mere sample sizes in this setting', which applies directly to the p = 0 and p = 4.6e-300 the first version of this row reported. The odds ratios, not the p-values, are what this row rests on. BF-024. A further check added on 2026-09-07: restricting Oldenberg's marks to the 391 stanzas confirmed against Hellwig's transcription raises the within-book Mantel-Haenszel odds ratio to 90.9 rather than lowering it (m6d-oldenberg-confirmed-subset.tsv)."
"RCI-009","The five instruments are not mutually independent, and one pair is barely distinguishable: Wuest 1928 and Oldenberg agree on 641 stanzas out of 699 and 709 marked, Jaccard 0.836. Witzel 1995 agrees with each at Jaccard 0.48. Grassmann 1876-7 is the most nearly independent, Jaccard 0.19 to 0.25 against the others.","VERIFIED","SRC-090","04-AUDITS/rv-chronology-instruments.py, output m4-pairwise-agreement.tsv","2026-09-07","forts (proposed)","Constitution step 5. Wuest 1928 cannot be counted as evidence separate from Oldenberg 1888 in this data: whatever Wuest did with style and chronology, the stanzas the VedaWeb layer records him marking are almost exactly Oldenberg's. Recorded as DEP-030. The count of usable non-Arnold instruments is therefore three, not four."
"RCI-010","Oldenberg's arrangement rule holds against the text. Taking the rule as its cited source states it - per whole book, no grouping - adjacent hymns run from longer to shorter far more often than the reverse: 388 descents against 214 ascents across the ten books, with a Monte Carlo p below 0.0001 in every book over 20,000 within-book permutations.","VERIFIED","SRC-092; SRC-094","Rule as stated in Hellwig 2020 s.5.4 reporting Oldenberg 1888, 191-197 and 265: 'the hymns in each book of the RV are arranged according to the numbers of their stanzas'. Tested by 04-AUDITS/rv-arrangement.py section M8 against rigveda/info/addressees.json and hymn lengths from strata.json; output m8-arrangement-runs.tsv carries all three segmentations","2026-09-07","forts (proposed)","Rewritten on 2026-09-07 after the adversarial review, finding I. The first version tested the rule within groups and called them deity groups. Both were wrong: the source states the rule per book, and VedaWeb's group field is a poet or collection heading ('1. group: hymns of Madhucchandas'), not a deity grouping. The whole-book test is the one the locator covers and it is what this row now reports. The two finer segmentations are retained in the output as variants and give 364 against 153 by group label and 216 against 56 by maximal addressee run. Thirty tests are run in all and no multiplicity adjustment is applied; the weakest single result is book 10 under addressee runs at p = 0.0091 on 8 informative pairs, which would not survive one. The whole-book result does not depend on it."
