"join_id","claim_id","register","source_id","source_ordinal_in_cell","evidence_role","locator","locator_basis","independence_group","notes"
"CS-00001","BR-E-001","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv#BR-E-001","row-reference-only","IG-066",""
"CS-00002","BR-E-001","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv#BR-E-001","row-reference-only","IG-041",""
"CS-00003","BR-E-002","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","SRC-023","1","ANALYTICAL-LAYER","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv#BR-E-002","row-reference-only","IG-041",""
"CS-00004","BR-E-002","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv#BR-E-002","row-reference-only","IG-041",""
"CS-00005","BR-E-003","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","SRC-060","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv#BR-E-003","row-reference-only","IG-047",""
"CS-00006","BR-E-006","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv#BR-E-006","row-reference-only","IG-066",""
"CS-00007","BR-E-007","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","SRC-061","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv#BR-E-007","row-reference-only","IG-066",""
"CS-00008","BR-E-007","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","SRC-062","2","RECONSTRUCTION","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv#BR-E-007","row-reference-only","IG-066",""
"CS-00009","BR-E-008","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv#BR-E-008","row-reference-only","IG-066",""
"CS-00010","BR-E-008","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv#BR-E-008","row-reference-only","IG-041",""
