"file_id","function","path","role","canonical_for_function","authority","responsible_writer","validated","id_prefix","evidence_gate_column","notes"
"CF-57ad13ad","AI agent definitions",".claude/agents/adversarial-reviewer.md","CANONICAL","","PROGRAMME.md","director session","NOT-VALIDATED","","","Claude subagents. Not scholars, advisers, partners or human reviewers."
"CF-0a4877b7","AI agent definitions",".claude/agents/chronology-gate.md","CANONICAL","","PROGRAMME.md","director session","NOT-VALIDATED","","","Claude subagents. Not scholars, advisers, partners or human reviewers."
"CF-01d131ab","AI agent definitions",".claude/agents/corpus-analyst.md","CANONICAL","","PROGRAMME.md","director session","NOT-VALIDATED","","","Claude subagents. Not scholars, advisers, partners or human reviewers."
"CF-2179a36e","AI agent definitions",".claude/agents/historiography-auditor.md","CANONICAL","","PROGRAMME.md","director session","NOT-VALIDATED","","","Claude subagents. Not scholars, advisers, partners or human reviewers."
"CF-bb4d1949","AI agent definitions",".claude/agents/museum-translator.md","CANONICAL","","PROGRAMME.md","director session","NOT-VALIDATED","","","Claude subagents. Not scholars, advisers, partners or human reviewers."
"CF-2c58b651","AI agent definitions",".claude/agents/retriever.md","CANONICAL","","PROGRAMME.md","director session","NOT-VALIDATED","","","Claude subagents. Not scholars, advisers, partners or human reviewers."
"CF-f3f8a6b0","AI agent definitions",".claude/agents/rights-steward.md","CANONICAL","","PROGRAMME.md","director session","NOT-VALIDATED","","","Claude subagents. Not scholars, advisers, partners or human reviewers."
"CF-a0f33f69","AI agent definitions",".claude/agents/source-genealogist.md","CANONICAL","","PROGRAMME.md","director session","NOT-VALIDATED","","","Claude subagents. Not scholars, advisers, partners or human reviewers."
"CF-a9c56c5f","Local pre-push gate",".claude/hooks/block-push-on-register-failure.sh","CANONICAL","","AI-AGENT-ROSTER.md","director session","NOT-VALIDATED","","","Early feedback, not the gate. The enforceable gate is CI plus branch protection; branch protection is an owner action."
"CF-f27ac6f3","Hook wiring",".claude/settings.json","CANONICAL","","self","director session","NOT-VALIDATED","","","Governs Bash only. It does not govern non-Bash tools or non-Claude clients."
"CF-5a28001a","Continuous validation",".github/workflows/validate-registers.yml","CANONICAL","","self","director session","NOT-VALIDATED","","","Runs the validator on push and pull request. Requiring it before merge is branch protection, which only the owner can set."
"CF-bc37d034","Repository hygiene",".gitignore","CANONICAL","","self","director session","NOT-VALIDATED","","","Now excludes __pycache__ and *.pyc; a compiled file was tracked before this pass."
"CF-d5d3368a","Literature connectors",".mcp.json","CANONICAL","","self","director session","NOT-VALIDATED","","","Tool configuration, not research authority. Availability and quota are session facts and belong in access-ledger events."
"CF-ef2dc855","Canonical file register","00-CONTROLLER/CANONICAL-FILES.csv","CANONICAL","","self","04-AUDITS/build-canonical-files.py","GATED","CF-","","Generated. Read by validate-registers.py to decide what it enforces."
"CF-3542c07b","Control-plane contradictions","00-CONTROLLER/CONTRADICTION-REGISTER.csv","CANONICAL","","self","director session","GATED","CR-","","Conflicting controllers, statuses, counts, identifiers, route inventories and decisions. Distinct from 04-AUDITS/INTERNAL-CONTRADICTIONS.csv, which is the constitution's required register for contradictions in the EVIDENCE."
"CF-8af1fa69","Controller conflict resolution","00-CONTROLLER/CONTROLLER-RECONCILIATION.md","CANONICAL","","self","director session","NOT-VALIDATED","C-","","C-1 to C-9 here collide by normalisation with inherited corrections C-01 to C-09. The leading zero is load-bearing; see CR-009."
