"backlog_id","title","current_site_coverage","current_prompt_coverage","prior_research_available","research_required","product_spec_required","technical_dependency","institutional_dependency","existing_route","proposed_destination","release","status","reason","owner_decision","final_zip_location"
"BL-001","Audit every load-bearing factual claim","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/inherited-claims.csv — all 369 rows, IH-001 to IH-369, every one INHERITED-UNVERIFIED and so every one within this item's scope; 04-AUDITS/REAUDIT-QUEUE.csv","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: I. Do now","",""
"BL-002","Fix numerical inconsistencies","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/inherited-claims.csv — 62 rows matched on subject by 04-AUDITS/backlog-coverage-build.py, all INHERITED-UNVERIFIED, first IH-001, last IH-369; 03-REGISTERS/rigveda-pur-family.csv — PUR-001 records a 39,832 / 39,833 pada discrepancy between two layers of one corpus — a live numerical inconsistency with its cause stated","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: I. Do now","",""
"BL-003","Establish one status vocabulary","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: I. Do now","",""
"BL-004","Formalize the epistemic constitution","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: I. Do now","",""
"BL-005","Rewrite overdetermined headlines","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: I. Do now","",""
"BL-006","Separate evidence from historiography","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: I. Do now","",""
"BL-007","Audit the homepage","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: I. Do now","",""
"BL-008","Lock the MelaKeela / Veḷi relationship","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: I. Do now","",""
"BL-009","Comparative Dravidian programme","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/domain-e-hypothesis-eligibility.csv — E-1 to E-4 gate Dravidian attestation, Proto-Dravidian reconstruction, accepted loans and the substrate residue as four separate things; 03-REGISTERS/domain-e-claims.csv — domain E claim rows","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: II. Research first","",""
"BL-010","Brahui / Kurukh / Malto investigation","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/domain-e-hypothesis-eligibility.csv — E-1 records Brahui, Kurukh and Malto distribution and states it is a fact about the present and recorded past, not about the Rigvedic period; 05-HOLDS/HOLD-002-dedr-unreachable.md — no Dravidian source was reachable; nothing about Dravidian is asserted at any status","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: II. Research first","",""
