"measure_id","distinction_no","distinction","quantity","value","source_id","locator","what_this_cannot_show"
"EM-01","1","attested Dravidian languages","distinct language labels carrying at least one reflex in the retrieved DEDR table","77","SRC-061","JAMBU data/dedr/dedr_new.csv, field 1","Labels are DEDR's own and mix languages with dialects and fieldnote lects; this is not a count of Dravidian languages in the world."
"EM-02","1","attested Dravidian languages","reflex rows in the retrieved DEDR table","76303","SRC-061","JAMBU data/dedr/dedr_new.csv, all rows","One printed DEDR sub-entry can yield several rows; this is a row count, not a word count."
"EM-03","1","attested Dravidian languages","distinct DEDR entry numbers in the retrieved table","5619","SRC-061","JAMBU data/dedr/dedr_new.csv, field 2","Cannot be checked against the printed 1984 edition: dsal.uchicago.edu is EGRESS_BLOCKED (SRC-056)."
"EM-04","1","attested Dravidian languages","varieties in DravLex, a second and differently built sample","20","SRC-067","lexibank/dravlex @ 3757807, cldf/languages.csv","100 basic-vocabulary concepts only. Not a lexicon and not independent evidence for any individual etymology."
"EM-05","1","attested Dravidian languages","cognate sets coded in DravLex","778","SRC-067","lexibank/dravlex @ 3757807, cldf/cognates.csv","Cognacy coding, not reconstruction. A cognate set is not a Proto-Dravidian form."
"EM-06","2","reconstructed Proto-Dravidian","distinct starred Proto-Dravidian forms in the retrieved reconstruction set","1286","SRC-062","JAMBU data/dedr/pdr.csv, field 3","Krishnamurti's reconstructions as carried by JAMBU, at one remove from Krishnamurti 2003, which is not retrieved. A starred form is not an attestation."
"EM-07","2","reconstructed Proto-Dravidian","DEDR entries for which a Proto-Dravidian form is offered","818","SRC-062","JAMBU data/dedr/pdr.csv, field 2","Coverage is partial by design; DEDR itself offers no reconstructions, which is why this is a separate table and a separate distinction."
"EM-08","2","reconstructed Proto-Dravidian","share of retrieved DEDR entries carrying a Proto-Dravidian reconstruction (percent)","14.6","SRC-061; SRC-062","ratio of EM-07 to EM-03","A low share is a fact about this reconstruction set's coverage, not a measure of Proto-Dravidian's security."
"EM-09","3","accepted Old Indo-Aryan Dravidian loans","CDIAL entries where Turner writes the loan arrow to Dravidian","219","SRC-065","JAMBU data/cdial/params.csv, entry text, regex '←...Drav.'","Turner's attribution, made in the 1960s. Retrieving it is not confirming it, and 'accepted' here means accepted by Turner."
"EM-10","3","accepted Old Indo-Aryan Dravidian loans","CDIAL entries mentioning Dravidian at all, including comparisons and rejections","263","SRC-065","JAMBU data/cdial/params.csv, entry text, regex 'Drav.'","A mention is not an attribution. The gap between this and EM-09 is the space in which loan lists get inflated by paraphrase."
"EM-11","5","attested Munda languages","distinct Munda languages with reflexes in the retrieved comparative table","12","SRC-063","JAMBU data/munda/forms.csv, field 1 excluding PMu","This table is a comparative wordlist assembled for reconstruction, not a lexicon of any Munda language."
"EM-12","5","attested Munda languages","attested Munda reflex rows in that table","1096","SRC-063","JAMBU data/munda/forms.csv","Nothing in this table is located in the northwest. Its languages are eastern and central Indian."
"EM-13","6","reconstructed Proto-Munda","Proto-Munda etyma reconstructed in Rau 2019 as carried by JAMBU","127","SRC-064","JAMBU data/munda/rau_2019.csv, one row per etymon","Rau alone, at one remove. 127 etyma is a comparative core, not the reconstructible lexicon."
"EM-14","7","pre-Proto-Munda / deeper Austroasiatic","of those etyma, the number carrying a Mon-Khmer Comparative Dictionary number","85","SRC-064","JAMBU data/munda/rau_2019.csv, field mkcd_no","Shorto's MKCD is cited inside Rau's table; it was not retrieved. This measures Rau's citation of Shorto, not Shorto."
"EM-15","7","pre-Proto-Munda / deeper Austroasiatic","of those etyma, the number carrying a Pinnow number","100","SRC-064","JAMBU data/munda/rau_2019.csv, field pinnow","Same: this is Rau citing Pinnow."
"EM-16","5,6,7","Munda, all three layers together","CDIAL entries where Turner writes the loan arrow to Munda","1","SRC-065","JAMBU data/cdial/params.csv, entry text, regex '←...Muṇḍ'","Turner's attribution, and several of his Munda attributions are themselves credited to Kuiper, who is not retrieved (HOLD-005)."
"EM-17","5,6,7","Munda, all three layers together","CDIAL entries mentioning Munda at all","22","SRC-065","JAMBU data/cdial/params.csv, entry text, regex 'Muṇḍ|Munda'","As EM-10: mention is not attribution."
"EM-18","11","genuinely unidentified vocabulary","CDIAL entries where Turner declares the origin unknown, obscure, doubtful or non-Aryan","101","SRC-065","JAMBU data/cdial/params.csv, entry text, regex on 'orig. unknown|obscure|doubtful|non-Aryan'","This is Turner's residue, in Indo-Aryan, not a Rigvedic residue and not anyone's substrate list. It is a floor on unidentified vocabulary, not an estimate of it."
"EM-19","4","proposed Dravidian substrate forms","items measurable from sources retrieved in this session","0","SRC-068","05-HOLDS/HOLD-005-substrate-literature.md","NOT MEASURED. Southworth, Kuiper and Witzel are unretrieved. Zero here means zero retrieved, and must never be read as zero proposed."
"EM-20","8","Witzel's historical Para-Munda proposal","items measurable from sources retrieved in this session","0","SRC-068","05-HOLDS/HOLD-005-substrate-literature.md","NOT MEASURED, for the same reason. The proposal is not refuted by its absence from this table."
"EM-21","9","Kubha-Vipas / unknown-prefixing-language fallback","items measurable from sources retrieved in this session","0","SRC-068","05-HOLDS/HOLD-005-substrate-literature.md","NOT MEASURED, same reason."
"EM-22","10","Masica's Language X residue","items measurable from sources retrieved in this session","0","SRC-068","05-HOLDS/HOLD-005-substrate-literature.md","NOT MEASURED, same reason. Masica 1979 is unretrieved."
