"hold_id","target","what_was_attempted","why_not_migrated","meaning_at_risk","blocked_on","raised_date","disposition"
"MH-001","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv, column verdict, 8 rows","Migrate the free-prose verdict column to a controlled vocabulary.","The eight values are eight different findings, not eight spellings of one: NOT CROSSED, NOT CROSSED - DELIBERATELY, NOT CROSSED - BY DESIGN, NOT ESTABLISHED, NOT ESTABLISHED HERE, EXPLICITLY REFUSED, REFUSED AND THE DISTINCTION IS PRODUCTIVE, WEAK - THREE SEPARATE FAILURES OF INDEPENDENCE. Collapsing them into an enum would decide, by clerical act, whether a bridge was refused on principle or merely not established in this unit.","The distinction between a bridge deliberately not crossed and one that could not be established. That distinction is the point of constitution step 10.","An owner or author decision on a bridge-verdict vocabulary. The register is marked REPORTED, not GATED, so the validator surfaces the column without failing on it.","2026-09-07","OPEN"
"MH-002","02-SOURCES/access-ledger.csv, column access_status. Row and value counts: python3 -c ""import csv,collections; r=list(csv.DictReader(open('02-SOURCES/access-ledger.csv',newline=''))); print(len(r), collections.Counter(x['access_status'].split()[0] for x in r))""","Re-type access_status onto a retrieval vocabulary as the 2026-09-07 audit recommends.","VERIFIED there labels the standing of the probe record, not a retrieval outcome. SRC-002 is access_status VERIFIED and retrieval_capable NO: the probe is a verified record of a failure. Mapping those rows to RETRIEVED would assert 50 retrievals that did not happen; mapping them to NOT_ATTEMPTED would delete the probe record. Neither is a migration.","Whether a source was retrieved. Reversing that on 50 rows would corrupt the one register the inheritance rule depends on.","An owner decision on a retrieval vocabulary, and a per-row reading of probe_result. superseded_by was added and populated in the same pass, which is the part that could be done mechanically. CR-004.","2026-09-07","OPEN"
"MH-003","03-REGISTERS/HYPOTHESIS-ELIGIBILITY.csv and 03-REGISTERS/domain-e-hypothesis-eligibility.csv","Merge the two eligibility registers into one authority.","They are not row-for-row equivalents: 10 rows against 11, different identifier namespaces, different eligibility vocabularies, and no crosswalk exists. Merging would require deciding which of two gate verdicts governs where they disagree, which is an analytical judgement about hypotheses, not a schema change.","Which hypotheses may receive analytical space. Constitution step 7 is the gate this register exists to enforce.","D-036 and D-039, which are the same decision asked twice and carry different statuses. CR-006 and CR-010. A gate_verdict column now reads both vocabularies into one so the registers can be compared before either is changed.","2026-09-07","OPEN"
"MH-004","06-BACKLOG/BACKLOG-COVERAGE.csv, columns current_site_coverage and existing_route, 95 rows","Replace the NOT ESTABLISHED sentinel with named routes.","The route inventory is in melakeela/site, which this session cannot read and this repository must not write to. Filling 95 cells from the inherited 96-page curatorial audit was already considered and rejected in 06-BACKLOG/README.md: it is a frozen 2026-09-01 baseline whose currency is itself an open decision, D-033.","Whether a backlog item is built. A complete-looking unsourced coverage table is the exact failure the repository exists to prevent.","Cross-repository access, or a route inventory committed here. CR-001 and CR-017. The seven blank scope columns are separately blocked on the full original backlog text, D-014.","2026-09-07","OPEN"
"MH-005","00-CONTROLLER/CONTROLLER-RECONCILIATION.md, identifiers C-1 to C-9","Rename to RCF-001 to RCF-009 so they stop colliding by normalisation with inherited corrections C-01 to C-41.","Prospective renaming is right, but it touches 18 referencing files outside 01-INHERITED/ (grep -rlE ""\bC-[1-9]\b"") and the inherited C-01 to C-41 series must never be edited. Doing it inside a data-model pass would mix a reference migration into a schema migration, which the audit's own checklist forbids.","Which C- series a bare reference means. The leading zero is currently load-bearing and nothing enforces it.","Owner approval, then a single mechanical commit updating every reference enumerated in PATH-MIGRATION.csv. CR-009.","2026-09-07","OPEN"
"MH-006","Every path in 00-CONTROLLER/PATH-MIGRATION.csv.","Move the numbered directories to the unnumbered functional structure.","The register carries one row per tracked path with the files that reference it. The audit's own checklist is that path moves are a separate mechanical commit performed only after the data and authority repair has passed review; mixing them makes both unreviewable. No count is quoted here: this row previously said ""103 paths carry 562 enumerated references"" and both figures were stale within the same pass (BF-021). Reproduce the current figures with: python3 -c ""import csv; r=list(csv.DictReader(open('00-CONTROLLER/PATH-MIGRATION.csv',newline=''))); print(len(r), sum(int(x['references_enumerated']) for x in r))""","Every internal reference in the repository.","Owner approval of REPOSITORY-MAP.md and of the alias policy. The crosswalk is written and every reference is counted; nothing is moved.","2026-09-07","OPEN"
"MH-007","13-PRODUCT-ARCHITECTURE/museum-framework.md","Relabel the posture counts and decisions that derive from a 96-page site audit.","The counts are woven into the document's arguments rather than tabulated. Relabelling them means re-reading each argument against a site this session cannot see, which is research, not a control-plane repair.","Design decisions taken against a page count that may no longer describe the site.","D-012 (whether specifications belong in this repository at all) and cross-repository access. CR-019.","2026-09-07","OPEN"
"MH-008","03-REGISTERS/domain-e-hypothesis-eligibility.csv row 12 (E-11), column evidence_status","Decompose the cell ""VERIFIED as a measurement; not a claim about origins"" into evidence_status=VERIFIED plus interpretive_status=MEASUREMENT-ONLY, with the original preserved in status_reason.","The decomposition was made and then reversed. This register has no source_id, locator or retrieval_date column, so a VERIFIED row in it is untraceable by construction: the retrieval check cannot reach it and the row would pass every filter and the evidence gate. Before the migration the cell was one of the 53 validator failures; after it, it passed. That is a change in machine standing with no retrieval behind it, which is the one thing the inheritance rule forbids. The row also states a residue - ""Some Rigvedic vocabulary has no identified source of any kind"" - which constitution section 6 keeps out of the positive column. The cell is restored verbatim and this hold records it. This hold records the row; it does not waive anything. The waiver channel that once lived in this register was removed after review showed it could waive the retrieval requirement across a whole register, waive the override log's own date checks, and admit an ungoverned register. The failure is covered by OVERRIDE-LOG OV-001, which expires. RESOLVED ON MERGE, 2026-09-08: main had already done both halves of this on its own side. 03-REGISTERS/domain-e-hypothesis-eligibility.csv now carries source_id, locator and retrieval_date, so the register CAN record a retrieval; and E-11's cell is a bare VERIFIED with the qualification moved into `reason` and the measurement's sources cited. The decomposition this hold refused is therefore not made by the migration at all — there is nothing left to decompose — and the row is traceable rather than untraceable. E-11 is now in 03-REGISTERS/claim-sources.csv (CS-3187 to CS-3190). The hold's reasoning stands as written and is kept; only its subject is gone. MH-010 is NOT resolved: 03-REGISTERS/HYPOTHESIS-ELIGIBILITY.csv still has no retrieval columns and its three PROVISIONAL rows are still the three failures OV-001 covers.","Whether a residue statement in an eligibility register carries evidentiary standing at all. Typing it to any of the seven values would answer that by clerical act; leaving it VERIFIED would assert an untraceable retrieval.","An owner or author decision on what standing this row has. The underlying measurement is VERIFIED elsewhere, in registers that can carry a retrieval: DME-004 and DME-013 in 03-REGISTERS/domain-e-claims.csv. The likely resolution is that this row carries no evidence_status of its own and the column is dropped from the eligibility registers, which is the same question as D-036 / D-039.","2026-09-07","RESOLVED-ON-MERGE"
"MH-009","1,195 inline source_id cells holding more than one identifier, across 03-REGISTERS/ and 04-AUDITS/. Reproduce the count with the command in 04-AUDITS/MIGRATION-REPORT-2026-09-07.md.","Empty or normalise the inline cells so that one cell holds one identifier, now that 03-REGISTERS/claim-sources.csv carries the relation.","Rewriting 1,195 research rows to satisfy a schema is the thing this repository exists to refuse. Emptying them would also strip the source reference from VERIFIED rows, which the retrieval gate requires. The cells are left exactly as written and the join expands them; the validator and the generator share one splitter, so the two cannot disagree about what a cell says.","The source attribution of 1,195 evidence rows.","Nothing, and it may never be worth doing. The defect the audit named - several identifiers in one opaque cell that nothing can read - is closed by the join. What remains is a cosmetic difference between old rows and the rule for new ones, and it is recorded here rather than fixed so that a reviewer reading the rule does not report 1,195 findings.","2026-09-07","OPEN"
"MH-010","03-REGISTERS/HYPOTHESIS-ELIGIBILITY.csv rows 2, 3 and 4 (HYP-E-000, HYP-E-001, HYP-E-002), column evidence_status.","Apply the retrieval requirement to PROVISIONAL rows, not only VERIFIED ones.","CLAUDE.md defines PROVISIONAL as supported by a single source or by dependent sources, which is a claim about sources, so it needs one. This register has no source_id, locator or retrieval_date column, so these three rows assert a source-dependent standing that nothing here can trace - the same structural defect as MH-008, found by widening the check that MH-008 exposed. The rows are not re-statused: choosing between PROVISIONAL and HYPOTHESIS for a hypothesis-eligibility row is an analytical judgement about the hypothesis, not a schema repair.","The standing of three of the ten rows in the mandated eligibility register, including the null explanation (HYP-E-000) and the Dravidian-contact hypothesis (HYP-E-001). Re-typing either downward would remove the null explanation from the standing alternative it is carried as; upward would assert retrievals that are not recorded.","The same question as MH-008 and D-036 / D-039: whether an eligibility register carries an evidence_status of its own at all, or whether the standing of a hypothesis lives in the claim registers that can record a retrieval. Answering it resolves MH-008 and MH-010 together.","2026-09-07","OPEN"
