"current_path","authority","migration_state","proposed_path","proposed_path_status","inbound_refs_fullpath","inbound_refs_basename_only","referring_files","move_precondition","old_path_crosswalk"
".claude/agents/adversarial-reviewer.md","tool-adapter","NOT-MOVED","NO-PROPOSAL-RECORDED","PROPOSED-NOT-ADOPTED (D-046)","2","0","04-AUDITS/ADVERSARIAL-REVIEW-PR22-DOMAIN-M.md; 04-AUDITS/domain-m-adversarial-review-2026-09-07.md","D-046 adopts the target structure, and all 2 full-path reference(s) are rewritten in the same commit",".claude/agents/adversarial-reviewer.md"
".claude/agents/chronology-gate.md","tool-adapter","NOT-MOVED","NO-PROPOSAL-RECORDED","PROPOSED-NOT-ADOPTED (D-046)","0","0","","D-046 adopts the target structure; no full-path reference to rewrite",".claude/agents/chronology-gate.md"
".claude/agents/corpus-analyst.md","tool-adapter","NOT-MOVED","NO-PROPOSAL-RECORDED","PROPOSED-NOT-ADOPTED (D-046)","0","0","","D-046 adopts the target structure; no full-path reference to rewrite",".claude/agents/corpus-analyst.md"
".claude/agents/historiography-auditor.md","tool-adapter","NOT-MOVED","NO-PROPOSAL-RECORDED","PROPOSED-NOT-ADOPTED (D-046)","0","0","","D-046 adopts the target structure; no full-path reference to rewrite",".claude/agents/historiography-auditor.md"
".claude/agents/museum-translator.md","tool-adapter","NOT-MOVED","NO-PROPOSAL-RECORDED","PROPOSED-NOT-ADOPTED (D-046)","0","0","","D-046 adopts the target structure; no full-path reference to rewrite",".claude/agents/museum-translator.md"
".claude/agents/retriever.md","tool-adapter","NOT-MOVED","NO-PROPOSAL-RECORDED","PROPOSED-NOT-ADOPTED (D-046)","0","0","","D-046 adopts the target structure; no full-path reference to rewrite",".claude/agents/retriever.md"
".claude/agents/rights-steward.md","tool-adapter","NOT-MOVED","NO-PROPOSAL-RECORDED","PROPOSED-NOT-ADOPTED (D-046)","0","0","","D-046 adopts the target structure; no full-path reference to rewrite",".claude/agents/rights-steward.md"
".claude/agents/source-genealogist.md","tool-adapter","NOT-MOVED","NO-PROPOSAL-RECORDED","PROPOSED-NOT-ADOPTED (D-046)","0","0","","D-046 adopts the target structure; no full-path reference to rewrite",".claude/agents/source-genealogist.md"
".claude/hooks/block-push-on-register-failure.sh","tool-adapter","NOT-MOVED","NO-PROPOSAL-RECORDED","PROPOSED-NOT-ADOPTED (D-046)","4","0",".claude/settings.json; .github/workflows/validate-registers.yml; 00-CONTROLLER/CANONICAL-FILES.csv; AI-AGENT-ROSTER.md","D-046 adopts the target structure, and all 4 full-path reference(s) are rewritten in the same commit",".claude/hooks/block-push-on-register-failure.sh"
".claude/settings.json","tool-adapter","NOT-MOVED","NO-PROPOSAL-RECORDED","PROPOSED-NOT-ADOPTED (D-046)","2","0","00-CONTROLLER/REPOSITORY-MAP.md; AI-AGENT-ROSTER.md","D-046 adopts the target structure, and all 2 full-path reference(s) are rewritten in the same commit",".claude/settings.json"
".github/workflows/validate-registers.yml","tool-adapter","NOT-MOVED","NO-PROPOSAL-RECORDED","PROPOSED-NOT-ADOPTED (D-046)","3","0",".claude/hooks/block-push-on-register-failure.sh; 00-CONTROLLER/CANONICAL-FILES.csv; AI-AGENT-ROSTER.md","D-046 adopts the target structure, and all 3 full-path reference(s) are rewritten in the same commit",".github/workflows/validate-registers.yml"
".gitignore","repository-root","NOT-MOVED","NO-PROPOSAL-RECORDED","PROPOSED-NOT-ADOPTED (D-046)","2","0","00-CONTROLLER/CONTRADICTION-REGISTER.csv; 00-CONTROLLER/REPOSITORY-MAP.md","D-046 adopts the target structure, and all 2 full-path reference(s) are rewritten in the same commit",".gitignore"
".mcp.json","repository-root","NOT-MOVED","NO-PROPOSAL-RECORDED","PROPOSED-NOT-ADOPTED (D-046)","2","0","00-CONTROLLER/REPOSITORY-MAP.md; README.md","D-046 adopts the target structure, and all 2 full-path reference(s) are rewritten in the same commit",".mcp.json"
