"passage_id","stanza","type","type_before_override","type_means","poetic_subkind","basis","override","inferred_geography","archaeological_fortification","unsupported_identification","why_three_types_unassigned","family_surfaces","addressee","arnold_stratum","status","source_id","locator","retrieval_date","supports_page"
"PUR-P-001","01.011.04","POETIC-FORMULA","POETIC-FORMULA","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","DIVINE-EPITHET","R4b: genitive plural purā́m depending on an agent noun of breaking — the analytic form of the puraṃdará- epithet, which R1 cannot see because the token is a simplex púr-. purā́m bhindúr — 'breaker of forts', of Indra.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","purā́m","Indra","N","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.011.04; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-002","01.033.13","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","","R5: a púr- in ACC stands as an object in the narrative — held, broken, entered, or belonging to a named holder.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púraḥ","Indra","n","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.033.13; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-003","01.051.05","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","","R5: a púr- in ACC stands as an object in the narrative — held, broken, entered, or belonging to a named holder.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púraḥ","Indra","C","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.051.05; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-004","01.051.11","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","","R5: a púr- in ACC stands as an object in the narrative — held, broken, entered, or belonging to a named holder.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púraḥ","Indra","C","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.051.11; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-005","01.053.07","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","","R5: a púr- in ACC/INS stands as an object in the narrative — held, broken, entered, or belonging to a named holder.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","purā́ púram","Indra","C","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.053.07; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-006","01.053.08","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","","R5: a púr- in ACC stands as an object in the narrative — held, broken, entered, or belonging to a named holder.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púraḥ","Indra","C","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.053.08; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-007","01.054.06","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","","R5: a púr- in ACC stands as an object in the narrative — held, broken, entered, or belonging to a named holder.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púraḥ","Indra","C","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.054.06; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-008","01.058.08","POETIC-FORMULA","POETIC-FORMULA","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","PROTECTIVE-FORMULA","R4: pūrbhír ā́yasībhiḥ … uruṣya — protect the singer with iron forts.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","pūrbhíḥ","Agni","A","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.058.08; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-009","01.061.05","POETIC-FORMULA","POETIC-FORMULA","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","DIVINE-EPITHET","R4b: genitive plural purā́m depending on an agent noun of breaking — the analytic form of the puraṃdará- epithet, which R1 cannot see because the token is a simplex púr-. purā́ṁ … darmā́ṇam — 'splitter of forts', of Indra.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","purā́m","Indra","A","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.061.05; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-010","01.063.02","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","","R5: a púr- in ACC stands as an object in the narrative — held, broken, entered, or belonging to a named holder.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púraḥ","Indra","A","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.063.02; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
