"evidence_id","screen_id","what_is_shown","claim_ids","lowest_status","child_badge","badge_second_line","source_id","locator","display_text"
"EV-001","CP-1.1","RV 4.30.20, accented Devanagari","PUR-P-041","VERIFIED","FOUND","","SRC-084","rigveda/versions/eichler.csv, stanza 04.030.20","pulled at build"
"EV-002","CP-1.1","RV 4.30.20, Samhita transliterated","PUR-P-041","VERIFIED","FOUND","","SRC-020","rigveda/versions/aufrecht.csv, 04.030.20","quoted in rigveda-pur-passages.csv, samhita_text"
"EV-003","CP-1.1","RV 4.30.20, padapatha, word by word","PUR-P-041","VERIFIED","FOUND","","SRC-021","rigveda/versions/padapatha.csv, 04.030.20","quoted in rigveda-pur-passages.csv, padapatha"
"EV-004","CP-1.2","Word-by-word glosses for the eight words of the stanza","PUR4J-021; PUR4J-012","VERIFIED","FOUND","","SRC-069","info/matched_lemmata.json in the SRC-069 clone, gloss per lemma (Grassmann Woerterbuch as digitised there). NOT SRC-026, which is Arnold 1905 - see RA-023","quoted for pur-; pulled at build for the rest"
"EV-005","CP-1.2","Griffith 1890 on RV 4.30.20 (one of four translators shown, with DEP-021/DEP-023 on the card)","PUR-P-041","VERIFIED","FOUND","","SRC-073","rigveda/translations/eng/griffith, 04.030.20","pulled at build"
"EV-006","CP-1.2","Geldner 1951 on RV 4.30.20 (one of four; DEP-023: Elizarenkova is not independent of him)","PUR-P-041","VERIFIED","FOUND","","SRC-072","rigveda/translations/deu/geldner, 04.030.20","pulled at build"
"EV-007","CP-1.2","Grassmann 1876-7 on RV 4.30.20 (one of four; DEP-021: not independent of the Grassmann glosses in EV-004)","PUR-P-041","VERIFIED","FOUND","","SRC-074","rigveda/translations/deu/grassmann, 04.030.20","pulled at build"
"EV-008","CP-1.2","The claim: a hundred stone forts, stated by the poem","PUR4J-002; PUR4J-012","VERIFIED","FOUND","the poem says it","SRC-069; SRC-020; SRC-022","rigveda-pur-counts.csv verdict=COUNTS-PUR at 04.030.20; rigveda-pur-fields.csv material=asmanmaya-","quoted"
"EV-009","CP-1.2","That we do not know whether it happened","(none)","n/a","WE DON'T KNOW","we haven't looked yet","","HOLD-008; this specification section 5.3","specification wording"
"EV-010","CP-3.1","puram at RV 4.30.20 is one word, GEN.PL, governed by satam","PUR-P-041; PUR4J-020","VERIFIED","FOUND","","SRC-022","rigveda-pur-passages.csv family_morphology b1 case=GEN|gender=F|number=PL","quoted"
"EV-011","CP-3.1","45 of 83 simplex tokens are accusative plural","PUR4J-020","VERIFIED","FOUND","","SRC-069; SRC-022","rigveda-pur-family-occurrences.csv, morphology column","quoted"
"EV-012","CP-3.1","106 tokens / 104 padas / 103 stanzas / 86 hymns","PUR-005","VERIFIED","FOUND","","SRC-019; SRC-022","rigveda-pur-family-occurrences.csv, 106 rows","quoted"
