queue_id,task,exact_input,exact_output,repository_destination,best_model_or_tool,author,reviewer,dependencies,stopping_condition,unlocks
Q01,Accept v1.1 reconstruction boundary,v1.1 package and owner decisions,Accepted/returned Prompt 1 review,No repository destination until acceptance,Owner review,Owner,Independent reviewer,none,Prompt 1 explicitly accepted,Prompt 2 eligibility
Q02,Resolve current open proposals,"PRs research #14,#21,#22,#23,#27,#30,#31 and site #4",Disposition note preserving main/open/inherited boundaries,research audit input after Prompt 2,GitHub diff + Codex,Codex,Owner/domain reviewers,Q01,Each proposal has reuse/revise/close decision; none silently completed,Clean integration inputs
Q03,Atlas data/count/right audit,"site Atlas data, D-034, PR #4 measurements, P3 draft","Derived inventory, duplicates, stable-record candidates, rights matrix",research audit/brief destination selected in Prompt 2,Data scripts + Claude Code,Claude Code,Codex + rights reviewer,Q01,Count definition accepted; all records traceable or held,Atlas v2
Q04,Typed Atlas layer brief,Q03; P3 draft; movement doctrine,Eight-layer interaction brief with unknown zones and non-equivalence tests,research product brief,Codex,Codex,Archaeology/genetics/linguistics/accessibility reviewers,Q03,No layer infers another; examples and non-map alternative pass,Atlas v2
Q05,Minimal evidence viewer contract,"P1 draft, current page-evidence, accepted research records",Minimal field contract and ten fixtures,research product brief,Schema review + Codex,Codex,Research editor/accessibility reviewer,Q01,All evidence roles/locators/revisions render; frozen draft not adopted wholesale,Shared viewer
Q06,Keezhadi dossier,Excavation reports/catalogues/dating/marks and rights,Accepted claim/evidence/counter/falsifier set,research registers/briefs,Source research + Codex,Codex,Archaeologist/epigrapher,Q01,No literacy/language claim lacks context and alternatives,Keezhadi PROVE IT
Q07,Keezhadi adult/child storyboard,Q06 and Q05,PROVE IT storyboard and child actions,research experience brief,UX synthesis,Codex,Child-learning + archaeology reviewers,"Q05,Q06",Same records; different actions; “I don’t know” valid,Flagship + audience proof
Q08,WATER record programme,"Deck chain, water page, environmental/archaeological/text sources","Dated records, gaps and rights list",research registers/brief,Source research + Codex,Codex,Environmental archaeologist/historian,Q01,Every chain link has record or explicit unknown,WATER flagship
Q09,WATER storyboard,"Q08, viewer, visual constraints",Scene/action brief and accessible alternative,research experience brief,Experience design,Codex,Museum editor/accessibility reviewer,"Q05,Q08",No period collapse; every transition inspectable,WATER flagship
Q10,Threshold brief,"Deck recovery, current index/veli, viewer, three flagships",Question-first homepage/Veḷi brief,research page brief,Codex,Codex,Owner/museum editor,Q05-Q09,Visitor can explain museum/evidence distinction,Threshold enabler
Q11,Visual studio assessment,"Merged seven prototypes, art board, Tiṇai/Veḷi studio outputs",Comparative visual concept and accessibility assessment,research design brief,Visual prototypes,Codex,Owner/accessibility reviewer,Q10,Preferences preserved as inputs; no system approved prematurely,R1 visual rule
Q12,Correct Atlas live claims,"D-034 decision, Q03, site PR #4",Approved correction diff specification,research correction brief,Codex,Codex,Owner,Q03,HTML/meta/search/related surfaces specified,Atlas safety
Q13,Correct púr claims,"Current main púr registers, site PR #4, PR #30 after disposition",Occurrence-level accepted correction brief,research correction brief,Corpus scripts + Codex,Codex,Vedic reviewer,Q02,Counts/context/chronology separated; no stale figure,Fort pages safety
Q14,Correct varṇa completeness,Varṇa registers and site PR #4,Reconciled 23-item table and copy brief,research correction brief,Corpus comparison,Codex,Vedic/social-history reviewer,Q02,Every occurrence included/excluded with reason,what-varna-meant safety
Q15,Correct genetics/proxy pages,Risk rows 5–10 and current sources,Five page-specific correction briefs,research correction briefs,Codex,Codex,Genetics/ethics/historiography reviewers,Q01,Each claim has narrower wording and change threshold,Safety
Q16,Child prototype test 1,Q07 prototype and consent protocol,Observed comprehension/friction report,research audit,Moderated test,Codex,Safeguarding reviewer,"Q07,Q11",Predefined safety/comprehension criteria met,Audience proof
Q17,Field Bag/classroom packet,"Q16, Keezhadi records, educator outcomes",Local-save spec and printable/exportable inquiry,research product brief,Codex,Codex,Educator/privacy reviewer,Q16,No account/tracking; one session works,Audience proof
Q18,Route curation plan,133-route v1.1 map and R1 roles,All-route navigation/merge/hold/context manifest,research site brief,Codex,Codex,Museum editor,Q12-Q15,Every root route has an implemented action plan,Coherent shell
