Visual-asset sourcing and commissioning register,,,,,,
"Every page has a required asset class; production assets still need source, rights, credit and evidence metadata.",,,,,,
,,,,,,
Slug,Environment,Required asset set,Documentary standard,Priority,Source / commission route,Status
academia-battlefield,Extraction / Collection,collection record; accession/custody document; object image rights; institutional correspondence; access-status evidence,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
artifact-atlas,Living Signal Field,verified dataset; accessible SVG/map; legend; mobile alternative; downloadable table,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",MVP,To research,Needed
attribution,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
before-the-indus,Nocturnal Veḷi,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",MVP,To research,Needed
birth-was-not-always-destiny,Tamil Retrofuture,primary-text facsimile; translation excerpt rights; editorial illustration or print ephemera where appropriate,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
brahmavadini,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
brahmi,Nocturnal Veḷi,manuscript/inscription image; glyph diagram; language map; pronunciation audio where licensed,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
bronkhorst,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
caste-was-law,Tamil Retrofuture,primary-text facsimile; translation excerpt rights; editorial illustration or print ephemera where appropriate,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
climbing-the-ladder,Tamil Retrofuture,primary-text facsimile; translation excerpt rights; editorial illustration or print ephemera where appropriate,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
collocations,Living Signal Field,verified dataset; accessible SVG/map; legend; mobile alternative; downloadable table,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
count-it,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
coverage,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
criminalised-today,Reconnection,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
criminalised,Tamil Retrofuture,primary-text facsimile; translation excerpt rights; editorial illustration or print ephemera where appropriate,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
custody,Extraction / Collection,collection record; accession/custody document; object image rights; institutional correspondence; access-status evidence,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",MVP,To research,Needed
dravidian-sky,Nocturnal Veḷi,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
elamite,Nocturnal Veḷi,manuscript/inscription image; glyph diagram; language map; pronunciation audio where licensed,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
endogamy-clock,Living Signal Field,verified dataset; accessible SVG/map; legend; mobile alternative; downloadable table,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
enter,Tamil Retrofuture,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",MVP,To research,Needed
gotra,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
index,Nocturnal Veḷi,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",MVP,To research,Needed
indology,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
isnad,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
jatization,Tamil Retrofuture,primary-text facsimile; translation excerpt rights; editorial illustration or print ephemera where appropriate,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
kali-yuga,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
keeladi,Living Tiṇai,site/landscape photography; material macro; ecological map; present-context image,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",MVP,To research,Needed
kinship,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
kural,Tamil Retrofuture,primary-text facsimile; translation excerpt rights; editorial illustration or print ephemera where appropriate,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",MVP,To research,Needed
meluhha-trade,Living Signal Field,verified dataset; accessible SVG/map; legend; mobile alternative; downloadable table,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
meluhha,Nocturnal Veḷi,manuscript/inscription image; glyph diagram; language map; pronunciation audio where licensed,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
mitanni,Living Signal Field,verified dataset; accessible SVG/map; legend; mobile alternative; downloadable table,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
mlecha,Nocturnal Veḷi,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
music,Tamil Retrofuture,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
not-the-same-thing,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
one-script-many-kingdoms,Nocturnal Veḷi,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
one-verse,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
origin-myths,Nocturnal Veḷi,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
paid-in-cattle,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
panini,Living Signal Field,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
sacred-ash,Living Tiṇai,site/landscape photography; material macro; ecological map; present-context image,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
siddha-and-ayurveda,Living Tiṇai,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
sky,Nocturnal Veḷi,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
sound-changes,Living Signal Field,verified dataset; accessible SVG/map; legend; mobile alternative; downloadable table,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",MVP,To research,Needed
steppe,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-archive,Extraction / Collection,collection record; accession/custody document; object image rights; institutional correspondence; access-status evidence,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",MVP,To research,Needed
the-borrowed-ancestor,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
the-computed-dawn,Nocturnal Veḷi,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-curve,Living Signal Field,verified dataset; accessible SVG/map; legend; mobile alternative; downloadable table,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-deep-root,Nocturnal Veḷi,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-eastern-tradition,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-edits,Extraction / Collection,collection record; accession/custody document; object image rights; institutional correspondence; access-status evidence,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-firms,Extraction / Collection,collection record; accession/custody document; object image rights; institutional correspondence; access-status evidence,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
the-forest,Living Tiṇai,site/landscape photography; material macro; ecological map; present-context image,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-forts,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-gap,Nocturnal Veḷi,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-genome-of-caste,Living Signal Field,verified dataset; accessible SVG/map; legend; mobile alternative; downloadable table,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-insertions,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-killed,Tamil Retrofuture,primary-text facsimile; translation excerpt rights; editorial illustration or print ephemera where appropriate,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
the-king-they-claimed,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
the-land,Living Tiṇai,site/landscape photography; material macro; ecological map; present-context image,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-languages-we-lost,Nocturnal Veḷi,manuscript/inscription image; glyph diagram; language map; pronunciation audio where licensed,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",MVP,To research,Needed
the-late-hymn,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-later-count,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-ledger,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",MVP,To research,Needed
the-map-in-the-text,Living Signal Field,verified dataset; accessible SVG/map; legend; mobile alternative; downloadable table,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-mechanism,Living Signal Field,verified dataset; accessible SVG/map; legend; mobile alternative; downloadable table,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-medicine-question,Living Tiṇai,site/landscape photography; material macro; ecological map; present-context image,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
the-names,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-narrowing,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
the-nine-enemies,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-other-laws,Tamil Retrofuture,primary-text facsimile; translation excerpt rights; editorial illustration or print ephemera where appropriate,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",MVP,To research,Needed
the-renaming,Extraction / Collection,collection record; accession/custody document; object image rights; institutional correspondence; access-status evidence,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-three-ancestries,Living Signal Field,verified dataset; accessible SVG/map; legend; mobile alternative; downloadable table,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-uneven-arrival,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-unwritten,Nocturnal Veḷi,manuscript/inscription image; glyph diagram; language map; pronunciation audio where licensed,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-vedda,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-visitors,Living Signal Field,verified dataset; accessible SVG/map; legend; mobile alternative; downloadable table,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-water-city,Living Tiṇai,site/landscape photography; material macro; ecological map; present-context image,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",MVP,To research,Needed
the-womb-doctrine,Tamil Retrofuture,primary-text facsimile; translation excerpt rights; editorial illustration or print ephemera where appropriate,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
the-words-of-caste,Tamil Retrofuture,primary-text facsimile; translation excerpt rights; editorial illustration or print ephemera where appropriate,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
therigatha,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
they-already-knew,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
tinai,Living Tiṇai,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",MVP,To research,Needed
two-classical-languages,Living Signal Field,verified dataset; accessible SVG/map; legend; mobile alternative; downloadable table,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
veli,Nocturnal Veḷi,manuscript/inscription image; glyph diagram; language map; pronunciation audio where licensed,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",MVP,To research,Needed
visvamitra,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
what-the-children-are-taught,Tamil Retrofuture,primary-text facsimile; translation excerpt rights; editorial illustration or print ephemera where appropriate,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
what-they-had,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
what-travelled,Living Signal Field,verified dataset; accessible SVG/map; legend; mobile alternative; downloadable table,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
what-varna-meant,Tamil Retrofuture,primary-text facsimile; translation excerpt rights; editorial illustration or print ephemera where appropriate,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
who-had-it-first,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
who-is-speaking,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
who-named-india,Reading Room,opening atmosphere asset; claim-specific diagram; source facsimile; social card,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
who-writes-the-textbook,Extraction / Collection,collection record; accession/custody document; object image rights; institutional correspondence; access-status evidence,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",Later,To research,Needed
why-the-ranked-defend-the-ranking,Tamil Retrofuture,primary-text facsimile; translation excerpt rights; editorial illustration or print ephemera where appropriate,"Verified source, licence, credit, alt text, claim supported, date/place, manipulation disclosure",High,To research,Needed
