route,recommended_route_action,what_it_does,programme_coverage,load_bearing_claims,known_inaccuracies,missing_evidence,research_dependencies,missing_visitor_action,recommended_visual_treatment,related_routes,recommended_release,release_role,inspection_basis,claim_audit_scope,source_url
academia-battlefield.html,REFRAME,Published genetics page; 1321 visible words; H1: The science of ancestry is a battlefield. Read it accordingly.,BL-1; BL-5; BL-19; BL-22; BL-26; BL-30; BL-31; BL-52,The science of ancestry is a battlefield. Read it accordingly. | One fact detonates every purity myth. | The pressure runs in every direction. | Which way does the fear push? Know this before you read.,"Institutional pressure may be context, but motive narratives cannot replace methods/data adjudication.","Resolve the named correction before prominence; bind every changed claim to locator, evidence role, counter-evidence and revision.",03-REGISTERS/inherited-claims.csv; 04-AUDITS/REAUDIT-QUEUE.csv; CORRECTIONS-PENDING.md; NONE LOCATED for an accepted methods-qualified genetics synthesis,"Separate sampled person, modelled ancestry, population history, language and identity.","Sample-to-model comparison showing sample place/date, method, confidence and limits; ancestry components never rendered as peoples or languages. For this route, centre the composition on “Ancient DNA and Nationalism: Why Ancestry Is Fought Over”.",beneath-both-waves.html; endogamy-clock.html; gotra.html; steppe.html; the-definition.html; the-expansions.html; the-genome-of-caste.html,RELEASE 1,safety correction,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 18 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/academia-battlefield.html
ancient-south-asian-astronomy.html,KEEP AS CONTEXT,"Published science practice page; 3854 visible words; H1: Two skies, one calendar.",BL-18; BL-26; BL-31; BL-52; BL-69,"Two skies, one calendar. | The oldest Indian astronomy text has no astrology in it | Who actually built horoscopic astrology | Where the nakṣatras actually first appear",No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Star Names and Sky Knowledge in Ancient South Asia into claim-to-record links; structural citation signals (6) are not verification.,03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv; NONE LOCATED for accepted astronomy/music/medical source programmes,"Inspect the object or instrument, test a reconstruction and separate historical evidence from present practice.","Instrument/object/source comparison with reconstruction labels, safety limits and rights; recreated sound or practice is never presented as survival without evidence. For this route, centre the composition on “Star Names and Sky Knowledge in Ancient South Asia”.",dravidian-sky.html; siddha-and-ayurveda.html; the-medicine-question.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 44 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/ancient-south-asian-astronomy.html
artifact-atlas.html,REDESIGN,Published evidence page; 51 visible words; H1: NONE,BL-20; BL-21; BL-22; BL-23; BL-24; BL-25; BL-31; BL-32; BL-47; BL-48; BL-49; BL-52,Artifact Atlas: 175 Ancient South Asian Sites Mapped,"Live metadata says 175 sites/315 windows, body derives 158 sites, and open site PR #4 measures 158 records/326 class-windows/15 classes/99 dated. D-034 remains open; no number is accepted merely because it is measured.","Resolve the named correction before prominence; bind every changed claim to locator, evidence role, counter-evidence and revision.",Open site PR #4 correction dossier; 06-BRIEFS/mvp-fifteen/03-artifact-atlas.md; 13-PRODUCT-ARCHITECTURE/museum-framework.md; 06-BRIEFS/mvp-fifteen/03-artifact-atlas.md; 06-BRIEFS/mvp-fifteen/06-the-ledger.md; site:assets/data/page-evidence.json,"Open one record, inspect its locator and evidence role, compare a counter-record, then follow its revision history.","Record table plus expandable locator/source-ancestry drawer; relationships appear only after their evidence links and uncertainty are visible. For this route, centre the composition on “Artifact Atlas: 175 Ancient South Asian Sites Mapped”.",research-index.html; search.html; sources.html; the-ledger.html,RELEASE 1,flagship,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 14 links; scripts assets/js/artifact-atlas.js; assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/artifact-atlas.html
authorship-attribution-ancient-texts.html,KEEP AS CONTEXT,"Published archive power page; 1407 visible words; H1: Credit attaches to whoever wrote it down — and to the last one who did, over the first.",BL-6; BL-18; BL-26; BL-31; BL-42; BL-43; BL-45; BL-52; BL-55,"Credit attaches to whoever wrote it down — and to the last one who did, over the first. | Worked chains | The pattern in the names themselves | It is not only a colonial pathology",No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Who Gets Credit: Attribution in Ancient Indian Texts into claim-to-record links; structural citation signals (6) are not verification.,04-AUDITS/ARCHIVE-AND-POWER-AUDIT.csv; 04-AUDITS/BIAS-FAILURE-LOG.csv; 06-BRIEFS/mvp-fifteen/14-custody.md; 06-BRIEFS/mvp-fifteen/15-the-archive.md,"Trace a claim backward through author, archive, translation, funding and omission.","Source-genealogy network showing who recorded, preserved, translated, funded and excluded; motive appears only when documented. For this route, centre the composition on “Who Gets Credit: Attribution in Ancient Indian Texts”.",chains-of-transmission.html; foreign-accounts-ancient-india.html; forest-peoples-sanskrit-record.html; indology.html; manuscript-custody.html; naming-in-ancient-india.html; oral-traditions-unwritten.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 43 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/authorship-attribution-ancient-texts.html
before-the-indus.html,HOLD,"Published indus archaeology page; 1954 visible words; H1: Before the Indus, the graves already faced the sun.",BL-11; BL-18; BL-25; BL-26; BL-27; BL-28; BL-30; BL-31; BL-66; BL-67,"Before the Indus, the graves already faced the sun. | One of the deepest human landscapes on Earth. | The Baghor stone. | Who claimed her later.",No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Before the Indus: Baghor Shrine and Mesolithic Sun Graves into claim-to-record links; structural citation signals (11) are not verification.,06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/07-keeladi.md; 06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/09-the-water-city.md; 03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv,"Excavate context, date the layer and decide what the object can and cannot establish.","Excavation/context view with trench, layer, object, date range and alternative reading; movement maps separate material from people and language. For this route, centre the composition on “Before the Indus: Baghor Shrine and Mesolithic Sun Graves”.",brahmi.html; excavation-bias-funding.html; indus-to-vedic-gap.html; keeladi.html; material-culture-ancient-south-asia.html; meluhha-trade.html; one-script-many-kingdoms.html,RELEASE 1,safety correction,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 20 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/before-the-indus.html
beneath-both-waves.html,KEEP AS CONTEXT,"Published genetics page; 1959 visible words; H1: Two waves of men arrived. The people beneath both are in the hills, carrying the oldest lineages on the subcontinent.",BL-1; BL-5; BL-19; BL-22; BL-26; BL-30; BL-31; BL-52,"Two waves of men arrived. The people beneath both are in the hills, carrying the oldest lineages on the subcontinent. | The three layers. | Every lineage, cross-referenced. | Four questions the table raises.",No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Beneath Both Waves: The Forager Lineages of South Asia into claim-to-record links; structural citation signals (3) are not verification.,03-REGISTERS/inherited-claims.csv; 04-AUDITS/REAUDIT-QUEUE.csv; CORRECTIONS-PENDING.md; NONE LOCATED for an accepted methods-qualified genetics synthesis,"Separate sampled person, modelled ancestry, population history, language and identity.","Sample-to-model comparison showing sample place/date, method, confidence and limits; ancestry components never rendered as peoples or languages. For this route, centre the composition on “Beneath Both Waves: The Forager Lineages of South Asia”.",academia-battlefield.html; endogamy-clock.html; gotra.html; steppe.html; the-definition.html; the-expansions.html; the-genome-of-caste.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 16 links; scripts assets/js/mk-shell.js; assets/js/mk-exhibit.js; assets/js/mk-ai.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/beneath-both-waves.html
birth-was-not-always-destiny.html,CORRECT CLAIMS,Published caste law page; 1159 visible words; H1: Caste was not always by birth. The rigidity was imposed — against a reality that kept breaking it.,BL-1; BL-5; BL-6; BL-18; BL-26; BL-31; BL-52,"Caste was not always by birth. The rigidity was imposed — against a reality that kept breaking it. | The tradition's own greatest authors crossed varṇa. | The law codes contradict themselves. | Liberal, then rigid.",Mobility or semantic change in selected records does not establish one universal transition from fluidity to imposed birth hierarchy.,"Resolve the named correction before prominence; bind every changed claim to locator, evidence role, counter-evidence and revision.",03-REGISTERS/rigveda-varna.csv; rigveda-varna-occurrences.csv; CORRECTIONS-PENDING.md; 03-REGISTERS/inherited-claims.csv,Track one term or institution across dated records and identify where the archive cannot support continuity.,"Term-and-institution timeline with place/genre/date filters, counterexamples and archive gaps; avoid a single inevitable curve. For this route, centre the composition on “Caste by Birth Was Imposed Later, Not Original”.",caste-enforcement-mechanism.html; caste-survives-conversion.html; caste-was-law.html; climbing-the-ladder.html; counted-as-nothing.html; jatization.html; non-brahmanical-legal-traditions.html,RELEASE 1,safety correction,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 20 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/birth-was-not-always-destiny.html
brahmavadini.html,KEEP AS CONTEXT,"Published religion text page; 1622 visible words; H1: The exclusion of women is the middle of the story, not the beginning.",BL-6; BL-15; BL-16; BL-17; BL-18; BL-31; BL-52,"The exclusion of women is the middle of the story, not the beginning. | The women in the Rigveda | Brahmavādinī | The Upaniṣadic women",No specific factual error established here; later claim audit remains required.,"Convert the load-bearing propositions on Brahmavadini: Women Who Studied the Vedas, and the Closing into claim-to-record links; structural citation signals (3) are not verification.",03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv; NONE LOCATED for accepted Pāli/Prakrit/Jain/Aśokan/Chinese-pilgrim corpus parity,"Compare who is speaking and whether the source is self-description, opponent report or later transmission.","Parallel source/voice viewer that distinguishes self-description, rival report, later commentary and modern reconstruction. For this route, centre the composition on “Brahmavadini: Women Who Studied the Vedas, and the Closing”.",bronkhorst.html; how-buddhism-left.html; panini.html; the-broken-chain.html; the-computed-dawn.html; the-eastern-tradition.html; the-gods-people-had.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 45 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/brahmavadini.html
brahmi.html,KEEP AS CONTEXT,Published indus archaeology page; 2224 visible words; H1: The earliest surviving names for the script come from a Buddhist list and a Jain story.,BL-11; BL-18; BL-25; BL-26; BL-27; BL-28; BL-30; BL-31; BL-66; BL-67,"The earliest surviving names for the script come from a Buddhist list and a Jain story. | Where the name comes from | The two lists, and what they name | The graffiti question",No specific factual error established here; later claim audit remains required.,"Convert the load-bearing propositions on Brahmi Script: Origins, Naming, and the Tamil Dating Fight into claim-to-record links; structural citation signals (6) are not verification.",06-BRIEFS/mvp-fifteen/07-keeladi.md; 06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/09-the-water-city.md; 03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv,"Excavate context, date the layer and decide what the object can and cannot establish.","Excavation/context view with trench, layer, object, date range and alternative reading; movement maps separate material from people and language. For this route, centre the composition on “Brahmi Script: Origins, Naming, and the Tamil Dating Fight”.",before-the-indus.html; excavation-bias-funding.html; indus-to-vedic-gap.html; keeladi.html; material-culture-ancient-south-asia.html; meluhha-trade.html; one-script-many-kingdoms.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 31 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/brahmi.html
bronkhorst.html,KEEP AS CONTEXT,"Published religion text page; 2252 visible words; H1: The scholar this platform leans on, examined the way we examine everyone else.",BL-6; BL-15; BL-16; BL-17; BL-18; BL-31; BL-52,"The scholar this platform leans on, examined the way we examine everyone else. | Who he was. | The thesis. | How the field received it.",No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Bronkhorst and Greater Magadha: Auditing a Source We Rely On into claim-to-record links; structural citation signals (21) are not verification.,03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv; NONE LOCATED for accepted Pāli/Prakrit/Jain/Aśokan/Chinese-pilgrim corpus parity,"Compare who is speaking and whether the source is self-description, opponent report or later transmission.","Parallel source/voice viewer that distinguishes self-description, rival report, later commentary and modern reconstruction. For this route, centre the composition on “Bronkhorst and Greater Magadha: Auditing a Source We Rely On”.",brahmavadini.html; how-buddhism-left.html; panini.html; the-broken-chain.html; the-computed-dawn.html; the-eastern-tradition.html; the-gods-people-had.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 20 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/bronkhorst.html
