"hypothesis_id","exact_claim","attested_or_hypothetical","chronological_fit","geographical_fit","contact_mechanism","positive_evidence","contrary_evidence","independent_support","source_dependencies","current_specialist_standing","diagnostic_predictions","falsifier","eligible_for_extended_analysis","proportional_space","status","reason","source_id","locator","retrieval_date"
"DK-H-001","The Indus sign system encodes language: it is writing.","HYPOTHETICAL — the proposition at issue, not a premise","CANNOT BE GATED IN THIS SESSION. No absolute chronology for the Indus sequence or for Rigvedic composition was retrieved: every excavation report, sequence and dating study is blocked (SRC-109 to SRC-114). This repository holds no VERIFIED date for either side. Method step 2 requires chronology before comparison, and this unit could not run it.","CANNOT BE GATED IN THIS SESSION. The only Indus objects retrieved are 179 seals from one site, with no find-spot field (DK-M-002, DK-M-016), and no geographic study of Indus sign distribution was reachable. The Rigvedic geography measured by earlier units of this repository is not a substitute.","Not applicable: this is a claim about the signs themselves, not about contact.","None retrieved in this session. What was retrieved is a 179-object, single-site, single-object-class sample with 984 sign tokens, 181 sign classes and a median length of 5 signs (DK-M-003 to DK-M-005). Those figures are compatible with writing and with a non-linguistic sign system alike; they discriminate nothing.","None retrieved. The arguments usually offered on both sides live in journal articles that are blocked (SRC-113, SRC-114).","None. One dataset, one annotator, dependent on CISI (DEP-029).","SRC-102, SRC-103, dependent on CISI and on three published sign lists, none of them retrievable (DEP-029, DEP-030).","Disputed in the specialist literature, and this record cannot characterise the dispute from any source it has read. Recording it as 'disputed' is itself second-hand.","Positional regularity beyond what an emblem system predicts; a sign inventory stable across analysts; text lengths that vary with object function rather than with object size; a bilingual.","A demonstrated non-linguistic function sufficient to account for the sign sequences; or a decipherment that predicts unseen texts.","NOT-ELIGIBLE-SOURCE-BLOCKED","None in this unit. The question is named, its evidence line is stated, and no space is allocated to arguing it.","HOLD","The domain's foundational question, and this session retrieved nothing that bears on it. Registering it as open is the honest outcome; arguing it from a 179-seal convenience sample would not be.","SRC-102; SRC-103","§4.K; 03-REGISTERS/domain-k-indus-measurements.csv","2026-09-09"
"DK-H-011","The Indus sign system is not writing: it encodes non-linguistic information — emblems, ownership marks, ritual or classificatory signs.","HYPOTHETICAL — the complement of DK-H-001, and gated on the same evidence","CANNOT BE GATED IN THIS SESSION. No absolute chronology for the Indus sequence or for Rigvedic composition was retrieved: every excavation report, sequence and dating study is blocked (SRC-109 to SRC-114). This repository holds no VERIFIED date for either side. Method step 2 requires chronology before comparison, and this unit could not run it.","CANNOT BE GATED IN THIS SESSION. The only Indus objects retrieved are 179 seals from one site, with no find-spot field (DK-M-002, DK-M-016), and no geographic study of Indus sign distribution was reachable. The Rigvedic geography measured by earlier units of this repository is not a substitute.","Not applicable.","None retrieved. The short median text length in the retrieved sample (5 signs, DK-M-004) is often cited for this position; the sample is 179 unicorn seals from one site and its length distribution is truncated by construction, so it cannot carry the argument.","None retrieved.","None.","Same as DK-H-001.","Disputed; not characterisable from any source read here.","Sign sequences explicable by a small number of combinatorial rules with no positional syntax; strong association of particular signs with particular iconographic classes; no evidence of scribal training.","A decipherment that predicts unseen texts; or positional structure that no emblem system produces.","NOT-ELIGIBLE-SOURCE-BLOCKED","None.","HOLD","Registered explicitly so that DK-H-001 does not stand alone. §4.K's trap is not only about populations: treating 'the Indus script' as an established object is the prior failure, and the term audit at 06-BRIEFS/domain-k-translation-blocks.md §4 exists for it.","SRC-102; SRC-103","DK-M-004; DK-A-011","2026-09-09"
"DK-H-002","Indus sign use had ceased before the Rigveda was composed, so there was nothing for the Rigvedic composers to describe.","HYPOTHETICAL","CANNOT BE GATED IN THIS SESSION. No absolute chronology for the Indus sequence or for Rigvedic composition was retrieved: every excavation report, sequence and dating study is blocked (SRC-109 to SRC-114). This repository holds no VERIFIED date for either side. Method step 2 requires chronology before comparison, and this unit could not run it.","CANNOT BE GATED IN THIS SESSION. The only Indus objects retrieved are 179 seals from one site, with no find-spot field (DK-M-002, DK-M-016), and no geographic study of Indus sign distribution was reachable. The Rigvedic geography measured by earlier units of this repository is not a substitute.","Not applicable; this hypothesis proposes an absence of overlap rather than a contact event.","None retrieved. This is the hypothesis a chronology would test directly and it is the one the chronology blockage hits hardest.","None retrieved.","None.","Depends entirely on sources not retrieved (SRC-109 to SRC-114).","Widely held in general form; unverifiable here.","A terminal date for sign use derived from stratified contexts; a composition window for the Rigvedic family books derived independently of the sign question.","Stratified evidence of sign use overlapping the composition window.","NOT-ELIGIBLE-SOURCE-BLOCKED","None.","HOLD","The most economical explanation of the Rigvedic silence is also the one this session can say least about. That asymmetry - a cheap explanation with no retrievable evidence - is exactly where citation inertia does its work, so it is registered rather than assumed.","SRC-099","DK-A-004; DK-A-009","2026-09-09"
"DK-H-003","The seals functioned in administration or economic control: authentication of goods, accounting, or the exercise of institutional authority.","HYPOTHETICAL — and the phrase 'Harappan administrators' assumes it","CANNOT BE GATED IN THIS SESSION. No absolute chronology for the Indus sequence or for Rigvedic composition was retrieved: every excavation report, sequence and dating study is blocked (SRC-109 to SRC-114). This repository holds no VERIFIED date for either side. Method step 2 requires chronology before comparison, and this unit could not run it.","CANNOT BE GATED IN THIS SESSION. The only Indus objects retrieved are 179 seals from one site, with no find-spot field (DK-M-002, DK-M-016), and no geographic study of Indus sign distribution was reachable. The Rigvedic geography measured by earlier units of this repository is not a substitute.","Not applicable.","None retrieved in this session. The functional argument depends on sealings in stratified deposits, on find-spot distribution, and on associated storage or transport contexts; none of the three was reachable (DK-A-007, DK-A-008). The 179 objects retrieved carry no context field at all.","None retrieved.","None.","Would depend on excavation reports (SRC-111, blocked).","Widely assumed in general treatments; the strength of the evidence behind it cannot be assessed from anything read here.","Sealings clustering at points of storage or transfer; seal types correlating with commodity or route; wear patterns consistent with repeated use; sealings preserved with the cordage or container impressions that would show what was sealed.","Sealings distributed without regard to storage or transfer contexts; seals concentrated in domestic or funerary settings.","NOT-ELIGIBLE-SOURCE-BLOCKED","None. In particular no space is allocated to the administrative reading merely because it is the familiar one.","HOLD","This is the domain's prestige-bias risk and it is registered as such. 'Administrative' is the default English description of a seal, and the default is doing the work that evidence would otherwise have to do. The term audit removes it from this record's own voice.","SRC-102; SRC-111","06-BRIEFS/domain-k-translation-blocks.md §4; DK-A-007","2026-09-09"
"DK-H-004","The seals functioned in ways that are not administrative: personal or lineage identity, ritual or apotropaic use, gift and hospitality, or membership tokens.","HYPOTHETICAL","CANNOT BE GATED IN THIS SESSION. No absolute chronology for the Indus sequence or for Rigvedic composition was retrieved: every excavation report, sequence and dating study is blocked (SRC-109 to SRC-114). This repository holds no VERIFIED date for either side. Method step 2 requires chronology before comparison, and this unit could not run it.","CANNOT BE GATED IN THIS SESSION. The only Indus objects retrieved are 179 seals from one site, with no find-spot field (DK-M-002, DK-M-016), and no geographic study of Indus sign distribution was reachable. The Rigvedic geography measured by earlier units of this repository is not a substitute.","Not applicable.","None retrieved. The one observation this session can make is that all 179 retrieved objects carry one iconographic class, the unicorn, in five sub-types (DK-M-003) - which is a fact about the digitizer's selection, not about the corpus, and supports nothing.","None retrieved.","None.","Same blockage as DK-H-003.","Present in the literature; not characterisable from any source read here.","Seals in burials or domestic shrines; iconographic classes tracking kin or settlement groups rather than commodity types; seals worn as ornament.","Sealings systematically attached to containers in transfer contexts.","NOT-ELIGIBLE-SOURCE-BLOCKED","None.","HOLD","Registered alongside DK-H-003 and gated identically, so that the administrative reading does not become the default by being the only one written down. Neither is favoured here; both are unevidenced in this record.","SRC-102","DK-M-003","2026-09-09"
"DK-H-005","Indus writing existed on perishable media and the surviving corpus is a small durable remnant of a larger written practice.","HYPOTHETICAL","CANNOT BE GATED IN THIS SESSION. No absolute chronology for the Indus sequence or for Rigvedic composition was retrieved: every excavation report, sequence and dating study is blocked (SRC-109 to SRC-114). This repository holds no VERIFIED date for either side. Method step 2 requires chronology before comparison, and this unit could not run it.","CANNOT BE GATED IN THIS SESSION. The only Indus objects retrieved are 179 seals from one site, with no find-spot field (DK-M-002, DK-M-016), and no geographic study of Indus sign distribution was reachable. The Rigvedic geography measured by earlier units of this repository is not a substitute.","Not applicable.","None retrieved. No preservation study, no waterlogged context, no impression of a perishable inscribed object was reachable.","None retrieved.","None.","Blocked (SRC-111).","Frequently asserted in general treatments as a possibility.","Sign-bearing impressions on clay of objects that were not clay; styli or ink residues; sign sequences on durable media that presuppose a longer form.","Demonstration that the durable corpus is functionally complete - that the sign sequences do everything the system was for.","NOT-ELIGIBLE-SOURCE-BLOCKED","None.","HOLD","This hypothesis is what DK-A-006 exists to discipline. It is the standard way to explain short texts, and as an argument it is an argument from a typed absence - NOT PRESERVED - which §6 says licenses nothing on its own.","SRC-111","DK-A-006","2026-09-09"
"DK-H-006","The Rigvedic silence on Indus signs is explained by institutional rupture: the practice was tied to institutions that ended, and the successor society had neither the practice nor a reason to describe it.","HYPOTHETICAL","CANNOT BE GATED IN THIS SESSION. No absolute chronology for the Indus sequence or for Rigvedic composition was retrieved: every excavation report, sequence and dating study is blocked (SRC-109 to SRC-114). This repository holds no VERIFIED date for either side. Method step 2 requires chronology before comparison, and this unit could not run it.","CANNOT BE GATED IN THIS SESSION. The only Indus objects retrieved are 179 seals from one site, with no find-spot field (DK-M-002, DK-M-016), and no geographic study of Indus sign distribution was reachable. The Rigvedic geography measured by earlier units of this repository is not a substitute.","Requires that the two societies were in contact or in succession, which is exactly what the blocked chronology and geography would have to establish.","None retrieved for the Indus half. For the Rigvedic half this unit measured what the corpus's vocabulary does and does not contain (DK-R-002 to DK-R-014), which constrains the Rigvedic side of the proposition and says nothing about the Indus side.","None retrieved.","The Rigvedic measurements are internally independent of the Indus material, which is a virtue here: they were not selected to fit.","SRC-106, SRC-107 for the Rigvedic half; nothing for the Indus half.","A common framing; its evidential base is not assessable here.","Continuity of settlement and craft without continuity of sign use; sign use ending at the same horizon as the institutions it is proposed to serve, not before or after; successor vocabulary retaining terms for the practice.","Sign use demonstrably continuing after the institutions ceased; or a successor description of the practice.","ELIGIBLE IN PART — the Rigvedic half only","Small. The Rigvedic measurements are given their own register and the inference to rupture is not drawn.","HYPOTHESIS","This is the packet's own framing (R20, 'THE MISSING RECORD') and it is therefore the one most at risk of being confirmed by the shape of the work rather than by evidence. Half of it was measurable and was measured; the other half was not reachable, and the join between them is not made.","SRC-106; SRC-107","03-REGISTERS/domain-k-rigveda-lexicon.csv; DK-A-004","2026-09-09"
"DK-H-008","The relevant Rigvedic terminology exists but has not been recognised, because the words that later denote writing carry other senses in the corpus.","HYPOTHETICAL — and the only hypothesis in this domain that this session could actually test","Internal to the corpus. The Arnold stratum of every occurrence is recorded, which is relative chronology; no absolute date is claimed.","Not applicable: a lexical question inside one corpus.","Not applicable.","Tested and answered in part. Two instruments, a candidate census and a gloss scan of the whole lexicon, converge: the later writing vocabulary is absent (DK-R-002); no lemma is glossed in the writing or sealing field (DK-R-003, DK-R-004); a marking vocabulary is present (DK-R-005); akṣára-, the word that later names a written character, occurs 8 times and denotes a syllable of chanted speech in all eight (DK-R-008); and √rikh- 'to scratch' is present, twice, of Pūṣan's awl and a heart (DK-R-006, DK-R-007).","The instruments have a stated blind spot: 296 lemmas carry no gloss, and the passage-level check ran through two translations of one philological tradition (DK-A-003, DEP-021).","The candidate census and the gloss scan are independent of each other in construction, though both rest on Grassmann's glosses for the second half.","SRC-106, SRC-107; Grassmann glosses (DEP-021, DEP-032).","Not applicable: this is a measurement of a corpus, not a position in a literature.","If unrecognised terminology existed, a lemma glossed in the marking field would appear with a durable object as its target, or an unglossed lemma would cluster in passages about surfaces and signs.","A Rigvedic passage in which a marking or incising verb takes a durable inscribed surface as its object. None was found in 232 occurrences; one would falsify the negative.","ELIGIBLE — and tested","The largest allocation in this unit, because it is the only part of §4.K with retrievable evidence on both sides of the question.","PROVISIONAL","Answered in the direction of 'present but doing other work', not 'absent'. The distinction matters: a naive candidate list returns 'the root for write is absent', which is false (DK-R-006).","SRC-106; SRC-107; SRC-072; SRC-073","03-REGISTERS/domain-k-rigveda-lexicon.csv; 03-REGISTERS/domain-k-rigveda-marking-occurrences.csv","2026-09-09"
"DK-H-007","The Indus script has been decoded, and its structure correlates with Old Tamil at 98.84%, establishing a Dravidian affiliation.","HYPOTHETICAL — a claim made by a retrieved repository (SRC-104)","Not reached: the claim fails an earlier gate.","Not reached.","Not applicable.","None that this record can inspect. The repository's own data file is 556 rows of integers with no artefact identifiers and no key resolving the integers to any published sign list (DK-M-019, DK-M-020), so no line of it can be checked against any corpus.","The claim is validated against corpora the same author selected and segmented, and its stated sign inventory is 'approximately 417 unique symbols' with no locator (DK-M-020).","None.","SRC-104; asserted dependency on Mahadevan that cannot be verified (DEP-033).","Not assessable. No specialist response to this repository was retrievable.","A decipherment predicts: unseen texts read correctly; sign values stable across object classes; proper names recoverable at expected positions; agreement with any bilingual that appears.","Already failed at the recoverability gate: a decipherment whose sign identities cannot be recovered by a reader cannot be tested at all.","NOT-ELIGIBLE","None. A concise exclusion, per method step 7.","REJECTED","REJECTED as evidence, not as a subject. It is registered rather than passed over because it is a Dravidian-priority claim and the preferred-counter-narrative test requires that such claims be examined on the same terms as any other. The exclusion is on recoverability, which would exclude an Indo-Aryan or Sumerian decipherment presented the same way.","SRC-104","DK-M-019, DK-M-020, DK-M-021","2026-09-09"
"DK-H-009","That the end of the Indus sign system records the disappearance of the people of the Indus cities - the inference from institutional and archival change to population change.","HYPOTHETICAL — and named by §4.K as the trap this domain exists to avoid","CANNOT BE GATED IN THIS SESSION. No absolute chronology for the Indus sequence or for Rigvedic composition was retrieved: every excavation report, sequence and dating study is blocked (SRC-109 to SRC-114). This repository holds no VERIFIED date for either side. Method step 2 requires chronology before comparison, and this unit could not run it.","CANNOT BE GATED IN THIS SESSION. The only Indus objects retrieved are 179 seals from one site, with no find-spot field (DK-M-002, DK-M-016), and no geographic study of Indus sign distribution was reachable. The Rigvedic geography measured by earlier units of this repository is not a substitute.","Not applicable.","None. Nothing retrieved in this session bears on population history at all. The repository's aDNA material is inherited and unverified (IH-109, IH-110, IH-029) and may not be cited as evidence.","The inference is invalid on its face independently of evidence: a change in institutions and in the archive they produced is not a change in the population that lived under them. Institutions end while people continue; that is the ordinary case, not the exception.","None.","None retrieved.","Not held by specialists in this form; it survives mainly in popular accounts.","Would require settlement-scale abandonment without successor occupation, demographic discontinuity in stratified skeletal or genetic series, and the two lining up in time.","Continuity of settlement, craft or population across the horizon at which sign use ends.","NOT-ELIGIBLE","A concise exclusion and a standing note in the method, per step 7 and §4.K.","REJECTED","Rejected as an inference. Split on adversarial review, which found the row compounding the inference with an untested demographic proposition and marking both REJECTED, in a register whose REJECTED rows are never deleted. The demographic question is now DK-H-012 and is held, not rejected. What is rejected here is the move from 'the signs stop' to 'the people went', and it is rejected on the logic: a change in institutions and in the archive they produced is not a change in the population. §4.K states the rule and this row makes it auditable. BR-K-005 carries the same bridge.","","§4.K; 03-REGISTERS/inherited-claims.csv IH-109, IH-110 (INHERITED-UNVERIFIED, not evidence)","2026-09-09"
