"claim_id","claim","status","source_id","locator","retrieval_date","supports_page","notes"
"DME-001","The pinned VedaWeb corpus was re-retrieved in this session at the same commit d3eb8af7324338161520d2d35eae8f7e985a19a5, the per-file sha256 of TEI/rv_book_01.tei, versions/aufrecht.csv and info/strata.json match 02-SOURCES/vedaweb-manifest-2026-09-07.md, and re-running the extraction reproduces 164,758 tokens.","VERIFIED","SRC-047","git rev-parse HEAD; sha256sum; 04-AUDITS/rv-token-extract.py output line count","2026-09-07","none — infrastructure","Reproduction check on the previous unit's PUR-001, not a new measurement."
"DME-002","The Zurich token layer assigns 164,758 Rigvedic tokens to 10,031 distinct lemmas.","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047","04-AUDITS/rv-retroflex-classify.py, 04-AUDITS/rv-retroflex-aggregate.py, field ""lemma"" over rv_tokens_vedaweb.tsv","2026-09-07","substrate (proposed)","The denominator for every type-level figure below. Lemma here means the Grassmann citation string, so variant pairs written ""A- ~ B-"" count once."
"DME-003","2,666 retroflex segments occur across the 10,031 lemma citation forms. 2,399 stand in an environment in which RUKI, nati, or a retroflex cluster derives them; 267 do not.","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047","04-AUDITS/rv-retroflex-classify.py, output rv_retroflex-segments.tsv, one row per retroflex segment with its rule","2026-09-07","substrate (proposed)","Segment counts, not token counts. Every individual decision is written out so any one of them can be overturned without re-running the whole classification."
"DME-004","253 of the 10,031 lemmas (2.52%) contain at least one retroflex that the two regular rules do not derive. Those lemmas account for 1,257 of 164,758 tokens (0.76%).","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047","rv_retroflex-lemmas.tsv, column ""category"" = UNCONDITIONED; listed individually in 03-REGISTERS/domain-e-retroflex-residue.csv","2026-09-07","substrate (proposed)","This is an UPPER BOUND on the residue, not a loanword list. Several further internal Indo-Aryan sources of retroflexion are deliberately not implemented because they need an etymology per word rather than a rule over a string; they are named in the script header and in 04-AUDITS/domain-e-method.md §3."
"DME-005","1,806 further lemmas (18.0%) contain retroflexes that are entirely accounted for by the regular rules; 7,972 (79.5%) contain none.","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047","rv_retroflex-lemmas.tsv, category counts in rv_retroflex-summary.json","2026-09-07","substrate (proposed)",""
"DME-006","The commonest single conditioning environment is RUKI after i (376 lemmas), then nati after r (366), then RUKI after k (363).","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047","rv_retroflex-segments.tsv grouped by (phoneme, verdict, rule)","2026-09-07","substrate (proposed)",""
"DME-007","Every word-initial retroflex in the Rigvedic lemma inventory is ṣ-, and all eight such lemmas are the numeral ṣáṣ- ""six"" or a compound of it: ṣáṣ-, ṣaṣṭí-, ṣaḷakṣá-, ṣaṭtriṃśá-, ṣoḷhā́, ṣáḍvidhāna-, ṣáḷara-, ṣáḷaśva-. There is no lemma with initial ṭ, ṭh, ḍ, ḍh, ṇ, ḷ or ḷh.","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047","rv_retroflex-lemmas.tsv, first element of the ""segments"" field, over all 10,031 lemmas","2026-09-07","substrate (proposed)","The sharpest available diagnostic environment, because no Old Indo-Aryan rule produces a word-initial retroflex. It is empty apart from one numeral."
"DME-008","The residue is flat across Arnold's five metrical strata at type level: Archaic 2.34%, Strophic 2.18%, Normal 2.12%, Cretic 2.44%, Popular 2.96% of lemmas assigned to that stratum. chi-square = 3.21 on 4 df, p = 0.52.","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047; SRC-026","04-AUDITS/rv-retroflex-aggregate.py, ""type level"" table; 8,449 lemmas with a single majority stratum, 1,582 tied and excluded","2026-09-07","substrate (proposed)","The type-level figure is the one to quote: a vocabulary-stratification claim is about words, and tokens within a hymn are not independent."
"DME-009","At token level the same table gives 71.3 / 74.1 / 74.6 / 80.0 / 85.4 residue tokens per 10,000 for Archaic / Strophic / Normal / Cretic / Popular. chi-square = 4.50 on 4 df, p = 0.34.","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047; SRC-026","04-AUDITS/rv-retroflex-aggregate.py, ""token level, by Arnold stratum""","2026-09-07","substrate (proposed)","Reported because the standing rule after correction C-05 is that both units are shown. Tokens are not independent; the figure is not the one to quote."
"DME-010","A Cochran-Armitage trend test over the ordered strata Archaic < Strophic < Normal < Cretic < Popular gives z = +1.28, chi-square = 1.64 on 1 df, p = 0.20. Popular against Archaic alone, with Yates correction, gives chi-square = 1.09 on 1 df, p = 0.30.","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047; SRC-026","04-AUDITS/rv-retroflex-aggregate.py plus the trend computation recorded in 04-AUDITS/domain-e-method.md §5","2026-09-07","substrate (proposed)","The point estimate rises monotonically in the direction a ""foreign vocabulary accumulates through the Rigveda"" claim predicts. The test does not separate that rise from noise. Both halves of that sentence are the result."
"DME-011","The second instrument, book order, also returns a null: family books 2-7 carry 78.4 residue tokens per 10,000 against 74.9 for books 1, 8, 9 and 10. chi-square = 0.65 on 1 df, p = 0.42.","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047","04-AUDITS/rv-retroflex-aggregate.py, ""token level, by book""","2026-09-07","substrate (proposed)","Book 3 is the high outlier at 111.5 per 10,000 and book 9 the low at 57.9. Neither is a chronological reading on its own."
"DME-012","Among lemmas confined to one part of the corpus, the residue share is 2.72% for lemmas found only in books 2-7, 3.20% only in book 10, 2.72% only in book 1, and 2.31% only in books 8-9.","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047","04-AUDITS/rv-retroflex-aggregate.py, ""lemmas confined to one part of the corpus""","2026-09-07","substrate (proposed)","A vocabulary-renewal test rather than a frequency test: it asks whether the words that enter late look different from the words that do not. They do not, by this measure."
"DME-013","Within the 253-lemma residue, 39 lemmas carry an unconditioned ṣ immediately before a retroflex stop, 19 carry an unconditioned aspirated retroflex ḍh or ḷh, 8 carry a word-initial ṣ, 4 begin dū-, and 183 fall in none of those formal classes.","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047","04-AUDITS/rv-retroflex-aggregate.py, sub-typology table; per-lemma in 03-REGISTERS/domain-e-retroflex-residue.csv column formal_class","2026-09-07","substrate (proposed)","Formal string classes, not derivations. Each names a shape in which a known internal Indo-Aryan development is common — the ṣṬ cluster type, the *-zdh- type, the frozen dur-/dus- compound — so the classes mark where the residue is most likely to shrink once etymologies can be checked."
"DME-014","tváṣṭar- (65 tokens) and táṣṭar- (7) are counted in the residue by the mechanical rule and are not residue: both are transparently built on √takṣ-, where RUKI applies after k and the k is then lost in the cluster kṣ + t > ṣṭ. The rule cannot see a deleted segment.","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047","03-REGISTERS/domain-e-retroflex-residue.csv RES-003 and the táṣṭar- row; Zurich lemma and Grassmann gloss ""Zimmermann, Werkmeister""","2026-09-07","substrate (proposed)","Recorded as a worked false positive so the size and character of the rule's error is on the record rather than asserted to be small. It is the reason DME-004 is an upper bound."
"DME-015","31 named rivers are attested in the Rigveda on this census, over 251 occurrences typed RIVER. síndhu- alone accounts for 126 and sárasvant- feminine for 70; the remaining 29 names share 55 occurrences.","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047","04-AUDITS/rv-hydronym-census.py; occurrence rows in 03-REGISTERS/domain-e-hydronyms.csv","2026-09-07","geography (proposed)","síndhu- is both the appellative ""river"" and the Indus and the lemma layer does not separate the senses, so 126 is an upper bound on the hydronym reading."
"DME-016","Nine of the 31 river names occur only inside the single hymn RV 10.75: Asiknī, Gaṅgā, Mehatnū, Silamāvatī, Susartu, Tṛṣṭāmā, Vitastā, Ārjīkīyā and Śvetyā.","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047","03-REGISTERS/domain-e-hydronyms.csv, occurrences with stanza prefix 10.075 compared against the rest","2026-09-07","geography (proposed)","Gaṅgā is attested once in the Rigveda, at 10.75.5, in the vocative gaṅge. Yamunā three times, at 5.52.17, 7.18.19 and 10.75.5."
"DME-017","Four rivers of the north-western tributary system are attested outside RV 10.75 and in Archaic-stratum padas: Kubhā and Krumu at 5.53.9, Gomatī at 8.24.30, Suvāstu at 8.19.37.","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047; SRC-026","03-REGISTERS/domain-e-hydronyms.csv rows for those stanzas, arnold_stratum_code A","2026-09-07","geography (proposed)","Establishes the western edge of the corpus geography inside its older metrical stratum, which is what a substrate hypothesis has to fit, not merely the corpus as a whole."
"DME-018","Several river names are not lemmatised under themselves in the Zurich/Grassmann layer: Sarasvatī sits under the masculine stem sárasvant-, Asiknī under ásita- ""black"", Paruṣṇī under paruṣá- ""knotty"". A search over lemma names alone loses all three.","VERIFIED","SRC-019; SRC-022; SRC-023; SRC-047","03-REGISTERS/domain-e-hydronyms.csv, columns lemma and surface; the census matches accent-stripped surfaces for this reason","2026-09-07","geography (proposed)","Same class of failure as inherited correction C-04, in the opposite direction: C-04 was a stem search over-counting, this is a lemma search under-counting. Both are recorded in 04-AUDITS/BIAS-FAILURE-LOG.csv."
"DME-019","Rigvedic retroflexion is overwhelmingly rule-governed: on the classification in DME-003 to DME-005, 90.0% of retroflex segments and 87.7% of retroflex-bearing lemmas are accounted for by RUKI, nati or a retroflex cluster.","PROVISIONAL","SRC-019; SRC-022; SRC-023; SRC-047","derived from DME-003 and DME-005","2026-09-07","substrate (proposed)","PROVISIONAL, not VERIFIED, because the percentage is a reading of the classification rather than a count: it inherits the specific rule formulations used, which are one analytical framework and are not independently sourced here. The counts underneath it are VERIFIED."
