"dep_row_id","register_file","claim_id","current_status","arnold_link","status_if_arnold_strata_unreliable","what_survives","notes"
"DA-DEP-001","03-REGISTERS/domain-e-claims.csv","DME-001","VERIFIED","NOT an Arnold citation at all: the row cites neither SRC-023 nor SRC-026 nor SRC-071. It is in this register only because its claim text matched a stratum term in the scan","VERIFIED — unchanged","the whole claim","CORRECTED 2026-09-09 after adversarial review. This row was previously marked 'source_id co-citation only: SRC-023 travels in the bundle'. Its source row cites neither SRC-023 nor SRC-026 nor SRC-071 - DME-001 cites SRC-047 alone - so the stated ground was false of it. The classification is unchanged and correct: nothing in the claim uses a stratum code. What was wrong was the reason given."
"DA-DEP-002","03-REGISTERS/domain-e-claims.csv","DME-002","VERIFIED","source_id co-citation only: SRC-023 travels in the bundle; the claim makes no use of a stratum code","VERIFIED — unchanged","the whole claim","SRC-023 or SRC-026 appears in the source_id cell because the clone was cited as one bundle. Nothing in the claim text depends on a stratum code. PUR4J-012, -015, -021, -022, -030 and -031 cite SRC-026 for the GRASSMANN dictionary readings, not for the strata."
"DA-DEP-003","03-REGISTERS/domain-e-claims.csv","DME-003","VERIFIED","source_id co-citation only: SRC-023 travels in the bundle; the claim makes no use of a stratum code","VERIFIED — unchanged","the whole claim","SRC-023 or SRC-026 appears in the source_id cell because the clone was cited as one bundle. Nothing in the claim text depends on a stratum code. PUR4J-012, -015, -021, -022, -030 and -031 cite SRC-026 for the GRASSMANN dictionary readings, not for the strata."
"DA-DEP-004","03-REGISTERS/domain-e-claims.csv","DME-004","VERIFIED","source_id co-citation only: SRC-023 travels in the bundle; the claim makes no use of a stratum code","VERIFIED — unchanged","the whole claim","SRC-023 or SRC-026 appears in the source_id cell because the clone was cited as one bundle. Nothing in the claim text depends on a stratum code. PUR4J-012, -015, -021, -022, -030 and -031 cite SRC-026 for the GRASSMANN dictionary readings, not for the strata."
"DA-DEP-005","03-REGISTERS/domain-e-claims.csv","DME-005","VERIFIED","source_id co-citation only: SRC-023 travels in the bundle; the claim makes no use of a stratum code","VERIFIED — unchanged","the whole claim","SRC-023 or SRC-026 appears in the source_id cell because the clone was cited as one bundle. Nothing in the claim text depends on a stratum code. PUR4J-012, -015, -021, -022, -030 and -031 cite SRC-026 for the GRASSMANN dictionary readings, not for the strata."
"DA-DEP-006","03-REGISTERS/domain-e-claims.csv","DME-006","VERIFIED","source_id co-citation only: SRC-023 travels in the bundle; the claim makes no use of a stratum code","VERIFIED — unchanged","the whole claim","SRC-023 or SRC-026 appears in the source_id cell because the clone was cited as one bundle. Nothing in the claim text depends on a stratum code. PUR4J-012, -015, -021, -022, -030 and -031 cite SRC-026 for the GRASSMANN dictionary readings, not for the strata."
"DA-DEP-007","03-REGISTERS/domain-e-claims.csv","DME-007","VERIFIED","source_id co-citation only: SRC-023 travels in the bundle; the claim makes no use of a stratum code","VERIFIED — unchanged","the whole claim","SRC-023 or SRC-026 appears in the source_id cell because the clone was cited as one bundle. Nothing in the claim text depends on a stratum code. PUR4J-012, -015, -021, -022, -030 and -031 cite SRC-026 for the GRASSMANN dictionary readings, not for the strata."
"DA-DEP-008","03-REGISTERS/domain-e-claims.csv","DME-011","VERIFIED","source_id co-citation only: SRC-023 travels in the bundle; the claim makes no use of a stratum code","VERIFIED — unchanged","the whole claim","SRC-023 or SRC-026 appears in the source_id cell because the clone was cited as one bundle. Nothing in the claim text depends on a stratum code. PUR4J-012, -015, -021, -022, -030 and -031 cite SRC-026 for the GRASSMANN dictionary readings, not for the strata."
"DA-DEP-009","03-REGISTERS/domain-e-claims.csv","DME-012","VERIFIED","source_id co-citation only: SRC-023 travels in the bundle; the claim makes no use of a stratum code","VERIFIED — unchanged","the whole claim","SRC-023 or SRC-026 appears in the source_id cell because the clone was cited as one bundle. Nothing in the claim text depends on a stratum code. PUR4J-012, -015, -021, -022, -030 and -031 cite SRC-026 for the GRASSMANN dictionary readings, not for the strata."
"DA-DEP-010","03-REGISTERS/domain-e-claims.csv","DME-013","VERIFIED","source_id co-citation only: SRC-023 travels in the bundle; the claim makes no use of a stratum code","VERIFIED — unchanged","the whole claim","SRC-023 or SRC-026 appears in the source_id cell because the clone was cited as one bundle. Nothing in the claim text depends on a stratum code. PUR4J-012, -015, -021, -022, -030 and -031 cite SRC-026 for the GRASSMANN dictionary readings, not for the strata."
