"rej_id","target","classification","p_number","line_ref","raw_token","line","source_id","retrieval_date"
"DRX-0001","CARNELIAN","REJECT-NOT-THE-STONE","P274553","17'","GUG#-GIRIN#-NA","GUG#-GIRIN#-NA = [...]","SRC-103","2026-09-08"
"DRX-0002","CARNELIAN","REJECT-NOT-THE-STONE","P274541","17","GUG#-GIRIN-NA","GUG#-GIRIN-NA = til-mun","SRC-103","2026-09-08"
"DRX-0003","CARNELIAN","REJECT-NOT-THE-STONE","P346053","20'","GUG-GI-RIN#-NA","GUG-GI-RIN#-NA = til-[mun]","SRC-103","2026-09-08"
"DRX-0004","CARNELIAN","REJECT-NOT-THE-STONE","P345516","2'","[x]-gug","[x]-gug i-ru-um-ma","SRC-103","2026-09-08"
"DRX-0005","CARNELIAN","REJECT-NOT-THE-STONE","P229279","5","[{na}]gug","[{na}]gug","SRC-103","2026-09-08"
"DRX-0006","CARNELIAN","REJECT-NOT-THE-STONE","P285428","17","_[gug","1(disz) _[gug gazi{sar}]_","SRC-103","2026-09-08"
"DRX-0007","CARNELIAN","REJECT-NOT-THE-STONE","P404959","45","_[im-kal]-gug!","_[im-kal]-gug! 9(disz) u2-hi-a_ qu5-GI sza2 _gesztu-min_","SRC-103","2026-09-08"
"DRX-0008","CARNELIAN","REJECT-NOT-THE-STONE","P348465","31","_[im]-kal-gug","_[im]-kal-gug sud2_ ta-za-ru-ma ina-esz : _bar {gesz}nu-ur2-[ma] sud2_ ta-za-ru-ma ina-esz : _a_ x [...] ta-za-ru-ma ina-[esz]","SRC-103","2026-09-08"
"DRX-0009","CARNELIAN","REJECT-NOT-THE-STONE","P285124","4","_gug","_DISZ na igi-min_-szu2 _er2 szub-mesz_ a-he-[na] _gug pesz10-{d}id2_","SRC-103","2026-09-08"
"DRX-0010","CARNELIAN","REJECT-NOT-THE-STONE","P285428","10","_gug","_gug gazi{sar}_","SRC-103","2026-09-08"
"DRX-0011","CARNELIAN","REJECT-NOT-THE-STONE","P285447","15'","_gug","_gug za-gin3 nir2 musz-gir2 babbar-dili babbar-min5_","SRC-103","2026-09-08"
"DRX-0012","CARNELIAN","REJECT-NOT-THE-STONE","P285447","21'","_gug","_gug za-gin3 nir2 musz-gir2 babbar-dili babbar-min5_","SRC-103","2026-09-08"
"DRX-0013","CARNELIAN","REJECT-NOT-THE-STONE","P285447","28'","_gug","_gug za-gin3_ ni-bu _szuba pa nir2 babbar-dili_","SRC-103","2026-09-08"
"DRX-0014","CARNELIAN","REJECT-NOT-THE-STONE","P285447","3'","_gug","_gug za-gin3 nir2 musz#-[gir2_ ...]","SRC-103","2026-09-08"
"DRX-0015","CARNELIAN","REJECT-NOT-THE-STONE","P285447","13","_gug","_gug za-gin3 babbar-dili babbar-min5_ sah-hu-u asz-pu-u","SRC-103","2026-09-08"
"DRX-0016","CARNELIAN","REJECT-NOT-THE-STONE","P285447","25","_gug","asz-pu-u _gug za-gin3 igi-zag3-ga2 kur_-nu _dab asz2-gi3-gi3_","SRC-103","2026-09-08"
"DRX-0017","CARNELIAN","REJECT-NOT-THE-STONE","P285447","10","_gug","_gug zu2 {na4}amasz-mu2-a_ asz-pu-u _asz2-gi3-gi3_","SRC-103","2026-09-08"
"DRX-0018","CARNELIAN","REJECT-NOT-THE-STONE","P285447","25","_gug","_gug za-gin3 nir2 musz-gir2 babbar-dili babbar-min5_","SRC-103","2026-09-08"
"DRX-0019","CARNELIAN","REJECT-NOT-THE-STONE","P285447","28","_gug","_gug za-gin3_ mu-s,u _zalag2 an-bar uruda nita2 kur_-nu","SRC-103","2026-09-08"
"DRX-0020","CARNELIAN","REJECT-NOT-THE-STONE","P285444","33","_gug#","{na4}asz-pu-u _gug# nir2#_","SRC-103","2026-09-08"
"DRX-0021","CARNELIAN","REJECT-NOT-THE-STONE","P285447","30","_gug#","_gug# za-gin3 nir2 musz-gir2 an-bar ku3-babbar ku3-sig17_","SRC-103","2026-09-08"
"DRX-0022","CARNELIAN","REJECT-NOT-THE-STONE","P285447","32","_gug#","[...] _gug# za#-[x_ ...]","SRC-103","2026-09-08"
"DRX-0023","CARNELIAN","REJECT-NOT-THE-STONE","P281834","9'","_gug#_","[...] x _gug#_","SRC-103","2026-09-08"
"DRX-0024","CARNELIAN","REJECT-NOT-THE-STONE","P285443","15","_gug#_","_{na4}babbar-dili_ mar-hal-lu4 _zalag2_ pa-ru-tu2 _gug#_","SRC-103","2026-09-08"
