96-page curatorial audit,,,,,,,,,,,,,,
"Each row contains a written assessment, publication decision, design assignment and required next action.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Slug,Title,H1 / central finding,Words,Type,Primary environment,Secondary environment,Written assessment,Source entries (est.),External links,Decision,Risk,Required action,MVP,Inbound links
academia-battlefield,Ancient DNA and Nationalism: Why Ancestry Is Fought Over,The science of ancestry is a battlefield. Read it accordingly.,1224,institutional-critique,Extraction / Collection,Reading Room,"Potentially important critical interpretation; needs especially transparent sourcing and right-of-reply discipline. Its central public claim is “The science of ancestry is a battlefield. Read it accordingly.” The page has 14 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",14,0,Hold,Critical,Withhold from MVP until load-bearing claims receive claim-level citations and specialist/editorial review.,No,6
artifact-atlas,Artifact Atlas: 175 Ancient South Asian Sites Mapped,Where the objects were found,8,atlas,Living Signal Field,Reading Room,"Can become the platform’s connective heart if its data, filters, and accessibility are independently tested. Its central public claim is “Where the objects were found” The page has 88 estimated source entries, 0 external links, 0 tables and 2 inline SVGs; source state: substantial bibliography, mostly non-linked",88,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",Yes,56
attribution,Who Gets Credit: Attribution in Ancient Indian Texts,"Credit attaches to whoever wrote it down — and to the last one who did, over the first.",1334,methods,Reading Room,Reading Room,"Belongs in the public evidence architecture and should disclose scope, selection, and limitations. Its central public claim is “Credit attaches to whoever wrote it down — and to the last one who did, over the first.” The page has 2 estimated source entries, 0 external links, 2 tables and 1 inline SVGs; source state: minimal source section",2,0,Revise,High,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",No,1
before-the-indus,Before the Indus: Baghor Shrine and Mesolithic Sun Graves,"Before the Indus, the graves already faced the sun.",1724,deep-time,Nocturnal Veḷi,Reading Room,"Strong threshold/exhibit material; reconstructions and continuity claims require exceptional restraint. Its central public claim is “Before the Indus, the graves already faced the sun.” The page has 17 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",17,0,Hold,Critical,Withhold from MVP until load-bearing claims receive claim-level citations and specialist/editorial review.,Yes,9
birth-was-not-always-destiny,"Caste by Birth Was Imposed Later, Not Original",Caste was not always by birth. The rigidity was imposed — against a reality that kept breaking it.,1086,social-history,Tamil Retrofuture,Reading Room,"High public value but high reputational risk when chronology, agency, or causation is stated categorically. Its central public claim is “Caste was not always by birth. The rigidity was imposed — against a reality that kept breaking it.” The page has 13 estimated source entries, 1 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",13,1,Hold,Critical,Withhold from MVP until load-bearing claims receive claim-level citations and specialist/editorial review.,No,4
brahmavadini,"Brahmavadini: Women Who Studied the Vedas, and the Closing","The exclusion of women is the middle of the story, not the beginning.",1579,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “The exclusion of women is the middle of the story, not the beginning.” The page has 7 estimated source entries, 0 external links, 4 tables and 0 inline SVGs; source state: limited bibliography",7,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,1
brahmi,"Brahmi Script: Origins, Naming, and the Tamil Dating Fight",The earliest surviving names for the script come from a Buddhist list and a Jain story.,2151,script,Nocturnal Veḷi,Reading Room,"Strong visual subject; must separate attestation, naming, palaeography, chronology, and origin hypotheses. Its central public claim is “The earliest surviving names for the script come from a Buddhist list and a Jain story.” The page has 4 estimated source entries, 0 external links, 4 tables and 0 inline SVGs; source state: limited bibliography",4,0,Revise,High,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",No,55
bronkhorst,Bronkhorst and Greater Magadha: Auditing a Source We Rely On,"The scholar this platform leans on, examined the way we examine everyone else.",2249,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “The scholar this platform leans on, examined the way we examine everyone else.” The page has 9 estimated source entries, 0 external links, 2 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",9,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,2
caste-was-law,Caste Was Law: Differential Punishment in the Dharmasastra,"Caste was abuse, encoded as law, disguised as religion.",1906,social-history,Tamil Retrofuture,Reading Room,"High public value but high reputational risk when chronology, agency, or causation is stated categorically. Its central public claim is “Caste was abuse, encoded as law, disguised as religion.” The page has 13 estimated source entries, 1 external links, 2 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",13,1,Hold,Critical,Withhold from MVP until load-bearing claims receive claim-level citations and specialist/editorial review.,No,26
climbing-the-ladder,Climbing the Ladder: Sanskritisation and Its Price,Not everyone tried to break the ladder. Many tried to climb it.,1525,social-history,Tamil Retrofuture,Reading Room,"High public value but high reputational risk when chronology, agency, or causation is stated categorically. Its central public claim is “Not everyone tried to break the ladder. Many tried to climb it.” The page has 15 estimated source entries, 1 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",15,1,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,11
