"claim_id","claim","status","source_id","locator","retrieval_date","supports_page","notes"
"DMB-001","Removing Brahui from the set of attested Dravidian languages and reporting the geographic measurement on the remaining languages shows something about where Dravidian was spoken - that the family's centre of gravity is southern and eastern and that Brahui's northwestern position is therefore anomalous and in need of a migration explanation.","SUPERSEDED","SRC-048","Owner challenge of 2026-09-07, objection 1, as transmitted to this session; the underlying measurement is not present in this repository (DMB-003).","2026-09-07","","SUPERSEDED BY DMB-002. This row is the interpretation the owner challenged, written out in full so that it is not re-proposed. It is retained under the CLAUDE.md standing constraint that correction history is preserved and rejected reasoning stays visible. It is NOT deleted. Two distinct defects: (a) it reads a delete-one sensitivity statistic as a substantive claim about a language family's geography (BF-005); (b) it treats the twenty-odd attested Dravidian languages as independent points, which they are not if any of them subgroup (BF-006). Note the direction: the overstatement here favours a MIGRATION reading of Brahui, which is the reading the inherited record already REJECTED as the default (R-10, IH-156). The supersession therefore does not favour the relict hypothesis either; it removes a bad argument that was pointing one way."
"DMB-002","A leave-one-out distance statistic over attested Dravidian language locations measures how much of that statistic's value rests on a single language. Deleting Brahui and recomputing the distance from a northwestern reference to the nearest remaining language supports a statement about the instrument's exposure to one datapoint, and about the size of the gap between Brahui and the next-nearest attested Dravidian language. It does not support any statement about where Dravidian was spoken at any date: the statistic has no chronological term, the attested set is a survival sample rather than a sample of past distribution, and the reference point is a free parameter of the analyst's choosing.","VERIFIED","SRC-050","04-AUDITS/brahui-loo-geography.py sections 2-5; quantities at DMB-010 to DMB-016","2026-09-07","","This is the restatement the owner asked for, and it supersedes DMB-001. Promoted from PROVISIONAL to VERIFIED within this task once the reconstruction was run against retrieved coordinates (SRC-050): every quantity it names is now measured. 94.1% argmin share and 81.3% of summed influence for the exposure clause (DMB-012); 1,561.5 km for the gap clause (DMB-010); a range of 0 to 1,453 km across reference points for the free-parameter clause (DMB-013). The last clause is the load-bearing one and is the part no version of the original claim contained: a northwestern reference point is chosen, not found, and choosing one is already a choice to measure Brahui, because Brahui is the northwesternmost point in the set."
"DMB-003","No leave-one-out geographic measurement of Brahui, and no set of Dravidian language coordinates of any kind, exists anywhere in this repository. The search covered every file at commit bbe4803 and every commit reachable from every ref, for the strings leave-one-out, leave-one, Euclidean, centroid and distance. Domain E's only geographic measurement is the Rigvedic hydronym census (DME-015 to DME-018, DME-022, DME-023), which is a count of river names inside a Sanskrit corpus and contains no Dravidian language, no coordinate and no Brahui datapoint.","VERIFIED","SRC-048","git rev-list --all searched 2026-09-07; working tree at bbe48035393d64a6453ed5cad446ca5721f75105; 03-REGISTERS/domain-e-claims.csv rows DME-015 to DME-023","2026-09-07","","Recorded because the challenged measurement's provenance is itself a finding, and because the inheritance rule turns on it. The measurement the owner challenges was not produced in this repository and no retrieval event backs it. It therefore enters as INHERITED-UNVERIFIED material carried in by the challenge, exactly as 01-INHERITED/ material does. Two consequences. First, DMB-001 could not be located and edited in place, because there was no row to edit; it is written out here from the owner's description so that the supersession has something to act on. Second, nothing in domain E is retracted by this unit: DME-022 and DME-023 are corpus-internal and were never Brahui measurements. See D-035 for the one question this leaves open for the owner."
"DMB-004","OWNER OBJECTION 1, as raised: removing an attested language and reporting the remainder measures exposure to a single datapoint, not a fact about Dravidian geography; the measurement's interpretation overstates what a leave-one-out test can support.","PROVISIONAL","SRC-048","Owner challenge of 2026-09-07, objection 1; tested at DMB-012 and DMB-013","2026-09-07","","Recorded as RAISED BY THE OWNER and not resolved by assertion, per the terms of the task. Promoted from HYPOTHESIS to PROVISIONAL within this task: the reconstruction bears it out and bears it out close to the limit of what it claimed. Eighteen of the twenty attested varieties have influence exactly zero at every one of 221 reference points; Brahui is the nearest language at 94.1% of them and carries 81.3% of the summed influence (DMB-012). PROVISIONAL rather than VERIFIED because the objection is a general claim about leave-one-out interpretation and what was measured is one reconstruction over one coordinate source, and because the original measurement could not be located (DMB-003), so what was tested is a reconstruction of it and not it. Logged as method failure BF-005. The objection is available against the opposite conclusion too: the same statistic cannot support 'Brahui's position proves early Dravidian in the northwest' either (DMB-016)."
"DMB-005","OWNER OBJECTION 2, as raised: the measurement is Euclidean distance to a northwestern reference and cannot see subgroup structure. Brahui, Kurukh and Malto are conventionally North Dravidian; if that grouping holds, Brahui's position is supported by shared descent rather than standing alone.","PROVISIONAL","SRC-048","Owner challenge of 2026-09-07, objection 2; half (a) tested at DMB-014 and DMB-009, half (b) at DMB-017 to DMB-026","2026-09-07","","Recorded as RAISED BY THE OWNER. Two separable propositions, and after measurement they do not stand or fall together, which is why the note carries the split rather than the status. (a) A distance-to-reference statistic contains no term for shared descent and so cannot represent a clade - a property of the statistic, and SUPPORTED; the Euclidean half of the objection is additionally borne out at DMB-014, where the metric's error is largest for precisely the three languages at issue. (b) Brahui, Kurukh and Malto form a clade - a claim about Dravidian, which the owner instructed be measured and not asserted, and which the only available instrument does NOT support for the Brahui half (DMB-018, DMB-019) while supporting the Kurukh-Malto half emphatically (DMB-017). So the conditional is sound and its antecedent is not established here. Note also DMB-011: geography does not group Brahui with Kurukh and Malto in any case - its nearest attested neighbour is Kolami - so even a valid clade would not make the geographic remainder a fact about shared descent. PROVISIONAL, not VERIFIED, because half (b) rests on one non-independent dataset (DEP-008) and the deciding evidence is unreachable (HOLD-004). Logged as method failure BF-006."
"DMB-006","This measurement sits inside the scope of constitution section 4.M, Brahui, Kurukh and Malto, which requires six competing models to be held open: long-term northwestern survival; later long-distance migration; broader ancient distribution followed by language replacement; continuing dialect networks followed by fragmentation; small migrating group plus extensive local language adoption; and complex combinations. Treating Brahui as detachable from the Dravidian set - as a datapoint whose removal leaves the rest of the family intact and interpretable - presupposes the second or the fifth of those models, in which Brahui arrives from elsewhere and is therefore separable from a family whose real distribution lies elsewhere. Under the first, third and fourth models Brahui is not detachable, because on those models it is not an addition to the distribution but a survival of it.","VERIFIED","SRC-048","00-CONTROLLER/METHODOLOGY-CONSTITUTION.md lines 452-463 (section M heading at 452, 'Do not treat medieval Brahui migration as documented fact' at 454, the six models at 458-463)","2026-09-07","","The flag the owner asked for. VERIFIED because the claim is that the constitution says this and that the deletion operation carries this presupposition; both are checkable against a quoted locator and against the definition of the operation. This is the deepest of the three problems with DMB-001 and it is not a statistical point: the leave-one-out design is not model-neutral. It builds a verdict on section 4.M's open question into the shape of the instrument, before any evidence is consulted. Section 4.M also forbids treating medieval Brahui migration as documented fact (line 454), and the inherited record REJECTED presenting late migration as the correction (R-10, IH-156, IH-031)."
"DMB-007","A cognate-coded comparative Dravidian dataset covering Brahui, Kurukh and Malto was retrieved: DravLex (Kolipakam, Dunn, Jordan and Verkerk 2018) in its CLDF derivation, 2,127 forms over 20 varieties and 100 concepts, coded into 778 expert cognate sets with no judgement flagged as doubtful and 141 forms flagged as loans.","VERIFIED","SRC-049","lexibank/dravlex at 37578075e5ccb09c43022f7f1282125e748de84d, cldf/forms.csv and cldf/cognates.csv; sha256 in the ledger row","2026-09-07","","The retrieval event that makes any measurement in this unit possible. It does NOT lift HOLD-002: no entry numbers, no etymologies, no reconstruction (DEP-009). Coverage is unequal - Kuwi 56 concepts, Ollari_Gadba 59, Parji 64 - and every count below carries its denominator for that reason."
"DMB-008","Point coordinates for all twenty DravLex varieties were retrieved from Glottolog. The attested set spans 9.59 to 29.04 N and 66.56 to 87.64 E. Brahui is both the northernmost and the westernmost of the twenty.","VERIFIED","SRC-050","glottolog/glottolog-cldf at 072ca0d0410039fb8b779be8fc165bac575d2cda, cldf/languages.csv, sha256 1a50a393bc81568b656f9522be18aa4f80f38e94309ba6c863d583234adfbb89","2026-09-07","","One point per languoid. That is an editorial simplification of a speech area and it is not a measured centroid; Gondi, Kurukh and Brahui in particular are spoken over wide and discontinuous areas. Present-day or recent-survey locations only: nothing here dates anything."
"DMB-009","Glottolog's Dravidian classification has four immediate children - Central, North, South and Unclassified - and its North Dravidian node contains exactly two children: Brahui, a language, and Kurux-Malto, a family. Brahui is therefore a PRIMARY branch of North Dravidian on this classification, sister to the whole Kurukh-Malto unit rather than a member of it.","VERIFIED","SRC-051","glottolog/glottolog at 8fdbc6f1347328f0bdb3333f7cf8a6fffe586ced, languoids/tree/drav1251/nort2698/md.ini and its two child directories brah1256/ and kuru1300/","2026-09-07","","The tree shape matters for what counts as evidence. On this tree the quantity diagnostic of the TOP node is what Brahui shares exclusively with Kurukh and Malto together; the quantity diagnostic of the LOWER node is what Kurukh and Malto share exclusively with each other. The two are measured separately at DMB-018 and DMB-019 and they do not come out the same."
"DMB-010","Reference-free measurement of isolation. Brahui's nearest attested Dravidian neighbour is 1,561.5 km away. The median nearest-neighbour distance across the twenty varieties is 67.0 km, and the second most isolated variety, Kolami, is 372.4 km from its nearest neighbour. Brahui's isolation is 23.3 times the median and 4.2 times the next largest.","VERIFIED","SRC-050","04-AUDITS/brahui-loo-geography.py section 2, great-circle distances on WGS84 mean radius 6371.0088 km","2026-09-07","","This is the honest version of 'Brahui stands apart' and it needs NO reference point, so it is not exposed to the free parameter that BF-005 is about. It is a fact about the present-day attested distribution and about nothing else. It does not date the isolation, does not say how it arose, and is equally predicted by every one of the six models at constitution 4.M: a relict is isolated, and so is a recent arrival."
