hypothesis_id,exact_claim,attested_or_hypothetical,chronological_fit,geographical_fit,contact_mechanism,positive_evidence,contrary_evidence,independent_support,source_dependencies,current_specialist_standing,diagnostic_predictions,falsifier,eligible_for_extended_analysis,proportional_space,status,reason
E-1,"The Dravidian language family is attested: some two dozen languages with continuous documentation, the oldest literary record being Tamil.",ATTESTED — a documented family of living and recorded languages,"Not applicable as a gate. The family is attested; the dates at issue are the dates of individual documents, which this unit did not retrieve.","Attested across peninsular South Asia, with Brahui in Baluchistan and Kurukh and Malto in the east-central belt. Distribution is a fact about the present and the recorded past, not about the Rigvedic period.",Not applicable.,The languages themselves. No retrieval of any Dravidian text or description was possible in this session.,None. Nothing in this unit bears on whether Dravidian languages exist or are related.,Not assessed here.,"None retrieved. SRC-037, SRC-040, SRC-041 all refused.",Uncontested.,Not applicable.,Not applicable.,NOT-A-HYPOTHESIS — an attested family,None in this unit. Its analysis belongs to domains D and M.,HOLD,"Listed so that the register cannot silently slide item 1 into item 4. Constitution §4.E requires the two to stay distinct, and the whole point of the distinction is that this row is attested and the substrate row is not. No Dravidian source was reachable (HOLD-002), so nothing about Dravidian is asserted here at any status."
E-2,"Proto-Dravidian is a reconstruction: a hypothesis about a proto-language, supported by regular correspondences among the attested daughters.","RECONSTRUCTED — a hypothesis of a specific and testable kind, standing on attested daughters",The reconstruction is not itself dated by the comparative method. Any date assigned to it is a separate claim.,A reconstruction has no location. Assigning Proto-Dravidian a homeland is a further and separate claim.,Not applicable.,"Not retrieved. Assessing it requires the comparative material, i.e. DEDR or an equivalent.",Not assessed here.,Not assessed here.,None retrieved.,The reconstruction is standard; particular reconstructed segments are debated. Neither statement is sourced here.,Not applicable.,Not applicable.,"NOT-A-HYPOTHESIS in the sense this register gates — a reconstruction, one level below attestation on the gradient",None in this unit. Domain D.,HOLD,"Kept as its own row because a reconstructed proto-form and an attested word are different things, and the constitution forbids treating a reconstruction as if it were attested. Blocked on the same sources as E-1."
E-3,A body of Old Indo-Aryan words is accepted by specialists as borrowed from Dravidian.,"HYPOTHETICAL, but of the strongest available kind: each item is a claim about two attested forms","Cannot be gated here. The chronology of each proposed loan is a per-word question about the Rigvedic stratum of the Indo-Aryan form, which this unit CAN measure, and about the Dravidian comparandum, which it cannot retrieve.","Passes at the level of the corpus: the Rigvedic geography measured in DME-015 to DME-017 is the Indus system and the Panjab, and a north-western Dravidian presence is the claim domain M examines.",Ordinary lexical borrowing under contact. Available.,Exists in the literature and was not retrievable. Nothing in this unit is positive evidence for or against any individual loan etymology.,None produced here.,Unassessable without the sources.,"Would rest on DEDR and on the Indo-Aryan etymological literature; none reachable (SRC-037, SRC-040, SRC-041).","A core of proposed loans is widely accepted; the size of the core is disputed. Not sourced here — recorded as the question, not as the answer.","For each proposed loan: a Dravidian etymon with regular internal correspondences, an Indo-Aryan form whose phonology shows recipient adaptation rather than inheritance, an absence of a competing Indo-European etymology, and a semantic domain consistent with the contact scenario.","A convincing Indo-European etymology for the Indo-Aryan form, or the collapse of the Dravidian etymon under the comparative method.",NOT-ELIGIBLE-SOURCE-BLOCKED,None allocated in this unit. It is the largest single item the unblocking in D-035 would open.,HOLD,"This is the row on which a Dravidian explanation for early Indo-Aryan contact actually stands, and it is the row this session could not touch. Saying so is the honest result. Constitution §4.E lists ""accepted Old Indo-Aryan Dravidian loans"" as item 3 precisely so that it is not merged with item 4 below, whose evidentiary standing is much weaker."
E-4,Rigvedic forms without a satisfactory Indo-European etymology are Dravidian substrate items.,HYPOTHETICAL — a hypothesis about words whose donor is not attested in the relevant place and period,"PASSES as a gate: the corpus is in place, and the residue measured in DME-004 is present in the Archaic stratum as well as the late one (DME-008), so a substrate contribution is not chronologically excluded.",PASSES conditionally: the corpus geography (DME-022) admits a north-western donor. Whether Dravidian was spoken in the north-west in the relevant period is domain M and is not settled here.,"Substrate transfer through language shift, or borrowing. Available.","Not produced here. This unit measures the residue (253 lemmas, DME-004) and explicitly does not attribute it (DME-024, DME-026).","DME-007: the word-initial retroflex position is empty apart from the numeral ""six"". That weighs against an unadapted donor contribution, not against the hypothesis as such (DME-021). DME-014: the mechanical residue contains demonstrable false positives, so the pool is smaller than 253.",Not established here.,Would rest on DEDR and on the substrate literature; none reachable.,Historically influential and currently contested. Not sourced here.,"Substrate items should cluster in semantic domains tied to the local landscape, agriculture and material culture; should show recipient-language adaptation; should not be confined to the latest stratum if the contact is early; and should have Dravidian etyma that stand on their own comparative footing without the Indo-Aryan form.",A regular internal Indo-Aryan or Indo-Iranian derivation for the bulk of the residue would defeat it. So would a demonstration that the residue is not lexically or semantically structured.,ELIGIBLE — but no analytical space is allocated in this unit,"Zero here. Under constitution §9 space follows evidence, and the evidence needed for this row was unreachable. Not zero because the hypothesis failed.",HYPOTHESIS,"Gated as eligible and then not analysed. That is deliberate: eligibility is a permission to spend space, not an obligation to spend it before the evidence exists."
E-5,The Munda languages are attested: a group of some twenty languages of eastern and central India.,ATTESTED,Not applicable as a gate.,"Attested in eastern and central India, principally the Chota Nagpur plateau and neighbouring uplands. The Rigvedic corpus geography measured here does not reach it (DME-016, DME-022).",Not applicable.,The languages themselves. No Munda source was retrievable.,None. Nothing here bears on whether Munda languages exist.,Not assessed here.,None retrieved (HOLD-003).,Uncontested.,Not applicable.,Not applicable.,NOT-A-HYPOTHESIS — an attested group,None in this unit.,HOLD,"Kept distinct from E-6, E-7 and E-8. The geographical mismatch recorded in DME-023 is a mismatch with THIS row, Munda proper — not with E-7 or E-8, which is exactly the substitution the constitution forbids."
E-6,Proto-Munda is a reconstruction supported by the attested Munda languages.,RECONSTRUCTED,Undated by the comparative method itself.,No location as a reconstruction.,Not applicable.,Not retrieved.,Not assessed here.,Not assessed here.,None retrieved.,The group is uncontested; the depth and shape of the reconstruction are debated. Not sourced here.,Not applicable.,Not applicable.,NOT-A-HYPOTHESIS in the gating sense — a reconstruction,None in this unit.,HOLD,"Listed so that a claim made about Proto-Munda cannot be read as a claim about attested Munda, or the reverse."
E-7,A pre-Proto-Munda or deeper Austroasiatic language stood in contact with early Indo-Aryan.,"HYPOTHETICAL — a hypothesis about a stage that is itself reconstructed, and so stands two removes from attestation",Not gateable here. The claim is about a stage whose dating depends on Austroasiatic comparative work that was not retrievable.,"Not gateable here for the same reason: the location of a pre-proto stage is a claim, not a datum.","Contact, shift, or an early westward distribution now lost. All are available in principle; none is evidenced here.",None produced here.,"None produced here. The geographical argument in DME-023 is directed at E-5, Munda proper, and does not transfer to this row.",None retrieved.,HOLD-003 blocks the primary statements.,Not sourced here.,"Would predict Austroasiatic-shaped morphology, notably prefixing and infixing, in the residue, and a semantic profile tied to the relevant subsistence regime.","A demonstration that the residue shows no morphological structure of the predicted kind, on a residue large enough to test.",NOT-ELIGIBLE-SOURCE-BLOCKED,None allocated.,HOLD,"The single most important row to keep separate from E-5. Constitution §4.E: evidence against Munda proper in early Rigvedic Punjab materially weakens a Munda-affiliated substrate explanation but does not disprove every extinct prefixing language. This unit produced exactly such evidence at the geographical level and it is recorded against E-5, not here."
E-8,"Witzel's historical proposal of a ""Para-Munda"" language: a prefixing language of the greater Panjab, related to but not identical with Munda, as the donor of a body of Rigvedic vocabulary.",HYPOTHETICAL — a named proposal about an unattested language,Not gateable here: the proposal fixes its own chronology and that statement was not retrieved.,"Not gateable here on the proposal's own terms, for the same reason. The corpus geography measured in DME-022 does not exclude the greater Panjab; it is the corpus's own centre.",Substrate transfer or borrowing in the Panjab. Available.,"None produced here, and none characterised from memory.",None produced here.,None retrieved.,"HOLD-003. The Electronic Journal of Vedic Studies, the open-access venue for these papers, is egress-blocked (SRC-043).","Historically influential, contested. Not sourced here — and the constitution names the mishandling of exactly this proposal as the failure the whole methodology corrects, so characterising its standing from memory would repeat the failure rather than avoid it.",The proposal is stated to rest on prefixed name and word shapes. Its diagnostic prediction is that the residue carries recurrent prefix-like initial elements at a rate above chance.,"A demonstration that the alleged prefixes are not recurrent, or that the words carrying them have Indo-Aryan derivations.",NOT-ELIGIBLE-SOURCE-BLOCKED,None allocated. The proposal is neither excluded for being wrong nor admitted for being famous.,HOLD,"The inheritance rule in CLAUDE.md forbids promoting a claim by recollection, and a model's recollection of a paper is not a retrieval. Writing out what Para-Munda ""says"" from memory would manufacture the standing the rule exists to withhold. So the row is carried as a named position whose content is not yet in hand."
E-9,"The weaker fallback: an unidentified prefixing language was spoken in the Kubhā–Vipāś region and contributed vocabulary to the Rigveda, without any claim of Austroasiatic affiliation.","HYPOTHETICAL — weaker than E-8 because it drops the affiliation claim, and correspondingly harder to falsify",PASSES: the region is inside the corpus and inside its older stratum.,"PASSES, and this unit contributes to the gate. Kubhā and Krumu are attested at 5.53.9 and Vipāś at 3.33.1, 3.33.3 and 4.30.11 (DME-017, DME-015). Both ends of the named region are attested, and Kubhā and Krumu fall in Archaic-stratum pādas.",Substrate transfer or borrowing. Available.,Not produced here. The residue exists (DME-004) but is not attributed.,"DME-007 constrains the shape of any donor contribution, but does not bear on this row specifically.",The geographical half of the gate is now supported by a measurement made in this repository rather than carried in from a summary.,"Geography: SRC-019/022/023/047, this unit. The proposal itself: HOLD-003.",Not sourced here.,"Recurrent prefix-like initial elements across the residue, and a concentration of residue vocabulary in the semantic domains of the local landscape.",Absence of recurrent initial elements once the residue is properly narrowed; or a demonstration that the residue is not regionally marked.,ELIGIBLE — passes the chronological and geographical gates on evidence produced here,"Small. It clears the gate, and the gate is the cheapest half: it has no positive evidence in this repository yet.",HYPOTHESIS,"The one row whose gate this unit actually advanced. It is also the row most at risk of being treated as a soft version of E-8 that inherits E-8's support without E-8's commitments. It does not: it is weaker, and being weaker is a cost as well as a convenience, because it predicts less."
E-10,"Masica's ""Language X"": a residue of Hindi agricultural and plant vocabulary attributable to neither Indo-Aryan, Dravidian, nor Munda, and so to an unidentified further source.","HYPOTHETICAL — a residue claim, and a claim about a modern language, not about the Rigveda","FAILS the gate for this unit, on scope rather than on merit: the claim is about Hindi vocabulary. Whether any of it reaches back to the Rigvedic period is a separate claim needing separate evidence.","The claim concerns the Gangetic plain. The Rigvedic corpus geography measured here is the Indus system and the Panjab (DME-022), and the eastern rivers are marginal (DME-016).","Would need a chain: donor to early Indo-Aryan to Hindi, each link evidenced separately.",Not produced here. Masica's study was not retrievable.,None produced here.,None retrieved.,Not retrieved.,Not sourced here.,"The residue should be semantically coherent, concentrated in cultivated plants and agricultural technique, and resistant to Dravidian and Munda etymologies once those are seriously tried.","Successful Dravidian, Munda or Indo-Aryan etymologies for the bulk of the residue.",NOT-ELIGIBLE-GATE-FAILED for this unit; ELIGIBLE for a unit on modern North Indian vocabulary,"A concise scope exclusion, which is what constitution §5 step 7 prescribes for a gate failure.",HYPOTHESIS,"Excluded here for being about a different language at a different date, not for being weak. The distinction matters: constitution §4.E lists Language X separately from items 4, 8 and 9 because its evidence base is a modern lexicon and theirs is a 2nd-millennium-BCE corpus."
