"join_id","claim_id","register","register_class","source_id","evidence_role","locator","independence_group","notes"
"CS-0001","BR-E-001","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0002","BR-E-001","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0003","BR-E-002","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0004","BR-E-002","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0005","BR-E-003","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","DATA","SRC-060","SOLE","","IG-SRC-060",""
"CS-0006","BR-E-006","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","DATA","SRC-065","SOLE","","IG-SRC-056",""
"CS-0007","BR-E-007","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","DATA","SRC-061","CONTRIBUTING","","IG-SRC-056",""
"CS-0008","BR-E-007","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","DATA","SRC-062","CONTRIBUTING","","IG-SRC-062",""
"CS-0009","BR-E-008","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0010","BR-E-008","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0011","DEDR-L-001","03-REGISTERS/dedr-digitisation-lineage.csv","CLAIM","SRC-060","CONTRIBUTING","moli-mandala/data @ dbae310; wc -l on both files; dedr.csv sha256 1d91f819b9af2c530ba6688a089a775d4bd6bcaa7c8e30e90dacdcce3758943e, matching the value recorded under SRC-061","IG-SRC-060",""
"CS-0012","DEDR-L-001","03-REGISTERS/dedr-digitisation-lineage.csv","CLAIM","SRC-061","CONTRIBUTING","moli-mandala/data @ dbae310; wc -l on both files; dedr.csv sha256 1d91f819b9af2c530ba6688a089a775d4bd6bcaa7c8e30e90dacdcce3758943e, matching the value recorded under SRC-061","IG-SRC-056",""
"CS-0013","DEDR-L-001","03-REGISTERS/dedr-digitisation-lineage.csv","CLAIM","SRC-087","CONTRIBUTING","moli-mandala/data @ dbae310; wc -l on both files; dedr.csv sha256 1d91f819b9af2c530ba6688a089a775d4bd6bcaa7c8e30e90dacdcce3758943e, matching the value recorded under SRC-061","IG-SRC-087",""
"CS-0014","DEDR-L-002","03-REGISTERS/dedr-digitisation-lineage.csv","CLAIM","SRC-087","SOLE","JAMBU README lines 135 and 137; data/dedr/parse.py lines 36 (TOTAL_PAGES = 514), 173 (burrow_query.py) and 155 (output dedr_new.csv)","IG-SRC-087",""
