"att_id","target","classification","determinative_certainty","p_number","line_ref","raw_token","determinatives","line","cdli_period","cdli_provenience","cdli_collection","cdli_museum_no","cdli_material","cdli_excavation_no","cdli_primary_publication","source_id","retrieval_date"
"DRA-0001","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P102262","3","{na4}gug","na4","1(u) za-ah {na4}gug","Ur III (ca. 2100-2000 BC)","Umma (mod. Tell Jokha)","private: Linenthal, UK","Linenthal 1","clay","","ASJ 08, 345 1","SRC-103; SRC-102","2026-09-08"
"DRA-0002","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P102855","1","{na4}gug","na4","2(disz) ma-na 1(u) gin2 4(disz) za-ah {na4}gug e11","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","Siegfried H. Horn Museum, Institute of Archaeology, Andrews University, Berrien Springs, Michigan, USA","AUAM 73.0469","clay","","AUCT 1, 009","SRC-103; SRC-102","2026-09-08"
"DRA-0003","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P106050","1","{na4}gug","na4","mu ezem {na4}gug nu2-sze3","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","Nies Babylonian Collection, Yale Babylonian Collection, New Haven, Connecticut, USA","NBC 02279","clay","","BIN 03, 244","SRC-103; SRC-102","2026-09-08"
"DRA-0004","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P108662","5","{na4}gug-a-nu2","na4","ezem {na4}gug-a-nu2 {d}szu-{d}suen","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","British Museum, London, UK","BM 103436","clay","","CT 32, pl. 12 BM 103436","SRC-103; SRC-102","2026-09-08"
"DRA-0005","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P108662","11","{na4}gug-a-nu2","na4","ezem {na4}gug-a-nu2 {d}szu-{d}suen","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","British Museum, London, UK","BM 103436","clay","","CT 32, pl. 12 BM 103436","SRC-103; SRC-102","2026-09-08"
"DRA-0006","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P108665","10","{na4}gug-nu2","na4","5(disz) udu niga {na4}gug-nu2","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","British Museum, London, UK","BM 103433","clay","","CT 32, pl. 15 BM 103433","SRC-103; SRC-102","2026-09-08"
"DRA-0007","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P109305","5","{na4}gug-ga-nu2","na4","{na4}gug-ga-nu2 {d}nin-sun2","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","Metropolitan Museum of Art, New York, New York, USA","MMA 1999.231","clay","","CTMMA 4, 183","SRC-103; SRC-102","2026-09-08"
"DRA-0008","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P112996","3","{na4}gug","na4","4(u) 1(disz) szuba3 {na4}gug","Ur III (ca. 2100-2000 BC)","Girsu (mod. Tello)","Louvre Museum, Paris, France","AO 03606","clay","","Metal 288 17","SRC-103; SRC-102","2026-09-08"
"DRA-0009","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P113453","22","{na4}gug-a-nu2","na4","ezem {na4}gug-a-nu2 {d}en-lil2-la2","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","Musée d’Art et d’Histoire, Geneva, Switzerland","MAH 19470","clay","","MVN 02, 154","SRC-103; SRC-102","2026-09-08"
"DRA-0010","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P113453","3'","{na4}gug-[a]-nu2","na4","ezem# {na4}gug-[a]-nu2 {d}en-lil2-la2","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","Musée d’Art et d’Histoire, Geneva, Switzerland","MAH 19470","clay","","MVN 02, 154","SRC-103; SRC-102","2026-09-08"
"DRA-0011","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P113712","14","{na4}gug","na4","2(disz) ellag2 {na4}gug","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","Free Library of Philadelphia, Philadelphia, Pennsylvania, USA","FLP 0194","clay","","MVN 03, 152","SRC-103; SRC-102","2026-09-08"
"DRA-0012","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P113712","20","{na4}gug","na4","1(u) ellag2 szuba3 {na4}gug","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","Free Library of Philadelphia, Philadelphia, Pennsylvania, USA","FLP 0194","clay","","MVN 03, 152","SRC-103; SRC-102","2026-09-08"
"DRA-0013","CARNELIAN","STONE-DETERMINATIVE ({na4})","damaged #","P113712","22","{na4#}gug#","na4","1(gesz2) 2(disz) ellag2 {na4#}gug# tur","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","Free Library of Philadelphia, Philadelphia, Pennsylvania, USA","FLP 0194","clay","","MVN 03, 152","SRC-103; SRC-102","2026-09-08"
"DRA-0014","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P113712","24","{na4}gug#?","na4","6(disz) ellag2 {na4}gug#? za-gin3","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","Free Library of Philadelphia, Philadelphia, Pennsylvania, USA","FLP 0194","clay","","MVN 03, 152","SRC-103; SRC-102","2026-09-08"
"DRA-0015","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P128656","4","{na4}gug","na4","2(disz) {na4}gug gid2-da","Ur III (ca. 2100-2000 BC)","Umma (mod. Tell Jokha)","Special Collections and Archives, John T. Richardson Library, DePaul University, Chicago, Illinois, USA","Souvay 67","clay","","SA 054","SRC-103; SRC-102","2026-09-08"
"DRA-0016","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P128656","5","{na4}za-ellag2-gug","na4","2(disz) {na4}za-ellag2-gug","Ur III (ca. 2100-2000 BC)","Umma (mod. Tell Jokha)","Special Collections and Archives, John T. Richardson Library, DePaul University, Chicago, Illinois, USA","Souvay 67","clay","","SA 054","SRC-103; SRC-102","2026-09-08"
