"absence_id","the_absence","what_evidence_should_exist","where_it_should_be","probability_it_was_produced","probability_it_survived","excavation_or_sampling_coverage","accessibility","could_we_recognise_it","absence_type","what_may_not_be_concluded","status","source_id","locator","retrieval_date","notes"
"DR-NEG-001","No text naming Meluhha, Magan, Dilmun or Marhashi, in the retrieved corpus, was found at a site in the Indus region, Gujarat, Oman, Bahrain or Iran. All 863 findspots are Mesopotamian, Syrian or Assyrian.","Administrative or commemorative texts written in the exporting regions that name those regions, or name their partners, in their own terms.","Mohenjo-daro, Harappa, Dholavira, Lothal; Umm an-Nar, Tell Abraq, Ras al-Junayz; Qala'at al-Bahrain, Saar; Shahr-i Sokhta, Konar Sandal, Susa.","Unequal across the five regions and cannot be given as one figure. Susa and the Iranian plateau produced cuneiform and Elamite archives, so production is near-certain there. For the Indus the question is domain K's and is open: an undeciphered sign system on seals and small objects is attested, an archive on a durable medium is not. For Bronze Age Oman and Bahrain no indigenous writing system is attested in what was retrieved here.","Low to moderate where produced. Unbaked clay survives fire and little else; the Mesopotamian archives that dominate this corpus survive disproportionately because their buildings burned.","NOT MEASURED in this unit. Excavated area against total site area was not retrieved for any of the named sites, and without it no coverage statement is possible.","This is the binding constraint here and it is not about antiquity. The corpus retrieved is CDLI's unblocked dump, which is a cuneiform corpus: it can only ever contain texts in cuneiform, and a text from the Indus in another system would be outside it by construction. ORACC, ETCSL and CDLI's own front end are refused (SRC-099).","For cuneiform, yes. For the Indus script, no: it is undeciphered, so a self-designation in it would not be recognised as one even if it were in hand.","NOT RECOGNISED, compounded by NOT ACCESSIBLE. It is NOT the type 'ABSENT DESPITE ADEQUATE SEARCH' and must not be recorded as one.","That the Indus, Magan, Dilmun and Marhashi kept no records; that they had nothing to say about the corridor; that the Mesopotamian account is the account because it is the only one. What may be concluded is narrower and is DRM-010: the surviving textual provenance record for both roads was written at one end of the corridor, about the other.","VERIFIED","SRC-103; SRC-102","04-AUDITS/domain-r-cdli-distributions.py PROVENIENCE tables over 03-REGISTERS/domain-r-cdli-attestations.csv","2026-09-08","The single most consequential absence in the domain, because every toponym argument on both roads is built on one side's archive. APA-R-001."
"DR-NEG-002","No account of Shortugai was retrieved. A twenty-passage query naming the site returned nothing about it.","Excavation reports for the Indus-related settlement in Badakhshan province, northern Afghanistan, and the subsequent literature on its relation to lapis procurement and to the Oxus civilisation.","Francfort's monographs and the French archaeological mission's series; and in any synthesis of the Blue Road.","Certain. The site is excavated and published; Francfort 1989 is cited in passing by a retrieved article (SRC-128).","Certain.","Not applicable - this is a modern-access absence, not an ancient one.","NIL in this session. The publications are French monographs in no corpus reachable here; the only working literature lane is a single publisher's journal catalogue (SRC-105); persee.fr, hal.science, JSTOR, Cambridge and archive.org are all refused (SRC-099).","Yes, trivially.","NOT ACCESSIBLE.","Anything at all about Shortugai. This unit makes no claim about it, including no claim that it was or was not an Indus outpost, a lapis-procurement station, or connected to the BMAC. The owner named Shortugai as a component of THE BLUE ROAD and this unit could not run it.","HOLD","SRC-105; SRC-099","Scholar Gateway query of 2026-09-09T02:14Z on Shortugai, Harappan settlement, Badakhshan lapis and the BMAC: 20 passages, 9 articles, none concerning Shortugai; Francfort 1989 appears only as a citation inside SRC-128","2026-09-09","HOLD-008. The most important single gap in this unit, and it is an access gap, not an evidence gap. It also shapes what could be said: the Blue Road's Indus-side node is missing, so the road as reconstructed here runs Badakhshan to Iran to Mesopotamia and is silent exactly where the owner's programme most needs it."
"DR-NEG-003","No analytical provenance for any of the 796 objects in the museum-candidate register: 285 attributed to lapis lazuli, 86 to carnelian, 425 look-alikes, and 0 with an analysis on record.","Trace-element, isotopic or mineralogical analyses of catalogued lapis and carnelian objects, cited in the catalogue record.","In the catalogue, or in publications the catalogue points to.","Low for the great majority. Analysis is destructive or requires instrument access; the retrieved literature reports single-figure sample counts per published study (five cylinders, four pieces, six pigment samples, fifteen beads), against 371 objects here and far more in the collections.","Not applicable.","Effectively zero as a proportion of the catalogued corpus.","Structural as well as practical: the catalogue has 64 columns and not one of them can hold a reference to an analytical study, so even where an analysis exists the catalogue cannot record it.","Yes, if a column existed for it.","NOT PRODUCED, with a NOT RECORDED component that is structural to the source.","That these objects are lapis lazuli or carnelian as a matter of established fact. They are objects a cataloguer identified by eye. SRC-126 is the demonstration that such identifications fail: beads at Konar Sandal identified as calcite on appearance are gypsum alabaster.","VERIFIED","SRC-102; SRC-126","03-REGISTERS/domain-r-museum-candidates.csv, column analytical_provenance, empty on all 796 rows; SRC-126 abstract","2026-09-08","The reason the museum-candidate register's material column is labelled cdli_material_attribution and not material."
"DR-NEG-004","Until recently, no geological source of chalcedony, agate or carnelian was recognised on the Arabian coast of the Gulf.","Mapped deposits in eastern Arabia.","Jebel al-Ma'taradh and comparable outcrops in Ra's al-Khaimah and Umm al-Quwain, where twenty-six veins are now mapped.","Not applicable - a geological deposit is not produced by anyone.","Not applicable.","The deposits had not been surveyed for this purpose. They are now, and material from them is identified at eight further sites up to 300 km away.","Not the constraint. The constraint was that nobody had looked.","Now yes. Before the survey, no.","NOT RECOGNISED - and this is the domain's worked example of that type, because the absence has since been falsified by fieldwork.","That a carnelian bead found in the Gulf must have come from India or Mesopotamia because there was no local source. Every attribution made on that premise was made under a premise that has failed. It does not follow that those attributions are wrong; it follows that their warrant is gone and must be re-argued.","VERIFIED","SRC-110","SRC-110 DISCUSSION chunk 7 (the eight sites and Marawah MR1 at 300 km) and chunk 8 (the prior belief, quoted)","2026-09-09","Kept as the standing control on the whole domain. An absence that everyone treated as informative turned out to record where the surveyors had been. RA-023 asks which claims elsewhere in this repository rest on absences of this type."
"DR-NEG-005","A 'lack of substantive evidence for reciprocal exchange of commodities with Mesopotamia' - that is, of Mesopotamian goods moving east to match the Indus carnelian moving west.","Mesopotamian manufactured goods, or their residues, in Indus contexts, in quantities comparable to the Indus material in Mesopotamian contexts.","Mohenjo-daro, Harappa, Chanhu-daro, Dholavira, Lothal.","High if the exchange was reciprocal in goods at all. The candidate return commodities named in the corridor literature are textiles, wool, grain, oil and silver.","Very low for four of those five. Textiles, wool, grain and oil do not survive in these conditions except as exceptional finds; silver is recyclable and was recycled. This is the decisive column and it is why the absence is weak evidence.","NOT MEASURED here. Excavated proportion of the major Indus sites was not retrieved.","The Indus excavation literature was not reachable through this session's lanes.","Uncertain. A Mesopotamian textile in an Indus context would survive, if at all, as a mineralised trace requiring specialist recovery, and recovery methods at the sites excavated early were not designed for it.","NOT PRESERVED, dominant; with NOT EXCAVATED and NOT RECOGNISED components that are unquantified here.","That the exchange was one-directional, that the Indus received nothing, or that the relationship was extractive. The materials that would show a return flow are precisely the materials that do not survive, so the asymmetry in the record may be an asymmetry in durability rather than in trade. This is the clearest case in the unit where silence in a curated record is not refutation.","VERIFIED","SRC-120; SRC-117","SRC-120 BACKGROUND; SRC-117 abstract, on 'the scale of state-organised textile production for export to the lower Gulf in the later third millennium B.C.'","2026-09-09","SRC-117's textile point is the counterweight: a recent reading of the Mesopotamian written sources finds large state textile production for export to the Gulf, which is exactly a return flow that would leave no archaeological trace. The written record and the material record disagree here, and the material record is the one with the survival problem."
"DR-NEG-006","Cuneiform texts refer to kidney-shaped carnelian beads; no kidney-shaped bead has been reported from a Mesopotamian or an Indus site.","Beads of that shape in excavated assemblages, or the shape in a bead typology.","Ur, Kish, Larsa; Mohenjo-daro, Chanhu-daro, Harappa.","Unknown, and this is the point: the alternative reading is that the texts describe unworked nodules, not beads. Carnelian nodules from the Gujarat deposits are oblong and roughly the size of a goat or sheep kidney.","High. Carnelian survives.","Bead assemblages from these sites are large and have been typologised.","Not the constraint.","Yes for a bead. For a nodule, less certainly: an unworked nodule in an excavation is easily catalogued as unworked stone rather than as a trade commodity.","NOT PRODUCED, if the object is a bead; NOT RECOGNISED, if the phrase means a nodule.","That the texts are wrong, or that the modern typology is complete. The absence is better read as evidence that the English category 'bead' has been applied to a term that may not mean one - which is the translation standard's point, not an archaeological one.","VERIFIED","SRC-109","SRC-109 INTRODUCTION AND BACKGROUND chunks 3 and 4, citing Leemans 1960: 23, 25, 27, 33, 163 and Potts 1997: 266","2026-09-09","The nodule reading is SRC-109's own hypothesis and is gated at HYP-R-004 rather than adopted."
"DR-NEG-007","Whether an openly licensed image exists is not determined for any of the 796 objects in the museum-candidate register.","A licence statement on the custodian's object page or in the image repository's terms.","cdli.mpiwg-berlin.mpg.de; britishmuseum.org; the Penn Museum, Ashmolean, Louvre, Leiden, Berlin and Cambridge collection databases; Wikimedia Commons.","High. Several of these institutions publish licence terms as policy, and 125 of the 371 lapis and carnelian objects carry a CDLI image flag.","Not applicable.","Not applicable.","NIL. Every one of those hosts is refused at the egress gateway, and the retrieved CDLI repository carries no LICENSE file - LICENSE, LICENSE.md, license.txt and COPYING all return 404.","Yes, immediately, if the page could be fetched.","NOT ACCESSIBLE.","That no openly licensed images exist, or that the museum programme has no material. The likely answer is that a substantial number are openly licensed and this session cannot see which.","HOLD","SRC-099; SRC-102; SRC-104","03-REGISTERS/domain-r-museum-candidates.csv, column image_licence_status, NOT ACCESSIBLE on all 796 rows; 404 probes for the four licence filenames at raw.githubusercontent.com/cdli-gh/data/master","2026-09-08","D-055. This is the one field in the owner's instruction that is fully blocked, and it is blocked by an access policy rather than by the evidence."
"DR-NEG-008","No bead-production workshop has been found at the Jebel al-Ma'taradh deposits.","Debitage, roughouts, drills and heat-treatment features at or near the source.","At the deposit, or in settlements near it.","High if beads were made from this material locally, which the veining match to Bronze Age museum beads suggests.","Moderate. Lithic debitage survives well; hearths and pits less so.","The excavators state the workshops would probably have been in settlements 'which have not yet been discovered'.","Not the constraint.","Yes - agate and carnelian bead debitage is diagnostic and is precisely what SRC-111 uses at Sumhuram.","NOT EXCAVATED.","That the deposit was not exploited for beads. Every Neolithic agate and carnelian bead known on the Oman peninsula was found 30 to 50 km from it.","VERIFIED","SRC-110","SRC-110 DISCUSSION chunk 8","2026-09-09",""
"DR-NEG-009","The sixteen lapis lazuli beads on the Kish A51 necklace have not been analysed, although the fifteen carnelian beads on the same string have.","A geochemical or mineralogical provenance study of the lapis, ideally by the same protocol.","In the same 2025 study, or a companion to it.","It was not produced. The study is about carnelian.","Not applicable - the objects are in the Field Museum.","Zero for the lapis, complete for the carnelian, on one necklace.","The objects are accessible to the researchers who studied the necklace.","Yes.","NOT PRODUCED.","Nothing about the origin of that lapis, in either direction.","VERIFIED","SRC-109","SRC-109 CARNELIAN BEADS FROM KISH chunk 6","2026-09-09","Named because it is the cheapest high-value piece of work this unit can identify. One necklace, one museum, one instrument, and both roads would be measured in the same burial. Carried into the falsifiers table."
"DR-NEG-010","The unfinished carnelian beads excavated across the site of Ur, noted by Woolley, were never published in detail.","A study of the unfinished beads and bead-making debris from Ur.","The Ur excavation reports and their successors; the Penn Museum and British Museum collections.","The material was produced in antiquity and recovered; the study was not written.","High. The objects are in museum collections.","The material was excavated.","The objects are in reachable institutions; this session cannot reach their databases.","Yes - unfinished beads and drill bits are the diagnostic evidence for local manufacture.","NOT PUBLISHED.","That bead manufacture at Ur is undocumented. It is unstudied, which is different, and the evidence that would settle Woolley's disagreement with Mackay about import against local manufacture has been in museum drawers for ninety years.","VERIFIED","SRC-109","SRC-109 INTRODUCTION AND BACKGROUND chunk 1: 'No detailed studies of these unfinished beads from Ur were published'","2026-09-09","APA-R-002."
"DR-NEG-011","No source establishing the location of Marhashi was retrieved.","The Assyriological literature on the toponym, principally Steinkeller's.","Assyriological journals and monographs.","Certain; it is a substantial literature.","Certain.","Not applicable.","NIL through this session's lanes. A targeted query returned Iranian hydrology, herpetology, botany and epidemiology papers matching 'Kerman' and 'Jiroft', and no Assyriology.","Yes.","NOT ACCESSIBLE.","Where Marhashi was. This unit says only what the corpus shows: 153 texts, written mar-ha-szi{ki} and variants, overwhelmingly Ur III, concentrated at Puzrish-Dagan, and distinct in the record from the other three toponyms.","HOLD","SRC-105","Scholar Gateway query of 2026-09-09T02:30Z on the location of Marhashi: 18 passages, 13 articles, of which the only relevant ones concern Konar Sandal and Shahr-i Sokhta and neither addresses the toponym","2026-09-09","HOLD-009. The absence is why DRM-018 rejects the Mehrgarh identification as an inference without asserting any alternative location."
"DR-NEG-012","Etched carnelian beads from north-east and south-east Arabia are absent from the east-west trade synthesis, though they are excavated and published.","Citation of this material in the corridor literature.","In syntheses of Indus-Mesopotamia and Gulf exchange.","The beads exist and the papers exist.","Not applicable.","Adequate; the material is reported from multiple sites.","Published in a regional journal. On the authors' own account the beads 'remain unknown to most scholars'.","Yes.","NOT RECOGNISED - published, available, and not read.","That the distribution of etched carnelian is as the synthesis describes it. A distribution map assembled from the works that cite each other is a map of the citation network.","VERIFIED","SRC-118","SRC-118 abstract","2026-09-09","APA-R-004. The same mechanism as DRB-004, where the field states that the close lapis sources in Pakistan and Tajikistan are 'rarely considered'. Two independent instances, in two materials, of published evidence being outside the synthesis."
