"claim_id","claim","evidence_status","source_id","locator","retrieval_date","supports_page","notes","interpretive_status","editorial_status","publication_status","status_reason","superseded_by"
"DE-M-001","The retrieved CDIAL table contains 15,417 numbered entries.","VERIFIED","SRC-065","JAMBU @ dbae310, data/cdial/params.csv, row count; reproduced by 04-AUDITS/domain-e-cdial-attributions.py","2026-09-07","substrate (proposed)","Count over the retrieved digitization. Turner's printed CDIAL numbers entries to 14,150 with gaps and starred additions, so this is not a claim about the printed edition (SRC-065).","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-002","In 224 of those entries Turner writes his loan arrow from a Dravidian source into Indo-Aryan.","VERIFIED","SRC-065","same file; regex on the arrow followed by a Dravidian abbreviation drawn from CDIAL's own key data/cdial/abbrevs.py","2026-09-07","substrate (proposed)","The donor set is Turner's own 12 Dravidian abbreviations (Brah Drav Ga Kan Kol Kur Mal Nk Prj Tam Tel Tu) plus the family name, not a list assembled by us.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-003","In 55 entries Turner writes his loan arrow from a Munda source into Indo-Aryan.","VERIFIED","SRC-065","same file; arrow followed by Mu., Sant. or a spelled-out Munda name","2026-09-07","substrate (proposed)","Turner's abbreviation key names only two Munda abbreviations, Mu. = Munda and Sant. = Santali (Munda); the spelled-out family name was added to the pattern to reach his running prose.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-004","Turner's Dravidian loan attributions outnumber his Munda loan attributions in the retrieved CDIAL by 224 to 55, a ratio of 4.1 to 1.","VERIFIED","SRC-065","ratio of DE-M-002 to DE-M-003","2026-09-07","substrate (proposed)","A measurement of one dictionary compiled 1962-66. It is evidence about Turner, not directly about the ancient languages; the interpretation is registered separately as DE-I-004.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-005","19 of the 224 Dravidian and 8 of the 55 Munda attributions carry an explicit hedge from Turner (poss., perh., prob., ac. to, doubtful, or a question mark).","VERIFIED","SRC-065","same file; hedge regex over the etymological bracket","2026-09-07","substrate (proposed)","Counted so that a hedged attribution is never quoted as a flat one. The hedge rate is similar on both sides (8.5% and 14.5%), so hedging does not explain the 4.1:1 gap.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-006","In 9 entries Turner writes the arrow the other way, from Indo-Aryan into Dravidian; in 1 entry, into Munda.","VERIFIED","SRC-065","same file; arrow-out regexes","2026-09-07","substrate (proposed)","Direction is part of the attribution. An entry recording Indo-Aryan lending to Munda is evidence against a substrate reading of that word.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-007","A naive string search of the CDIAL entry texts for the spelled-out family name Munda returns 22 entries, of which 10 are citations of the Mundaka Upanisad and contain no reference to the language.","VERIFIED","SRC-065","same file; regex Muṇḍ\w*|Munda against the unfiltered entry text","2026-09-07","substrate (proposed)","MundUp. is Turner's abbreviation for a Sanskrit text. The abbreviation collides with the language name on the first four characters.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-008","Measured against the corrected search, that naive string search has precision 54.5% and recall 12.1%.","VERIFIED","SRC-065","04-AUDITS/domain-e-cdial-attributions.py, keys naive_munda_precision_pct and naive_munda_recall_pct in 03-REGISTERS/domain-e-cdial-attribution-stats.csv","2026-09-07","substrate (proposed)","Same class of failure as correction C-04 and as the pur- family search (PUR-009, PUR-010): a string is not a lemma and a name is not an abbreviation. Recorded so the number is available the next time a substrate word-list is quoted from a search.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-009","Of the 224 CDIAL entries with a Dravidian loan arrow, the headword occurs as a simplex lemma in the Rigveda in 15 cases; of the 55 with a Munda loan arrow, in 5 cases.","VERIFIED","SRC-065; SRC-059; SRC-022","03-REGISTERS/domain-e-cdial-loan-candidates.csv, field rv_simplex_lemma; Zurich token layer of VedaWeb @ d3eb8af","2026-09-07","substrate (proposed)","Attestation is decided by the Zurich lemma layer, not by Turner's citation tag: the two are separate measurements and are kept in separate columns. Headword matching folds Vedic tone and Turner's redundant macron on e and o, and folds nothing phonemic.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-010","Those 20 candidate rows collapse to 15 distinct Rigvedic lemmas, because CDIAL numbers kuṭa as four separate entries and piṇḍa carries both a Dravidian and a Munda attribution.","VERIFIED","SRC-065; SRC-059","03-REGISTERS/domain-e-cdial-loan-candidates.csv, grouped on rv_simplex_lemma","2026-09-07","substrate (proposed)","Entry count and word count are different quantities. Reporting 20 where the lemmas are 15 would inflate the evidence by a third.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-011","Those 15 lemmas account for 21 tokens out of the 164,758 in the Rigvedic Zurich layer, or 0.013%.","VERIFIED","SRC-059; SRC-022","sum of rv_simplex_tokens over distinct lemmas; corpus total reproduced from 04-AUDITS/rv-token-extract.py","2026-09-07","substrate (proposed)","The corpus total reproduces PUR-001 exactly from a fresh clone. This is a floor on Rigvedic Dravidian and Munda loan vocabulary as Turner marks it, not an estimate of it: it counts only entries where Turner drew the arrow and whose headword survives simplex lemma matching.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-012","10 of those 21 tokens (47.6%) sit in a pada Arnold assigns to the Popular stratum, against a corpus-wide Popular share of 13.9%.","VERIFIED","SRC-059; SRC-022; SRC-023","03-REGISTERS/domain-e-cdial-loan-candidates.csv field rv_strata_simplex; baseline from rv_corpus_tokens_stratum_P and _p in 03-REGISTERS/domain-e-cdial-attribution-stats.csv","2026-09-07","substrate (proposed)","Codes P and p are counted together as Popular. Binomial tail against the corpus share, P(X>=10 | n=21, p=0.139) = 2.2e-04; at lemma level 9 of 15 lemmas have a Popular occurrence, P = 4.5e-05. Both figures treat tokens as independent draws, which they are not - tokens cluster within lemmas. The interpretation is registered separately as DE-I-006 and is capped there.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-013","The retrieved DEDR table carries 76,303 reflex rows under 5,619 entry numbers across 77 language labels.","VERIFIED","SRC-061","JAMBU @ dbae310, data/dedr/dedr_new.csv; 04-AUDITS/domain-e-evidence-mass.py measures EM-01 to EM-03","2026-09-07","substrate (proposed)","Counts over the retrieved table. The printed DEDR cannot be consulted to check them: dsal.uchicago.edu is EGRESS_BLOCKED (SRC-056).","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-014","The retrieved Proto-Dravidian reconstruction set carries 1,286 distinct starred forms covering 818 DEDR entries, or 14.6% of the entries in DE-M-013.","VERIFIED","SRC-062","JAMBU data/dedr/pdr.csv; measures EM-06 to EM-08","2026-09-07","substrate (proposed)","Attributed by JAMBU to Krishnamurti. A starred form is not an attestation and this table is not DEDR: DEDR offers no reconstructions, which is exactly why distinctions 1 and 2 are separate.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-015","The retrieved Munda comparative table carries 1,096 attested reflex rows across 12 Munda languages under 127 reconstructed Proto-Munda etyma.","VERIFIED","SRC-063; SRC-064","JAMBU data/munda/forms.csv and rau_2019.csv; measures EM-11 to EM-13","2026-09-07","substrate (proposed)","127 etyma is a comparative core assembled for reconstruction, not the reconstructible Proto-Munda lexicon. Every language in it is eastern or central Indian.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-016","85 of those 127 Proto-Munda etyma carry a Mon-Khmer Comparative Dictionary number and 100 carry a Pinnow number.","VERIFIED","SRC-064","JAMBU data/munda/rau_2019.csv fields mkcd_no and pinnow; measures EM-14, EM-15","2026-09-07","substrate (proposed)","This measures Rau citing Shorto and Pinnow. Neither Shorto nor Pinnow was retrieved, so it is not a measurement of the deeper Austroasiatic comparison itself.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-017","DravLex supplies a second sample of attested Dravidian: 20 varieties, 100 concepts, 778 cognate sets.","VERIFIED","SRC-067","lexibank/dravlex @ 3757807, cldf/languages.csv and cldf/cognates.csv; measures EM-04, EM-05","2026-09-07","substrate (proposed)","Basic-vocabulary cognacy coding. It is not independent support for any individual etymology and it reconstructs nothing.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-018","101 CDIAL entries carry an explicit statement from Turner that the origin is unknown, obscure, doubtful or non-Aryan.","VERIFIED","SRC-065","JAMBU data/cdial/params.csv; measure EM-18","2026-09-07","substrate (proposed)","Turner's residue within Indo-Aryan. It is not a Rigvedic residue, not Masica's Language X and not anyone's substrate list; it is a floor on unidentified vocabulary in one dictionary.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-019","No source retrieved in this session yields any measurable item for four of the eleven distinctions: proposed Dravidian substrate forms, Para-Munda, the Kubha-Vipas prefixing language, or Language X.","VERIFIED","SRC-068","05-HOLDS/HOLD-005-substrate-literature.md; measures EM-19 to EM-22 all read 0","2026-09-07","substrate (proposed)","Zero measured, not zero proposed. Typed under the negative-evidence standard as NOT ACCESSIBLE, the weakest form of absence. This row exists to stop a later reader treating the empty cells as findings.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
