"passage_id","stanza","addressee","poet_lineage","poet_lineage_basis","patron_candidates","opponent_candidates","roles_basis","description_same_pada","description_same_hemistich","description_elsewhere_in_stanza","agreeing_but_excluded","material","water","cattle","treasure","mountain","river_lemma_present","river_lemma_note","proposed_geography","geography_basis","arnold_stratum","source_id","retrieval_date","supports_page"
"PUR-P-001","01.011.04","Indra","1. group: hymns of Madhucchandas","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","(none)","(none)","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","N","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-002","01.033.13","Indra","2. group: hymns of Medhatithi","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","(none)","(none)","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","n","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-003","01.051.05","Indra","7. group: hymns of Savya","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","māyín-; nr̥máṇas-; r̥jíśvan-","pípru-","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","C","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-004","01.051.11","Indra","7. group: hymns of Savya","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","(none)","śúṣṇa-","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","apáḥ (áp-)","(none)","(none)","(none)","srótas-; áp-","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","C","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-005","01.053.07","Indra","7. group: hymns of Savya","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","māyín-; námī-","námuci-","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","yudhā́ (yúdh-) yúdham (yúdh-)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","C","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-006","01.053.08","Indra","7. group: hymns of Savya","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","r̥jíśvan-","kárañja-; parṇáya-; váṅgr̥da-","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","C","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-007","01.054.06","Indra","7. group: hymns of Savya","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","turváśa-; turvī́ti-; yádu-","(none)","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","(none)","(none)","(none)","(none)","(none)","(none)","dhána-","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","C","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-008","01.058.08","Agni","8. group: hymns of Nodhas, descendant of Gotama","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","(none)","(none)","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","ā́yasībhiḥ (āyasá-)","(none)","(none)","(none)","āyasá-","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","A","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-009","01.061.05","Indra","8. group: hymns of Nodhas, descendant of Gotama","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","(none)","(none)","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","A","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-010","01.063.02","Indra","8. group: hymns of Nodhas, descendant of Gotama","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","(none)","(none)","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","pūrvī́ḥ (purú-)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","A","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
