res_id,lemma,lemma_id,word_class,segmentation,retroflex_verdicts,formal_class,tokens,hymns,books,arnold_strata,majority_stratum,grassmann_gloss,source_id,retrieval_date,note
RES-001,√īḍ- ~ īḷ-,lemma_Iq_1824,root,ī ḍ,ḍ=UNCONDITIONED(no cluster source),F5-residue,97,81,"1:14,2:2,3:11,4:6,5:14,6:7,7:11,8:15,10:17","A:25,C:22,N:29,P:9,S:12",Normal,"anrufen, durch Lieder preisen, verehren",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-002,√mr̥ḍ-,lemma_mfq_6921,root,m r̥ ḍ,ḍ=UNCONDITIONED(no cluster source),F5-residue,77,56,"1:16,2:6,4:5,5:4,6:7,7:12,8:14,9:3,10:10","A:13,C:20,N:19,P:10,S:15",Cretic,"gnädig sein, grossmütig sein, sich erbarmen, verzeihen",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-003,tváṣṭar-,lemma_tvazwf_3992,nominal stem,t v a ṣ ṭ a r,ṣ=UNCONDITIONED(no RUKI trigger (after a)); ṭ=CONDITIONED(cluster after ṣ),F1-ṣṬ-cluster,65,58,"1:18,2:5,3:4,4:4,5:4,6:4,7:5,8:3,9:2,10:16","A:11,C:20,N:18,P:13,S:3",Cretic,"Name eines Gottes, des Schöpfers, Bildners lebendiger Wesen (indoar. *tvarś = aav. jav. ...)",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-004,káṇva-,lemma_kaRva_2390,nominal stem,k a ṇ v a,ṇ=UNCONDITIONED(no nati trigger),F5-residue,54,29,"1:24,8:28,10:2","A:7,C:1,N:6,S:40",Strophic,"Name einer mythischen Gestalt, des Stammvaters der Káṇvas; im Plur.: das káṇva-Geschlecht",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-005,íḍā- ~ íḷā-,lemma_iqA_1682,nominal stem,i ḍ ā,ḍ=UNCONDITIONED(no cluster source),F5-residue,53,49,"1:7,2:3,3:16,4:1,5:6,6:2,7:7,8:2,9:3,10:6","A:7,C:18,N:18,P:3,S:7",TIE,,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-006,paṇí-,lemma_paRi_5185,nominal stem,p a ṇ i,ṇ=UNCONDITIONED(no nati trigger),F5-residue,50,41,"1:9,2:1,3:1,4:3,5:2,6:12,7:3,8:6,9:2,10:11","A:13,C:11,N:9,P:10,S:7",Archaic,"Bezeichnung eines den Göttern feindlichen Dämons, des Oberhauptes der götterfeindlichen Gruppe der paṇáyas",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-007,mīḍhváṃs-,lemma_mIQvas_6864,nominal stem,m ī ḍh v a ṃ s,ḍh=UNCONDITIONED(no cluster source),F2-aspirated-retroflex,42,39,"1:8,2:3,3:1,4:3,5:2,6:1,7:8,8:7,9:6,10:3","A:11,C:5,N:9,P:3,S:14",Strophic,"reich spendend, huldreich, freigebig",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-008,gaṇá-,lemma_gaRa_2881,nominal stem,g a ṇ a,ṇ=UNCONDITIONED(no nati trigger),F5-residue,41,37,"1:8,2:1,3:3,4:2,5:11,6:3,7:3,8:2,9:2,10:6","A:9,C:9,N:14,P:3,S:6",Normal,"Schar, Reihe, Gefolge, Anhang, kleinere Heeresabteilung",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-009,ī́ḍya-,lemma_Iqya_1827,nominal stem,ī ḍ y a,ḍ=UNCONDITIONED(no cluster source),F5-residue,39,34,"1:5,2:1,3:9,4:3,5:1,6:6,7:1,8:7,9:1,10:5","A:9,C:8,N:11,P:3,S:8",Normal,zu preisen,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-010,jaṭhára-,lemma_jaWara_3384,nominal stem,j a ṭh a r a,ṭh=UNCONDITIONED(no cluster source),F5-residue,30,28,"1:3,2:2,3:7,5:1,6:2,8:1,9:9,10:5","A:3,C:6,N:15,P:1,S:5",Normal,"Bauch, Leib, Mutterleib, Schoss",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
