"candidate_id","candidate_class","p_number","designation","object_type","geological_source","analytical_provenance","workshop","manufacturing_tradition","exporter","intermediary","textual_provenance_label","findspot","findspot_precision","excavation_no","stratigraphic_level","museum_attribution","modern_custody","custody_as_of","acquisition_history","image_held_by_cdli","image_licence_status","cdli_material_attribution","cdli_period","primary_publication","status","source_id","locator","retrieval_date","notes"
"MC-R-0001","SAME-MINERAL-FAMILY (agate/chalcedony)","P124777","OrNS 16, 464","other (see object remarks)","","","","","","","","uncertain (mod. uncertain)","FINDSPOT UNCERTAIN (CDLI's own qualifier)","","","Schmidt 001","private: Schmidt, R., Solothurn Switzerland","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: agate","Ur III (ca. 2100-2000 BC)","OrNS 16, 464","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=124777, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0002","SAME-MINERAL-FAMILY (agate/chalcedony)","P212512","AJSL 21/3, p. 175","other (see object remarks)","","","","","","","","","NO FINDSPOT RECORDED","","","Morgan —","American Museum of Natural History, Washington, DC, USA","2022-08-21","","YES (600ppi 20160630)","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: agate ?","Old Akkadian (ca. 2340-2200 BC)","AJSL 21/3, p. 175","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=212512, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0003","SAME-MINERAL-FAMILY (agate/chalcedony)","P212923","Lenormant Choix 02","other (see object remarks)","","","","","","","","","NO FINDSPOT RECORDED","","","BM 089902","British Museum, London, UK","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: agate","Old Akkadian (ca. 2340-2200 BC)","Lenormant Choix 02","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=212923, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0004","CARNELIAN-ATTRIBUTED","P216655","RIME 2.01.04.08, ex. 01","tablet","","","","","","","","","NO FINDSPOT RECORDED","","","LB 0016a","de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, Holland","2022-08-21","","YES (600ppi 20160630)","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: carnelian","Old Akkadian (ca. 2340-2200 BC)","RIME 2.01.04.08, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=216655, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0005","CARNELIAN-ATTRIBUTED","P216656","RIME 2.01.04.08, ex. 02","tablet","","","","","","","","","NO FINDSPOT RECORDED","","","LB 0016b","de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, Holland","2022-08-21","","YES (600ppi 20160630)","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: carnelian","Old Akkadian (ca. 2340-2200 BC)","RIME 2.01.04.08, ex. 02","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=216656, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0006","LAPIS-ATTRIBUTED","P216737","CDLI Seals 001423 (physical)","seal (not impression)","","","","","","","","Umma (mod. Tell Jokha)","FINDSPOT NAMED","","","BM 012285","British Museum, London, UK","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: lapis lazuli","Old Akkadian (ca. 2340-2200 BC)","CDLI Seals 001423 (physical)","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=216737, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0007","SAME-MINERAL-FAMILY (agate/chalcedony)","P216759","CDLI Seals 001426 (physical)","seal (not impression)","","","","","","","","Uruk (mod. Warka) ?","FINDSPOT UNCERTAIN (CDLI's own qualifier)","","","AO 23309","Louvre Museum, Paris, France","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: agate","Old Akkadian (ca. 2340-2200 BC)","CDLI Seals 001426 (physical)","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=216759, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0008","LOOK-ALIKE-CONTROL","P216800","CDLI Seals 001428 (physical)","seal (not impression)","","","","","","","","","NO FINDSPOT RECORDED","","","BM 089147","British Museum, London, UK","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: jasper","Old Akkadian (ca. 2340-2200 BC)","CDLI Seals 001428 (physical)","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=216800, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0009","LAPIS-ATTRIBUTED","P216848","CDLI Seals 001435 (physical)","seal (not impression)","","","","","","","","","NO FINDSPOT RECORDED","","","OIM A00526","Oriental Institute, University of Chicago, Chicago, Illinois, USA","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: lapis lazuli","Old Akkadian (ca. 2340-2200 BC)","CDLI Seals 001435 (physical)","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=216848, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0010","LAPIS-ATTRIBUTED","P217331","CDLI Seals 001436 (physical)","seal (not impression)","","","","","","","","Ur (mod. Tell Muqayyar)","FINDSPOT NAMED","U 08988","","BM 120572","British Museum, London, UK","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: lapis lazuli","Old Akkadian (ca. 2340-2200 BC)","CDLI Seals 001436 (physical)","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=217331, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
