"claim_id","claim","status","source_id","locator","retrieval_date","supports_page","notes"
"MDO-001","The published page dasa-forts-rigveda.html carries verbatim, as a display pull quote: ""Whatever the ninety-nine forts were, they were not Mohenjo-daro. That city fell to a river, and it fell before anyone was writing about it.""","VERIFIED","SRC-099","melakeela/site @79efd74, dasa-forts-rigveda.html:420, element <p class=""pull"">","2026-09-08","dasa-forts-rigveda.html","THE PRIMARY OCCURRENCE, and the only one of the four in indexed, linked, published copy: the file sits at the repository root, is listed in sitemap.xml, and is linked from research-index.html and exhibits.html. File sha256 d741d10478260bc6e5786b5c2ae151828a3423dd523b1a4fd9bfc8f8e33e9183. Carries both breaches at once - the negative identification (BF-027) and the causal assertion (BF-028). This row corrects a limit CORRECTIONS-PENDING.md section 3.1 recorded honestly: that repository ""cannot confirm that dasa-forts-rigveda.html carries the sentence attributed to it"". It does, and the confirmation is a retrieval, not an argument."
"MDO-002","The unpublished prototype prototypes/a2-object.html carries the same sentence verbatim, line-wrapped across two source lines.","VERIFIED","SRC-099","melakeela/site @79efd74, prototypes/a2-object.html:226-227, element <p class=""pull"">","2026-09-08","dasa-forts-rigveda.html","Doctrine A applied to dasa-forts-rigveda.html. prototypes/README.md states the prototypes reuse ""the real text of an existing page, unedited in substance"". That is exactly what happened, and it is how one sentence became four: a copy operation propagated an unaudited claim into three further files without re-examining it. The prototype carries meta robots noindex,nofollow, is absent from sitemap.xml, and is excluded by no netlify.toml rule - so it is DEPLOYED and reachable by URL, while unindexed and unlinked. Not ""live"" in the linked sense; not private either."
"MDO-003","The unpublished prototype prototypes/b2-object.html carries the same sentence verbatim, line-wrapped across two source lines.","VERIFIED","SRC-099","melakeela/site @79efd74, prototypes/b2-object.html:232-233, element <p class=""pull"">","2026-09-08","dasa-forts-rigveda.html","Doctrine B applied to the same page. Publication state as MDO-002. Here the adjacent hedged prose at :237-239 sits inside a block captioned ""Established"" - a visual doctrine asserting evidentiary standing over text whose standing this unit finds unestablished. The doctrine is not the failure; that a doctrine has a slot called ""Established"" and nothing gates what enters it is a design finding, queued as RA-024."
"MDO-004","The unpublished prototype prototypes/c-semantic.html carries the same sentence verbatim, line-wrapped across two source lines.","VERIFIED","SRC-099","melakeela/site @79efd74, prototypes/c-semantic.html:285-286, element <p class=""pull"">","2026-09-08","dasa-forts-rigveda.html","The seventh prototype, which prototypes/README.md describes as treating the two doctrines ""as one system rather than as alternatives"". Publication state as MDO-002."
"MDO-005","The prose immediately above the pull quote on the published page states the same subject in hedged, attributive form: ""There is no destruction layer at Mohenjo-daro or Harappa. The collapse is associated with hydrological change - the Ghaggar-Hakra system drying, monsoon shifts - not with an attack.""","VERIFIED","SRC-099","melakeela/site @79efd74, dasa-forts-rigveda.html:417-418","2026-09-08","dasa-forts-rigveda.html","NOT REGISTERED AS A BREACH OF THE SAME KIND, and the contrast is the point. ""Is associated with"" is attributive, the causes are plural, and no single driver is named. Eleven words later the pull quote says ""fell to a river"". The page holds both standards and gives the weaker one display type. Logged as an internal contradiction at IC-F-001 and as the second limb of BF-028. Two things this row does not settle, because this unit retrieved no archaeological or palaeoclimate source: whether drying (a river failing) and ""fell to a river"" (a river acting) are the same mechanism, and whether the Ghaggar-Hakra system named here bears on Mohenjo-daro, which stands on the Indus in Sindh. Both are questions for the audit, not findings against the page."
"MDO-006","The chronology table on the published page sets ""Mature Harappan urbanism ... c. 2600-1900 BCE"" and ""Rigveda family books composed ... c. 1500-1200 BCE"" in adjacent rows of one undifferentiated column, with no source given for either and no mark of evidentiary class.","VERIFIED","SRC-099","melakeela/site @79efd74, dasa-forts-rigveda.html:409-412","2026-09-08","dasa-forts-rigveda.html","THE PREMISE THE NEGATIVE IDENTIFICATION RESTS ON, and the reason BF-027 is a method failure rather than a wording complaint. The first range is excavated and radiocarbon-anchored; the second is a philological inference and is the subject of constitution section 4A, an unrun domain. The page differences them to get ""three to four centuries"" and publishes the difference as a rule-out. No source is cited on the page for the c. 1500-1200 BCE date, and NO ROW IN 03-REGISTERS/ ASSERTS A DATE FOR THE RIGVEDA AT ANY STATUS - checked across every register in this repository. The load-bearing figure of the page is unregistered here and unsourced there."
"MDO-007","The published page restates the negative identification in body prose: ""Whatever was being stormed was in Indus country - but it was not the Indus cities.""","VERIFIED","SRC-099","melakeela/site @79efd74, dasa-forts-rigveda.html:432","2026-09-08","dasa-forts-rigveda.html","SIMILAR CLAIM, same page. Carries the first breach (BF-027) and not the second - no cause of decline is asserted. The surrounding sentence is markedly more careful than the pull quote: it concedes the geography (""the instinct that these forts sit in Indus country is geographically right"", :431), states the residual positively rather than by subtraction, and the paragraph closes ""No specific site has been identified with any named fort, and this platform does not name one."" Recorded so that any later repair keeps what is already right here."
"MDO-008","The candidate table on the published page rules out one candidate on an absence: ""Mature Harappan cities | The size fits | Ruled out by three to four centuries and by the absence of destruction layers.""","VERIFIED","SRC-099","melakeela/site @79efd74, dasa-forts-rigveda.html:450-451","2026-09-08","dasa-forts-rigveda.html","SIMILAR CLAIM, and a THIRD method issue this unit did not go looking for. ""The absence of destruction layers"" is an argument from absence used to rule out, and it is untyped: constitution section 6 requires what evidence should exist, where, probability of production, probability of survival, excavation coverage, accessibility, and ability to recognise it, before the absence is classified as NOT PRODUCED, NOT PRESERVED, NOT EXCAVATED, NOT PUBLISHED, NOT ACCESSIBLE, NOT RECOGNIZED, DOCUMENTED DESTRUCTION or ABSENT DESPITE ADEQUATE SEARCH. None of that is on the page. The same untyped absence appears at :417 and :432. Registered, not resolved; queued as RA-025."
"MDO-009","The published page carries the chronological half of the claim in its title and H1: <title>The Dasa Forts: Indus Country, But Centuries Too Late</title> and ""Ninety-nine forts, in Indus country, three centuries too late.""","VERIFIED","SRC-099","melakeela/site @79efd74, dasa-forts-rigveda.html:13 and :110","2026-09-08","dasa-forts-rigveda.html","SIMILAR CLAIM. It carries the same inferred-date dependency as BF-027 without the Mohenjo-daro identification. Distinguish carefully from prior work: CORRECTIONS-PENDING.md section 3.2.1 records, correctly, that the pur- stratum measurements CANNOT correct ""three centuries too late"", because they measure position within the Rigveda and this measures the Rigveda against Indus urbanism - ""a false conflict, recorded so it is not re-raised"". BF-027 does not re-raise it. BF-027 raises a different objection on the axis the headline is actually on: that the Rigveda end of the subtraction is inferred, unsourced and the subject of an unrun domain."
"MDO-010","The live page research-index.html republishes the headline as a link to the page, tagged ""under review"": ""Ninety-nine forts, in Indus country, three centuries too late."" with tooltip ""Under review - specific claims are being checked against their sources"".","VERIFIED","SRC-099","melakeela/site @79efd74, research-index.html:270, <li data-st=""checking"">","2026-09-08","research-index.html","SIMILAR CLAIM ON ANOTHER LIVE PAGE, and the best-behaved occurrence in the survey: the claim is republished with a standing marker that says exactly what is true of it. Recorded as the site's own working control - the mechanism for flagging an unverified claim exists and is in use."
