"withdrawal_id","phrase","withdrawn_by","superseded_by","why"
"W-001","Grassmann's dictionary defines","BF-017","DEP-026; SRC-089","The gloss column of the pinned corpus is the Zurich lemma-meaning column, not Grassmann's Worterbuch, which this repository has never retrieved."
"W-002","the Grassmann gloss","BF-017","DEP-026; SRC-089","Same. Permitted only inside a statement that is correcting the attribution."
"W-003","one nineteenth-century German lexicon","BF-017","DEP-026; SRC-089","Overstates the weakness of this unit's lexical results and understates the modern apparatus behind them."
"W-004","no token is broken, besieged, entered or held","BF-017","DJ-011; RA-020","False at RV 5.34.7, where Griffith, Geldner and Grassmann all render a fortified place people hold out in."
"W-005","nowhere describes construction technique","BF-017","DJ-009","Never measured. Withdrawn, and not to be reinstated as a genre argument supplying a production probability."
"W-006","brick technology turns on","BF-018","DJ-009","pakvá-/āmá- is a culinary pair. Its only application to a structure is RV 2.35.6."
"W-007","the fired/unfired opposition","BF-018","DJ-009","Same as W-006 where used of pakvá-/āmá- as construction vocabulary."
"W-008","act of building","BF-018","DJ-009; RA-021","A structurally guaranteed zero: the gloss column has no verb-root coverage, so no negative about an action is available from it."
"W-009","unfired BRICK","BF-018","DJ-013","'en briques' is Renou's bracketed supplement. The Sanskrit at RV 2.35.6 has no material word."
"W-010","supplies both words","BF-018","DJ-013","Renou supplies 'cite' in his own voice and 'briques' as a marked supplement. They are not two instances of the same thing."
"W-011","8 passages to 6","RA-019","DJ-015","The register gives 9 passages with a satá- count, 7 singular and 2 plural, against 6 for ninety-nine."
