"claim_id","register_file","screens","status","child_word","what_it_supplies","what_would_verify_it","notes"
"PUR-001","03-REGISTERS/rigveda-pur-family.csv","S-04","VERIFIED","FOUND","Corpus size: 164,758 tokens, 10,552 stanzas, 39,832 padas. The denominator the child is shown 103 against.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.",""
"PUR-003","03-REGISTERS/rigveda-pur-family.csv","S-02; S-08","VERIFIED","FOUND","83 simplex pur- tokens; the surface-form inventory behind the case counts on S-08.","NOT simply 'already VERIFIED'. RA-001 is OPEN against this row in 04-AUDITS/REAUDIT-QUEUE.csv: BF-002 showed the Zurich lemma layer files some entities under an unrelated citation form, which a lemma search cannot recover, and the pur- family membership is drawn from that layer. What would settle it is RA-001's own test - matching accent-stripped surfaces pur/pur/pur against the token table and typing the hits by hand, as the hydronym census does. The unit's padapatha recall check (PUR-010) found zero misses, so a large error is unlikely, but 'already VERIFIED' is the one thing this row is not while RA-001 stands.",""
"PUR-004","03-REGISTERS/rigveda-pur-family.csv","S-06","VERIFIED","FOUND","The six further pur- lemmas. Supplies purbhid- 'wall-breaker', the Indra epithet in the river verse at S-06.","NOT simply 'already VERIFIED'. RA-001 is OPEN against this row in 04-AUDITS/REAUDIT-QUEUE.csv: BF-002 showed the Zurich lemma layer files some entities under an unrelated citation form, which a lemma search cannot recover, and the pur- family membership is drawn from that layer. What would settle it is RA-001's own test - matching accent-stripped surfaces pur/pur/pur against the token table and typing the hits by hand, as the hydronym census does. The unit's padapatha recall check (PUR-010) found zero misses, so a large error is unlikely, but 'already VERIFIED' is the one thing this row is not while RA-001 stands.",""
"PUR-005","03-REGISTERS/rigveda-pur-family.csv","S-04; S-07; S-09","VERIFIED","FOUND","106 tokens in 104 padas, 103 stanzas, 86 hymns. The 103 is the row unit of every count the child handles.","NOT simply 'already VERIFIED'. RA-001 is OPEN against this row in 04-AUDITS/REAUDIT-QUEUE.csv: BF-002 showed the Zurich lemma layer files some entities under an unrelated citation form, which a lemma search cannot recover, and the pur- family membership is drawn from that layer. What would settle it is RA-001's own test - matching accent-stripped surfaces pur/pur/pur against the token table and typing the hits by hand, as the hydronym census does. The unit's padapatha recall check (PUR-010) found zero misses, so a large error is unlikely, but 'already VERIFIED' is the one thing this row is not while RA-001 stands.","Row unit is D-044, OPEN. If the owner fixes a unit other than the stanza, every count on S-04 and S-07 changes. Gate G-03."
"PUR-009","03-REGISTERS/rigveda-pur-family.csv","S-01","VERIFIED","FOUND","The padapatha writes 160 tokens as bare purah or pura; the Zurich lemma layer resolves 48 as pur- and 112 as the invariables. The 'but they do not always agree' card at S-01.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.","ADDED ON ADVERSARIAL REVIEW. S-01 originally told the child the ancient and modern word-splits 'never disagreed, not once', citing PUR-010 - which is a one-directional recall check on six UNAMBIGUOUS forms. This row is the other half: the ancient analysis cannot decide 160 cases, because at those points it is unaccented and under-determines. Both are now on the screen."
"PUR-010","03-REGISTERS/rigveda-pur-family.csv","S-01","VERIFIED","FOUND","Zero misses when the ancient Sakalya word-split is tested against the modern lemmatisation across all 10,552 stanzas. The 'two people hundreds of years apart agree' card.","Already VERIFIED, and narrower than it reads. It is a ONE-DIRECTIONAL recall check on six unambiguous surface forms: no stanza whose padapatha shows one of them lacks a pur- lemma token. It does NOT establish that the two analyses agree in general - PUR-009 records that the padapatha writes 160 tokens as bare purah/pura and 'under-determines the analysis'. A child-facing screen stating that the two never disagree overstates it, and S-01 was rewritten under review for exactly that.",""
"PUR-011","03-REGISTERS/rigveda-pur-family.csv","S-09","VERIFIED","FOUND","Arnold's five period letters and what they mean, verified against Arnold's own text rather than inferred; and the italic/roman distinction VedaWeb encodes as case. Supplies the stratum_certainty flag the S-09 counters must carry.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.","14 of the 106 occurrence rows are metrical-variations-only, Arnold's lower-confidence assignment. An S-09 counter shown without that flag overstates the evidence. Part of gate G-03's check."
"PUR-013","03-REGISTERS/rigveda-pur-family.csv","S-09","VERIFIED","FOUND","strata.json is Arnold 1905, compiled by Gunkel and Ryan. The reason the S-09 banner says 'one man's idea, from 1905'.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.","Establishes the strata layer as a SINGLE source (DEP-001). It is why PUR-026 cannot rise above PROVISIONAL and why no re-run of strata.json can test PUR-028."
"PUR-014","03-REGISTERS/rigveda-pur-family.csv","S-09","VERIFIED","FOUND","Family by Arnold stratum: Archaic 31, Strophic 32, Normal 17, Cretic 23, Popular 3.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.","The measurement is VERIFIED; reading it as chronology is not. See PUR-028."
"PUR-016","03-REGISTERS/rigveda-pur-family.csv","S-09","VERIFIED","FOUND","The corpus baseline by stratum. Without it the S-09 table is uninterpretable and must not be shown.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.",""
