"claim_id","claim","status","source_id","locator","retrieval_date","supports_page","notes"
"DK-R-001","The pinned Rigveda carries 164,758 tokens and 10,031 distinct Zurich lemmas. 98.5% of the tokens and 97.0% of the lemmas carry a Grassmann gloss, so a gloss-based search of the lexicon is blind to 296 lemmas.","VERIFIED","SRC-106; SRC-107","VedaWeb @ d3eb8af, Zurich token layer via 04-AUDITS/rv-token-extract.py, glosses from rigveda/info/matched_lemmata.json; counted by 04-AUDITS/rv-writing-lexicon-scan.py","2026-09-09","the-script-they-didnt-read","The token total reproduces PUR-001 and VAR-002 exactly, which is the check that this unit's extraction is the same extraction earlier units used. The 3.0% blind spot is stated because the negative results below are only as good as the coverage."
"DK-R-002","Twenty-five of the 63 candidate lookups return ABSENT from the Rigveda's lemma inventory. They are 24 distinct query strings - likh was queried twice, as a nominal stem and as a root - and 22 distinct stems, since pattra and patra are one stem written two ways and so are mudra and mudrā. Seventeen belong to the later Sanskrit vocabulary of writing and sealing: likh, lekha, lekhaka, lipi, libi, grantha, pattra, pustaka, phalaka, masi, kalama, mudrā, aṅkana, cihna, lāñchana, lakṣman and lakṣaṇa. Five more are the reckoning and incising stems saṃkhyā, tulā, the root gaṇ-, the root paṇ- and the root vraśc-.","VERIFIED","SRC-106; SRC-107","04-AUDITS/rv-writing-lexicon-scan.py, Search A; full table at 03-REGISTERS/domain-k-rigveda-writing-candidates.csv","2026-09-09","the-script-they-didnt-read","Absence in the Zurich lemma inventory of the pinned corpus, which is what was measured. Controls in the same run return 543 tokens for gáv- ~ gó-, 471 for rátha- and 83 for púr-, so the lookup is working. The 'go' and 'gav' controls exist because the Zurich lemma for cow is the alternation 'gáv- ~ gó-', which a lookup that does not split alternants would miss entirely; both return 543 tokens, so the splitting works. WITHDRAWN on second-round review: earlier versions of this note and of the method note said the 'go' control had been left in its failing form and returned nothing. That was false - the file shows 543 - and it was the sentence the unit used to show its negatives were instrumented. The 63 lookups and their results are in 03-REGISTERS/domain-k-rigveda-writing-candidates.csv. Three counts are given because they differ and a reader recounting the file will get the first: 25 ABSENT rows, 24 distinct queries, 22 distinct stems."
"DK-R-003","A scan of every glossed lemma in the corpus for the German and Latin vocabulary of writing returns five lemmas, and all five are false positives of German morphology: bharádvāja- through 'zugeschrieben' (ascribed), and pradíś-, praśíṣ-, śāstrá- and vratanī́- through 'Vorschrift' (prescription). No lemma in the Rigveda is glossed with schreiben, Schrift, Buchstabe, Urkunde, Griffel, Tafel, scribere or littera.","VERIFIED","SRC-106; SRC-107","04-AUDITS/rv-writing-lexicon-scan.py, Search B, WRITING field; adjudicated table at 04-AUDITS/domain-k-glossscan.csv","2026-09-09","the-script-they-didnt-read","This is the measurement behind the domain's central absence, and it is a measurement of Grassmann's glosses on a 97%-covered lexicon, not of the language. Typed in 03-REGISTERS/domain-k-absences.csv as ABSENT DESPITE ADEQUATE SEARCH for the writing field of the Rigvedic lexicon, and that type is defended there rather than assumed."
"DK-R-004","The same scan for the vocabulary of sealing - Siegel, Stempel, Abdruck, prägen, sigillum - returns nothing at all: not one lemma in the corpus, true or false positive.","VERIFIED","SRC-106; SRC-107","04-AUDITS/rv-writing-lexicon-scan.py, Search B, SEAL field","2026-09-09","the-script-they-didnt-read","A zero with no false positives either, which is rarer than it sounds: the other three fields all produced noise. Nothing in the glossed Rigvedic lexicon denotes a seal, a stamp or an impression."
"DK-R-005","The scan of the marking and incising fields returns ten adjudicated true hits: nā́man- 'name, distinguishing mark' (117 tokens), ketú- 'appearance, distinguishing mark, light' (82), śréṇi- 'row, line, troop' (6), yakṣá- 'apparition, portent' (4), sálakṣman- 'having the same mark' (2), √rikh- 'ritzen, to scratch' (2), √akṣ- 1 'kennzeichnen, Ohrenmarken einstechen' (1), tryàruṣa- 'marked with red in three places' (1), aṣṭakarṇá- 'with marked ears' (1) and lakṣmī́- 'auspicious sign' (1); and 124 false positives, every one printed with its reason.","VERIFIED","SRC-106; SRC-107","04-AUDITS/rv-writing-lexicon-scan.py, Search B, MARK and INCISE fields; 04-AUDITS/domain-k-glossscan.csv","2026-09-09","the-script-they-didnt-read","So the Rigveda is not without a vocabulary of marking. It has one. The question §4.K asks is what that vocabulary marks, which is DK-R-006 to DK-R-012 and not this row. The false-positive rate in these two fields, 124 of 134, is why an unadjudicated gloss scan is worthless: substring matching on 'zeichn' catches every occurrence of 'ausgezeichnet', excellent, and Grassmann's own metalanguage - 'Bezeichnung eines Volkes' - accounts for 83 of the 124 by itself. Across all five fields the scan is 28 true and 142 false; the WEIGHT field was added after adversarial review and is reported at DK-R-016."
"DK-R-006","√likh- is absent from the Rigveda, but √rikh-, glossed by Grassmann exactly 'ritzen', to scratch or incise, is attested twice, both in one hymn: RV 6.53.7a and 6.53.8d.","VERIFIED","SRC-106; SRC-107","04-AUDITS/rv-writing-lexicon-scan.py, Search B, INCISE field; occurrences DK-OCC-039 and DK-OCC-040 in 03-REGISTERS/domain-k-rigveda-marking-occurrences.csv, lemma √rikh-, stanzas 06.053.07 and 06.053.08","2026-09-09","the-script-they-didnt-read","A candidate list built from Classical Sanskrit would have recorded 'the root that means write is absent' and stopped. The gloss scan found the Rigvedic form of the same root family, present and glossed as incising. This row exists because the difference between those two statements is the difference between a measurement and a mistake."
"DK-R-007","Both occurrences of √rikh- have Pūṣan as agent and the heart as object. At 6.53.8 the instrument is an ā́rā, an awl or goad, and the object is 'the heart of every one'; Geldner renders 'mit dem ritze, kratze das Herz eines jeden auf'.","VERIFIED","SRC-072; SRC-073; SRC-106","RV 6.53.7-8; padapatha 'tayā | samasya | hr̥dayam | ā | rikha | kikirā | kr̥ṇu'; Griffith 1890 and Geldner 1951 ad loc.; DK-OCC-039, DK-OCC-040","2026-09-09","the-script-they-didnt-read","The corpus's only incising verb incises a body, with a leather-worker's or driver's tool, in a hymn asking Pūṣan to make the stingy generous. No surface, no sign, no reader."
"DK-R-008","akṣára-, the word that in later Sanskrit denotes a written character, occurs 8 times in the Rigveda. In all eight both translators render a syllable, an utterance or the imperishable: the syllable that measures the metres (1.164.24, 10.13.3), the syllable of the r̥c in the highest heaven on which the gods are seated (1.164.39), and the imperishable flow (1.164.42, 3.55.1, 6.16.35, 7.1.14, 1.34.4). The distinct lemma ákṣarā-, glossed 'die Rede', speech, occurs a further 3 times.","VERIFIED","SRC-072; SRC-073; SRC-106; SRC-107","all 11 occurrences listed as DK-OCC-222 to DK-OCC-232 in 03-REGISTERS/domain-k-rigveda-marking-occurrences.csv - akṣára- at DK-OCC-222 to DK-OCC-229 and ákṣarā- at DK-OCC-230 to DK-OCC-232 - each with Griffith 1890 and Geldner 1951; translation block at 06-BRIEFS/domain-k-translation-blocks.md §1","2026-09-09","the-script-they-didnt-read","This is the direct answer to §4.K's question whether relevant terminology may be unrecognised. It is present and it is not unrecognised: the term that later names a written sign names here a unit of chanted speech. Nothing in the eight passages is a written character, and nothing in them excludes one either - the word simply is not doing that work."
"DK-R-009","√takṣ-, the corpus's ordinary verb of fashioning and hewing, occurs 78 times. Scanned through the Griffith renderings with the patterns recorded in 04-AUDITS/rv-marking-tallies.py, its passages mention hymns, songs or prayers 22 times, a chariot or car 20, a horse 14, heaven or earth 12, wood, a tree or a post 7, the thunderbolt 6, a cup or vessel 5. One passage, RV 1.162.6, matches a carving pattern, and it is carpenters carving the knob of the sacrificial horse-post. None has anyone cutting a sign into anything.","VERIFIED","SRC-072; SRC-073; SRC-106","78 occurrences DK-OCC-041 to DK-OCC-118 in 03-REGISTERS/domain-k-rigveda-marking-occurrences.csv; tallies and their exact regular expressions reproduced by 04-AUDITS/rv-marking-tallies.py","2026-09-09","the-script-they-didnt-read","The tallies are a coarse instrument over one English translation and the categories overlap, so the columns do not sum to 78. The patterns are in the script because the first version of this row quoted numbers whose keyword lists existed only in the session that ran them, and a reader reconstructing them got different figures. What the row asserts is the negative, and the negative was checked against both translations at DK-R-012."
"DK-R-010","√piś-, 'aushauen, zurechtschneiden, bilden, formen, schmücken', occurs 21 times: decking heaven with stars (1.68.10, 10.68.11), forming a cow from a hide (1.110.8, 4.33.4), shaping cups (3.60.2), adorning bodies and weapons (2.33.9, 5.60.4, 7.57.3), trimming flesh on a carving-board (1.161.10), shaping the womb (10.184.1).","VERIFIED","SRC-072; SRC-073; SRC-106","21 occurrences DK-OCC-018 to DK-OCC-038 in 03-REGISTERS/domain-k-rigveda-marking-occurrences.csv, lemma √piś-; category tallies in 04-AUDITS/rv-marking-tallies.py","2026-09-09","the-script-they-didnt-read","The shaping and adorning verb shapes skies, bodies, animals and vessels. As with √takṣ-, no graphic sign is among its objects in this corpus."
