"geo_id","family","quantity","value","nearest_lect","clade"
"GEO-DR-01","Dravidian","attested lects with coordinates","47","",""
"GEO-DR-02","Dravidian","longitude envelope (degrees E)","66.56..87.64","",""
"GEO-DR-03","Dravidian","latitude envelope (degrees N)","9.59..29.04","",""
"GEO-DR-04","Dravidian","great-circle km from the nearest attested member to the nearest northwestern lect","393","Brahui","Brahui"
"GEO-DR-05","Dravidian","same, with the single nearest member removed","1055","Kolami","C. Dravidian"
"GEO-DR-06","Dravidian","five nearest members (km)","Brahui 393; Kolami 1055; Naikri 1092; Naiki (Chanda) 1129; Gondi 1197","",""
"GEO-MU-01","Munda","attested lects with coordinates","20","",""
"GEO-MU-02","Munda","longitude envelope (degrees E)","77.55..88.34","",""
"GEO-MU-03","Munda","latitude envelope (degrees N)","18.39..25.04","",""
"GEO-MU-04","Munda","great-circle km from the nearest attested member to the nearest northwestern lect","855","Korku","Munda"
"GEO-MU-05","Munda","same, with the single nearest member removed","1093","Korwa","Munda"
"GEO-MU-06","Munda","five nearest members (km)","Korku 855; Korwa 1093; Birhor 1215; Kharia 1218; Asuri 1221","",""
