"claim_id","claim","status","source_id","locator","retrieval_date","supports_page","notes"
"DMI-001","On the Dravidian Etymological Dictionary - a family-wide comparative instrument, not a hundred-concept wordlist - the two nodes of North Dravidian behave very differently. The Kurux-Malto node is supported at 176 exclusive etymologies against a null expectation of 0.71. The node that attaches Brahui is supported at 7 exclusive etymologies against a null expectation of 0.00. Both exceed chance; they differ by a factor of twenty-five in absolute terms while Kurux and Malto have only about 2.8 times Brahui's attestation.","PROVISIONAL","SRC-059","03-REGISTERS/domain-m-measurements.csv DMM-002, DMM-003, DMM-004; 04-AUDITS/domain-m-dedr-north-dravidian.py","2026-09-07","","PROVISIONAL because it inherits a single framework: the comparative method as applied by Burrow and Emeneau, whose cognate judgements are the only thing being counted. It is a measurement of one tradition's output, not of Dravidian. WHICH MODELS IT BEARS ON: none of the six. Subgrouping and history are separate questions - a clade can arise by long-term survival, by migration, by fragmentation or by adoption, and this row does not choose. What it does is close half of PR #16's open question in a direction PR #16 could not reach: the upper node is not lexically empty, it is lexically thin."
"DMI-002","The Kurux-Malto result cannot distinguish common descent from prolonged contact. Kurux and Malto are spoken in adjacent regions of eastern India, and exclusive lexical sharing is what both a recent common ancestor and a long period of neighbouring contact produce. The measurement establishes that the 176 sets are not an artefact of attestation frequency; it does not establish that they are inherited.","PROVISIONAL","SRC-059","DMM-002; the geographic adjacency is not measured in this unit and is stated from the languages' attested locations as recorded at SRC-050","2026-09-07","","Constitution §5 step 10: every link between language, ancestry, culture and identity is a separate claim. So is every link between shared vocabulary and shared descent. The one retrieved source that supplies what would separate them is DMM-010, Kobayashi and Tirkey on shared past stem formation, agreement and case suffixes - shared inflectional morphology being much harder to borrow than vocabulary. That is why DMM-010 matters more for the lower node than DMM-002 does, despite being an abstract with no page locator and DMM-002 being a measurement. WHICH MODELS IT BEARS ON: it is the reason DMG-4 (dialect networks then fragmentation) cannot be gated out by DMM-002."
"DMI-003","Brahui's membership of the Dravidian family, as recorded in DEDR, does not rest on the North Dravidian node. 260 of Brahui's 269 DEDR etymologies reach at least one Dravidian language outside Brahui, Kurux and Malto; 9 do not. Whatever is decided about the upper node, it is not what makes Brahui Dravidian in this dictionary.","PROVISIONAL","SRC-059","DMM-005; 04-AUDITS/domain-m-dedr-north-dravidian.py north_dravidian.brahui_entries_outside_north","2026-09-07","","This is the most consequential interpretation in the unit and it needs both halves stated. It removes a confusion that has run through the inherited record - that doubting the North Dravidian subgroup is a step toward doubting that Brahui is Dravidian. On this instrument the two questions are almost entirely disjoint. It is corroborated from the literature by DMM-012, where McAlpin states that no serious scholar denies the genetic connection and that the problem is in the details. WHICH MODELS IT BEARS ON: none of the six. All six presuppose that Brahui is Dravidian; they differ about how it got to Balochistan, which this row does not touch."
"DMI-004","The null model used here is deliberately naive and its limits are part of the result. Curveball randomisation holds each entry's size and each language's total attestation fixed, so it removes the possibility that an exclusive-sharing count is an artefact of how well a language happens to be attested. It does not model geography, subgrouping, borrowing, or the non-independence of entries, and it treats entries as exchangeable when in reality the whole matrix is structured by descent and contact. A p-value from it should be read as 'more than the margins force', not as 'therefore inherited'.","VERIFIED","SRC-059","04-AUDITS/domain-m-dedr-north-dravidian.py, curveball() and permutation_test(); 2,000 draws, 100,000 swaps per draw, seed 20260907; the minimum attainable p at 2,000 draws is 1/2001 = 0.0005 and three statistics hit that floor","2026-09-07","","VERIFIED rather than PROVISIONAL because it is a statement about a procedure in this repository, checkable by reading and re-running the script, not an inherited framework. The floor matters: three results are reported at p = 0.0005 and that is the smallest number the test can produce, so it means 'never reached in 2,000 draws', not 'exactly this probability'. Recording the limits of one's own instrument is the control that BF-005 was raised for in PR #16."
"DMI-005","The instrument is not independent of the question it is being used on. DEDR is Burrow and Emeneau; Emeneau also wrote the standard comparative treatment of Brahui; and Emeneau states that his own Brahui material came from Bray's publications of 1909 and 1934 plus no more than eight hours of contact with Brahui speakers in 1936. Whether a Brahui word appears in DEDR at all is Burrow and Emeneau's judgement that it is cognate. So DMM-001 to DMM-005 measure how one pair of scholars distributed one earlier scholar's Brahui lexicon across the family.","PROVISIONAL","SRC-071","DMM-021, DEP-011; Emeneau 1997 opening paragraph as returned by SRC-053","2026-09-07","","This cuts in a direction worth naming, because it is the opposite of the usual worry. A dictionary compiled by the author of the Brahui comparative grammar would be expected to include Brahui generously, not sparingly. It includes Brahui in 269 of 5,520 entries and puts only 9 of those inside North Dravidian. A thin result from a favourably disposed instrument is worth more than a thin result from a neutral one - which is an argument for taking DMM-004 slightly more seriously, not less. The same reasoning was applied to Glottolog and DravLex in PR #16 (DEP-008)."
"DMI-006","This unit is not an independent replication of PR #16. DravLex, which PR #16 measured, and DEDR, which this unit measures, both descend from the Burrow and Emeneau cognate judgements. Agreement between them is expected and is not corroboration.","VERIFIED","SRC-059","DEP-012, DEP-015; DEP-009 already recorded DravLex's dependence on Burrow and Emeneau 1961","2026-09-07","","Stated so that the two results are read as one tradition applied at two scales. The scales do differ in a way that matters: 100 concepts against 5,520 entries, and a wordlist chosen for basic vocabulary against a dictionary built to record everything the compilers judged cognate. That is why DEDR can find 7 exclusive Brahui-Kurux-Malto etymologies where DravLex found 2, and why only DEDR is large enough to support a permutation test at all. It is a better reading of the same source, not a second source."
"DMI-007","The chronology of Balochi expansion, as the retrievable record stands after this session, is thin, hedged, and mostly political rather than linguistic. The one linguist-authored date frame is a 500-year window offered as what is 'generally thought' (DMM-014). The one precise chronology is a regnal one for a tribal confederacy in the fifteenth and sixteenth centuries (DMM-015). Historians working within Baloch historiography state that the pre-modern documentary record is too sporadic to build a chronology from (DMM-022). The historical grammar that would date the loan strata was not read (DMM-016).","PROVISIONAL","SRC-060","DMM-014, DMM-015, DMM-016, DMM-022; and 03-REGISTERS/domain-m-balochi-chronology.csv, which lists every dated statement retrieved with what each actually dates","2026-09-07","","The owner asked for a reachable dated source on Balochi expansion chronology. One was reached and it is DMM-014; the outcome is logged either way, and the honest form of the outcome is that a date frame exists in the field and its evidentiary basis was not retrieved. WHICH MODELS IT BEARS ON: it constrains the Iranian layer, which is the layer every model has to accommodate, and it discriminates among NONE of the six. A Balochi arrival between 1000 and 1500 AD is compatible with Brahui having been there for millennia, with Brahui having arrived alongside it, and with Brahui having arrived after it."
"DMI-008","The Balochi loan stratum in Brahui is not measurable from anything retrieved in this session, and the reason is a property of the encoding rather than of the sources. The DEDR re-encoding carries form and gloss fields only, not headnotes or etymological discussion, so it contains no loanword annotation and names Balochi nowhere. The Indo-Aryan side is measurable only at the point where Turner's dictionary cross-references DEDR, which is 12 touchpoints on Brahui-bearing entries out of 604 cross-references. Korn 2005, the work that describes the strata, was not read.","PROVISIONAL","SRC-059","DMM-008, DMM-009, DMM-016; grep for baloch/baluch across data/dedr/dedr.csv, data/dedr/params.csv and cldf/entry-texts.csv returns 0 lines","2026-09-07","","Typed absences, kept apart because they are different types. For the Balochi stratum in DEDR: NOT PRODUCED - the encoding does not generate evidence of this kind, and DEDR itself would say more. For Korn 2005 and Elfenbein 1998: NOT ACCESSIBLE. For Brahui in CDIAL: ABSENT DESPITE ADEQUATE SEARCH, bounded to that dictionary (DMM-009). Under the negative-evidence standard none of the three is a finding about contact. HOLD-005."
"DMI-009","The two population-genetic results retrieved bear on speaker ancestry and on nothing else. That the Brahui show no signal of Oraon-related ancestry, and that they cluster with their Baloch and other Pakistani neighbours rather than with southern Dravidian-speaking populations, are statements about genomes. They do not date Brahui, do not place it in a subgroup, and do not adjudicate among the six models.","PROVISIONAL","SRC-069","DMM-020; and the clustering result at SRC-054, Mohyuddin et al. 2002, Tissue Antigens 59(6) 492-501, DOI 10.1034/j.1399-0039.2002.590606.x, Discussion section, retrieved as full text: 'the Baloch (non-Dravidian) and Brahui (Dravidian) cluster together, providing further support for the observation that languages and genes do not correlate in microgeographic studies'","2026-09-07","","The clearest statement of the four-histories rule retrieved in this unit comes from a population-genetics paper stating it against its own subject matter. It is quoted rather than paraphrased for that reason. The pull to use DMM-020 was real and specific - a genetic null between Brahui and Kurukh speakers looks like support for DMM-004's lexical null - and taking it would have been the failure logged at BF-008. Two nulls in two different histories are not one result twice."
"DMI-010","None of the measurements in this unit discriminates among the six models at constitution §4.M, and the reasons differ by measurement. The DEDR subgrouping results (DMM-002 to DMM-005) bear on the shape of the family tree, and every one of the six models is compatible with any tree, because a subgroup can be produced by survival, by migration, by fragmentation or by adoption. The Balochi chronology (DMM-014, DMM-015) dates the Iranian layer, which all six must accommodate equally. The contact-layer material (DMM-016, DMM-019) describes a profile that any model involving long contact predicts. The genetic results (DMM-020) are in a different history altogether.","PROVISIONAL","SRC-059","03-REGISTERS/domain-m-model-gates.csv DMG-1 to DMG-6, each of which records the same finding from the model's side; 03-REGISTERS/domain-m-measurements.csv throughout","2026-09-07","","This is the row the owner's instruction most directly asks for and it is stated as a negative because that is what the evidence supports. Two qualifications keep it from being empty. DMM-005 is the nearest thing to a discriminating measurement, because 260 of 269 Brahui etymologies reaching outside North Dravidian is what an early divergence looks like - and it is equally what heavy contact replacement looks like, which is DMB-022's warning at a larger scale. And DMG-4 is the model best served by the retrieved record (DMM-010, DMM-011), which is a reason to gate it properly when sources arrive, not to advance it now. No model was closed by this unit and none was allowed to be."
"DMI-011","What was spoken in Balochistan before the Iranian layer remains unknown, and nothing in this unit narrows it. Brahui is the only Dravidian language attested there. The measurements bear on Brahui's relationship to other Dravidian languages, not on what else was spoken around it, and no evidence was retrieved about any non-Dravidian, non-Iranian, non-Indo-Aryan speech in the region at any period.","VERIFIED","SRC-058","Constitution §4.M, 'Unknown ancient Balochistan speech zones must remain visible'; no source retrieved in this unit addresses them; typed NOT RECOGNIZED and NOT EXCAVATED","2026-09-07","","VERIFIED as a statement about the state of this repository, which is checkable. It is written as its own row rather than as a caveat so that it cannot be dropped when this material is summarised. The typing matters: the absence is not that the evidence was sought and found missing, but that ancient Balochistan's linguistic landscape is not the kind of thing the retrieved instruments record at all. That a proposal exists to populate that zone - McAlpin's Elamo-Dravidian programme, already on this repository's record at DMB-024 - is noted, not gated, and is not treated as filling it. The 2022 restatement of it is cited nowhere in any register: it appeared in a community-hosted journal and is held at ledger level under D-041."
"DMI-012","The retrievable record on this domain is asymmetric in a way that shapes what any investigation of it can conclude. Two questions posed in strictly linguistic terms returned population genetics as the plurality of full-text matches (DMM-018). The standard Indo-Aryan comparative dictionary names Brahui once in 159,756 lines (DMM-009). The Brahui data underlying the standard Dravidian etymological record is one scholar's publications plus eight hours of fieldwork (DMM-021). The community-authored Brahui scholarship that exists is indexed but its publisher is unreachable (SRC-058, D-039).","VERIFIED","SRC-054","DMM-009, DMM-018, DMM-021; SRC-058; constitution §5 step 6, the archive audit","2026-09-07","","Step 6 asks who created the surviving record and what was unlikely to be recorded. The answer here is that Brahui is heavily sampled as a POPULATION and thinly documented as a LANGUAGE, and that the documentation which does exist descends from a very small amount of contact with speakers. That asymmetry is not neutral: it makes genetic answers easy to retrieve and linguistic answers hard, on a question the constitution says genetics cannot settle. It is also the concrete form of the §4.M trap - living people used as linguistic fossils - as a feature of the archive rather than of any one analyst."
