"claim_id","claim","status","source_id","locator","retrieval_date","supports_page","notes"
"PUR-001","The VedaWeb Zurich token layer of the Rigveda contains 164,758 tokens distributed over 10,552 stanzas and 39,832 padas.","VERIFIED","SRC-019; SRC-022","vedaweb-data @ d3eb8af, rigveda/TEI/rv_book_01..10.tei, source=""zurich"" token layer; extracted by 04-AUDITS/rv-token-extract.py","2026-09-07","forts (proposed); the-killed.html","Count is of the extraction output rv_tokens_vedaweb.tsv. 39,832 padas here against 39,833 in strata.json: padas 01.088.01e and 08.004.21b carry a stratum code but no zurich tokens, while 08.004.21d carries zurich tokens but no stratum code."
"PUR-002","Every one of those 164,758 tokens carries a lemma in the Zurich annotation; 164,755 also carry an Arnold stratum code.","VERIFIED","SRC-019; SRC-022; SRC-023","same extraction; f name=""gra_lemma"" per token, f name=""strata"" per pada","2026-09-07","forts (proposed)","The 3 tokens without a stratum are asvam, bhajanta and mehana in pada 08.004.21d, which is absent from strata.json."
"PUR-003","The Zurich annotation assigns the lemma pur- (Grassmann id lemma_pur_5549, glossed 'Wall aus Steinen und Lehm, Verschanzung, Palisade') to exactly 83 tokens of the Rigveda.","VERIFIED","SRC-019; SRC-022","lemma_id=lemma_pur_5549 across rv_book_01..10.tei; all 83 listed individually in 03-REGISTERS/rigveda-pur-family-occurrences.csv","2026-09-07","forts (proposed); the-killed.html","Surface forms: puraḥ 45 (ACC.PL) + 2 (NOM.PL), puram 11, purām 9+1, pūrbhiḥ 6, pūḥ 5, puri 2, purā 1, pūrṣu 1."
"PUR-004","Six further lemmas in the corpus are built on pur-: puraṃdara- 11 tokens, pūrbhid- 8 (including the superlative pūrbhittama-), pūrbhidya- 1, pūrpati- 1, purohan- 1, purya- 1.","VERIFIED","SRC-019; SRC-022","lemma_ids lemma_puraMdara_5552, lemma_pUrBid_5700, lemma_pUrBidya_5701, lemma_pUrpati_5699, lemma_purohan_5658, lemma_purya_5661; occurrences PUR-OCC-001..106","2026-09-07","forts (proposed)","Membership follows Grassmann's gloss for each lemma: 'Zerstoerer der Waelle', 'die Waelle aufbrechend', 'das Aufbrechen der Waelle', 'Herr der Burg', 'die Waelle zerschlagend', 'in einem festen Platz befindlich'. pūrbhittama- carries its own Zurich lemma string but the same Grassmann id as pūrbhid-. purohan- is the least secure member: its analysis could also be puraḥ 'in front' + √han. It is kept because at its only occurrence, RV 6.32.3c, it stands immediately after púraḥ (púraḥ purohā́) and the next pada reads dṛḷhā́ḥ ruroja 'he broke the strongholds', which fixes the sense in context."
"PUR-005","The pur- family as defined in PUR-003 and PUR-004 totals 106 tokens, in 104 padas, 103 stanzas and 86 hymns.","VERIFIED","SRC-019; SRC-022","03-REGISTERS/rigveda-pur-family-occurrences.csv, 106 rows","2026-09-07","forts (proposed)","104 padas rather than 106 because two padas each carry two family tokens: RV 1.53.7b purā́ púram, and RV 6.32.3c púraḥ purohā́."
"PUR-006","A scan of the Grassmann gloss of every lemma occurring in the corpus for the terms Burg, Wall, Verschanzung, Palisade, Festung and fest returns no pur- formation beyond the seven lemmas in PUR-003 and PUR-004.","VERIFIED","SRC-019; SRC-022","rigveda/info/matched_lemmata.json, meaning field, intersected with the lemma inventory of rv_tokens_vedaweb.tsv","2026-09-07","forts (proposed)","Recall check on the family definition. The scan also returns paridhi-, dehi-, saṃdih-, harmya-, adhrṣṭa- and daru-, all semantically fort-adjacent but none derived from pur-; they are excluded on etymology, not on gloss."
"PUR-007","A string search of the accented Samhita text for word-initial pur-/pūr- returns 1,369 tokens across 142 distinct lemmas. Of these 78 are the fort word; the search also misses the 5 tokens of the nominative singular pūḥ.","VERIFIED","SRC-019; SRC-022","rv_tokens_vedaweb.tsv, surface field, diacritics and vowel length stripped; compared against lemma_id=lemma_pur_5549","2026-09-07","forts (proposed)","Measured contrast with the lemma method. Precision 5.7%, recall 94.0%. The largest false positives are puru- 'many' (193), pūrva- 'former' (117), pūrvya- (92), puruhūta- (80), purā 'formerly' (62), puras 'in front' (52), puraṃdhi- (48)."
"PUR-008","The accented string purā occurs 63 times. In 62 of these the Zurich annotation assigns the invariable purā 'frueher, zuvor'; in one, RV 1.53.7b, it assigns the instrumental singular of pur-.","VERIFIED","SRC-019; SRC-022","rv_tokens_vedaweb.tsv, surface='purā́'; the pur- case is PUR-OCC-005, RV 01.053.07 pada b token 1, in the phrase purā́ púraṁ sám ... haṁsi","2026-09-07","forts (proposed)","The single case in the corpus where the fort word and an unrelated adverb are homographic after accentuation. String matching cannot separate them; the lemma layer does."
"PUR-009","The padapatha writes 160 tokens as bare puraḥ or purā. The Zurich lemma layer resolves 48 of them as pur- and the remaining 112 as the invariables puras and purā.","VERIFIED","SRC-019; SRC-021; SRC-022","rigveda/versions/padapatha.csv against rv_tokens_vedaweb.tsv, surfaces púraḥ and purā́","2026-09-07","forts (proposed)","The padapatha is unaccented at these points and so under-determines the analysis; it is a check on segmentation, not a substitute for lemmatisation."
"PUR-010","No stanza whose padapatha contains an unambiguous pur- form (pūḥ, pūḥ-bhiḥ, puram, purām, puri, pūrṣu) lacks a corresponding pur- lemma token in the Zurich layer.","VERIFIED","SRC-019; SRC-021; SRC-022","rigveda/versions/padapatha.csv, all 10,552 stanzas, tested against the 103 family stanzas","2026-09-07","forts (proposed)","Zero misses. Independent recall check on the Zurich lemmatisation, using the ancient Sakalya word-analysis rather than a modern one. Example: RV 1.58.8d, where the padapatha reads pūḥ-bhiḥ for Samhita pūrbhíḥ."
